Alphabet size,Number of states,average test accuracy,average test accuracy,,,Number of states,,,,,,,
5,15,0.747866667,,,,20,19,18,17,16,15,,
5,16,0.7568,,,,0.725,0.709,0.736,0.710,0.757,0.748,5,Alphabet size
5,17,0.7102,,,,0.713,0.741,0.746,0.694,0.740,0.688,6,
5,18,0.735666667,,,,0.636,0.654,0.688,0.673,0.693,0.735,7,
5,19,0.708933333,,,,0.682,0.691,0.692,0.707,0.704,0.722,8,
5,20,0.724733333,,,,0.651,0.631,0.692,0.695,0.715,0.685,9,
6,15,0.687933333,,,,0.657,0.644,0.651,0.639,0.664,0.650,10,
6,16,0.739666667,,,,,,,,,,,
6,17,0.6938,,,,,,,,,,,
6,18,0.745666667,,,,,,,,,,,
6,19,0.740533333,,,,,,,,,,,
6,20,0.7132,,,,,,,,,,,
7,15,0.735066667,,,,,,,,,,,
7,16,0.693466667,,,,,,,,,,,
7,17,0.672533333,,,,,,,,,,,
7,18,0.6876,,,,,,,,,,,
7,19,0.654466667,,,,,,,,,,,
7,20,0.636466667,,,,,,,,,,,
8,15,0.722,,,,,,,,,,,
8,16,0.704333333,,,,,,,,,,,
8,17,0.706666667,,,,,,,,,,,
8,18,0.691733333,,,,,,,,,,,
8,19,0.690933333,,,,,,,,,,,
8,20,0.681666667,,,,,,,,,,,
9,15,0.6852,,,,,,,,,,,
9,16,0.715466667,,,,,,,,,,,
9,17,0.694666667,,,,,,,,,,,
9,18,0.6924,,,,,,,,,,,
9,19,0.630866667,,,,,,,,,,,
9,20,0.650666667,,,,,,,,,,,
10,15,0.649866667,,,,,,,,,,,
10,16,0.6638,,,,,,,,,,,
10,17,0.6394,,,,,,,,,,,
10,18,0.650866667,,,,,,,,,,,
10,19,0.644066667,,,,,,,,,,,
10,20,0.6572,,,,,,,,,,,
