Group	_min1	_min1	7_13	_min1	7_13	_min1	_min1	_min1	_min1	_min1	7_13	_min1	_min1	_min1	_min1	_min1	7_13	7_13	_min1	7_13	_min1	_min1	_min1	_min1	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	7_13	_min1	7_13	_min1	7_13	_min1	7_13	7_13	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1
ID	R009W00	R010W00	R010W02	R014W01	R014W02	R016W00	R021W01	R022W00	R028W01	R044W01	R044W03	R057W00	R058W00	R007W01	R024W00	R025W01	R028W03	R029W02	R031W00	R031W02	R039W00	R002W00	R003W00	R006W00	R020W00	R036W00	R057W02	R063W01	R063W03	R066W00	R066W03	R067W00	R069W00	R069W02	R071W00	R071W02	R073W00	R077W00	R077W02	R081W00	R082W01	R082W02	R084W00	R086W00	R086W02	R087W01	R087W03	R089W00	R089W02	R092W00	R096W03	R103W02	R116W00	R116W03	R120W01	R120W03	R121W00	R121W02	R125W02	R129W03	R130W00	R134W00	R134W02	R135W00	R139W00	R139W02	R148W01	R148W03	R151W01	R151W03	R156W01	R156W03	R157W01	R157W02	R159W01	R159W03	R161W00	R161W03	R165W01	R169W00	R169W03	R171W01	R171W02	R174W01	R174W03	R179W01	R187W00	R198W03	R206W00
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	5	3	0	0	0	0	0	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|Unclassified_member_of_Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	20	0	0	0	0	0	0	12	0	0	2	0	0	0	0	0	19	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	5	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	770	1430	9	845	1494	2308	742	394	523	1619	1170	178	480	2116	6	832	2189	814	438	476	945	1119	2286	402	1175	851	4760	385	1804	1817	0	595	733	48	621	218	992	872	508	163	2428	17	2078	2439	520	499	586	862	286	624	1715	1053	475	0	1117	7	4091	0	293	433	90	120	36	83	244	259	8	294	0	0	1221	19	83	267	892	253	1263	0	331	1252	65	781	99	396	142	251	712	608	82
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0	15	0	0	0	0	2	0	0	1128	380	0	91	0	0	35	0	0	2	0	21	70	0	11	0	142	0	21	71	6	0	19	41	0	52	4	12	14	11	37	116	0	10	70	5	0	0	0	0	67	0	0	6	0	0	0	87	0	42	0	0	17	0	0	7	0	0	0	0	0	5	0	0	49	0	0	0	0	69	0	0	0	0	0	5	16	38	0	6
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	9764	1097	5791	3854	5941	1678	436	1445	0	0	1177	99	1940	482	1672	1117	0	66	0	1002	1707	862	520	858	802	349	4631	93	101	86	38	144	576	9	1264	3	308	61	74	653	295	0	259	297	125	1292	471	53	9	223	0	2629	36	0	71	0	80	0	60	41	378	952	138	271	10	39	16	40	0	0	317	0	76	289	69	56	74	0	0	570	412	575	62	92	0	23	149	0	197
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|Unclassified_member_of_Bifidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|Unclassified_member_of_Bifidobacteriaceae	0	7	0	0	0	0	0	0	180	0	0	0	0	0	0	0	678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	0	0	0	0	0	0	0	0	0	0	125	0	13	0	0	5	0	0	0	0	0	3	10	14	0	0	0	0	0	0	0	127	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	49	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	11	0	7	0	0	0	125	32	0	74	0	55	0	4	991	0	876	7	9	11	0	16	77	127	0	0	0	0	0	0	64	22	11	0	0	0	4	0	0	0	0	40	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	11	0	15	0	0	0	0	0	0	13	13	0	20
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	265	77	26	50	0	10	0	0	302	32	6	0	51	1	2	23	1082	0	38	0	11	41	13	33	9	173	0	0	9	0	0	7	4	26	17	0	0	0	0	32	10	0	0	46	0	0	34	0	44	0	17	11	0	12	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	22	6	15	116	1196	0	0	0	10	18	0	16	31	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|Unclassified_member_of_Coriobacteriaceae	0	0	0	0	0	0	0	0	9	2	0	0	0	40	4	5	2	4	102	7	0	4	0	12	0	13	0	0	0	0	0	0	9	0	7	0	0	0	0	0	25	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	8	0	0	0	0	0	0	11	209	0	0	20	0	0	0	0	0	0	6	0	0	5
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0	23	0	111	48	77	0	304	42	9	395	32	32	344	47	383	7	135	254	329	33	126	19	106	239	58	0	46	60	0	0	160	47	0	20	124	40	36	33	0	41	2	67	201	48	0	1295	20	25	37	0	6	12	0	45	0	130	0	0	42	8	6	0	13	7	116	0	35	0	0	27	39	0	10	63	0	636	0	48	715	13	73	17	0	10	38	62	0	29
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	45	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|Unclassified_member_of_Bacteroidales	0	4	0	0	0	0	0	0	0	0	0	0	80	0	30	0	0	0	77	7	0	0	4	20	0	0	0	0	0	0	0	0	0	0	101	0	3	0	0	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	16	0	0	0	0	6	6	5	5	4	0	0	10	0	5	0	0	2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|Unclassified_member_of_Bacteroidales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
