# Constructed from biom file																																																																																																																																																																																																																																																										
#OTU ID	R036W52	R042W48	R044W48	R044W52	R047W48	R052W52	R059W40	R064W36	R064W44	R066W36	R073W36	R074W44	R074W46	R076W30	R076W52	R078W44	R079W32	R080W40	R085W28	R086W30	R086W36	R086W38	R087W28	R087W36	R089W28	R089W44	R094W24	R100W24	R102W20	R102W36	R104W16	R104W20	R105W20	R107W28	R107W32	R108W32	R110W28	R111W20	R113W06	R113W10	R115W05	R115W08	R115W24	R116W03	R116W06	R116W16	R117W00	R117W01	R118W00	R118W01	R118W02	R118W03	R118W04	R118W08	R118W10	R118W12	R119W01	R119W02	R119W03	R120W00	R120W01	R120W03	R120W04	R120W05	R120W06	R120W08	R120W10	R120W12	R121W00	R121W01	R121W02	R121W03	R121W05	R121W16	R121W19	R122W00	R122W01	R122W02	R122W03	R122W04	R122W05	R122W06	R122W10	R122W12	R122W16	R123W03	R123W04	R123W05	R123W06	R123W12	R124W01	R124W02	R124W03	R125W01	R125W02	R125W03	R125W04	R125W05	R125W06	R126W02	R126W03	R126W04	R127W01	R127W02	R127W02.02	R127W04	R127W12	R127W16	R128W01	R128W02	R128W04	R129W02	R129W03	R129W04	R129W05	R130W00	R130W01	R130W04	R130W05	R130W16	R131W00	R131W01	R131W02	R131W03	R131W06	R131W08	R131W16	R132W00	R132W01	R132W02	R132W03	R133W00	R133W01	R133W02	R133W03	R133W08	R133W12	R133W16	R134W00	R134W01	R134W02	R134W03	R134W06	R134W10	R134W12	R134W14	R135W00	R135W01	R135W03	R135W12	R136W00	R136W01	R136W02	R136W03	R136W04	R137W00	R137W02	R137W03	R137W04	R137W05	R137W10	R137W12	R138W00	R138W01	R138W02	R138W05	R138W08	R138W12	R139W00	R139W01	R139W02	R139W04	R139W05	R139W10	R139W11	R139W12	R140W01	R140W02	R140W03	R140W08	R141W03	R141W12	R142W02	R142W03	R142W05	R142W06	R143W00	R143W01	R143W02	R143W03	R143W08	R143W10	R144W01	R144W02	R144W03	R144W05	R145W00	R145W01	R145W02	R145W03	R146W00	R146W01	R146W02	R146W04	R146W05	R146W06	R147W00	R147W01	R147W02	R147W03	R148W01	R148W02	R148W03	R149W01	R149W02	R149W03	R149W05	R150W01	R151W01	R151W02	R151W03	R152W01	R152W02	R152W03	R152W05	R153W00	R153W01	R153W02	R153W03	R153W04	R154W00	R154W01	R154W02	R154W03	R154W04	R155W00	R155W01	R155W02	R155W03	R156W01	R156W02	R156W03	R156W04	R157W00	R157W01	R157W02	R157W03	R159W01	R159W02	taxonomy
14f12ae5b35b9423fa84d6251a960d18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__Anaerovorax; s__
5d0d17609a18702bfc463d6a7ab5d5ce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__
61f60551ae7c06a89657838875a9c8b6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	84	0	0	0	0	0	0	0	0	0	0	0	0	0	65	7	0	297	38	15	8	0	0	0	0	0	21	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
4b8bb67cc96f7cd58649f3ba2a25f8c5	0	0	0	0	0	0	0	0	0	53	0	18	0	0	0	0	22	0	0	18	4	0	0	0	0	0	0	106	0	23	12	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	15	0	10	0	12	31	0	0	0	0	0	0	0	197	116	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	443	0	0	0	0	0	0	0	0	0	72	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0	0	7	86	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	38	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	29	0	0	0	0	0	0	9	0	0	0	0	271	5	0	0	6	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella; s__
574bb4b107fb11bcf99bebd56981a9fc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Photobacterium; s__
e3b4e0d6f13d75e469b7cf65a8500a95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
50675a1653531d4e550dd0dfe340714b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
237aecfda259f8df7eac2a78c8fe5862	213	622	332	43	100	87	0	14	136	137	136	426	87	26	502	766	360	0	240	239	198	145	104	189	303	412	237	872	257	164	234	159	84	46	17	325	519	487	294	111	198	406	365	0	240	0	0	0	423	2002	1752	429	1577	12048	416	6234	102	111	0	132	106	0	0	208	14	431	613	388	5251	313	0	0	496	603	354	384	400	504	127	25	281	1081	80	1335	6	0	0	200	619	276	220	191	0	832	95	39	87	751	145	293	611	4	550	1109	781	734	355	222	79	747	787	33	27	292	526	375	379	64	612	584	403	660	0	0	402	543	165	373	1309	288	493	2407	4249	14	0	96	50	73	542	478	322	60	228	246	1868	821	1722	91	482	692	324	418	0	0	924	412	3163	24680	180	10	0	0	204	61	124	187	539	144	94	1706	225	316	2834	164	133	45	12	153	228	887	9	8734	1082	475	737	156	249	201	116	454	41	884	105	1059	828	275	1510	828	91	0	4663	773	796	22	0	13	81	474	0	0	258	98	22	901	559	974	729	0	13	18	0	2397	954	495	166	159	564	130	24	0	1246	262	1275	1058	566	212	332	3	802	521	295	7576	160	10185	3317	828	5625	34	113	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella; s__
8bf42e42321583b6ad91c5c21b5a4d79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__; s__
e7a76e47662fe0f67f367e36604508f7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	4	13	0	0	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__socranskii
