cage,mouse,id,chemotherapy,group,weight - 24.10.19,weight - 27.10.19,weight - 29.10.19,weight - 3.11.19,weight - 4.11.19,weight - 5.11.19,weight - 6.11.19,weight - 7.11.19
1,1,1_1,yes, NoM,37.7,38.5,39.7,41.3,36.2,34,32.3,30.6
1,2,1_2,yes, NoM,33.6,36.2,36.9,39,34.8,32.7,31.1,29.7
2,1,2_1,yes, NoM,39.1,40.4,41.2,42.5,37.9,39.3,36.5,34.2
2,2,2_2,yes, NoM,32.9,35.8,37.5,38.4,35,35.2,33.2,31.2
3,1,3_1,no, NoM,30.6,32,33.6,35.2,35.2,35.6,,
3,2,3_2,no, NoM,29.3,31.3,32.5,34.6,35.2,35.4,,
4,1,4_1,yes, NoM,35.9,37.3,37.7,38.6,36.4,36.7,35.9,34.7
4,2,4_2,yes, NoM,34.6,36.3,36.1,38.2,36.9,38,35.4,34.6
5,1,5_1,yes, NoM,34.2,35.7,35.8,38.6,37.6,37,35.1,33.8
5,2,5_2,yes, NoM,34.9,35.3,35.4,38.4,37.2,38.2,36.3,35.1
6,1,6_1,no, NoM,37.4,38.5,39.7,42,41.6,43.2,42.7,
6,2,6_2,no, NoM,34.2,34.7,36.3,37.5,37.9,38.3,38.3,
7,1,7_1,yes,SM,42.2,45.8,46.3,47.1,41.7,43.4,41.8,37
7,2,7_2,yes,SM,35.2,36.5,37.6,38.7,34.5,36.9,36.5,34.7
8,1,8_1,yes,SM,38.2,36,37.8,39.4,37.3,37.2,35.3,33.4
8,2,8_2,yes,SM,37,37.5,37,37.9,38,37.7,36.3,34.6
9,1,9_1,no,SM,31.4,32.9,33.2,36.2,36.2,37.1,37.6,
9,2,9_2,no,SM,38.9,42.1,44,46.2,46.6,46.7,47.1,
10,1,10_1,yes,SM,30.8,34.5,34.6,37,33.7,31.9,30.3,28.8
10,2,10_2,yes,SM,33.8,35.6,36.3,39.6,35.4,33.6,31.8,29.8
11,1,11_1,yes,SM,33.3,34.8,35.5,37.7,33.5,31.4,29.5,27.4
11,2,11_2,yes,SM,33.2,36,36.6,36.6,31.3,28.6,26.8,25.2
12,1,12_1,no,SM,36.1,37.5,38.1,40.5,40.5,41,41,
12,2,12_2,no,SM,37.9,40,39.4,41.3,41.8,43,42.3,
12,3,12_3,no,SM,35.7,37.4,37.7,39.6,39.5,40.3,40.6,
