BACTERIA_NUMBER,BACTERIA,ALGORITHM,RHO,P_VALUE,PARAMS
0,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae,linear regression,-0.6785714285714287,0.0937502539598313,
0,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae,ridge regression,-0.6071428571428572,0.1482311614811614,
0,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae,ard regression,-0.3571428571428572,0.4316113520383278,
0,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae,svr,-0.2240449889181076,0.1957167045016571,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
0,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae,decision tree,-0.3204183407879586,0.0605737181333272,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
0,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae,random forest,-0.08736509552432399,0.6177484147635619,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
1,k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae],linear regression,0.0,1.0,
1,k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae],ridge regression,0.0,1.0,
1,k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae],ard regression,-0.03571428571428572,0.9394082054712856,
1,k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae],svr,-0.04599639058102449,0.7930327348478519,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
1,k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae],decision tree,-0.3435351932627932,0.043328236167897737,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
1,k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae],random forest,0.11756470083095848,0.5012011354437876,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
2,k__Bacteria; p__; c__; o__; f__,linear regression,0.8571428571428573,0.01369732661532562,
2,k__Bacteria; p__; c__; o__; f__,ridge regression,0.8571428571428573,0.01369732661532562,
2,k__Bacteria; p__; c__; o__; f__,ard regression,0.0,1.0,
