Time Point,X,y
0,"[-0.08847247 -0.08847247 -0.08847247  1.09990026  1.07958541  0.85416276
 -0.94543989  0.47658976 -1.78993393  0.27707225  1.7908098  -0.11680025
 -0.11680025  1.7907047   0.95427283  1.34925152  0.278231    0.278231
  0.02914071 -0.21974763  1.34455918  0.5020652  -0.33500789 -0.53360653
 -0.63175542 -0.73036306 -1.78993393  0.99659591  0.93662358  0.58080616
  0.54927885  0.37883668 -0.68061297 -0.68061297  0.27436769  0.17468258
 -1.78993393 -1.78993393 -1.78993393 -1.78993393]",[-0.08641974095564153]
0,"[ 1.81572578e-03  1.81572578e-03  1.81572578e-03  8.81998103e-01
  8.42834966e-01  5.75659933e-01 -2.30109036e+00  2.77268454e-01
  9.22568484e-02 -7.25560635e-01  1.81828556e+00 -6.46788049e-01
 -6.46788049e-01  1.81822576e+00  8.26464964e-01  1.77444309e+00
  3.99114177e-01  3.99114177e-01 -5.86978006e-03 -3.00651069e-01
  1.77073939e+00  7.71783889e-01 -2.31011625e-01 -4.67172508e-01
 -4.94249579e-01 -1.70714951e+00 -5.00249650e-01  9.47508691e-01
  5.12580988e-01  9.09652311e-02  2.31763907e-01  2.95730434e-02
 -1.15459686e+00 -1.15459686e+00  8.38563893e-01  7.16437954e-01
 -4.21100011e-01 -1.60188048e+00 -1.60188048e+00 -1.66039468e+00]",[-0.0603498073197275]
0,"[-0.07306281 -0.07306281 -0.07306281  0.52523452 -1.24002801 -1.69111522
 -1.53284978  0.52400209 -0.18819939  0.18195021  2.28144413 -0.6768509
 -0.6768509   2.28140206  1.15896638  1.74315963  0.24575852  0.24575852
 -0.47949808 -0.80741934  1.73565258  0.60510075 -0.24151639 -0.50717738
  0.15559066  0.02182895 -2.53758237  0.80303013  0.62047311  0.14304563
  0.40083903  0.17213614 -0.84076552 -0.84076552  0.11018769 -0.02465032
 -1.74624528  0.12291881  0.12291881  0.04930451]",[-0.17698637042256943]
0,"[ 0.44239047  0.44239047  0.44239047  0.35391526  0.23111594 -0.86410398
  0.20746916  0.00776298 -0.41288157 -0.43357563  2.34822137 -0.38421124
 -0.38421124  2.34817347  1.28928191  1.8508316   0.67924869  0.67924869
  0.65068634  0.33604756  1.83463705  0.76807135  0.11428971 -0.13794794
 -0.01093318 -2.19985691 -0.01093318  0.0933488  -0.79548661 -1.22688181
 -0.2026385  -0.41792756 -1.25200276 -1.25200276 -0.09585274 -0.24052053
 -0.97575779 -1.25200276 -1.25200276 -1.31778983]",[0.09002267504530681]
0,"[ 0.28017833  0.28017833  0.28017833  1.52161446  1.51451138  1.25479068
  0.21364356  0.48708352  0.32341567 -0.78119684  1.80220246 -2.2287093
 -2.2287093   1.80220246  0.84826674  1.22529637 -0.06370187 -0.06370187
  0.07117305 -0.21184204  1.21507578  0.25428084 -0.996185   -1.21933379
 -0.09393184 -2.2287093  -0.09393184  0.80807537  0.7920967   0.38633835
 -0.19669888 -0.39090782 -0.996185   -0.996185   -0.21318992 -0.73212387
 -0.28820216 -0.42489464 -0.42489464 -0.48736749]",[-0.09431601540893286]
0,"[ 0.25078697  0.25078697  0.25078697  0.69161401 -0.35604516 -0.76954983
 -0.5273875   0.68675942  0.30146196  0.33927219  2.01165538 -0.2001843
 -0.2001843   2.01159849  1.11964356  1.53247208  0.5154943   0.5154943
  0.05129938 -0.21312272  1.52488056  0.62646847 -0.07846667 -0.29239406
 -0.07846667 -1.82519189 -0.07846667  0.85166306 -0.70731089 -1.0750254
 -0.92463422 -1.09808492  0.33927219  0.33927219  0.81046362  0.70413671
 -1.82519189 -1.82519189 -1.82519189 -1.82519189]",[-0.15311470302279584]
0,"[-0.24287123 -0.24287123 -0.24287123  1.04026486  1.02803493  0.80865717
 -1.02496343  0.32227694  0.011603   -0.02759326  1.73751071 -0.93173492
 -0.93173492  1.73750627  0.92334504  1.20348679  0.18421593  0.18421593
  0.21240226 -0.02963725  1.19543461  0.37539856 -0.18523593 -0.37892669
 -1.75374901 -1.75374901 -1.75374901  1.05593052  1.04782064  0.70146941
  0.23703213  0.07116785 -1.75374901 -1.75374901 -0.70182338 -0.79740891
 -1.75374901  0.74526878  0.74526878  0.69185532]",[0.07258088415221353]
0,"[-0.30069856 -0.30069856 -0.30069856  0.45672984  0.29769046  0.02159047
 -0.62876637  0.20931881 -0.07516499 -0.32778408  2.1569711  -0.77481364
 -0.77481364  2.15696135  1.17609028  1.42921864  0.28592095  0.28592095
  0.06102455 -0.23040695  1.41674721  0.42879716 -0.18193484 -0.41732523
  0.12777776 -2.0757068   0.12777776  1.25663881  1.23550293  0.81824103
  0.43797276  0.23812233 -0.56099623 -0.56099623 -0.0637879  -0.23040695
 -0.59289517 -2.0757068  -2.0757068  -2.0757068 ]",[-0.23064759808978638]
0,"[-0.49279852 -0.49279852 -0.49279852  0.46348538  0.39143243  0.04126055
 -1.85614208 -0.20666145 -0.58596621 -0.9088418   2.57521639 -1.25750224
 -1.25750224  2.57519856  1.27882186  1.72492269  0.03521236  0.03521236
  0.46348538  0.07798184  1.70226868  0.39650842 -0.68716358 -0.99519797
 -0.13880943 -0.46982059 -0.51905919  0.38842766  0.01833289 -0.53273492
  0.11615264 -0.1476839  -1.18863913 -1.18863913 -0.43194653 -0.7863487
 -0.77200443  1.070063    1.070063    0.98501303]",[-0.18582786851582156]
0,"[ 0.05672208  0.05672208  0.05672208  0.47107083  0.44344917  0.1806881
 -1.9106597  -0.20570436 -1.9106597  -0.43554567  2.30806744 -0.05645331
 -0.05645331  2.3079908   1.33221387  1.61124812  0.24151656  0.24151656
  0.30896806  0.01802455  1.60443973  0.6216224   0.0443939  -0.18786399
 -0.92546831 -1.03720353 -1.9106597   0.83716429  0.7209479   0.30615513
  0.41462029  0.21627973 -0.92546831 -0.92546831  0.1799037  -0.50478454
  0.13766824 -1.22271719 -1.22271719 -1.28028847]",[-0.4980376097705011]
