,k__Bacteria;NA,k__Bacteria;NA;NA,k__Bacteria;NA;NA;NA,k__Bacteria;NA;NA;NA;NA,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Bacteroidetes;NA,k__Bacteria;p__Bacteroidetes;NA;NA,k__Bacteria;p__Bacteroidetes;NA;NA;NA,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,k__Bacteria;p__Firmicutes,k__Bacteria;p__Firmicutes;NA,k__Bacteria;p__Firmicutes;NA;NA,k__Bacteria;p__Firmicutes;NA;NA;NA,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;NA,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XIII. Incertae Sedis,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__Firmicutes;c__Erysipelotrichia,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Firmicutes;c__Negativicutes,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;NA,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae
k__Bacteria;NA,-0.18261162086351812,-0.18261162086350483,-0.18261162086347163,-0.1826116208632326,0.0,0.0,0.0,0.0,0.037007481682901196,0.03700748168291358,0.021552786361433447,0.0,0.0,0.0,0.0,0.07399862516879682,0.0,0.0,0.0,0.0780195522449076,0.07801955224490298,-0.002976582008479393,-0.08594705160586728,-0.031435581509980014,0.0,0.03104800908906279,-0.04372071666657639,0.0,0.0028373128516844055,-0.0002451525803488658,-0.00024515258034887025,-0.0002451525803488661,0.0,0.0,0.16365438347619357,0.0,0.0,0.0452991941898765,0.04529919418987509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02043245735072209,-0.00932963573098653,-0.009329635730986519,-0.08111107241833196,0.0,0.0,0.0,0.0,0.025460172121177106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02283908043820298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;NA;NA,-0.15066704639963494,-0.15066704639952,-0.15066704639955422,-0.15066704639949813,0.0,0.0,0.0,0.0,0.04196456487445961,0.04196456487446015,0.0,0.0,0.0,0.0,0.0,0.011587865490486663,0.0,0.0,0.0,0.011914712556499158,0.011914712556500525,0.0,0.0,-0.04582580819505565,0.0,0.004882256959086108,0.0,0.0,0.0,-0.0030081531077561546,-0.003008153107756154,-0.003008153107756165,0.0,0.0,0.03381249284788096,0.0,0.0,0.05922948947831538,0.05922948947832538,0.011488371821095739,0.0,-0.08719678788819933,0.010950130373930611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022601939609973677,-0.02260193960997387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;NA;NA;NA,-0.16835014581773716,-0.1683501458176487,-0.16835014581772956,-0.1683501458177387,0.0,0.0,0.0,0.0,0.03785158034504633,0.03785158034504585,0.0,0.0,0.0,0.0,0.0,0.0037219578957067285,0.0,0.0,0.0,0.0037316547716125903,0.003731654771612591,0.0,0.0,-0.034133298599587775,0.0,0.054329193765358094,0.0,0.0,0.00256379264219379,0.0,0.0,0.0,0.0,0.0,0.05970695632505374,-0.010225008565602135,0.007709559539697802,0.003755696624554009,0.003755696624553976,0.0,0.0034606430668297043,-0.0873761218172974,0.0,0.0,0.0,0.060387201187516754,0.0,0.0,0.0,0.0,0.0,0.0,-0.019217833192004704,0.0,0.0,0.0,0.0,-0.024095810645854004,-0.02409581064585447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006762874813450578,0.006762874813451279,0.006762874813451612,0.0,0.0,0.0,0.0,0.0,0.30104258179032617,0.30104258179059773,0.3010425817912231,-0.9146564668340368
k__Bacteria;NA;NA;NA;NA,-0.17157128989972423,-0.171571289899803,-0.17157128989979556,-0.17157128989974058,0.0,0.0,0.0,0.0,0.03618000792438539,0.036180007924385214,0.0,0.0,-0.007606150170094834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05820210513053425,-0.029421129505660632,0.0,0.0010699518021971544,-0.0003920527267262631,-0.0003920527267262638,-0.0003920527267262674,0.05119623207032383,0.051196232070325434,0.0835729336215045,-0.055498670674625536,0.0,0.001241519709809507,0.0012415197098095039,0.0,0.0,-0.08674225964338496,0.0,0.0,0.0,0.04901978352176139,0.0,0.0,0.0,0.0,0.0,0.0,-0.012783317562221183,0.0,0.0,0.0,0.0,-0.034820566702485664,-0.034820566702488516,0.0,0.0,0.029688917145438885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3406257738625697,0.34062577386214765,0.3406257738620733,-1.0428084612334356
k__Bacteria;p__Actinobacteria,0.0,0.0,0.0,0.0,-0.39356128557283226,0.0,0.0024531160350190783,0.16161180058739696,0.0,0.0,0.0,0.0,0.0,-0.08102493866933316,-0.004412890921537206,0.13280092757035117,0.0,0.0,0.0,0.1079367385626933,0.10793673856271627,-0.2048094718176092,-0.08695801446668987,0.0,0.034304264210599344,0.010610952903698179,-0.03597666014758248,0.05244680745608027,-0.0034760538777573254,0.00011599916272093166,0.00011599916272093216,0.00011599916272093166,0.0,0.0,0.12324721960084181,0.01916716842153743,0.0,-0.035283413793594336,-0.03528341379360264,0.00047858737997746143,0.0,0.18721558777789218,0.0,0.0,-0.05380279644279679,0.10150455070561284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020999656369936753,0.0,0.0,0.004806120677475678,0.0,0.0,0.0,0.0,0.0,0.017707661389027247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria,3.6641596687984176e-05,3.664159668797173e-05,3.6641596687984176e-05,3.664159668796456e-05,-0.0011947050610271938,-0.013315125395701188,-0.7878087199781071,0.7598633390550684,-0.027249944259371876,-0.027249944259369364,0.0,0.0,0.0,0.0,0.0,0.0002512833127048066,0.0,0.0,0.0,0.000250795835380075,0.00025079583538006254,-0.0014233528763213533,0.0,0.0,0.0,0.031665419417353735,0.0,0.0,0.0,0.000449934856387543,0.00044993485638754327,0.00044993485638754224,0.0,0.0,0.0,0.0,-0.048322131746822934,0.0,0.0,0.025870835795559977,0.0,0.11547085766609246,0.014594694080065357,0.0,-0.0004046663799258062,0.0,0.0,-0.07579397131710527,-0.0017390568929379962,-0.0017390568929379919,-0.0012534067118775494,-0.01036817889339116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.471626050306847,-1.5076718748369708,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,0.0005959967557286241,0.0005959967557286167,0.0005959967557286189,0.0005959967557286034,-0.00034807078528433064,0.0022830217513295473,-1.7455975260883194,1.6440118750626147,-0.03910716844812819,-0.03910716844811767,0.0,0.0,-0.06737162142711094,-0.002353296883964879,-0.10275690867876165,0.000535374346572676,0.0,0.0,0.0,0.0005345950057954843,0.0005345950057954791,-0.0004928788022801984,-0.0015089121352071138,0.0,0.0,0.0740734676691805,0.0,0.05463614628727943,-0.0011337193448354354,0.0,0.0,0.0,0.08304966873911336,0.08304966873911894,-0.00042591642991248433,0.0,-0.05672726745132684,-0.0011345585876714685,-0.0011345585876714641,-0.0007182910032420519,-0.0029901082907496865,0.10975348180807323,0.0,0.0,-0.0010521284496890209,0.05973141092363753,0.0,-0.001106015623364021,-0.09912952254619628,-0.09912952254618905,0.0,-0.058920314972138794,0.5355095188541231,-0.6119783315644571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004172395927641511,1.3077842908489,-1.3475130638714998,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,0.000756638289758236,0.0007566382897582283,0.0007566382897582181,0.0007566382897582206,-0.10010936467052421,-0.00015476220880309148,-1.9369076028238708,1.9479384299666425,0.0,0.0,0.0,0.0,0.0,-0.0037769168316854696,-0.027229285296125744,0.5743564871157022,0.0,0.0,0.0,0.11371557824304136,0.11371557824290969,-0.580681553606677,-0.0014738319005158716,0.0,0.0029060887767536343,0.0,0.0,0.0,-0.0008621184170720691,-4.641346883476465e-05,-4.6413468834760915e-05,-4.641346883476573e-05,0.0014645008235860282,0.0014645008235860076,-0.0005421989333345104,0.0,0.0,-0.001058871589435307,-0.0010588715894353274,0.001103299215236264,0.0,0.12486172087358259,0.07124313809177406,0.0,0.0,0.05591702039510849,0.0,-0.0033753228301901246,-0.00806540798832042,-0.008065407988320228,-0.003353276501025244,-0.03083878189113087,0.37635205231573987,-0.39617360466010626,0.0,0.0,0.0010007544185708858,0.0024161496645641665,0.0024161496645641605,0.0,0.0,0.0,0.02442989039677146,0.0,0.0,0.0,-0.007092835066261362,-0.00709283506626151,-0.007092835066261474,-0.008427106164427139,0.8931721133253661,-0.8986085444381691,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,0.015344646409665926,0.015344646409665824,0.015344646409666015,0.015344646409665973,0.0,-0.002555971921049213,-0.0023873877843407004,-0.05368476331522719,-0.21261929615467445,-0.21261929615463035,-0.00044124356681010175,0.0,0.0,0.00020356252655065297,0.00012386616794543242,0.07006733410020537,0.0,0.0,0.0,0.06869031969142646,0.06869031969142497,0.0006423181597396999,-0.3733821819305169,0.0021342036436892684,0.053490139151947,0.2314484874993538,-0.20865235874363436,-0.0009527395322883716,0.0,0.0014160792537290649,0.0014160792537290733,0.001416079253729065,0.00018301614256836115,0.00018301614256836842,0.28836315828425607,0.0,0.0,0.0012411709021205493,0.0012411709021205406,0.003322237794260953,0.13518231665259428,0.00040480205902514795,-0.09248051775112565,0.0005172755505645129,0.0035621391390228416,-0.25320012219458515,0.0,0.0024144497554831707,0.0005098009410515031,0.0005098009410514958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06541732039493416,0.05138916053004893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021011180631830342,0.0,0.0,-0.05471660324570181,-0.05471660324570049,0.0,0.0,0.0,-0.0044003685584034285
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae,0.0032588069681872994,0.003258806968187284,0.0032588069681873076,0.0032588069681872686,-0.0007602346874642593,0.0,0.0,-0.029299700591467224,-0.20478440448237717,-0.20478440448238328,0.00013428047894422022,0.0,0.0,0.0007654348675257516,0.0,-0.0002976065112039011,0.0,0.0,0.0,-0.00029867292410198676,-0.0002986729241019616,0.00014100358616954257,-0.19902687499655947,0.0,0.03152652775010652,0.272790620905164,-0.16501561110316196,0.006738886954389569,0.0008193763231074596,0.0,0.0,0.0,0.0,0.0,0.06293015981407656,0.0,0.0,0.0009630880359853623,0.0009630880359853379,0.4565380435949558,0.0,0.06544504288548866,-0.0016086693922390725,0.0,0.003123277567526125,-0.2955574619222941,0.0011065884057404507,0.0010792913723183292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012547132112363497,0.0004947504320845451,0.0004947504320845514,-0.001905531655223437,-0.08838503388333332,0.1019853380881438,0.08547259967886969,0.0,0.0,0.0,0.0,0.0,0.0,0.04923448101246323,0.0,0.0,-0.0545233827894843,-0.05452338278948411,-0.004025664359982511,-0.004025664359982515,-0.004025664359982522,-0.016490995745278684
