,MODEL BACTERIA,SIGNIFICANT BACTERIA,ALGORITHM,BETA MEAN,BETA STD,BETA
0,k__Bacteria;NA,k__Bacteria;NA,ard regression,-0.004531049339420203,0.05103229808199195,-0.18261162086351812
1,k__Bacteria;NA,k__Bacteria;NA;NA,ard regression,-0.004531049339420203,0.05103229808199195,-0.18261162086350483
2,k__Bacteria;NA,k__Bacteria;NA;NA;NA,ard regression,-0.004531049339420203,0.05103229808199195,-0.18261162086347163
3,k__Bacteria;NA,k__Bacteria;NA;NA;NA;NA,ard regression,-0.004531049339420203,0.05103229808199195,-0.1826116208632326
4,k__Bacteria;NA,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,ard regression,-0.004531049339420203,0.05103229808199195,0.16365438347619357
5,k__Bacteria;NA;NA,k__Bacteria;NA,ard regression,-0.006294621396328694,0.03769638303395089,-0.15066704639963494
6,k__Bacteria;NA;NA,k__Bacteria;NA;NA,ard regression,-0.006294621396328694,0.03769638303395089,-0.15066704639952
7,k__Bacteria;NA;NA,k__Bacteria;NA;NA;NA,ard regression,-0.006294621396328694,0.03769638303395089,-0.15066704639955422
8,k__Bacteria;NA;NA,k__Bacteria;NA;NA;NA;NA,ard regression,-0.006294621396328694,0.03769638303395089,-0.15066704639949813
9,k__Bacteria;NA;NA,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,ard regression,-0.006294621396328694,0.03769638303395089,-0.08719678788819933
10,k__Bacteria;NA;NA;NA,k__Bacteria;p__Verrucomicrobia,ard regression,-0.007451633280177039,0.12614912341285098,0.30104258179032617
11,k__Bacteria;NA;NA;NA,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,ard regression,-0.007451633280177039,0.12614912341285098,0.30104258179059773
12,k__Bacteria;NA;NA;NA,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,ard regression,-0.007451633280177039,0.12614912341285098,0.3010425817912231
13,k__Bacteria;NA;NA;NA,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,ard regression,-0.007451633280177039,0.12614912341285098,-0.9146564668340368
14,k__Bacteria;NA;NA;NA;NA,k__Bacteria;p__Verrucomicrobia,ard regression,-0.0073243065096970945,0.1425377562936834,0.3406257738625697
15,k__Bacteria;NA;NA;NA;NA,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,ard regression,-0.0073243065096970945,0.1425377562936834,0.34062577386214765
16,k__Bacteria;NA;NA;NA;NA,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,ard regression,-0.0073243065096970945,0.1425377562936834,0.3406257738620733
17,k__Bacteria;NA;NA;NA;NA,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,ard regression,-0.0073243065096970945,0.1425377562936834,-1.0428084612334356
18,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Actinobacteria,ard regression,0.0013972774802026927,0.06701621835612487,-0.39356128557283226
19,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,ard regression,0.0013972774802026927,0.06701621835612487,0.16161180058739696
20,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA,ard regression,0.0013972774802026927,0.06701621835612487,-0.2048094718176092
21,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,ard regression,0.0013972774802026927,0.06701621835612487,0.18721558777789218
22,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,ard regression,-0.00420561749781168,0.358385158882336,-1.7455975260883194
23,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,ard regression,-0.00420561749781168,0.358385158882336,1.6440118750626147
24,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,ard regression,-0.00420561749781168,0.358385158882336,1.3077842908489
25,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,ard regression,-0.00420561749781168,0.358385158882336,-1.3475130638714998
26,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,ard regression,0.0035810183279240382,0.3612369994530695,-1.9369076028238708
27,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,ard regression,0.0035810183279240382,0.3612369994530695,1.9479384299666425
28,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,ard regression,0.0035810183279240382,0.3612369994530695,0.8931721133253661
29,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,ard regression,0.0035810183279240382,0.3612369994530695,-0.8986085444381691
30,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,ard regression,-0.006680444924268227,0.08258640237217652,-0.21261929615467445
31,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae,ard regression,-0.006680444924268227,0.08258640237217652,-0.21261929615463035
32,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,ard regression,-0.006680444924268227,0.08258640237217652,-0.3733821819305169
33,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,ard regression,-0.006680444924268227,0.08258640237217652,0.2314484874993538
34,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,ard regression,-0.006680444924268227,0.08258640237217652,-0.20865235874363436
35,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,ard regression,-0.006680444924268227,0.08258640237217652,0.28836315828425607
36,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae,ard regression,-0.006680444924268227,0.08258640237217652,-0.25320012219458515
37,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,ard regression,-0.002227311596732096,0.08510470355171747,-0.20478440448237717
