BACTERIA_NUMBER,BACTERIA,ALGORITHM,RHO,P_VALUE,RANDOM_RHO,RANDOM_P_VALUE,RHOS_DIFFERANCE,PARAMS,BETA
0,k__Bacteria;NA,linear regression,0.23048156108574644,0.043734564184087485,-0.040060203351484025,0.4438379775498752,0.27054176443723044, ,8616323523482.371;-2872107653124.328;-2872107648428.4004;-2872107647124.136;143701.55834960938;143701.4853515625;143700.2080078125;143703.06640625;145656.46362304688;141746.75708007812;143701.60345458984;143701.67156982422;143701.43200683594;143703.04962158203;143700.09857177734;143605.00714111328;143449.7472076416;144683.42472839355;142971.53526306152;141852.00524902344;145647.91149902344;143701.43225097656;143701.47875976562;143701.55334472656;143701.62274169922;143701.65032958984;143701.58251953125;143701.6055908203;143700.66702270508;143850.35507202148;143291.27842712402;143962.847946167;141453.4708557129;145949.94555664062;143701.76544189453;143701.44764709473;143701.54473876953;143973.55856323242;143430.7815246582;143701.6280822754;143701.69635009766;143701.5542602539;143701.62048339844;143701.60424804688;143701.31272888184;143701.60711669922;143701.5020751953;143701.41522216797;143291.68041992188;144111.27319335938;143701.8101196289;143701.6092529297;143701.58013916016;143701.52264404297;141792.60333251953;145610.51470947266;143701.5343017578;143997.89334106445;143405.0863647461;143701.5802001953;143701.5754699707;143701.59637451172;143701.6664199829;146380.14385986328;141022.91271972656;143701.70693969727;143048.45903015137;144028.15632629395;144028.15632629395;143701.58544921875;143702.20352172852;143700.93083190918;145287.92097473145;142115.24060058594;142696.78457641602;142725.0731201172;145683.77798461914;143700.63137817383
0,k__Bacteria;NA,ridge regression,0.2783795152216205,0.014226850838445987,0.06629160313370837,0.5428475879205636,0.21208791208791208, ,-0.1784310653615307;-0.17843106536153033;-0.1784310653615301;-0.1784310653615301;0.0563971582277419;-0.07123437221304162;0.009222744913252113;0.07572032976994847;0.0330823839164031;0.033082383916403384;0.0007922305866034346;0.0076819964964155735;-0.03455103378176261;0.01789417166254067;-0.0031912352529746015;0.0552157033073395;-0.0066041345987032886;-0.0066041345987029616;-0.006604134598702876;0.05521879940924439;0.055218799409244394;-0.029874766627076388;-0.05225599514527287;-0.01046768478128204;0.0390999733943583;0.09329954090249955;0.0033114594467255607;0.012539259235248866;0.05244822810908618;-0.03262987075723275;-0.03262987075723304;-0.032629870757232664;0.11582025325810616;0.11582025325810547;0.1174504755083917;-0.0985315626315588;-0.011813367969254708;0.0639863266084434;0.06398632660844344;0.06708827403842274;0.07196784118351335;-0.03924892368496525;0.05114278283084542;-0.0072775299762383155;-0.11903629764130984;0.04723394284326545;-0.030852645520996744;-0.07958992552065648;0.011929456455133174;0.011929456455133582;0.007155157004563489;0.0411041569981878;-0.02814301806107797;-0.013582799278870513;-0.015866563150358313;-0.015866563150357886;0.028578512435470323;-0.04593948617426905;-0.045939486174268844;-0.005212653806029402;0.007426027476029399;0.020408844382711212;0.03237487823808051;0.0062542446924507954;0.00625424469245126;0.01803052882818339;0.013720218811593455;0.013720218811593216;0.013720218811593425;-0.0050898545093091595;0.0530796766756013;-0.03127224680205317;0.007826507968105603;0.007826507968105136;0.025987712074976813;0.02598771207497744;0.025987712074974526;-0.06775927111696992
0,k__Bacteria;NA,ard regression,0.2748041432251958,0.015575280312784478,-0.05217151269782847,0.465126569269524,0.3269756559230243, ,-0.18178020111460635;-0.18178020111462925;-0.1817802011145998;-0.1817802011145278;0.0;0.0;0.0;0.0;0.03736654874707331;0.03736654874708769;0.0;0.0;-0.019331393938299437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06712891085789344;0.0;0.0;0.0;-0.0014729567393870794;-0.0014729567393870788;-0.001472956739387077;0.12035225533115224;0.12035225533115321;0.0;-0.1167464041481867;0.0;0.0;0.0;0.0012707197996383892;0.06901912050003381;0.0;0.0;0.0;-0.0012961117768427253;0.003017460119562262;-0.0021887029543610765;0.0;0.0;0.0;0.0;0.0;-0.01850738878609438;0.0;0.0;0.0;0.0;-0.031172348003231445;-0.03117234800322945;0.0;0.0;0.026835140788799502;0.0;0.0;0.0;0.0;0.007254520544712036;0.007254520544712133;0.007254520544712139;0.0;0.0;0.0;0.0;0.0;0.3275919505261887;0.3275919505279068;0.3275919505287576;-1.0000586754198728
0,k__Bacteria;NA,svr,0.3862604537725042,3.794965823764707e-15,-0.006422877234361336,0.44012003712058895,0.3926833310068655,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01},-0.06592777906410467;-0.06592777906410467;-0.06592777906410467;-0.06592777906410467;0.01414383114739326;-0.0009643789444963374;0.0013766554845535592;0.0024394751155326004;0.02214599385149411;0.02214599385149411;0.00525798857082758;0.006415175675939505;0.002037461553065051;0.006008337357274475;0.0037527040713432433;0.020416051054112306;0.003410289287567811;0.003410289287567811;0.003410289287567811;0.020417505708410468;0.020417505708410468;0.0008122557075157381;0.014878456466665357;-0.013828001894615648;-0.008838285133547804;0.009967316896097412;-0.0008172055302212272;-0.0071136040970541615;0.010889253522272565;-0.00800519305403843;-0.00800519305403843;-0.00800519305403843;0.005758190846699928;0.005758190846699928;0.014657059365650918;-0.009256843293819822;-0.0055175423938436914;0.012056631539279156;0.012056631539279156;0.004393255064914247;0.005525963464805452;-0.016589348416796962;0.012790422398854412;-0.0110777452223593;-0.006682799273507679;0.008307290927550757;0.018736443094765215;-0.0023318829357496583;-0.0028391235556579175;-0.0028391235556579175;-0.004470393708168207;0.020360190403506968;-0.005322983917082527;0.0018019294301467842;-0.0007494492587146707;-0.0007494492587146707;0.0028311239654242684;-0.005244623577399307;-0.005244623577399307;0.002256392492743092;0.004662766973735146;0.003941330389413117;-0.0003525448959655674;0.009744121041539003;0.009744121041539003;0.008046386589321728;0.003396094281054551;0.003396094281054551;0.003396094281054551;-0.0037823607416450702;0.006311569134458478;0.0009257606173089784;0.002938278161922169;0.002938278161922169;0.006270940137809156;0.006270940137809156;0.006270940137809156;0.0030427441498621683
0,k__Bacteria;NA,decision tree,0.05192638630518223,0.30951414811376604,0.009638481946763366,0.5921952425768834,0.04228790435841887,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
0,k__Bacteria;NA,random forest,0.22573694261425595,7.722392947292877e-06,-0.005934285646353466,0.4585890041667467,0.2316712282606094,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
1,k__Bacteria;NA;NA,linear regression,0.3914243651085756,0.00043135323823502745,0.045767390504232605,0.434590475494394,0.34565697460434297, ,-3291217560233.6826;1097072539837.1943;1097072540013.8673;1097072536223.4509;13960.34619140625;13960.379150390625;13958.789916992188;13962.054016113281;12747.276916503906;15173.552307128906;13960.463348388672;13960.96957397461;13959.736755371094;13962.747817993164;13957.998016357422;14091.296691894531;12260.539810180664;14954.064643859863;14666.557991027832;13012.917602539062;14777.029388427734;13960.392059326172;13960.324523925781;13960.3588180542;13960.428466796875;13960.453338623047;13960.382400512695;13960.376831054688;13960.702438354492;14139.8020362854;14875.023193359375;12866.102142333984;15494.609169006348;12426.272438049316;13960.624877929688;13960.336135864258;13960.359741210938;14102.648559570312;13818.101852416992;13960.213218688965;13960.62124633789;13960.278228759766;13960.452522277832;13960.440238952637;13960.263481140137;13960.4390335083;13960.341751098633;13960.342514038086;13826.382766723633;14094.46029663086;13960.332916259766;13960.44204711914;13960.220695495605;13960.512145996094;14594.183135986328;13326.567031860352;13960.232097625732;14112.892288208008;13807.736450195312;13960.435607910156;13960.339859008789;13960.42977142334;13960.528022766113;12821.297653198242;15099.58975982666;13960.328567504883;12475.95157623291;14702.640899658203;14702.640899658203;13960.367622375488;13960.664756774902;13960.154609680176;14049.015869140625;13871.780868530273;13378.78530883789;13360.456970214844;15142.433715820312;13959.87826538086
1,k__Bacteria;NA;NA,ridge regression,0.4116935695883064,0.0001992989605612982,0.02524317787475681,0.3946869145384282,0.3864503917135496, ,-0.16828345804139502;-0.168283458041395;-0.168283458041395;-0.16828345804139477;0.05129378786306517;-0.02304038349844981;-0.021249639667287087;0.05218341041718602;0.026875492376474016;0.026875492376473038;-0.014433859512002259;0.03974253907056836;-0.05157813301499793;0.016365373330319063;-0.010117786931483068;0.047885776235084325;0.0008676550711009877;0.0008676550711010208;0.0008676550711011755;0.047859593540094454;0.047859593540094385;0.004613984128980414;-0.06309445492637934;-0.027580072745290365;0.03440126689073801;0.0762249930515345;-0.0034270758441995565;-0.008784501323904789;0.07065784952026284;-0.03262682174372561;-0.032626821743725595;-0.032626821743725595;0.054166981550127745;0.05416698155012741;0.1290296562891243;-0.04309776107646986;-0.019929915229801202;0.07682382995473265;0.07682382995473264;0.029862853430795838;0.08461153509522464;-0.08865723363140367;0.04954828336562392;0.011624127511512353;-0.060419134852869094;0.03979857361973478;-0.031838838490199924;-0.03457167771733275;0.009363706190318016;0.009363706190317761;-0.013502967232159975;0.045599104148146136;-0.032926915146117466;-0.008631234889861044;-0.009511412281799688;-0.009511412281798127;-0.07782077613044935;-0.039201685308726864;-0.03920168530872529;0.035834302745988936;-0.03285366019587541;0.0338530801324042;0.07151530160968168;0.01952788492555295;0.019527884925552894;-0.0012392399105201526;0.019268122924836074;0.019268122924835717;0.01926812292483615;-0.019679941627023377;0.060492165516578156;-0.00973984229610569;0.01179635994159525;0.011796359941595268;0.024451622935485095;0.024451622935486615;0.024451622935481344;-0.04507231226949642
1,k__Bacteria;NA;NA,ard regression,0.5549976339450022,1.6227256157360522e-07,-0.0004495504495504499,0.5427072329015388,0.5554471843945527, ,-0.15384324147401313;-0.1538432414740758;-0.15384324147410205;-0.15384324147416767;0.0;0.0;0.0;0.0;0.03384233062157607;0.033842330621576044;0.0;0.0;0.0;0.0;0.0;0.00517303275518479;0.0;0.0;0.0;0.005167958359639185;0.005167958359639177;0.0;0.0;-0.03682232389167521;0.0;0.02475423968338685;0.0;0.0;0.006056967033094475;-0.002141477403688344;-0.0021414774036883446;-0.0021414774036883355;0.0;0.0;0.0;0.0;0.0;0.10874848465227721;0.10874848465229014;0.0031941171143166527;0.0075613899995745385;-0.08589795160250986;0.012074331283428993;0.0;-0.0019920449324611696;0.0;0.0;-0.02952527310998596;0.0;0.0;0.0;0.0;-0.024797527075387245;0.0;0.0;0.0;-0.0030165090964403927;-0.023566181349639892;-0.023566181349640697;0.0;0.0;0.009184597147985096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1,k__Bacteria;NA;NA,svr,0.28138944475706706,1.94069126047622e-08,0.003869829426062841,0.5926349327933402,0.2775196153310042,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01},-0.06635434075964852;-0.06635434075964852;-0.06635434075964852;-0.06635434075964852;0.020715003285252487;-0.0021399036785024633;0.004591681111651723;0.0049139777143561774;0.018294057986531557;0.018294057986531557;0.001970868724611925;0.010080624280644872;0.003687311186930055;0.014841164200755794;0.011889956121499491;0.021117012683818687;-0.005658026065026368;-0.005658026065026368;-0.005658026065026368;0.021117089393181607;0.021117089393181607;0.002274978585199059;0.011282933750897499;-0.026617939346582516;0.004891777739737916;0.005909577490625625;-0.001172915302504389;-0.012433792046148874;0.01854597909207652;-0.0039092741048331586;-0.0039092741048331586;-0.0039092741048331586;0.0071860305325814;0.0071860305325814;0.0028263709020999823;-0.0034480733731572346;-0.017425388616034442;0.0185233935786171;0.0185233935786171;0.015543505827390258;0.01145201560802211;-0.02111081497247306;0.007202390074398053;-0.015654122757358276;-0.0027660732297677872;0.008168381396097286;0.021567359351196976;0.003010053863566536;0.0059815501927818196;0.0059815501927818196;0.0007328859372539493;0.02424272146024807;-0.0038004140449541327;-0.005852640423807662;-0.0016317477919753803;-0.0016317477919753803;-0.00429751644987553;-0.0029493436613838306;-0.0029493436613838306;0.016172829950513137;-0.0006957064784973223;0.00632298455163978;-0.0032250726284375427;0.008746506680579963;0.008746506680579963;0.00649252176072048;-0.002736267007271673;-0.002736267007271673;-0.002736267007271673;-0.012124038352525294;0.008645093010674296;0.003226581856981886;-0.0010326598500610682;-0.0010326598500610682;0.004966215440678945;0.004966215440678945;0.004966215440678945;-0.0005944679209757013
