BACTERIA_NUMBER,BACTERIA,ALGORITHM,RHO,RANDOM_RHO,P_VALUE,RANDOM_P_VALUE,RMSE,RANDOM_RMSE,PARAMS,BETA
0,Collinsella-aerofaciens,ard regression,0.7076923076923076,0.04123076923076922,7.593268652673267e-05,0.536406948727673,0.0024339920833736377,0.005901793228501489,,-0.7474008795397357;0.0;0.0;0.0;0.0;0.0;0.1213875048272865;-0.02106386685844387;0.0;0.014673946896646127;0.0;0.0;-0.023861459029294416;0.0;0.0;-0.09255682560281636;-0.00208029181130575;0.0;0.0;0.005050430777476575;-0.07295848435312026;0.0;0.07920872177949638
0,Collinsella-aerofaciens,random forest,0.4937751960067383,-0.013225100825657423,4.875866816263847e-09,0.4784490453291402,0.004339893701604722,0.0073544825857403875,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
1,Clostridium-hiranonis,ard regression,0.6484615384615384,0.007307692307692309,0.0004550915835850923,0.6254906718741677,0.0919539754523802,0.17936516045917078,,-0.00018227676082083996;-0.2974627185788256;-0.20296552291040082;0.0;-0.2621938328283304;0.001162563981485622;0.00025606851883744726;0.458820140231116;0.0;0.0;0.0002247079494152568;-0.0019593659974398107;-0.0006967240775577958;0.0;0.0009648447809078978;0.00059366332331114;0.09347704784851046;0.0;0.0;0.0;0.22147146310769458;-0.08720520696687757;-0.0017406045353039684
1,Clostridium-hiranonis,random forest,0.33055380695099884,-0.03221998626910068,0.00016656395379064404,0.4230857612906651,0.05487991443243171,0.08833009061290394,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
2,Clostridium-difficile,ard regression,0.05692307692307692,0.0075384615384615486,0.7869578479689023,0.4239591440845995,0.149108603983966,0.15079628328454,,-0.0010112903739046264;0.08130057095385682;-0.0011599475433961054;-0.000807630487761856;0.000710969350587209;-0.00020427350189270227;-0.6640641755178757;-0.000499306922501801;0.0017398991786039578;0.0;-0.0005260077026089723;0.0;0.00046834664461922244;0.00016804455184604058;0.0007889139700172033;-0.05423016875712035;0.0;-0.024166914116107916;0.0017286252831426902;-0.001011290373904621;0.0002802522283918343;0.1987484431635131;-0.0014484096057202165
2,Clostridium-difficile,random forest,0.13056709906885916,0.008552181858484786,0.1466852688628579,0.4661802800004821,0.12216500645143015,0.13310588804589507,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
3,Proteus-mirabilis,ard regression,0.4538461538461538,0.014461538461538448,0.02267885286387001,0.4290963591626678,0.023267456185290348,0.03275349639931065,,0.44883788147801723;0.0;-0.016823697833995847;-0.4455204580217241;-0.0004736149252702297;0.0;0.055121650916175574;0.13396307646712916;0.0;0.0;-0.43484338525011507;0.0;0.0;0.0;0.09745579516092572;-0.00068038206558253;0.0;0.042156493436622484;0.0;-0.0012570263529669927;0.0003752195393528807;-0.0034480388268856308;0.0
3,Proteus-mirabilis,random forest,0.5981288623436337,-0.023094601751101368,1.7649951196428923e-13,0.5127536936539705,0.006969555553260647,0.01695411602894924,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
4,Clostridium-scindens,ard regression,0.6515384615384615,0.06815384615384615,0.0004185676325965192,0.4237121118901172,0.008750430536131849,0.0272203917805033,,0.0007486001180676491;0.0;-0.024126711669604256;0.001209533707056773;-0.8949625484316994;-0.0018373833044582465;0.0006716940931166344;0.34503691036412465;-0.011541148053924817;0.0;0.0;-0.0017323502093942343;0.0009658736751270992;0.0;0.0;0.08415383912597532;0.05937766199604633;0.0;0.08089504934835677;0.0;0.23613625070064664;0.0;0.0
4,Clostridium-scindens,random forest,0.6390472936832401,0.009327376890282223,1.0622927195533795e-15,0.5259218718520087,0.014518795290720619,0.03163564453969225,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
