,MODEL BACTERIA,SIGNIFICANT BACTERIA,ALGORITHM,BETA MEAN,BETA STD,BETA
0,Collinsella-aerofaciens,Collinsella-aerofaciens,ard regression,-0.032156574039730906,0.15756046501621968,-0.7474008795397357
1,Clostridium-hiranonis,Clostridium-hiranonis,ard regression,-0.0033667718658381943,0.14356975959180654,-0.2974627185788256
2,Clostridium-hiranonis,Bacteroides-ovatus,ard regression,-0.0033667718658381943,0.14356975959180654,0.458820140231116
3,Proteus-mirabilis,Collinsella-aerofaciens,ard regression,-0.005440716794709448,0.16430466107876335,0.44883788147801723
4,Proteus-mirabilis,Proteus-mirabilis,ard regression,-0.005440716794709448,0.16430466107876335,-0.4455204580217241
5,Proteus-mirabilis,Bacteroides-fragilis,ard regression,-0.005440716794709448,0.16430466107876335,-0.43484338525011507
6,Clostridium-scindens,Clostridium-scindens,ard regression,-0.005434988197415789,0.20777977759286342,-0.8949625484316994
7,Ruminococcus-obeum,Ruminococcus-obeum,ard regression,0.0645415641678612,0.3676091857471467,-0.6961623948069416
8,Ruminococcus-obeum,Bacteroides-ovatus,ard regression,0.0645415641678612,0.3676091857471467,1.0506989832186453
9,Ruminococcus-obeum,Staphylococcus-epidermidis,ard regression,0.0645415641678612,0.3676091857471467,1.0714616153317884
10,Clostridium-ramosum,Clostridium-ramosum,ard regression,-0.05247346798412744,0.15494752615071938,-0.4676790696819329
11,Clostridium-ramosum,Bacteroides-ovatus,ard regression,-0.05247346798412744,0.15494752615071938,-0.5514267060890207
12,Bacteroides-ovatus,Bacteroides-ovatus,ard regression,-0.00730987746879435,0.1613910407221121,-0.7167715664737622
13,Akkermansia-muciniphila,Proteus-mirabilis,ard regression,0.01414868709895113,0.22493088488570212,-0.4634673884368992
14,Akkermansia-muciniphila,Escherichia-coli,ard regression,0.01414868709895113,0.22493088488570212,-0.5430004019528064
15,Parabacteroides-distasonis,Ruminococcus-obeum,ard regression,0.008072840918379016,0.1913676787621608,0.5065678062656732
16,Parabacteroides-distasonis,Escherichia-coli,ard regression,0.008072840918379016,0.1913676787621608,-0.42589623354988854
17,Bifidobacterium-longum,Bifidobacterium-longum,ard regression,-0.013990654919512228,0.20641288329055665,-0.9124325480039308
18,Bacteroides-vulgatus,Collinsella-aerofaciens,ard regression,0.014033080369217762,0.22143841687933088,0.6729258873128023
19,Bacteroides-vulgatus,Bacteroides-vulgatus,ard regression,0.014033080369217762,0.22143841687933088,-0.6874572493160283
20,Enterococcus-faecalis,Bacteroides-ovatus,ard regression,-0.09189784600706712,0.39869162012527026,-1.115435588996945
21,Enterococcus-faecalis,Enterococcus-faecalis,ard regression,-0.09189784600706712,0.39869162012527026,-1.1161607259301098
22,Enterococcus-faecalis,Klebsiella-oxytoca,ard regression,-0.09189784600706712,0.39869162012527026,0.8927880811774617
23,Prevotella-melaninogenica,Prevotella-melaninogenica,ard regression,0.0052948019811274415,0.18826250841817563,-0.7806386906408646
24,Klebsiella-oxytoca,Bacteroides-ovatus,ard regression,-0.004208548965451009,0.11159371149051384,-0.2293553651468948
25,Klebsiella-oxytoca,Klebsiella-oxytoca,ard regression,-0.004208548965451009,0.11159371149051384,-0.3742571164788666
26,Lactobacillus-fermentum,Lactobacillus-fermentum,ard regression,-0.024391932757601657,0.21483144926066983,-0.9780487927136751
27,Lactobacillus-reuteri,Collinsella-aerofaciens,ard regression,-0.0177627106148291,0.43667392561466545,-1.0809678768519546
28,Lactobacillus-reuteri,Staphylococcus-epidermidis,ard regression,-0.0177627106148291,0.43667392561466545,1.4968132988394411
29,Staphylococcus-epidermidis,Collinsella-aerofaciens,ard regression,-0.03134368024263061,0.1058045607500234,-0.33365776995942625
30,Staphylococcus-epidermidis,Staphylococcus-epidermidis,ard regression,-0.03134368024263061,0.1058045607500234,-0.3336577699594046
31,Propionibacterium-acnes,Bacteroides-ovatus,ard regression,-0.009502319818642973,0.1682624839994146,-0.3546415534966757
32,Propionibacterium-acnes,Propionibacterium-acnes,ard regression,-0.009502319818642973,0.1682624839994146,-0.6505631079218903
33,Escherichia-coli,Staphylococcus-epidermidis,ard regression,-0.0608313599583005,0.12502845476708677,-0.5154850876383676
34,Streptococcus-mitis,Streptococcus-mitis,ard regression,-0.03759426555929891,0.23253105961265833,-1.086532223095905
