,Strain4,Strain6,Strain7,Strain9,Strain13,Strain14,Strain15,Strain16,Strain21,Strain26,Strain27,Strain28,Strain29
Strain4,-0.1759784578506612,-0.026959824078041043,-0.06237748012356257,0.11983351720445848,0.0,0.0032051602204042993,0.0032004920964976823,0.0009153861187379738,-0.19726765214884798,-0.18949929805344956,0.002033857909289888,0.0,0.0
Strain6,0.0,-0.6865499353411295,0.14084109526677585,0.0,0.0,0.0,-0.04281655412907204,-0.019201544725557816,0.17266759507799787,0.35300946765527613,0.0,-0.16914886909543883,0.0
Strain7,0.0,0.040795548660666835,-0.45348180022203927,0.07524573462078567,0.06454052473847048,0.0,0.0,0.0,-0.07709655397871792,0.0,-0.05212959664565232,0.0,0.022516083645965978
Strain9,0.0,0.002608606516976726,0.0005608781726727805,-0.5137834769582929,0.0,0.0009423579291969719,0.005009763144264701,0.0,-0.03883346957054642,-0.10196039753984135,-0.15558053147418022,0.05736023885342219,0.0
Strain13,0.0,-0.07592366505245689,-0.0034170024914052946,0.0,-0.5800709213203304,0.0061710746589465825,-0.12834670193957332,0.054344610162341676,-0.15603781268503533,0.2840602818980556,0.0,-0.12366241134239478,0.17203287645780185
Strain14,0.12367565037039556,0.0,0.0,0.0,0.0,-0.8111427560343805,0.0029188212529301172,0.0,0.0,-0.06335432829021596,0.027893607411677363,-0.0697204859412517,0.0
Strain15,0.12743777719480978,0.0,-0.02179369755843021,0.07553054799307726,0.017358585374761735,0.09139010993219376,-0.29943811053144975,-0.39997884024961394,0.25382728230387547,-0.21454201963891578,0.0,0.0,0.0
Strain16,0.018924420484216786,0.0,0.0,0.0,-0.03478016767147874,0.04912648662102668,0.02298518708110658,-0.7536039242675956,0.059307802563206176,0.004173501289810392,0.0,0.05714369676217808,0.0
Strain21,0.07728591540186308,0.0,0.032337798943745895,0.0,0.0,0.19516154169458613,0.1658142799940365,-0.037169067179964405,-0.7836972159094802,0.0,-0.06795400577995858,0.11735357513996733,0.0
Strain26,0.0,0.0,0.0,0.0,0.0812224345532111,-0.02856511165661944,-0.059525852241724436,0.12301588784983583,0.0,-0.5774673157064637,0.0,-0.005682029319646631,0.0
Strain27,0.0,0.1013956276762469,0.0014735397040676805,0.0,0.0,-0.05838608974477539,-0.005546512747843376,0.00021635813412653417,0.0,-0.00042597072635107024,-0.2681151068545379,0.0012305632030258902,0.0
Strain28,0.0628689818964549,0.0,0.0,0.0,0.0,0.06482976473609049,0.14967182022048015,-0.06450007774645053,-0.02114852845908834,0.0,0.0,-0.12314885389161508,0.13018005496864346
Strain29,0.0,0.2986035392132506,0.01133379929820693,0.0,-0.0293072804338558,-0.19774935117680947,-0.210972431651019,0.7557069363757675,0.15546786386117573,0.15405599178290047,0.0,-0.20610098836778534,-0.5591097116595929
