,MODEL BACTERIA,SIGNIFICANT BACTERIA,ALGORITHM,BETA MEAN,BETA STD,BETA
0,Strain6,Strain6,ard regression,-0.019322980407011414,0.22728771982584434,-0.6865499353411295
1,Strain7,Strain7,ard regression,-0.029200773783116966,0.1286679865377862,-0.45348180022203927
2,Strain9,Strain9,ard regression,-0.05720584853279442,0.14165597757913465,-0.5137834769582929
3,Strain13,Strain13,ard regression,-0.042373051665696174,0.19380942483259064,-0.5800709213203304
4,Strain14,Strain14,ard regression,-0.0607484224023727,0.22100029696631987,-0.8111427560343805
5,Strain15,Strain16,ard regression,-0.02847756655228397,0.1711126209053689,-0.39997884024961394
6,Strain16,Strain16,ard regression,-0.044363307472117655,0.20636847085652874,-0.7536039242675956
7,Strain21,Strain21,ard regression,-0.023143629053477246,0.23197986727807748,-0.7836972159094802
8,Strain26,Strain26,ard regression,-0.03592322973241595,0.16238933551248125,-0.5774673157064637
9,Strain27,Strain27,ard regression,-0.01755058395046467,0.07922999530129178,-0.2681151068545379
10,Strain29,Strain16,ard regression,0.013225259018633747,0.29685137267977585,0.7557069363757675
