BACTERIA_NUMBER,BACTERIA,ALGORITHM,RHO,RANDOM_RHO,P_VALUE,RANDOM_P_VALUE,RMSE,RANDOM_RMSE,PARAMS,BETA
0,Strain4,ard regression,0.4323863636363636,0.08336538461538462,0.00032198278026281915,0.547287026027522,0.3944803089789623,0.4705146863120482,,-0.1759784578506612;-0.026959824078041043;-0.06237748012356257;0.11983351720445848;0.0;0.0032051602204042993;0.0032004920964976823;0.0009153861187379738;-0.19726765214884798;-0.18949929805344956;0.002033857909289888;0.0;0.0
0,Strain4,random forest,0.33141264274601306,-0.001094524476222277,9.035332671165493e-10,0.6779512005039927,0.13000145096351792,0.19776345846269816,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
1,Strain6,ard regression,0.4065559440559439,0.01979020979020979,0.0007777960597234396,0.6685018759878675,0.03883430443733064,0.07186680883647606,,0.0;-0.6865499353411295;0.14084109526677585;0.0;0.0;0.0;-0.04281655412907204;-0.019201544725557816;0.17266759507799787;0.35300946765527613;0.0;-0.16914886909543883;0.0
1,Strain6,random forest,0.5110571230768162,-0.00429263226433582,5.0568607310018975e-23,0.5172524730106425,0.0619834570370393,0.10125954584905436,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
2,Strain7,ard regression,0.31962412587412586,0.09215034965034967,0.009449246721063068,0.4348681592487965,0.025460855936829445,0.03349621130380672,,0.0;0.040795548660666835;-0.45348180022203927;0.07524573462078567;0.06454052473847048;0.0;0.0;0.0;-0.07709655397871792;0.0;-0.05212959664565232;0.0;0.022516083645965978
2,Strain7,random forest,0.5738884805549668,-0.008212765656755541,7.324838672220627e-30,0.5096800035209699,0.016119387652037638,0.0316128756966908,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
3,Strain9,ard regression,0.4498688811188812,0.06147727272727275,0.00017010989567370314,0.41982481879039424,0.07528600937116146,0.10107695896439088,,0.0;0.002608606516976726;0.0005608781726727805;-0.5137834769582929;0.0;0.0009423579291969719;0.005009763144264701;0.0;-0.03883346957054642;-0.10196039753984135;-0.15558053147418022;0.05736023885342219;0.0
3,Strain9,random forest,0.4666026302689533,0.002384892806769387,5.643608600349574e-19,0.6870198843670727,0.060543400163532185,0.09079668510878558,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
4,Strain13,ard regression,0.5041958041958041,0.02963286713286713,1.8513542156854096e-05,0.364355579766384,0.029336490988297263,0.07533322837185649,,0.0;-0.07592366505245689;-0.0034170024914052946;0.0;-0.5800709213203304;0.0061710746589465825;-0.12834670193957332;0.054344610162341676;-0.15603781268503533;0.2840602818980556;0.0;-0.12366241134239478;0.17203287645780185
4,Strain13,random forest,0.5002077351248077,0.00307390247818331,5.583363552924102e-22,0.5392393135271747,0.04078573601750974,0.07616156276054843,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
5,Strain14,ard regression,0.6497377622377623,0.017054195804195805,4.74292965822139e-09,0.43179967150010856,0.02332416787280498,0.08659833924872765,,0.12367565037039556;0.0;0.0;0.0;0.0;-0.8111427560343805;0.0029188212529301172;0.0;0.0;-0.06335432829021596;0.027893607411677363;-0.0697204859412517;0.0
5,Strain14,random forest,0.5119736210694026,-0.013324617248672682,4.112008870309171e-23,0.3579105392883853,0.02653065622224294,0.07103339356680242,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
6,Strain15,ard regression,0.5044143356643357,-0.025354020979020973,1.8334815456335016e-05,0.3836040193974463,0.012927693412809813,0.042163218521826286,,0.12743777719480978;0.0;-0.02179369755843021;0.07553054799307726;0.017358585374761735;0.09139010993219376;-0.29943811053144975;-0.39997884024961394;0.25382728230387547;-0.21454201963891578;0.0;0.0;0.0
6,Strain15,random forest,0.4590398952920197,0.03285047882115595,2.4172188658143672e-18,0.4749356528873826,0.01799261668446111,0.033701743883069325,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
7,Strain16,ard regression,0.5196678321678322,-0.03520979020979021,9.160948617582042e-06,0.6001805920190355,0.05204270131804787,0.10153515779775807,,0.018924420484216786;0.0;0.0;0.0;-0.03478016767147874;0.04912648662102668;0.02298518708110658;-0.7536039242675956;0.059307802563206176;0.004173501289810392;0.0;0.05714369676217808;0.0
7,Strain16,random forest,0.4558324895891866,0.011752102131831208,4.431508108110807e-18,0.6062667324664454,0.014306475051074316,0.05361493845743874,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
8,Strain21,ard regression,0.4968968531468531,0.06806381118881119,2.55011097986963e-05,0.5210622081689578,0.02062688861099388,0.043425838674974286,,0.07728591540186308;0.0;0.032337798943745895;0.0;0.0;0.19516154169458613;0.1658142799940365;-0.037169067179964405;-0.7836972159094802;0.0;-0.06795400577995858;0.11735357513996733;0.0
8,Strain21,random forest,0.5056131404706335,0.01171192917432658,1.7056792071560615e-22,0.7124555591446876,0.030227336885447306,0.051431408598536316,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
9,Strain26,ard regression,0.448513986013986,-0.0503715034965035,0.0001789546252412472,0.5632932870728798,0.024617249871528992,0.052596058256685584,,0.0;0.0;0.0;0.0;0.0812224345532111;-0.02856511165661944;-0.059525852241724436;0.12301588784983583;0.0;-0.5774673157064637;0.0;-0.005682029319646631;0.0
9,Strain26,random forest,0.5921463004713957,0.012239341840411573,3.880114279453533e-32,0.7075873324201687,0.02205651271628554,0.05947679316418113,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
10,Strain27,ard regression,0.2254370629370629,0.057600524475524474,0.07098296671997824,0.4809162483452067,0.2001207147773424,0.31625054608346154,,0.0;0.1013956276762469;0.0014735397040676805;0.0;0.0;-0.05838608974477539;-0.005546512747843376;0.00021635813412653417;0.0;-0.00042597072635107024;-0.2681151068545379;0.0012305632030258902;0.0
