,MODEL BACTERIA,SIGNIFICANT BACTERIA,ALGORITHM,BETA MEAN,BETA STD,BETA
0,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae,Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae,ard regression,-0.003673545627017302,0.10961942648493755,0.7410048924609864
1,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae,Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae,ard regression,-0.003673545627017302,0.10961942648493755,-1.241724753781262
2,Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae,Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae,ard regression,-0.002490850608750055,0.06476509276769749,-0.8473369804069371
3,Archaea;Pacearchaeota;Pacearchaeota_Incertae_Sedis_AR13,Archaea;Pacearchaeota;Pacearchaeota_Incertae_Sedis_AR13,ard regression,-0.0021963220030666837,0.08418417154203889,-1.0130206234258692
4,Archaea;Pacearchaeota;Pacearchaeota_Incertae_Sedis_AR13,Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16,ard regression,-0.0021963220030666837,0.08418417154203889,-0.2657577006476491
5,Archaea;Pacearchaeota;Pacearchaeota_Incertae_Sedis_AR13,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae,ard regression,-0.0021963220030666837,0.08418417154203889,0.21179698404250275
6,Archaea;Pacearchaeota;Pacearchaeota_Incertae_Sedis_AR13,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae,ard regression,-0.0021963220030666837,0.08418417154203889,-0.221113854335208
7,Bacteria,Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae,ard regression,0.0015952323735393737,0.06311628973303655,-0.4613521021317448
8,Bacteria,Bacteria,ard regression,0.0015952323735393737,0.06311628973303655,-0.4236942858260629
9,Bacteria,Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16,ard regression,0.0015952323735393737,0.06311628973303655,0.3869508535746732
10,Bacteria,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Sanguibacteraceae,ard regression,0.0015952323735393737,0.06311628973303655,0.3045145085126202
11,Bacteria,Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Trueperaceae,ard regression,0.0015952323735393737,0.06311628973303655,-0.12828187646019115
12,Bacteria,Bacteria;Firmicutes;Clostridia,ard regression,0.0015952323735393737,0.06311628973303655,0.13696025623347194
13,Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16,Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16,ard regression,-0.0022364291046735743,0.09144568422863075,-1.059267161712769
14,Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae,ard regression,-0.0022364291046735743,0.09144568422863075,0.6032660580314234
15,Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,Bacteria;Actinobacteria,ard regression,-0.0025215546227253015,0.00943788035711283,0.03061571778362811
16,Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae,ard regression,-0.0025215546227253015,0.00943788035711283,0.045051527646696815
17,Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae,ard regression,-0.0025215546227253015,0.00943788035711283,-0.030152025281660617
18,Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae,ard regression,-0.0025215546227253015,0.00943788035711283,-0.04751839532376222
19,Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis_XI,ard regression,-0.0025215546227253015,0.00943788035711283,0.037545620150744786
20,Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae,ard regression,-0.0025215546227253015,0.00943788035711283,0.016694709337488626
21,Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae,ard regression,-0.0025215546227253015,0.00943788035711283,0.042592414395722394
22,Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae,ard regression,-0.0025215546227253015,0.00943788035711283,0.028166155962859356
23,Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae,ard regression,-0.0025215546227253015,0.00943788035711283,-0.02958045714860485
24,Bacteria;Acidobacteria;Acidobacteria_Gp1;Granulicella,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae,ard regression,-0.0012006471615296646,0.05396034218918726,-0.12253054032055195
25,Bacteria;Acidobacteria;Acidobacteria_Gp1;Granulicella,Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae_2,ard regression,-0.0012006471615296646,0.05396034218918726,-0.6803900961006834
26,Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3,Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3,ard regression,-0.001979502785117286,0.09659545872603653,-1.2019873776446555
27,Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae,ard regression,-0.0025224484498392583,0.006169569388838288,0.035421101563932744
28,Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Sanguibacteraceae,ard regression,-0.0025224484498392583,0.006169569388838288,-0.022894318534710384
29,Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae,ard regression,-0.0025224484498392583,0.006169569388838288,-0.01634391626741282
30,Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae,ard regression,-0.0025224484498392583,0.006169569388838288,0.011267870757128907
31,Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis_XI,ard regression,-0.0025224484498392583,0.006169569388838288,0.015423108588418517
32,Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae,ard regression,-0.0025224484498392583,0.006169569388838288,0.023003343387909717
33,Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae,ard regression,-0.0025224484498392583,0.006169569388838288,-0.016085029172167697
34,Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae,ard regression,-0.0025224484498392583,0.006169569388838288,0.015251719274357759
35,Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae,ard regression,-0.0025224484498392583,0.006169569388838288,0.017559758772149804
36,Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,Archaea;Pacearchaeota;Pacearchaeota_Incertae_Sedis_AR13,ard regression,-0.002508283687146811,0.009085641410197116,0.041213412321263174
37,Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,Bacteria;Actinobacteria,ard regression,-0.002508283687146811,0.009085641410197116,0.034351120390120296
38,Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae,ard regression,-0.002508283687146811,0.009085641410197116,0.03602443554680112
39,Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae,ard regression,-0.002508283687146811,0.009085641410197116,0.01597321972635401
40,Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae,ard regression,-0.002508283687146811,0.009085641410197116,0.01693063996283217
41,Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae,ard regression,-0.002508283687146811,0.009085641410197116,0.018007629337660355
42,Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,ard regression,-0.002508283687146811,0.009085641410197116,-0.03224473983941116
43,Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae,ard regression,-0.002508283687146811,0.009085641410197116,0.0441073189913223
44,Bacteria;Acidobacteria;Acidobacteria_Gp7;Gp7,Archaea;Pacearchaeota;Pacearchaeota_Incertae_Sedis_AR13,ard regression,-0.0022854020231741217,0.007657071528371023,0.033258218700505944
45,Bacteria;Acidobacteria;Acidobacteria_Gp7;Gp7,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae,ard regression,-0.0022854020231741217,0.007657071528371023,0.015224360030545185
46,Bacteria;Acidobacteria;Acidobacteria_Gp7;Gp7,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis,ard regression,-0.0022854020231741217,0.007657071528371023,0.013559558694605298
47,Bacteria;Acidobacteria;Acidobacteria_Gp7;Gp7,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,ard regression,-0.0022854020231741217,0.007657071528371023,0.029266108728768298
48,Bacteria;Acidobacteria;Acidobacteria_Gp7;Gp7,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae,ard regression,-0.0022854020231741217,0.007657071528371023,0.053183091771871756
49,Bacteria;Actinobacteria,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae,ard regression,-0.0022125116839663,0.005550091242471665,0.04138015362131418
50,Bacteria;Actinobacteria,Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Trueperaceae,ard regression,-0.0022125116839663,0.005550091242471665,0.01277752484338161
51,Bacteria;Actinobacteria,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae,ard regression,-0.0022125116839663,0.005550091242471665,0.009980548172667844
52,Bacteria;Actinobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae,ard regression,-0.0022125116839663,0.005550091242471665,0.020817102689055157
53,Bacteria;Actinobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae,ard regression,-0.0022125116839663,0.005550091242471665,-0.014149099041124597
54,Bacteria;Actinobacteria;Actinobacteria,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae,ard regression,-0.0022369044456755785,0.00701146063422096,0.017558104225233434
55,Bacteria;Actinobacteria;Actinobacteria,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae,ard regression,-0.0022369044456755785,0.00701146063422096,0.022516065447902293
56,Bacteria;Actinobacteria;Actinobacteria,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae,ard regression,-0.0022369044456755785,0.00701146063422096,0.026635588699346395
57,Bacteria;Actinobacteria;Actinobacteria,Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae,ard regression,-0.0022369044456755785,0.00701146063422096,0.01808114382783549
