BACTERIA_NUMBER,BACTERIA,ALGORITHM,RHO,RANDOM_RHO,P_VALUE,RANDOM_P_VALUE,RMSE,RANDOM_RMSE,PARAMS,BETA
0,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae,ard regression,0.2141570141570142,0.01822393822393824,0.2097670588756957,0.5096039739510724,0.585422513106343,0.7046905993017437,,-0.48902467004939665;0.1213844198258643;0.14740123158916382;8.858980939274844e-05;0.0006723597799827378;-0.00042467580432997226;0.0031930700688348828;0.28611541107366345;0.07630237126835462;2.153269903047931e-05;0.0;0.15060233834210965;-0.048112750895696645;0.0006094132217589903;0.0005755752906130887;9.931619431917721e-05;0.0;4.2566998074908337e-05;0.00039857661649773436;0.0018325597235358084;-0.00026295971236594813;0.0;-0.0005883443171110796;0.0;0.0;0.0006588259518822777;-0.0005788916287311196;0.0005979851205942153;9.730678353085258e-05;0.0;-0.001206393052455366;-0.0008764292183501335;9.71328845227839e-07;0.008267124192050645;0.0;0.0764435615392673;-0.0007413256490267585;-0.0006024938549808414;-0.03107669490373371;0.0;-0.000904307327929084;0.0;-0.08293293562154318;0.0007919785635711134;0.0;-0.000173407429872064;-0.0018808842860175451;0.0;0.463297281150053;0.0013781861335406668;0.0;0.0009984956931271376;0.0;-0.0003100940617941921;0.0;0.0;0.0;0.000547264879514552;0.0006223556163471907;0.0;-0.0511248678489692;-0.0005183482805263692;0.0006513084862854946;0.000834560039550714;9.486792595412875e-05;-0.0004227660807119357;-0.07883509931373185;0.0007034563705315035;-0.0005253234566231817;0.482071148409933;-0.00045706864520792895;0.0;-0.03147678592286984;0.0;0.00053985786107102;-0.00046918207868226395;0.44714386568431025;-0.0014901242183754009;9.26439429581868e-05;-0.1633095053620134;-0.0025806906937544008;-0.2712714859659496;0.19032202745816135;0.0;-0.002161278878807954;0.0;0.0010896007139097506;-0.09914333089882933;-0.00016277811752783;0.0;0.0006194216969158187;0.0;0.0;0.0
0,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae,random forest,0.293759556126526,0.03508049166906655,6.27009026269782e-05,0.4401286355252304,0.5540182465924807,0.7424424151538408,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
1,Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae,ard regression,-0.048133848133848134,0.033564993564993574,0.7804195922480031,0.4469212702221664,1.0907839566895705,1.1702697586770747,,0.0;-0.8369179383064226;0.0;0.0009204796636559749;0.00037240196429951845;0.0;0.1471771377349441;-0.001693113919717324;0.0009128364289290368;-0.007789754938784824;0.0;0.0003480398307905252;-0.004384680627275147;0.00011553513685421834;-8.452909617912171e-06;0.0008669355162806855;0.016646399367112527;0.0;1.766497118840401e-05;0.1879051291985901;0.0;-0.23456908008735078;-0.08801478198920673;0.0011966185683731094;-0.0013327498109158178;-0.00034377586286854104;0.0012818054205245774;7.595645516337356e-05;0.000809579073285481;0.000731520416978106;-0.006716256694860869;0.09493999336987204;0.0;0.0;-0.005118566602954769;0.0;-8.741964658462362e-05;0.1928056817622827;-0.0811207832872277;0.2122597803284505;0.0;0.0;-0.0009765042354059371;0.0;0.0;-0.22717239311951756;1.4383205212354087;0.0006456123843105298;0.0013305575701759516;-0.00023413955469204386;0.0;-0.000310952852650851;0.0;0.005405341173254231;0.0;0.12965264924360478;0.0;0.0;0.00016425661420711463;0.0;0.017665251155685086;0.0017345964838943947;0.000282792192613315;-0.0011242343690091303;0.0008268579431010228;0.0005334333466439307;-0.0010862081976676862;0.3806348899029333;0.00032138888022884785;0.0003876692751270167;-5.009264424547912e-05;0.00412534073723623;-0.09989218879046781;0.004589813316588447;0.13351496646050917;-0.9785365905426286;0.0;0.0;0.0008460937302519117;-0.0008647790841879696;0.001094067418619182;-8.935218936142358e-05;0.0;-0.011633771977554075;0.00017571661809886934;0.0;0.0;-0.0008016948375807728;-0.00016485386987105303;0.0679408719503883;0.0001522892990880793;0.003045274016779895;-0.08271581310541805;0.0017424907179005894
1,Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae,random forest,0.07259048609013342,-0.017887671608843143,0.3328461879727693,0.5579205431819394,0.528934689249624,0.7324077417577236,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
2,Bacteria,ard regression,0.2193050193050193,0.00906048906048906,0.19875619353714685,0.5472289152605905,0.2362425397610181,0.2976197842692418,,0.0;-0.014765689128505542;-0.22828358686994035;0.1546402933582443;-0.0003566220992970974;0.1100126095621103;0.004750226118122308;0.4092241490748536;0.0;0.0;-0.000538635478943633;0.048101084584060434;0.0;-0.00046160198398922963;-0.0005188774749334858;-0.0012164620236143416;0.0;0.0;0.8219673229914126;0.0;-0.0016341700247937828;0.0;-0.11694870691296008;0.0978712340116528;0.0;7.585854796999444e-05;-0.00353414060135103;-0.0004809051957615708;0.015148963905028092;0.0;0.0;0.00022255541515773522;-0.0007585588214208127;-0.015676909119033414;0.0;0.02597897367603652;-0.25020276592393914;0.0;0.0;-0.07967562409906594;0.0011325344656365449;0.0027424236836600326;-0.10046178127586503;0.16341554990826185;0.0;-0.00030180655237692166;8.720822497092916e-05;-0.0602708067205141;0.00039281846960994665;0.0007419995352009696;-0.10771481497681289;0.03758149037284292;-0.07783576008301786;-0.0033088320281463254;0.0;0.0;0.0;0.0018785440365969145;-0.0004398164260023226;0.0;-0.09705973005072648;-0.003101782291424018;-0.000391433931005013;0.0;0.02083756502801016;-0.0007908786606409499;0.0;0.0;-0.0009771676004814889;0.0006336037094397504;0.0;0.0;0.0;0.0;-0.0006764258945663562;-0.03515577959033601;0.0019083527759556906;0.0;0.031467539095868344;-0.08564113359043864;0.0;0.0;-0.0009907796116182413;0.0;-0.0008707883098250818;-0.06753649451877096;0.0003321619883216597;0.0;-0.0019542281329699832;-0.004716265065781323;-0.00044474742170607425;-0.0750597548685845;0.0;0.1724513298604291
2,Bacteria,random forest,0.13677645189955326,-0.007989369600978064,0.06711868144257946,0.6494182661424971,0.16644870469537,0.19158678738189186,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
3,Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16,ard regression,0.22110682110682112,0.02123552123552124,0.194999518029328,0.7139576268608635,0.07318122334285862,0.2854461886919365,,0.0;0.0;0.009613484011477418;-0.13340003935507733;-0.0031090313839668127;0.0;0.0;0.0;0.0;0.0;0.029487704568789054;0.0;0.0;-0.00254929914144567;-0.0023428457303096275;0.0;0.0;0.0;-0.0029786492372611576;0.0;-0.06462934134293197;0.0;0.0;0.0;0.0;0.0;-0.00041126696367136995;-0.0024745564505677334;-0.133400039355057;0.0;0.0;0.0006482195709399993;0.0070863399606702;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1051316277209508;-0.001490700326438062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.002542145967213195;0.0;0.0;0.0;0.0;-0.002641437480705767;0.0;0.0366103958141829;0.0;-0.0028846851465852193;0.0;-0.1334000393550562;-0.0004641793532410584;0.0;0.0;-0.0003978913805187811;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.07143258267495184;0.0;-0.13340003935507197;0.0;0.0;0.0014204752737068227;0.0;0.0;0.0005751045855217838;0.0;0.0;0.0;-0.0015607057655046763;0.0;-0.002619784066579359;0.0;0.0;0.0
3,Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16,random forest,0.08262598083315094,0.02000403320939172,0.2701541602572428,0.5563417936092256,0.07039965654039586,0.06679338148010228,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
4,Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,ard regression,0.22033462033462034,-0.033616473616473616,0.19660338441740016,0.4842066077512613,0.03718151585465782,0.18095145741738392,,-0.023796316646365785;0.0;0.0;0.0;-0.07871600949976136;0.0;0.0;0.0;0.0;0.03966900192932022;0.0;0.0;0.0;-0.07871600949975839;-0.0787160094997591;-0.012976922079308739;0.0;0.0;-0.0003672866982834121;0.0;-0.061241303450923656;0.0;0.0;0.0;0.0;0.0;0.0;-0.07871600949976083;0.0;0.0;0.0;0.0;0.019871158787346035;0.0;0.0;-0.022098427058126282;0.03377528113139805;0.0012586479541492467;-0.012375770560018269;0.0;0.0;0.0;0.09371637676365428;-0.05536062141038742;0.0;0.0;0.0;0.01721199650822923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.07871600949975897;0.0;0.05861346033707229;0.0014545759589363637;-0.0787160094997625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0022483460947104288;0.0;0.0;0.0;0.002033637212275272;0.0;0.08938953697511427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03732936162352451;0.0;0.0;0.0;0.0;-0.07871600949975982;0.0;0.0;0.0
4,Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,random forest,0.19863702591423912,0.002335175226303653,0.007514944808424369,0.4367297018093158,0.06762342105911594,0.07088661151504219,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
