Time Point,X,y
0,"[-0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979
 -0.40575979 -0.40575979 -0.40575979 -0.40575979  2.31449648 -0.40575979
 -0.40575979  4.96185778  2.1501994  -0.40575979 -0.40575979 -0.40575979
  1.05532096 -0.40575979  2.74923465 -0.40575979 -0.40575979 -0.40575979
 -0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979
 -0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979
 -0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979  1.40727352
 -0.40575979  2.96360877 -0.40575979 -0.40575979 -0.40575979 -0.40575979
  0.70537184 -0.40575979 -0.40575979  0.42798525 -0.40575979  0.93132927
 -0.40575979  1.82181233 -0.40575979 -0.40575979  0.75318182  2.08954229
 -0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979
 -0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979  0.47850907
 -0.40575979 -0.40575979 -0.40575979  2.78194221 -0.40575979 -0.40575979
 -0.40575979 -0.40575979 -0.40575979 -0.40575979 -0.40575979]",[-0.14046995139022167]
0,"[-0.40734256 -0.40734256 -0.40734256 -0.40734256 -0.40734256  0.57579792
 -0.40734256 -0.40734256 -0.40734256 -0.40734256  1.34685029 -0.40734256
 -0.40734256  4.41050284 -0.40734256 -0.40734256 -0.40734256 -0.40734256
 -0.40734256 -0.40734256  3.26460558 -0.40734256 -0.40734256 -0.40734256
 -0.40734256  1.05743461 -0.40734256 -0.40734256 -0.40734256 -0.40734256
 -0.40734256 -0.40734256 -0.40734256 -0.40734256 -0.40734256 -0.40734256
 -0.40734256 -0.40734256 -0.40734256 -0.40734256  1.4926356   0.12041864
  1.86112831  1.72233071 -0.40734256 -0.40734256 -0.40734256 -0.40734256
  3.1352041  -0.40734256 -0.40734256  0.78738335 -0.40734256 -0.40734256
  1.03141451  2.98331343 -0.40734256 -0.40734256 -0.40734256 -0.40734256
 -0.40734256 -0.40734256 -0.40734256 -0.40734256 -0.40734256 -0.40734256
 -0.40734256 -0.40734256 -0.40734256 -0.40734256  1.05743461 -0.40734256
 -0.40734256 -0.40734256 -0.40734256  2.85283953 -0.40734256 -0.40734256
 -0.40734256 -0.40734256 -0.40734256 -0.40734256 -0.40734256]",[0.09822743594279365]
0,"[-4.30299458e-01 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01
 -4.30299458e-01  1.13124806e+00 -4.30299458e-01 -4.30299458e-01
 -4.30299458e-01 -4.30299458e-01  2.00868463e+00 -4.30299458e-01
 -4.30299458e-01  3.57586147e+00 -1.47080391e-03 -4.30299458e-01
 -4.30299458e-01 -4.30299458e-01  5.03668367e-01 -4.30299458e-01
  9.47603200e-01 -4.30299458e-01  3.12496917e-01 -4.30299458e-01
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01
  9.39982343e-01  1.72901548e+00 -4.30299458e-01  2.02457786e+00
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01
  6.24309399e-01 -4.30299458e-01 -4.30299458e-01  1.30039402e+00
 -4.30299458e-01 -4.30299458e-01 -1.43399855e-01  2.92492537e+00
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01  8.19621120e-01
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01
 -4.30299458e-01  1.65219561e+00 -4.30299458e-01 -4.30299458e-01
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01  3.28366705e+00
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01  4.33608451e+00
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01
 -4.30299458e-01 -4.30299458e-01 -4.30299458e-01]",[0.09961517194789415]
0,"[-0.38497061 -0.38497061 -0.38497061 -0.38497061 -0.38497061  0.78504507
 -0.38497061 -0.38497061 -0.38497061 -0.38497061  2.546335   -0.38497061
 -0.38497061  4.82416458  1.32454336 -0.38497061 -0.38497061 -0.38497061
  0.3185571  -0.38497061  2.10265216 -0.38497061 -0.38497061 -0.38497061
 -0.38497061  1.57402223 -0.38497061 -0.38497061 -0.38497061 -0.38497061
 -0.38497061 -0.38497061 -0.38497061 -0.38497061 -0.38497061 -0.38497061
 -0.38497061 -0.38497061 -0.38497061 -0.38497061 -0.38497061  0.0258735
 -0.38497061  2.546335   -0.38497061 -0.38497061 -0.38497061 -0.38497061
  0.36827708 -0.38497061 -0.38497061  0.04511016 -0.38497061 -0.38497061
 -0.38497061  2.55090741 -0.38497061 -0.38497061 -0.38497061 -0.38497061
 -0.38497061 -0.38497061 -0.38497061 -0.38497061 -0.38497061  2.01718245
 -0.38497061 -0.38497061 -0.38497061 -0.38497061 -0.38497061  1.28210137
 -0.38497061 -0.38497061 -0.38497061  3.86689529 -0.38497061 -0.38497061
 -0.38497061 -0.38497061 -0.38497061 -0.38497061 -0.38497061]",[-0.04306377029377689]
0,"[-0.49384942 -0.49384942 -0.49384942 -0.49384942 -0.49384942  1.26858637
 -0.49384942 -0.49384942 -0.49384942 -0.49384942  1.53323494 -0.49384942
 -0.49384942  4.61930038  0.47585973 -0.49384942 -0.49384942 -0.49384942
  0.41976683 -0.49384942  0.99530758 -0.49384942  0.03387606 -0.49384942
 -0.49384942 -0.49384942 -0.49384942 -0.49384942 -0.49384942 -0.49384942
 -0.49384942 -0.49384942 -0.49384942 -0.49384942 -0.49384942 -0.49384942
 -0.49384942 -0.49384942 -0.49384942 -0.49384942  2.33290057  1.3977198
  1.23569718  2.07144567 -0.49384942  0.92409625 -0.49384942 -0.49384942
  3.09195923 -0.49384942 -0.49384942  0.21507401 -0.49384942  2.05175344
  1.18510754  1.61312459 -0.49384942 -0.49384942 -0.49384942 -0.49384942
 -0.49384942 -0.49384942 -0.49384942 -0.49384942 -0.49384942  0.45480114
 -0.49384942  1.18788738 -0.49384942 -0.49384942 -0.49384942  0.88558369
 -0.49384942 -0.49384942 -0.49384942  2.6255814  -0.49384942 -0.49384942
 -0.49384942 -0.49384942 -0.49384942 -0.49384942 -0.49384942]",[0.03365059669709097]
0,"[-0.45447019 -0.45447019 -0.45447019 -0.45447019 -0.45447019  0.96278168
 -0.45447019 -0.45447019 -0.45447019 -0.45447019  1.43920247 -0.45447019
 -0.45447019  5.38307988  0.0147412  -0.45447019 -0.45447019 -0.45447019
  0.91315525 -0.45447019  0.47269978 -0.45447019 -0.45447019 -0.45447019
 -0.45447019 -0.45447019 -0.45447019 -0.45447019 -0.45447019 -0.45447019
 -0.45447019 -0.45447019 -0.45447019 -0.45447019 -0.45447019 -0.45447019
  1.97672417 -0.45447019 -0.45447019  1.18337537  1.9033455   2.25041083
 -0.45447019  2.14480437  1.56233314 -0.45447019 -0.45447019 -0.45447019
  0.72254506 -0.45447019 -0.45447019 -0.10490791 -0.45447019 -0.45447019
 -0.45447019  1.45412314 -0.45447019 -0.45447019  0.6416243  -0.45447019
 -0.45447019 -0.45447019 -0.45447019 -0.45447019 -0.45447019  1.06412109
 -0.45447019  0.7987039  -0.45447019 -0.45447019 -0.45447019  0.56744927
 -0.45447019 -0.45447019 -0.45447019  3.28130957 -0.45447019 -0.45447019
 -0.45447019 -0.45447019 -0.45447019 -0.45447019 -0.45447019]",[0.06068844499516879]
0,"[-0.47076802 -0.47076802 -0.47076802 -0.47076802 -0.47076802 -0.47076802
 -0.47076802 -0.47076802 -0.47076802 -0.47076802 -0.47076802 -0.47076802
 -0.47076802  4.80762804 -0.03244119 -0.47076802 -0.47076802 -0.47076802
  0.96437328 -0.47076802  1.62235722 -0.47076802 -0.47076802 -0.47076802
  0.76144994  1.10373708 -0.47076802 -0.47076802 -0.47076802 -0.47076802
  0.97984607 -0.47076802 -0.47076802 -0.47076802 -0.47076802 -0.47076802
 -0.47076802  2.4178302  -0.47076802 -0.47076802  3.5041867   0.32804092
 -0.47076802  1.43476332 -0.47076802 -0.47076802 -0.47076802 -0.47076802
  0.28709477 -0.47076802 -0.47076802 -0.09999401 -0.47076802 -0.47076802
  0.42477589  1.316814   -0.47076802 -0.47076802  0.41629708 -0.47076802
 -0.47076802 -0.47076802 -0.47076802 -0.47076802 -0.47076802  1.82305479
 -0.47076802  0.70641628 -0.47076802 -0.47076802 -0.47076802  1.53781427
 -0.47076802 -0.47076802 -0.47076802  3.27693952 -0.47076802  0.52270268
 -0.47076802 -0.47076802 -0.47076802 -0.47076802  0.61316236]",[0.09081647514769398]
0,"[-0.39035096 -0.39035096 -0.39035096 -0.39035096 -0.39035096  0.36646453
 -0.39035096 -0.39035096 -0.39035096 -0.39035096  0.72163784 -0.39035096
 -0.39035096  4.04001429 -0.39035096 -0.39035096 -0.39035096 -0.39035096
  0.33526021 -0.39035096  0.34661046 -0.39035096 -0.39035096 -0.39035096
 -0.39035096 -0.39035096 -0.39035096 -0.39035096 -0.39035096 -0.39035096
 -0.39035096 -0.39035096 -0.39035096 -0.39035096 -0.39035096 -0.39035096
 -0.39035096 -0.39035096 -0.39035096 -0.39035096  1.75613874  3.28164282
  2.29159989  3.00382514 -0.39035096 -0.39035096 -0.39035096 -0.39035096
  1.93676099 -0.39035096 -0.39035096 -0.39035096 -0.39035096 -0.39035096
 -0.39035096  1.43653316 -0.39035096 -0.39035096 -0.39035096 -0.39035096
 -0.39035096 -0.39035096 -0.39035096 -0.39035096 -0.39035096  0.72163784
 -0.39035096 -0.39035096 -0.39035096 -0.39035096 -0.39035096  1.06322757
 -0.39035096 -0.39035096 -0.39035096  4.36679559 -0.39035096  0.87571616
 -0.39035096 -0.39035096 -0.39035096 -0.39035096 -0.39035096]",[0.005320054901018556]
0,"[-4.86721683e-01 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01
 -4.86721683e-01  2.36962532e+00  6.79479259e-01 -4.86721683e-01
 -4.86721683e-01 -4.86721683e-01  1.96074132e+00 -4.86721683e-01
 -4.86721683e-01  4.10300860e+00 -4.86721683e-01 -4.86721683e-01
 -4.86721683e-01 -4.86721683e-01 -9.07837090e-02 -4.86721683e-01
  4.99743124e-01 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01
 -4.86721683e-01  6.03525077e-01 -4.86721683e-01 -4.86721683e-01
 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01
 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01  1.41818115e+00
 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01
  2.97743779e+00  1.45637839e+00  8.97525895e-01  2.34218515e+00
 -4.86721683e-01  2.84621719e-02 -4.86721683e-01 -4.86721683e-01
  3.93944039e-01 -4.86721683e-01 -4.86721683e-01  3.64303659e-03
 -4.86721683e-01  2.16363616e+00 -4.86721683e-01  1.89072353e+00
 -4.86721683e-01 -5.59775109e-02 -4.86721683e-01 -4.86721683e-01
 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01
 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01
 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01  7.23872368e-01
 -4.86721683e-01 -4.86721683e-01 -4.86721683e-01  3.27268321e+00
 -4.86721683e-01  7.73886278e-01 -4.86721683e-01 -4.86721683e-01
 -4.86721683e-01 -4.86721683e-01  1.27810199e+00]",[0.03595908039776902]
0,"[-0.40990906 -0.40990906 -0.40990906 -0.40990906 -0.40990906  1.10074774
 -0.40990906 -0.40990906 -0.40990906 -0.40990906  2.05085276 -0.40990906
 -0.40990906  3.58485796  0.35419012 -0.40990906 -0.40990906 -0.40990906
 -0.40990906 -0.40990906  1.27685115 -0.40990906 -0.40990906 -0.40990906
 -0.40990906 -0.40990906 -0.40990906 -0.40990906 -0.40990906  1.68652295
 -0.40990906 -0.40990906 -0.40990906 -0.40990906 -0.40990906  1.42107771
 -0.40990906 -0.40990906 -0.40990906 -0.40990906 -0.40990906  2.65985368
  1.50080736  3.01982029 -0.40990906 -0.40990906 -0.40990906 -0.40990906
 -0.40990906 -0.40990906 -0.40990906 -0.40990906 -0.40990906 -0.40990906
 -0.40990906  4.20421351 -0.40990906 -0.40990906 -0.40990906 -0.40990906
 -0.40990906 -0.40990906 -0.40990906 -0.40990906 -0.40990906 -0.40990906
  1.93319176 -0.40990906 -0.40990906 -0.40990906 -0.40990906 -0.40990906
 -0.40990906 -0.40990906 -0.40990906  2.27732157  1.21341682 -0.40990906
 -0.40990906 -0.40990906 -0.40990906 -0.40990906 -0.40990906]",[-0.12223270479932408]
