BACTERIA_NUMBER,BACTERIA,ALGORITHM,RHO,P_VALUE,RANDOM_RHO,RANDOM_P_VALUE,RHOS_DIFFERANCE,PARAMS,BETA
0,k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera,linear regression,0.14838709677419354,0.4256497022345397,-0.02693548387096773,0.4269384933131805,0.17532258064516126, ,-0.4460503669182412;-0.15636094571501952;-0.01988446439812525;0.027404003079513885;-0.23605717209101842;-0.011921900499302397;0.20923625025474918;0.014122271008190315;0.0877022638725142;-0.058012921061577155;0.011560960490174223;0.0119604809004253;-0.018212900967333516;0.006066874926305789;-0.4342644169317458;-0.04378878266233776;0.3066468236530756;-0.020690921143922285;0.0011526579112991478;0.0027755416171161493;-0.07650755782969793;0.030283819238081065;0.036896487245546145;0.1083820725622325;-0.20148474328633456;-0.10893794886359401;-0.12831324766986626;-0.013737829609409027;-0.040763097095416825;-0.04514043337757516;0.01160374445724418;0.005974724367748249;-0.003965028319464419;0.030849638614241295;0.1995478513655662;-0.011216623267267724;-0.11096105269925263;0.015654509273564286;0.09590392754027507;0.1463448169269441;-0.011940894270308818;-0.1355732900883913;-0.44995100091922424;-0.08626948897144847;0.01691466605986331;0.19149797602010699;0.004603372311965732;-0.013008888200961015;-0.11223364296729746;0.011537277040599946;-0.036608412903257184;-0.008686457452651957;0.062382143138504736;-0.06422733626225031;-0.002576341704190438;0.017571342221373937;-0.05310399005617483;0.20041839998747196;-0.2025922902966759;0.06244868205239338;-0.016068196005961266;-0.010185966983595795;0.09439419983306621;0.025719603995372625;-0.13104424723941385;-0.06942078756669987;-0.05836246229993467;0.06603562681574776;0.11877066625663067;0.0772804920836023;0.09275814948109386;-0.05440927585761761;-0.045101768173671536;0.06344383514141716;-0.09193965422841807;0.1121872593145216;0.05738982642115676;-0.10501292228948306;0.0006304754450804362;-0.11478947823117225;-0.04750617164173012;0.008303898080977742;-0.01863177462037051;-0.01008674691236354;0.06973936901915387;0.03034802176744321;0.055724946711950316;-0.00089758573703351;0.10547772269257862;0.06730748326425692;-0.005838229435802419;0.25971955833604393;-0.045234016069803304;-0.01189861275075147;0.01171869875081298;0.09574588549706217;0.07459100423401549;-0.01189193080896125;-0.08084945407140992;-0.195234868252235;0.08350301193450965;-0.0991493520884294;0.14266063506401072;-0.038949969299977474;0.05256972931869712;0.056881695396839065;-0.0727380977709017;0.024429771986965748;-0.20127733620566146;-0.012051697458314511;0.011132427937724879;-0.04201841919519864;0.11188370131300723;0.002478777307472424;0.020358280062357643;-0.015932575656690262;0.026328965659424823;-0.14600305619591705;0.06468386830153641;-0.07630833619900938;0.08827695812333926;-0.1153449899804948;0.031534361375021185;0.11772714843341801;-0.03391770383614072;0.1451286073944637;0.09650313992292417;-0.13879999224709033;-0.09708211865252189;0.1873710511149849;-0.09677203845128397;0.11064001468998563;0.08543109496874328;0.023526236118957395;0.028085867968518828;0.031151396624390502;-0.011891407642118268;-0.03549668994572404;-0.008147869888299297;0.03183062379150388;0.07720976152620126;-0.011891407642118268;0.0945280329835432;0.03660490620925628;-0.03405787396483859;0.07029321786786327;0.028644112634962;-0.07087933995928003;-0.011891407642118268;0.01878570416842477;-0.0020077154682556983;-0.03737739047454085;-0.017011058107133492;0.05642280416369481;0.13905544227070682;0.01711072831679166;0.1249234365611103;0.08304255551959588;-0.011891407642118268;-0.04517156783698012;0.027532747463685354;0.13635700567494444;0.16006093368515922;-0.18779811818909448;0.021409030831254186;0.12035087211675946;0.036054384148410334;0.10860327761357164;-0.48385446058197995;0.15549429855287578;-0.01747221584022481;-0.10239397910512985
0,k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera,ridge regression,0.16895161290322586,0.3635708971558915,-0.047620967741935485,0.4410792179278905,0.21657258064516133, ,-0.37449512630505;-0.06091447366230856;0.05788179368691554;-0.015923770528884097;-0.22830395330044892;-0.017206824065998834;0.11438681497580214;0.005985963480454396;0.06468387984523523;0.02245921826876117;0.018016946300881843;0.01849961732871168;-0.0091039023224595;0.014471170927314522;-0.35152995695490835;0.01204100559112047;0.22838908635419203;-0.0027100045157622574;0.01204100559112047;0.00355059492739631;-0.050832669653500424;0.043061522165017276;0.020784517311467125;0.068339153503005;-0.184197957428908;-0.08250294675244874;-0.1105870466976219;0.01204100559112047;-0.012041164247684625;-0.030001685654486653;0.005071584607385926;0.010119628529338887;0.01204100559112047;0.04322080384137589;0.07276775374042817;0.01204100559112047;-0.02263632137740844;0.017926591614512013;0.061254415824555396;0.09900269554502449;-0.02375670271393787;-0.10718790247151705;-0.35993329490068215;-0.041918764063742814;0.018792607815995867;0.1220813832811079;0.0090678434641407;0.01204100559112047;-0.05410444007802013;0.004455702361301125;-0.01796153394832505;0.01204100559112047;0.021318042472009885;-0.037320375620870455;-0.008404398103115182;0.02621502869247603;0.005074590852272337;0.11076867995234137;-0.13218852320803742;0.022130499825821985;-0.020546902557319804;0.01204100559112047;0.017493065521971666;0.010236559749889608;-0.0659026352378734;-0.029495092781864476;-0.048021316229114853;0.09273638796420766;0.10248679649252077;0.0234766833310864;0.06741931003494643;-0.03297125624784715;-0.0555207713139705;-0.023426510013677647;-0.046162839623024726;0.04006570167578777;0.0357279914218074;-0.08268687520772738;0.018738540112751643;-0.02355352529125372;-0.019393439351601652;-0.027963255953018747;0.01927974713509852;-0.012769339924528767;0.0283996920582752;0.015260563292183048;0.029357981965800622;0.011434379329438301;0.056416542733681935;0.017266462233903275;0.006232772730520035;0.12309150009356665;0.020064313647429152;0.01204100559112047;-0.0036235023428619613;0.015162335543143897;0.07475269291196665;0.01204100559112047;-0.05446977804332434;-0.10135890582291703;0.050548828822052375;-0.0751865068336456;0.06421218079165394;-0.008303042009177926;0.060187262922343256;0.06878029851307117;-0.05283204565093278;-0.009165442687881187;-0.040139070795177534;0.01204100559112047;0.004085691769225839;-0.07788326165927029;0.06757384313531262;-0.005344048786699439;-0.020733661770521473;0.0026106299499990215;0.001454746617443357;-0.12770900165794205;0.05051635596601959;-0.05736903812941423;0.025644624688951095;-0.04960626511907863;0.05145821622579776;0.0917936033578196;-0.00789068610716359;0.09408995657837478;0.04486070696707138;-0.06897689861317816;-0.012381619923128978;0.19018461920872076;-0.04893186102990448;0.0799699978236449;0.03812000278140213;0.0069643283405815826;-0.01651045367944272;-0.036651958669517135;0.01204100559112047;-0.028839440220304872;0.012919116421360228;0.024339123763325105;0.017703501429259926;0.01204100559112047;0.0545547419631108;0.019906218807305986;-0.01165694563935568;0.0445095091539012;0.027086720336637813;-0.0523376324046376;0.01204100559112047;0.006051356063934932;-0.01289020015084381;-0.006216311450900091;-0.04521025857333498;0.04220575922723075;0.07135459144409928;0.010414493069500303;0.09302265580572636;0.10147838301614194;0.01204100559112047;-0.0043629657888395595;0.010475465778559186;0.09626709035972063;0.08546744050597459;-0.08469032962182577;0.03496305595728855;0.036974751607072184;0.009277274445385383;0.04510736805632629;-0.21806542492140646;0.03949525231032086;0.00377091654524401;-0.05238011359340032
0,k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera,ard regression,0.08185483870967743,0.6615633818161167,0.07375000000000001,0.42659257932022826,0.008104838709677417, ,-1.378806894929604;-0.05610279388537358;0.0;0.0;-0.3595732355286527;0.0;0.17888131626297665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0007352246210052735;0.002577080576788958;0.3697694584342358;0.0;0.002577080576788912;0.0;-0.0916857982267083;0.018691206415359398;0.0;0.26183051520907047;-0.0013902918564609435;-0.018337192585178227;-0.1582022366691675;0.0025770805767886913;-0.03190278440851763;0.0;0.0;0.0;0.0025770805767891787;0.015843301945775247;0.09478235257969835;0.00257708057678928;-0.10124338522417987;0.03066586735410782;0.12317744121535278;0.08120292812140269;0.0;-0.0531667084815644;-0.0012699114530804983;-0.14586261853377977;0.0;0.16692581630390527;0.0;0.0025770805767889398;-0.10097409600701993;0.0;0.0;0.002577080576788875;0.1283210410936452;-0.07711510330617327;0.0;0.0;-0.03502649172878356;0.14782031325774583;-0.23067374804865734;0.004688330946513029;-0.01230278323754702;0.0025770805767893904;0.0;0.033456538630493686;-0.11044218727170631;-0.054573964394510004;-0.052327045952400154;0.07932592496267121;0.10914329825918336;0.043500993912415284;0.0;-0.008528741539545588;-0.01649501008919031;0.0;-0.080030889371085;0.0;0.0636428718588016;-0.10119052995720758;0.0;0.0;-0.1761680132106912;0.0;0.0;0.0;0.04443461908880808;0.0;0.08197179190219567;0.0;0.06002516942583456;0.15749042653626855;0.0;0.21227230179891343;0.0;0.0025770805767889858;0.0;0.12043730242870856;0.0613843114272808;0.0025770805767893535;-0.08636261473878812;-0.15381152081688704;0.0;-0.0660048079119962;0.03197714225008424;0.00014394352504657225;0.02217924123088103;0.0557450016243235;0.0;0.0;-0.19000812666048367;0.0025770805767891787;0.0;-0.036229261808107996;0.07932810136280788;0.0;0.0;0.0;0.02434327414048014;-0.09510713808649705;0.09074906815912405;-0.10022049894363713;0.0;-0.10331893712484834;0.0;0.08180842163629949;-0.03511583356263715;0.08957350724015785;0.0;-0.13278811219240166;-0.11677282732699622;0.19540231119003124;0.0;0.11495725787827907;0.04621006795739005;0.0;0.0;0.0;0.002577080576789004;-0.04783839076578435;0.0;0.04313598199466212;0.054661416135303356;0.002577080576788912;0.06097394816767738;0.0;0.0;0.0;0.0;-0.07316676883865424;0.002577080576788774;0.0;0.0;0.0;0.0;0.05388203862902027;0.10409040770470034;0.0;0.1882288256412094;0.06759060926451557;0.002577080576788995;-0.026566130435523964;0.0;0.1570074668830278;0.09028794978025333;-0.30715108729175866;0.0;0.05115815703195127;0.013761415999496129;0.06892343997009695;-0.49752869001740513;0.045729001099934816;0.0;-0.0827240818774096
0,k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera,svr,0.21635967268059586,0.006851918806235125,0.027045684205002286,0.6295267669102431,0.18931398847559355,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01},-0.026966182190055882;0.0003395895572245357;-0.0004788966357148745;0.0030812612922394016;-0.015803886134505025;-0.009149742291465684;0.002866796380878141;-0.0005742188643013766;-0.0009264608900558839;-0.0009264608900558839;-0.0009264608900558839;-0.0009264608900558839;-0.004476356216479497;0.002991126944900535;-0.025419091090055884;-0.0009264608900558839;0.008269955895172773;-0.013647260041129573;-0.0023554344799088384;-0.0005581793778028166;-0.008564461384858127;-0.00688600305874698;-0.0155561140249092;0.0019050707049741832;-0.012859937507453817;0.004340019594322647;0.0017816076706916332;-0.0009264608900558839;-0.00311742774253277;0.000977465116724198;-0.014524442691657055;0.004779511365536122;-0.0009264608900558839;0.0007383223741818082;0.0011618104410049009;-0.0009264608900558839;0.02138606672301636;-0.01578381454024222;0.00528716774057423;0.01233217837482749;0.019117930667914;-0.01100121914823811;-0.025985197490055883;-0.006223223292604271;0.0014034562148303043;0.004878714609799574;-0.001990964778034155;-0.0009264608900558839;-0.0051257865456203556;0.009614435208017847;-0.0009264608900558839;-0.0009264608900558839;0.0016123724262592013;0.004666559018435286;0.015569164579104228;0.004175695486210776;0.004195169588879276;-0.0009264608900558839;-0.003490360235312069;-0.0018586492006946594;-0.003087546132751042;-0.0009264608900558839;0.001479317880916239;-0.0007486987510182935;0.00700267934826251;0.005488511010308385;-0.0023476210560633938;-0.0017389377657688553;0.014547963542932937;0.005862175093533072;-0.002417602602305308;-0.00642389966241117;0.001522530306767006;-0.0009264608900558839;-0.011850812574746551;-0.0009264608900558839;0.002615744697103794;-0.00043979543645519744;-0.005988298255396922;-0.002526313063983797;-0.0009264608900558839;-0.012406111082238845;0.0011126213742325935;0.0028770051067374177;0.015452012535289739;0.015918596265080208;0.008960198317585565;-0.004132446718299755;-0.004396281572994692;-5.9005339293663635e-05;-0.007389197144503163;0.010404373370657314;0.0037877176350971965;-0.0009264608900558839;0.004131715068571196;0.016518500260398618;0.024817314303874852;-0.0023267885341774104;-0.0035070170868323315;-0.008494363354948407;0.006146688547262535;-0.005037624135296925;-0.0038042540309894436;-0.0009264608900558839;0.01941744103943537;0.0041604744540811945;0.00459727560480821;-0.0018353425603585497;0.00938939447681263;-0.0009264608900558839;-0.0009264608900558839;-0.029076051230014867;0.005901443302684384;0.0054652009236264565;0.009366588148456352;0.0008546041329836473;0.014149279763758528;0.002276615365913506;0.019208205261332285;-0.002016216728749325;0.014771654453337222;0.014199969490340188;-0.004849255053366209;-0.0042471805176229165;-0.0009264608900558839;0.010099559939087966;-0.005567984380052012;0.00813690347026187;-0.014992615092443545;0.013888199598937776;-0.0009264608900558839;0.004900191781969495;-0.0009264608900558839;-0.0009264608900558839;-0.009347544310197173;-0.0009264608900558839;-0.0009264608900558839;0.0019114669247132846;0.0036661969573942056;8.984033058378349e-05;-0.0009264608900558839;-0.0009264608900558839;0.010103755526632853;0.007060972508944968;0.0001845577856579678;-0.006550041709807218;0.00029522670932003386;-0.011904601610711671;-0.0009264608900558839;0.004516143283508831;-0.009551328821283626;-0.0009264608900558839;-0.00951142833448811;-0.0005058109946440587;-0.0009264608900558839;-0.007718547582607996;-0.0009264608900558839;0.008295063341824244;0.002261195166633049;-0.005944150183287674;-0.004980633704369191;-0.0002028723859467684;-0.0009264608900558839;-0.0009264608900558839;0.010441481390362476;0.0017358695707766706;-0.01626429670940186;0.001923809264453554;0.004516143283508831;-0.0009264608900558839;-0.00425437905042083;-0.0006359607267573176
0,k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera,decision tree,0.2837022635387627,0.0003472127202865943,0.002437815795706072,0.4943431285746879,0.28126444774305664,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
0,k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera,random forest,0.26286169238283863,0.0009517359888220236,0.023198541414377303,0.5799755034602037,0.2396631509684613,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}, 
1,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter,linear regression,-0.11653225806451616,0.5324345462815203,0.04713709677419355,0.668400763101134,-0.1636693548387097, ,0.00022254269551875983;-1.3242397618449853;0.18093243795698122;-0.17766353634631768;-0.057844554924359956;-0.0669867228046439;-0.2343512824363928;0.07263052741954423;-0.15889433839687872;-0.5081148984820923;0.09434270455469657;0.08724239369794975;-0.2714339303498629;-0.023082417364235386;0.004296077674588131;0.11891370482068375;-0.09651007327225694;0.12233704765667175;-0.2598857458294613;0.03876090931000805;0.1759203660197357;0.05031491728561671;-0.049698096348062853;0.6574366418563737;-0.00954465876886277;0.019308638700145903;-0.0950004383533313;0.08278426097746451;0.05000547776768044;0.09485637840107372;-0.004608657391721116;-0.03080826399661661;0.08361052394791503;0.12119282638938148;-0.23341077210933536;-0.49308835141231244;0.16035025382373763;0.030906399767995252;0.23437301221040385;0.03340726563859947;-0.39110739283935503;-0.2835198698845274;-0.010526023725368906;0.70437626950351;0.040729975859646654;-0.4567953853877179;0.06924252627540563;-0.1554000719223112;-0.5569702752964228;-0.0959340927392606;-0.27255078937206645;0.09632575437062688;-0.19388814548670313;-0.01303350396274816;-0.2253984822322922;0.21397382531515838;-0.0929773602843949;-0.10173832714256612;-0.017753168221361734;0.08792259178782931;-0.11141770552684477;0.08666360872319932;-0.31710592150239275;0.02101680979862193;-0.06659295403647258;-0.06675728670928577;-0.07140871297135702;0.22652856633501434;0.13397549411471985;0.017069614651297346;-0.37424967397195985;0.4194469104309905;0.03162177493757878;-0.1256824189727849;-0.09668422926215009;-0.1548696352221416;0.22296286586604327;-0.17461522554771508;0.20407634182959328;-0.02629395205820061;0.10805436972546928;0.1135689599951579;0.49095247945647097;-0.15541938529078966;-0.27033248887343164;0.021182095365348125;0.21671178322757034;0.1496337685157459;-0.1333470030062209;-0.1360779814139486;0.0773137089892342;0.09015988356939757;0.47111385760040325;0.5746596881396587;-0.22558146310111077;-0.10703372365025715;0.07563213527996954;-0.24287757259979048;0.15095171720112635;0.07045169424567775;-0.06164500758521367;-0.18769426798539576;0.01673692346899843;-0.14673353638224088;0.14183625340908004;-0.030915312983487982;0.08327979126058851;0.5250093436724967;-0.45214065636703255;0.08997018653593263;0.3813106583152014;0.17415319578373856;-0.1157684100989365;0.06336527626098455;0.03178618260014218;0.08510357012605563;0.017439145402330825;-0.289885919167848;0.11020308657370974;-0.12447068422115114;0.12772107694550908;0.07482878841975088;-0.29969681853246116;1.1117809986203822;0.3925437775288765;0.01132287626072627;0.2550305790045566;0.4891342504585418;0.02381320503451853;0.02571818693802632;-0.09670414446089698;-0.05252459380441659;0.2569866657758026;0.0797993683618991;-0.41609692944187104;0.21016436234105598;-0.05782431894432651;0.043991810315901186;0.12472766647773445;-0.165952811564751;-0.04677004227490006;0.09014410457887402;0.01678100049443429;-0.15307831896353785;-0.08857617894338543;0.38974416834268794;0.14377445718121723;0.02674851246475693;0.09014410457887402;-0.23399061250915065;0.3727511899335806;0.2389947792852902;-0.00891476878673041;0.17297323441450344;0.21373853533663145;0.3269460733691843;-0.6407170248335444;0.05423591973586806;-0.18439489000677858;0.35494861879988726;-0.03684721217628887;0.07111223450236495;-0.00025246061877958956;0.28351486577017126;-0.07652777105163243;-0.10912068249711088;0.05049575950452337;0.3101904967214486;-0.3017960486692316;0.10639745599757533;-0.5278552976962936;-0.20538450597308378
1,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter,ridge regression,0.12580645161290324,0.5000806322358999,-0.06806451612903226,0.5948425151418869,0.19387096774193552, ,-0.031034333001373277;-0.6867032669979689;0.12943959096752403;-0.23365819797278067;0.00022599590804458586;-0.04372495918880116;-0.10732055363303493;0.03990327945884531;-0.19354681053050937;-0.17717448486714643;0.005605552377322254;0.005605552377322254;-0.19319232679943238;0.02879276058821245;-0.02885745714616195;0.005605552377322254;-0.07140131737824897;0.046195170949064675;-0.041115036804328785;0.015164599094452237;0.1744131986434272;0.06998198978118356;0.006373929720149048;0.22637844710643945;0.004044771200833241;-0.07212485099624905;-0.008397236624859326;0.005605552377322254;-0.03632080958617034;0.07742755190816063;0.026810540393096056;-0.00640317464451394;0.005605552377322254;0.02556395987000508;-0.06955878229557029;-0.04723207598190717;-0.0010554213307211282;-0.007729724586870362;0.10639981579818228;0.06963179875967225;-0.24965556066062078;-0.006907819399681;-0.029654012277039777;0.26100743907154045;0.06074816890502155;-0.08770904248937728;0.0526527172262138;-0.0967909691805552;-0.2867914029793231;-0.1932241390595363;-0.2890879419998904;0.005605552377322254;-0.014597468489995548;-0.11368048573499243;-0.018270480298891223;0.12381269911403035;-0.18740063523156772;-0.12397419881417643;-0.05104981643792414;0.005605552377322254;0.018027821579260524;0.005605552377322254;-0.02770190584693155;0.08833438519339867;0.09922856764913038;-0.041270635384752556;-0.05149862456881004;0.08500092274286564;-0.0058011090236582;-0.07792921699537719;-0.03661705765720266;0.27418762531197505;-0.0427157366275053;-0.00021958226708535152;-0.025381179208694208;-0.005613430575783462;0.09511597620533438;-0.07022936861441714;0.09630549237920855;-0.10720234214632655;-0.044135798916771884;0.07673082657770523;0.24662453343738427;-0.024574454259815724;-0.09112896835944867;-0.030532387062687155;0.1762865848084127;0.04348979153715154;-0.09549248839126029;-0.03577184692348041;-0.07979027500977008;0.005605552377322254;0.23419621774933091;0.23936118951999946;-0.14330275250116964;-0.08261406191117465;-0.008892573502556214;-0.0401784516415647;0.10483795826311289;0.05818584062481555;-0.03096065617300115;-0.06477164067335377;-0.05674142281526898;-0.05703743056927935;0.06993745282694387;-0.02168754744310721;0.15807269844612712;0.18942852372987748;-0.03835368993981619;0.005605552377322254;0.10989819018518714;0.0399429898528433;-0.09731789400338614;-0.021841883071752204;-0.0722786203195788;0.10681234455739691;0.04796040227365905;-0.17932523598168734;0.07506693414424823;-0.05490228708472562;-0.08847131751668165;0.01846881826977188;0.054233291259237974;0.6123810652438204;0.11214178216691852;-0.016721018185068097;0.10089327956415628;0.21737935007429846;-0.11105880887759352;0.08858483554892142;0.010710869879950749;-0.046515181044434396;-0.039151582918429;-0.002450637250532856;-0.10328491357158932;0.006186311643167847;0.0006098801913164602;0.025001077700693413;0.06813866317043334;-0.1376958737104915;-0.04298947248037898;0.005605552377322254;0.020366459099044845;-0.030251919369776174;0.05740622876684054;0.08928153053864206;-0.052870880343488524;0.00493194623189414;0.005605552377322254;-0.049935835337044224;0.056166258144144825;0.2502818838478465;0.008515705460314394;0.05454342591123395;0.062329609127238415;0.10333369913373493;-0.1761156647417453;-0.034208500723410445;-0.0133582567023289;0.3227909614868109;0.09380734352642435;0.026965132844738605;0.08101734666579342;0.10300616837115958;0.015349250716297303;-0.04528716067394515;0.06098201449776345;-0.048771598274645875;-0.09096093184342027;0.15231246099002552;-0.3089655513301107;-0.11516367047950248
1,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter,ard regression,0.13104838709677422,0.4822415837765545,-0.08995967741935487,0.3043748365775082,0.2210080645161291, ,0.02982726077951085;-1.2406919850982558;0.0;-0.05376496616365372;0.0;0.0;-0.2754176631437441;0.0022543262495355086;-0.5265728468169358;-0.0026837111349820187;-0.0006198373902672734;-0.0006198373902672395;-0.20922161928388416;0.0;0.010516624128869162;-0.0006198373902672644;-0.0017140217813645228;0.0;-0.0002973136821579822;-0.010774824738120928;0.0;0.0;0.0;0.2983797225057922;0.0;0.0;0.0;-0.0006198373902672711;0.0;0.0;0.0;0.30330453632685056;-0.0006198373902672463;0.0;-0.00044210683078187797;0.0;0.0;0.0;0.0021997694344292355;0.0;-0.03468452151379049;-0.06538686409496748;0.01419423666141849;0.595722544684962;0.0;0.0;0.0;0.0;-0.37883010024782865;0.0;-0.0019190238459471504;-0.0006198373902672644;0.0;-0.042771644149505;0.0;0.0;-0.0002641922154815197;-0.1791488600546417;0.0;-0.0006198373902672644;0.0;-0.0006198373902672451;0.4100158462389659;0.039592193128115155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7185258655037997;-0.0034132275938257273;0.0;0.0;9.378231420202387e-05;0.0;0.0;0.0;0.0;0.5345679057771423;0.09888638804394737;0.001314263697945322;0.0;0.0;0.0;0.024832515821230767;0.0;0.0;0.0;-0.37588876708196034;-0.0006198373902672734;0.10607661005376727;0.003634037332263863;0.0;0.0;0.0;-0.00030008037876374507;0.0;0.0;-0.002044022972769058;-0.07232055963461062;0.0;0.0;0.0;0.0;0.001424711699009415;0.00017740097673294347;-0.04920384107903944;-0.0006198373902672214;0.0014192283167240845;0.0;0.0;0.0;0.0;0.00044786151475313045;0.05300338093762534;-0.22920442176979253;0.009693259556590427;0.0;0.1432716938982905;0.2476120885547471;0.0;1.0879440447857265;0.0014298414575595285;0.0;0.0022936782306881153;0.11219112636113818;7.03150396774187e-05;0.0;0.0;0.0;0.0;0.0;-0.0011627920009207454;0.0;-0.0001840805424209234;0.0;0.09961875823222859;-0.03459638473354631;0.0;-0.0006198373902672553;0.0;0.0;0.0;-0.0019486772146073074;0.0016218278820511235;0.0;-0.0006198373902672734;0.0;0.08184432414209544;0.23963864931375953;-0.00030960540989754913;0.0;0.0;0.0;-0.5789287415408397;0.0;0.0;0.34083369391924045;0.0;0.0;-1.880125207306807e-05;0.0;0.0;0.0;0.0;0.0;-0.14243214967027476;0.0010275802125677429;-0.3662888045527704;0.0
1,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter,svr,-0.03834555151108655,0.6357080014237677,-0.01621915152056317,0.6219577124838628,-0.022126399990523377,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01},-0.004041634533619402;-0.05733556808864402;0.012471448149708906;-0.027806196261499955;0.005750361967114492;-0.01439606733595832;0.007112004009335684;0.021328361733195095;-0.01126001859454026;-0.005138186977657455;-0.005138186977657455;-0.005138186977657455;0.0010476947123425368;0.009416076462307226;-0.004106783715029976;-0.005138186977657455;0.004289632858193785;-0.010432393936102083;0.0015506405248533275;-0.013726125234777205;0.035515205207250176;0.040642786944031395;0.02776382527344388;0.0023466823510443066;0.005412899502872961;-0.028698932378077097;-0.007713873173118256;-0.005138186977657455;0.00919306630768793;0.007757873670227748;-0.014198093716196056;0.01869594418807123;-0.005138186977657455;0.008031858014784685;-0.001405951847831299;-0.005138186977657455;-0.0006901609491315197;-0.01684560094761933;0.013911584834588837;0.017754111242829516;-0.040494415055123745;-0.00354256970292532;-0.004082944544504538;0.011252726922342537;0.017597115706834674;0.0014401374509197058;0.031922656318744844;-0.007969705298620273;-0.018083792051369934;0.014439355715569594;-0.014196899236085561;-0.005138186977657455;-0.0021911906095319843;-0.029198164015648637;0.03075832078205178;0.0005140549405605333;-0.03632858163409877;-0.005138186977657455;-0.010193418588421889;-0.005138186977657455;0.02629778116791773;-0.005138186977657455;0.01299908476261241;0.023285119301133098;0.02362858604029341;0.00972855065118106;0.01784063383957715;-0.020811664236328475;0.024490650920784736;0.004921278559643413;0.003097308409975741;0.03008903273836855;0.008027715930224394;0.006033883885987083;-0.00964973544419003;0.006402621310989394;-0.0212518205891419;0.003525133640667955;0.01848271555688706;0.02724415821253503;-0.008434914777657456;0.07498834281836061;0.001456922458776024;0.003774769748916564;-0.0040043644801475205;-0.00042874910188513593;-0.0010517508992202163;0.010026010691567586;-0.009019509660141678;-0.0035914204339044615;0.013760460720740933;-0.005138186977657455;-0.006031852084826595;-0.006596753436045739;0.0032560440031346237;-0.0013167384323455795;-0.01521022450091206;0.0014165528195210519;0.025619418144325973;-0.022310711309505533;0.010078692843050897;-0.025997929092670517;-0.022407985473020735;0.005024100075462213;-0.005178430679158437;-0.004857857183725723;0.025885718179412993;-0.012717361009607561;-0.011448793238954301;-0.005138186977657455;-0.0048425350507231195;-0.009748960439758678;-0.024894001847783464;-0.006005920041346468;-0.017498201795377245;0.00929511055686805;0.012978042067757866;0.010512361425660534;0.006201867706244485;-0.003474377448655196;-0.024085192538892814;-3.350124580622501e-05;-0.008822559138627494;0.03426582188035738;-0.004836174848252499;-0.006972948016020923;-0.019254826877657453;0.025781801673482412;-0.01541943173536027;0.02094484946993906;0.008396312197193988;0.010868045452607018;-0.012198489853366455;-0.0194201304253507;0.01722514486549914;-0.01611891785587449;-0.005138186977657455;0.0048788910918695794;-0.026260622074173533;-0.007908310524465815;-0.005138186977657455;-0.005138186977657455;-0.01029098952604881;-0.005138186977657455;-0.002884209067535758;0.032710846560628344;-0.012478389401859644;0.00014779827750705898;-0.005138186977657455;0.003650272522333735;-0.040691594662528224;0.03661556342234255;-0.021248035077657452;-0.011180576222629393;-0.005138186977657455;-0.014059876650896521;-0.008363544714747309;-0.0030176951192554804;-0.0023719533113861313;0.030196115117995474;-0.013725431276803505;-0.013292423572998037;-0.005138186977657455;0.0005601140071608238;0.019957318461848953;-0.005337843130282855;0.011589749027095916;-0.009341338356532376;0.009760316220140767;0.022747318274130054;-0.021397212312410742;0.0029162347072837482
