,learning_rate,latent_layer_size,klb_coefficient,best_loss
0,0.001,10,0.0,0.020199309300332174
1,0.001,10,0.1,0.020187626789956198
2,0.001,10,0.2,0.0202009416844723
3,0.001,10,0.3,0.020195435433492174
4,0.001,10,0.4,0.0201897951808289
5,0.001,10,0.5,0.020181328710848396
6,0.001,10,0.6,0.02019299729897158
7,0.001,10,0.7,0.02018508075797645
8,0.001,10,0.8,0.020190418201641445
9,0.001,10,0.9,0.020178662599438298
10,0.001,15,0.0,0.020167192403417435
11,0.001,15,0.1,0.020238862420520642
12,0.001,15,0.2,0.020198024972511903
13,0.001,15,0.3,0.02018614929087841
14,0.001,15,0.4,0.02019782135956479
15,0.001,15,0.5,0.020185620245272224
16,0.001,15,0.6,0.020201432443883297
17,0.001,15,0.7,0.02018851955441663
18,0.001,15,0.8,0.020208202139304503
19,0.001,15,0.9,0.020184295890975174
20,0.001,20,0.0,0.020222891856284037
21,0.001,20,0.1,0.020203980216144644
22,0.001,20,0.2,0.020187153433361193
23,0.001,20,0.3,0.020215107576690452
24,0.001,20,0.4,0.02019830863841259
25,0.001,20,0.5,0.020207218880200908
26,0.001,20,0.6,0.0202152328769656
27,0.001,20,0.7,0.020235348791971693
28,0.001,20,0.8,0.020202887319300297
29,0.001,20,0.9,0.02022308154697836
30,0.001,25,0.0,0.020213795404364594
31,0.001,25,0.1,0.020214749078681
32,0.001,25,0.2,0.0201982790536254
33,0.001,25,0.3,0.020210137332442903
34,0.001,25,0.4,0.020236366856707273
35,0.001,25,0.5,0.020210789938042633
36,0.001,25,0.6,0.02020324407702815
37,0.001,25,0.7,0.020231128609093436
38,0.001,25,0.8,0.02017224096033695
39,0.001,25,0.9,0.02022230538138508
40,0.001,30,0.0,0.020223906440456418
41,0.001,30,0.1,0.020217495243044666
42,0.001,30,0.2,0.020169931606654704
43,0.001,30,0.3,0.020230669174751227
44,0.001,30,0.4,0.020181765521529817
45,0.001,30,0.5,0.020219994287421234
46,0.001,30,0.6,0.020202777681559543
47,0.001,30,0.7,0.020210474947073162
48,0.001,30,0.8,0.02022869743569924
49,0.001,30,0.9,0.020220986247932823
50,0.001,35,0.0,0.020242875509888587
51,0.001,35,0.1,0.020230119245765853
52,0.001,35,0.2,0.020228880165267166
53,0.001,35,0.3,0.02021034094539002
54,0.001,35,0.4,0.020232639173521614
55,0.001,35,0.5,0.020187630270519397
56,0.001,35,0.6,0.02021924596633354
57,0.001,35,0.7,0.020212502375136325
58,0.001,35,0.8,0.020238956395727006
59,0.001,35,0.9,0.020274794014701007
60,0.001,40,0.0,0.020226489018349753
61,0.001,40,0.1,0.020223262536264684
62,0.001,40,0.2,0.020205428130435247
63,0.001,40,0.3,0.020230850164037553
64,0.001,40,0.4,0.020218121744420406
65,0.001,40,0.5,0.020219701920112555
66,0.001,40,0.6,0.0202195905420902
67,0.001,40,0.7,0.020243169617478865
68,0.001,40,0.8,0.020253000468233206
69,0.001,40,0.9,0.02026527293407134
70,0.001,45,0.0,0.020257201508013873
71,0.001,45,0.1,0.020245740013401004
72,0.001,45,0.2,0.020231109465995843
73,0.001,45,0.3,0.02023175162990598
74,0.001,45,0.4,0.020199967126776703
75,0.001,45,0.5,0.02025437529069664
76,0.001,45,0.6,0.020232066620875448
77,0.001,45,0.7,0.02022867133147525
78,0.001,45,0.8,0.02027624192899161
79,0.001,45,0.9,0.020259697071827242
80,0.001,50,0.0,0.020211762755456632
81,0.001,50,0.1,0.020213525660716703
82,0.001,50,0.2,0.020267968630268626
83,0.001,50,0.3,0.020245487672569108
84,0.001,50,0.4,0.020251977182652828
85,0.001,50,0.5,0.02023641906515525
86,0.001,50,0.6,0.020316139624936738
87,0.001,50,0.7,0.020201763097387162
88,0.001,50,0.8,0.02026837237559966
89,0.001,50,0.9,0.020278363332261136
90,0.001,55,0.0,0.020263047113905856
91,0.001,55,0.1,0.020335061706765724
92,0.001,55,0.2,0.020250678932579765
93,0.001,55,0.3,0.020199678240031223
94,0.001,55,0.4,0.020219649711664577
95,0.001,55,0.5,0.02022339479766623
96,0.001,55,0.6,0.020260870021625157
97,0.001,55,0.7,0.020241288373070043
98,0.001,55,0.8,0.020278330266910748
99,0.001,55,0.9,0.020290734994150426
100,0.002,10,0.0,0.02018929049916511
101,0.002,10,0.1,0.020191746036501697
102,0.002,10,0.2,0.020211585246733506
103,0.002,10,0.3,0.0201980301933567
104,0.002,10,0.4,0.020197038232845112
105,0.002,10,0.5,0.020199114388793054
106,0.002,10,0.6,0.020176003449154597
107,0.002,10,0.7,0.0201885943865254
108,0.002,10,0.8,0.020188536957232623
109,0.002,10,0.9,0.020186784493662145
110,0.002,15,0.0,0.020207584339336757
111,0.002,15,0.1,0.020178036098062558
112,0.002,15,0.2,0.02021663902449782
113,0.002,15,0.3,0.02019043038361264
114,0.002,15,0.4,0.02019406409159194
115,0.002,15,0.5,0.020198766332473198
116,0.002,15,0.6,0.020219426955619867
117,0.002,15,0.7,0.020198997789925902
118,0.002,15,0.8,0.020221127210742366
119,0.002,15,0.9,0.02021854811341223
120,0.002,20,0.0,0.02024788055976812
121,0.002,20,0.1,0.020235461910275646
122,0.002,20,0.2,0.020205229738332928
123,0.002,20,0.3,0.020218271408637946
124,0.002,20,0.4,0.020240914212526197
125,0.002,20,0.5,0.020220735647382526
126,0.002,20,0.6,0.02024369170195865
127,0.002,20,0.7,0.02024433908671358
128,0.002,20,0.8,0.02019557117545692
129,0.002,20,0.9,0.020187442320106674
130,0.002,25,0.0,0.020251867544912074
131,0.002,25,0.1,0.02025088602609008
132,0.002,25,0.2,0.02022484619252003
133,0.002,25,0.3,0.02023395656669227
134,0.002,25,0.4,0.020253783594952883
135,0.002,25,0.5,0.020208731184910685
136,0.002,25,0.6,0.020186340721854327
137,0.002,25,0.7,0.020224498136200173
138,0.002,25,0.8,0.02022496453166878
139,0.002,25,0.9,0.02025686215310201
140,0.002,30,0.0,0.020268678665161133
141,0.002,30,0.1,0.02025938208085777
142,0.002,30,0.2,0.020242732806797444
143,0.002,30,0.3,0.02028081538903452
144,0.002,30,0.4,0.020229433574815735
145,0.002,30,0.5,0.020253651333551337
146,0.002,30,0.6,0.020194071052718338
147,0.002,30,0.7,0.020236071008835396
148,0.002,30,0.8,0.020256152118209504
149,0.002,30,0.9,0.020248223395243178
150,0.002,35,0.0,0.02026713677566417
151,0.002,35,0.1,0.020253169275548336
152,0.002,35,0.2,0.02025914540256027
153,0.002,35,0.3,0.020300299581820076
154,0.002,35,0.4,0.020222361070396256
155,0.002,35,0.5,0.020283907869436443
156,0.002,35,0.6,0.020229435315097334
157,0.002,35,0.7,0.020263372546564924
158,0.002,35,0.8,0.020274607804569886
159,0.002,35,0.9,0.02025457020223576
160,0.002,40,0.0,0.02028689941350561
161,0.002,40,0.1,0.02029288424192554
162,0.002,40,0.2,0.020280096652734017
163,0.002,40,0.3,0.02028898253057995
164,0.002,40,0.4,0.020262265727467782
165,0.002,40,0.5,0.020282385123037074
166,0.002,40,0.6,0.02027929438291675
167,0.002,40,0.7,0.02026364403049441
168,0.002,40,0.8,0.020254577163362156
169,0.002,40,0.9,0.020306315735308795
170,0.002,45,0.0,0.020317349120648236
171,0.002,45,0.1,0.020316430251963818
172,0.002,45,0.2,0.020327823875594314
173,0.002,45,0.3,0.020356009476376277
