,0
"Lr=0.001,latent_size=10,klb_coefficient=0.5",0.023456031
"Lr=0.001,latent_size=10,klb_coefficient=0.6",0.023342283
"Lr=0.001,latent_size=10,klb_coefficient=0.7",0.023349896
"Lr=0.001,latent_size=10,klb_coefficient=0.8",0.023386905
"Lr=0.001,latent_size=10,klb_coefficient=0.9",0.023356402
"Lr=0.001,latent_size=10,klb_coefficient=1.0",0.023388043
"Lr=0.001,latent_size=20,klb_coefficient=0.5",0.023703089
"Lr=0.001,latent_size=20,klb_coefficient=0.6",0.023401827
"Lr=0.001,latent_size=20,klb_coefficient=0.7",0.023753162
"Lr=0.001,latent_size=20,klb_coefficient=0.8",0.023518747
"Lr=0.001,latent_size=20,klb_coefficient=0.9",0.023401013
"Lr=0.001,latent_size=20,klb_coefficient=1.0",0.023363298
"Lr=0.001,latent_size=30,klb_coefficient=0.5",0.023299674
"Lr=0.001,latent_size=30,klb_coefficient=0.6",0.023432659
"Lr=0.001,latent_size=30,klb_coefficient=0.7",0.023490474
"Lr=0.001,latent_size=30,klb_coefficient=0.8",0.023699818
"Lr=0.001,latent_size=30,klb_coefficient=0.9",0.02335821
"Lr=0.001,latent_size=30,klb_coefficient=1.0",0.023750965
"Lr=0.001,latent_size=40,klb_coefficient=0.5",0.023592398
"Lr=0.001,latent_size=40,klb_coefficient=0.6",0.023318127
"Lr=0.001,latent_size=40,klb_coefficient=0.7",0.023528088
"Lr=0.001,latent_size=40,klb_coefficient=0.8",0.02358236
"Lr=0.001,latent_size=40,klb_coefficient=0.9",0.023423221
"Lr=0.001,latent_size=40,klb_coefficient=1.0",0.023536786
"Lr=0.001,latent_size=50,klb_coefficient=0.5",0.0234621
"Lr=0.001,latent_size=50,klb_coefficient=0.6",0.023474213
"Lr=0.001,latent_size=50,klb_coefficient=0.7",0.023416555
"Lr=0.001,latent_size=50,klb_coefficient=0.8",0.023569591
"Lr=0.001,latent_size=50,klb_coefficient=0.9",0.023483511
"Lr=0.001,latent_size=50,klb_coefficient=1.0",0.023568802
"Lr=0.001,latent_size=60,klb_coefficient=0.5",0.023454085
"Lr=0.001,latent_size=60,klb_coefficient=0.6",0.023545148
"Lr=0.001,latent_size=60,klb_coefficient=0.7",0.023433618
"Lr=0.001,latent_size=60,klb_coefficient=0.8",0.023492627
"Lr=0.001,latent_size=60,klb_coefficient=0.9",0.023590954
"Lr=0.001,latent_size=60,klb_coefficient=1.0",0.02384966
"Lr=0.001,latent_size=70,klb_coefficient=0.5",0.02355505
"Lr=0.001,latent_size=70,klb_coefficient=0.6",0.023687566
"Lr=0.001,latent_size=70,klb_coefficient=0.7",0.023757715
"Lr=0.001,latent_size=70,klb_coefficient=0.8",0.02352868
"Lr=0.001,latent_size=70,klb_coefficient=0.9",0.023658808
"Lr=0.001,latent_size=70,klb_coefficient=1.0",0.023451455
"Lr=0.001,latent_size=80,klb_coefficient=0.5",0.023556428
"Lr=0.001,latent_size=80,klb_coefficient=0.6",0.023555549
"Lr=0.001,latent_size=80,klb_coefficient=0.7",0.023596283
"Lr=0.001,latent_size=80,klb_coefficient=0.8",0.02367059
"Lr=0.001,latent_size=80,klb_coefficient=0.9",0.023738371
"Lr=0.001,latent_size=80,klb_coefficient=1.0",0.023580603
"Lr=0.001,latent_size=90,klb_coefficient=0.5",0.023709873
"Lr=0.001,latent_size=90,klb_coefficient=0.6",0.023700282
"Lr=0.001,latent_size=90,klb_coefficient=0.7",0.023534762
"Lr=0.001,latent_size=90,klb_coefficient=0.8",0.023679635
"Lr=0.001,latent_size=90,klb_coefficient=0.9",0.023724752
"Lr=0.001,latent_size=90,klb_coefficient=1.0",0.02362672
"Lr=0.001,latent_size=100,klb_coefficient=0.5",0.02444795
"Lr=0.001,latent_size=100,klb_coefficient=0.6",0.023521328
"Lr=0.001,latent_size=100,klb_coefficient=0.7",0.023594856
"Lr=0.001,latent_size=100,klb_coefficient=0.8",0.023675464
"Lr=0.001,latent_size=100,klb_coefficient=0.9",0.023685705
"Lr=0.001,latent_size=100,klb_coefficient=1.0",0.023762876
"Lr=0.001,latent_size=110,klb_coefficient=0.5",0.023619844
"Lr=0.001,latent_size=110,klb_coefficient=0.6",0.023787562
"Lr=0.001,latent_size=110,klb_coefficient=0.7",0.024100427
"Lr=0.001,latent_size=110,klb_coefficient=0.8",0.02380102
"Lr=0.001,latent_size=110,klb_coefficient=0.9",0.023775965
"Lr=0.001,latent_size=110,klb_coefficient=1.0",0.023436744
"Lr=0.001,latent_size=120,klb_coefficient=0.5",0.023781585
"Lr=0.001,latent_size=120,klb_coefficient=0.6",0.023568735
"Lr=0.001,latent_size=120,klb_coefficient=0.7",0.023799185
"Lr=0.001,latent_size=120,klb_coefficient=0.8",0.023499686
"Lr=0.001,latent_size=120,klb_coefficient=0.9",0.02370025
"Lr=0.001,latent_size=120,klb_coefficient=1.0",0.023907531
"Lr=0.001,latent_size=130,klb_coefficient=0.5",0.02362636
"Lr=0.001,latent_size=130,klb_coefficient=0.6",0.024025017
"Lr=0.001,latent_size=130,klb_coefficient=0.7",0.023848841
"Lr=0.001,latent_size=130,klb_coefficient=0.8",0.023912845
"Lr=0.001,latent_size=130,klb_coefficient=0.9",0.02368475
"Lr=0.001,latent_size=130,klb_coefficient=1.0",0.023794863
"Lr=0.001,latent_size=140,klb_coefficient=0.5",0.02411631
"Lr=0.001,latent_size=140,klb_coefficient=0.6",0.023791822
"Lr=0.001,latent_size=140,klb_coefficient=0.7",0.023702418
"Lr=0.001,latent_size=140,klb_coefficient=0.8",0.023648039
"Lr=0.001,latent_size=140,klb_coefficient=0.9",0.02420805
"Lr=0.001,latent_size=140,klb_coefficient=1.0",0.024063895
"Lr=0.001,latent_size=150,klb_coefficient=0.5",0.023647115
"Lr=0.001,latent_size=150,klb_coefficient=0.6",0.023771232
"Lr=0.001,latent_size=150,klb_coefficient=0.7",0.02371896
"Lr=0.001,latent_size=150,klb_coefficient=0.8",0.023605665
"Lr=0.001,latent_size=150,klb_coefficient=0.9",0.02378528
"Lr=0.001,latent_size=150,klb_coefficient=1.0",0.023836842
"Lr=0.002,latent_size=10,klb_coefficient=0.5",0.023386886
"Lr=0.002,latent_size=10,klb_coefficient=0.6",0.023430249
"Lr=0.002,latent_size=10,klb_coefficient=0.7",0.02332769
"Lr=0.002,latent_size=10,klb_coefficient=0.8",0.023378232
"Lr=0.002,latent_size=10,klb_coefficient=0.9",0.023325827
"Lr=0.002,latent_size=10,klb_coefficient=1.0",0.02338667
"Lr=0.002,latent_size=20,klb_coefficient=0.5",0.023392366
"Lr=0.002,latent_size=20,klb_coefficient=0.6",0.023435323
"Lr=0.002,latent_size=20,klb_coefficient=0.7",0.023438683
"Lr=0.002,latent_size=20,klb_coefficient=0.8",0.023398165
"Lr=0.002,latent_size=20,klb_coefficient=0.9",0.023364048
"Lr=0.002,latent_size=20,klb_coefficient=1.0",0.023357112
"Lr=0.002,latent_size=30,klb_coefficient=0.5",0.023480564
"Lr=0.002,latent_size=30,klb_coefficient=0.6",0.02344138
"Lr=0.002,latent_size=30,klb_coefficient=0.7",0.023477348
"Lr=0.002,latent_size=30,klb_coefficient=0.8",0.02341204
"Lr=0.002,latent_size=30,klb_coefficient=0.9",0.023357334
"Lr=0.002,latent_size=30,klb_coefficient=1.0",0.023401117
"Lr=0.002,latent_size=40,klb_coefficient=0.5",0.023456637
"Lr=0.002,latent_size=40,klb_coefficient=0.6",0.023434931
"Lr=0.002,latent_size=40,klb_coefficient=0.7",0.023623673
"Lr=0.002,latent_size=40,klb_coefficient=0.8",0.023457926
"Lr=0.002,latent_size=40,klb_coefficient=0.9",0.02352152
"Lr=0.002,latent_size=40,klb_coefficient=1.0",0.02346425
"Lr=0.002,latent_size=50,klb_coefficient=0.5",0.02374968
"Lr=0.002,latent_size=50,klb_coefficient=0.6",0.023618273
"Lr=0.002,latent_size=50,klb_coefficient=0.7",0.02350918
"Lr=0.002,latent_size=50,klb_coefficient=0.8",0.023512244
"Lr=0.002,latent_size=50,klb_coefficient=0.9",0.023572184
"Lr=0.002,latent_size=50,klb_coefficient=1.0",0.023559239
"Lr=0.002,latent_size=60,klb_coefficient=0.5",0.023564061
"Lr=0.002,latent_size=60,klb_coefficient=0.6",0.023681758
"Lr=0.002,latent_size=60,klb_coefficient=0.7",0.02359998
"Lr=0.002,latent_size=60,klb_coefficient=0.8",0.023607837
"Lr=0.002,latent_size=60,klb_coefficient=0.9",0.023580724
"Lr=0.002,latent_size=60,klb_coefficient=1.0",0.02352511
"Lr=0.002,latent_size=70,klb_coefficient=0.5",0.023643767
"Lr=0.002,latent_size=70,klb_coefficient=0.6",0.023537561
"Lr=0.002,latent_size=70,klb_coefficient=0.7",0.023668028
"Lr=0.002,latent_size=70,klb_coefficient=0.8",0.023487398
"Lr=0.002,latent_size=70,klb_coefficient=0.9",0.0236345
"Lr=0.002,latent_size=70,klb_coefficient=1.0",0.023526097
"Lr=0.002,latent_size=80,klb_coefficient=0.5",0.023811763
"Lr=0.002,latent_size=80,klb_coefficient=0.6",0.024035081
"Lr=0.002,latent_size=80,klb_coefficient=0.7",0.023619082
"Lr=0.002,latent_size=80,klb_coefficient=0.8",0.02359273
"Lr=0.002,latent_size=80,klb_coefficient=0.9",0.023623945
"Lr=0.002,latent_size=80,klb_coefficient=1.0",0.023684118
"Lr=0.002,latent_size=90,klb_coefficient=0.5",0.023781016
"Lr=0.002,latent_size=90,klb_coefficient=0.6",0.023828996
"Lr=0.002,latent_size=90,klb_coefficient=0.7",0.023618657
"Lr=0.002,latent_size=90,klb_coefficient=0.8",0.0238358
"Lr=0.002,latent_size=90,klb_coefficient=0.9",0.023800027
"Lr=0.002,latent_size=90,klb_coefficient=1.0",0.023779953
"Lr=0.002,latent_size=100,klb_coefficient=0.5",0.02381682
"Lr=0.002,latent_size=100,klb_coefficient=0.6",0.023701292
"Lr=0.002,latent_size=100,klb_coefficient=0.7",0.023706805
"Lr=0.002,latent_size=100,klb_coefficient=0.8",0.023720078
"Lr=0.002,latent_size=100,klb_coefficient=0.9",0.023736022
"Lr=0.002,latent_size=100,klb_coefficient=1.0",0.0238604
"Lr=0.002,latent_size=110,klb_coefficient=0.5",0.02394835
"Lr=0.002,latent_size=110,klb_coefficient=0.6",0.023690734
"Lr=0.002,latent_size=110,klb_coefficient=0.7",0.023725772
"Lr=0.002,latent_size=110,klb_coefficient=0.8",0.023972107
"Lr=0.002,latent_size=110,klb_coefficient=0.9",0.024190987
"Lr=0.002,latent_size=110,klb_coefficient=1.0",0.023853006
"Lr=0.002,latent_size=120,klb_coefficient=0.5",0.023992155
"Lr=0.002,latent_size=120,klb_coefficient=0.6",0.024012206
"Lr=0.002,latent_size=120,klb_coefficient=0.7",0.023848036
"Lr=0.002,latent_size=120,klb_coefficient=0.8",0.02398101
"Lr=0.002,latent_size=120,klb_coefficient=0.9",0.0238994
"Lr=0.002,latent_size=120,klb_coefficient=1.0",0.023963029
"Lr=0.002,latent_size=130,klb_coefficient=0.5",0.024232514
"Lr=0.002,latent_size=130,klb_coefficient=0.6",0.023966128
"Lr=0.002,latent_size=130,klb_coefficient=0.7",0.023793481
"Lr=0.002,latent_size=130,klb_coefficient=0.8",0.023927085
"Lr=0.002,latent_size=130,klb_coefficient=0.9",0.023957891
"Lr=0.002,latent_size=130,klb_coefficient=1.0",0.023916049
"Lr=0.002,latent_size=140,klb_coefficient=0.5",0.023944404
"Lr=0.002,latent_size=140,klb_coefficient=0.6",0.023989692
"Lr=0.002,latent_size=140,klb_coefficient=0.7",0.02395983
"Lr=0.002,latent_size=140,klb_coefficient=0.8",0.023958001
"Lr=0.002,latent_size=140,klb_coefficient=0.9",0.023796637
"Lr=0.002,latent_size=140,klb_coefficient=1.0",0.023905389
"Lr=0.002,latent_size=150,klb_coefficient=0.5",0.023935622
"Lr=0.002,latent_size=150,klb_coefficient=0.6",0.023825072
"Lr=0.002,latent_size=150,klb_coefficient=0.7",0.02387615
"Lr=0.002,latent_size=150,klb_coefficient=0.8",0.023963502
"Lr=0.002,latent_size=150,klb_coefficient=0.9",0.024027655
"Lr=0.002,latent_size=150,klb_coefficient=1.0",0.023890117
"Lr=0.003,latent_size=10,klb_coefficient=0.5",0.023343919
"Lr=0.003,latent_size=10,klb_coefficient=0.6",0.023386193
"Lr=0.003,latent_size=10,klb_coefficient=0.7",0.023301339
"Lr=0.003,latent_size=10,klb_coefficient=0.8",0.023375047
"Lr=0.003,latent_size=10,klb_coefficient=0.9",0.023369791
"Lr=0.003,latent_size=10,klb_coefficient=1.0",0.023353305
"Lr=0.003,latent_size=20,klb_coefficient=0.5",0.023427466
"Lr=0.003,latent_size=20,klb_coefficient=0.6",0.02358731
"Lr=0.003,latent_size=20,klb_coefficient=0.7",0.023424326
"Lr=0.003,latent_size=20,klb_coefficient=0.8",0.02346692
"Lr=0.003,latent_size=20,klb_coefficient=0.9",0.023533335
"Lr=0.003,latent_size=20,klb_coefficient=1.0",0.023448626
"Lr=0.003,latent_size=30,klb_coefficient=0.5",0.02339166
"Lr=0.003,latent_size=30,klb_coefficient=0.6",0.023612648
"Lr=0.003,latent_size=30,klb_coefficient=0.7",0.023592431
"Lr=0.003,latent_size=30,klb_coefficient=0.8",0.023523241
"Lr=0.003,latent_size=30,klb_coefficient=0.9",0.02344216
"Lr=0.003,latent_size=30,klb_coefficient=1.0",0.023460798
"Lr=0.003,latent_size=40,klb_coefficient=0.5",0.02364513
"Lr=0.003,latent_size=40,klb_coefficient=0.6",0.023541633
"Lr=0.003,latent_size=40,klb_coefficient=0.7",0.0235178
"Lr=0.003,latent_size=40,klb_coefficient=0.8",0.023555817
"Lr=0.003,latent_size=40,klb_coefficient=0.9",0.023741601
"Lr=0.003,latent_size=40,klb_coefficient=1.0",0.023562234
"Lr=0.003,latent_size=50,klb_coefficient=0.5",0.023682633
"Lr=0.003,latent_size=50,klb_coefficient=0.6",0.02363137
"Lr=0.003,latent_size=50,klb_coefficient=0.7",0.023676103
"Lr=0.003,latent_size=50,klb_coefficient=0.8",0.02369417
"Lr=0.003,latent_size=50,klb_coefficient=0.9",0.023623763
"Lr=0.003,latent_size=50,klb_coefficient=1.0",0.023715131
"Lr=0.003,latent_size=60,klb_coefficient=0.5",0.023678835
"Lr=0.003,latent_size=60,klb_coefficient=0.6",0.023662355
"Lr=0.003,latent_size=60,klb_coefficient=0.7",0.023716312
