,learning_rate,latent_layer_size,klb_coefficient,best_loss
0,0.001,10,0.01,0.016623305824567686
1,0.001,10,0.016,0.01798811948524331
2,0.001,10,0.025600000000000005,0.016673896672590723
3,0.001,10,0.04096000000000001,0.01815132150110209
4,0.001,10,0.06553600000000001,0.0186282846162904
5,0.001,10,0.10485760000000002,0.019881486892700195
6,0.001,10,0.16777216000000006,0.021032648266486403
7,0.001,10,0.2684354560000001,0.021410222323435656
8,0.001,10,0.42949672960000024,0.0228309968732438
9,0.001,10,0.6871947673600003,0.022823475441842708
10,0.001,20,0.01,0.01493040570672953
11,0.001,20,0.016,0.015055465248395811
12,0.001,20,0.025600000000000005,0.01614534854888916
13,0.001,20,0.04096000000000001,0.016932707912517043
14,0.001,20,0.06553600000000001,0.01926070564198044
15,0.001,20,0.10485760000000002,0.020383472712534777
16,0.001,20,0.16777216000000006,0.021073584286671766
17,0.001,20,0.2684354560000001,0.02230093389187219
18,0.001,20,0.42949672960000024,0.022494291359523556
19,0.001,20,0.6871947673600003,0.022607425473771006
20,0.001,30,0.01,0.013459395687535123
21,0.001,30,0.016,0.014159948196051255
22,0.001,30,0.025600000000000005,0.016096997935816926
23,0.001,30,0.04096000000000001,0.017562114967490144
24,0.001,30,0.06553600000000001,0.019265786656793557
25,0.001,30,0.10485760000000002,0.02088697001619159
26,0.001,30,0.16777216000000006,0.021513419331244704
27,0.001,30,0.2684354560000001,0.021884214203312713
28,0.001,30,0.42949672960000024,0.022394729110429872
29,0.001,30,0.6871947673600003,0.022692590389611585
30,0.001,40,0.01,0.012687878788642163
31,0.001,40,0.016,0.014139289001248917
32,0.001,40,0.025600000000000005,0.01548507865869774
33,0.001,40,0.04096000000000001,0.017530443533411565
34,0.001,40,0.06553600000000001,0.01947987304543549
35,0.001,40,0.10485760000000002,0.02039639005121195
36,0.001,40,0.16777216000000006,0.021429421766748967
37,0.001,40,0.2684354560000001,0.021890224150891573
38,0.001,40,0.42949672960000024,0.022654052050608508
39,0.001,40,0.6871947673600003,0.022781673467384196
40,0.001,50,0.01,0.01268136276389068
41,0.001,50,0.016,0.01471921183028311
42,0.001,50,0.025600000000000005,0.015928275180312822
43,0.001,50,0.04096000000000001,0.01743772344769172
44,0.001,50,0.06553600000000001,0.01983456791571851
45,0.001,50,0.10485760000000002,0.021405721610447147
46,0.001,50,0.16777216000000006,0.023041194339968124
47,0.001,50,0.2684354560000001,0.02223214788256951
48,0.001,50,0.42949672960000024,0.022626188566099922
49,0.001,50,0.6871947673600003,0.022667273035589255
50,0.001,60,0.01,0.01269720972708936
51,0.001,60,0.016,0.013920803115052997
52,0.001,60,0.025600000000000005,0.015995619431981502
53,0.001,60,0.04096000000000001,0.018673606638638478
54,0.001,60,0.06553600000000001,0.01994784823003805
55,0.001,60,0.10485760000000002,0.02078621342497052
56,0.001,60,0.16777216000000006,0.022138930716604558
57,0.001,60,0.2684354560000001,0.023202306819411943
58,0.001,60,0.42949672960000024,0.022737673993380565
59,0.001,60,0.6871947673600003,0.02273563618929881
60,0.001,70,0.01,0.013346733911982123
61,0.001,70,0.016,0.013933443798209136
62,0.001,70,0.025600000000000005,0.01569473630977127
63,0.001,70,0.04096000000000001,0.01867276092745223
64,0.001,70,0.06553600000000001,0.01954394241548934
65,0.001,70,0.10485760000000002,0.020944253453668557
66,0.001,70,0.16777216000000006,0.022652551812945673
67,0.001,70,0.2684354560000001,0.023095029704975633
68,0.001,70,0.42949672960000024,0.022707943646412976
69,0.001,70,0.6871947673600003,0.02298970267457782
70,0.001,80,0.01,0.012564742340231841
71,0.001,80,0.016,0.014052424790724268
72,0.001,80,0.025600000000000005,0.01610312709268534
73,0.001,80,0.04096000000000001,0.01786343331606883
74,0.001,80,0.06553600000000001,0.019626968311813642
75,0.001,80,0.10485760000000002,0.020883128328143426
76,0.001,80,0.16777216000000006,0.021739136497929412
77,0.001,80,0.2684354560000001,0.022636406826523115
78,0.001,80,0.42949672960000024,0.023299626584322948
79,0.001,80,0.6871947673600003,0.02277767433310455
80,0.001,90,0.01,0.012600162119235633
81,0.001,90,0.016,0.014580608538861544
82,0.001,90,0.025600000000000005,0.015810512146859797
83,0.001,90,0.04096000000000001,0.017629798853172444
84,0.001,90,0.06553600000000001,0.019354248946567752
85,0.001,90,0.10485760000000002,0.020524827939159464
86,0.001,90,0.16777216000000006,0.022699697962347068
87,0.001,90,0.2684354560000001,0.02287765718855948
88,0.001,90,0.42949672960000024,0.02271265353796617
89,0.001,90,0.6871947673600003,0.022883381483689794
90,0.0015,10,0.01,0.016216507497823465
91,0.0015,10,0.016,0.01743984447335297
92,0.0015,10,0.025600000000000005,0.016522400784042646
93,0.0015,10,0.04096000000000001,0.0173901544426972
94,0.0015,10,0.06553600000000001,0.01846849131134321
95,0.0015,10,0.10485760000000002,0.0203416257534387
96,0.0015,10,0.16777216000000006,0.021008118143621482
97,0.0015,10,0.2684354560000001,0.021446650882936874
98,0.0015,10,0.42949672960000024,0.02272374450035815
99,0.0015,10,0.6871947673600003,0.02258276489545714
100,0.0015,20,0.01,0.01391389122549093
101,0.0015,20,0.016,0.014709974234958864
102,0.0015,20,0.025600000000000005,0.016461972920399793
103,0.0015,20,0.04096000000000001,0.01696801635454286
104,0.0015,20,0.06553600000000001,0.018544751518177537
105,0.0015,20,0.10485760000000002,0.020266915267368533
106,0.0015,20,0.16777216000000006,0.020880663170004792
107,0.0015,20,0.2684354560000001,0.021750510863538058
108,0.0015,20,0.42949672960000024,0.022653550471899646
109,0.0015,20,0.6871947673600003,0.022593205829836288
110,0.0015,30,0.01,0.01289466417060708
111,0.0015,30,0.016,0.014248714132129022
112,0.0015,30,0.025600000000000005,0.015269448172371343
113,0.0015,30,0.04096000000000001,0.017788698088448
114,0.0015,30,0.06553600000000001,0.019726307886951375
115,0.0015,30,0.10485760000000002,0.020752778593099343
116,0.0015,30,0.16777216000000006,0.02203121950041573
117,0.0015,30,0.2684354560000001,0.02258491965959657
118,0.0015,30,0.42949672960000024,0.02247928223519955
119,0.0015,30,0.6871947673600003,0.022731745018149323
120,0.0015,40,0.01,0.01286807824980538
121,0.0015,40,0.016,0.01409293345685275
122,0.0015,40,0.025600000000000005,0.015685639291439415
123,0.0015,40,0.04096000000000001,0.01686502177760286
124,0.0015,40,0.06553600000000001,0.019907506007068563
125,0.0015,40,0.10485760000000002,0.020162949022257102
126,0.0015,40,0.16777216000000006,0.021392631080915343
127,0.0015,40,0.2684354560000001,0.022381793777897674
128,0.0015,40,0.42949672960000024,0.02258702943909843
129,0.0015,40,0.6871947673600003,0.022677372086722897
130,0.0015,50,0.01,0.012558969686616142
131,0.0015,50,0.016,0.014361311804573491
132,0.0015,50,0.025600000000000005,0.015748174685352254
133,0.0015,50,0.04096000000000001,0.01815282623722868
134,0.0015,50,0.06553600000000001,0.019496317179697863
135,0.0015,50,0.10485760000000002,0.02023010658767988
136,0.0015,50,0.16777216000000006,0.0216496283153318
137,0.0015,50,0.2684354560000001,0.022170356984408397
138,0.0015,50,0.42949672960000024,0.022449176266508282
139,0.0015,50,0.6871947673600003,0.02269314819911741
140,0.0015,60,0.01,0.012917814389714654
141,0.0015,60,0.016,0.01387430137058474
142,0.0015,60,0.025600000000000005,0.01557569458799542
143,0.0015,60,0.04096000000000001,0.017673218025351472
144,0.0015,60,0.06553600000000001,0.01975993165430033
145,0.0015,60,0.10485760000000002,0.020655186671131063
146,0.0015,60,0.16777216000000006,0.022028473188292305
147,0.0015,60,0.2684354560000001,0.02230887143117077
148,0.0015,60,0.42949672960000024,0.02271024685985637
149,0.0015,60,0.6871947673600003,0.022805164445121335
150,0.0015,70,0.01,0.012474663977353077
151,0.0015,70,0.016,0.01424989272963326
152,0.0015,70,0.025600000000000005,0.01605661522667363
153,0.0015,70,0.04096000000000001,0.01769798656679549
154,0.0015,70,0.06553600000000001,0.02000040153287492
155,0.0015,70,0.10485760000000002,0.020611115221707325
156,0.0015,70,0.16777216000000006,0.021192503425310243
157,0.0015,70,0.2684354560000001,0.02250175431089581
158,0.0015,70,0.42949672960000024,0.02264819730002925
159,0.0015,70,0.6871947673600003,0.02282969906645001
160,0.0015,80,0.01,0.012864018386265016
161,0.0015,80,0.016,0.014530857778945059
162,0.0015,80,0.025600000000000005,0.01645112262581879
163,0.0015,80,0.04096000000000001,0.017647314746424836
164,0.0015,80,0.06553600000000001,0.019299522885736428
165,0.0015,80,0.10485760000000002,0.02159544881784691
166,0.0015,80,0.16777216000000006,0.021708081353385495
167,0.0015,80,0.2684354560000001,0.02244539980618459
168,0.0015,80,0.42949672960000024,0.022730433715964265
169,0.0015,80,0.6871947673600003,0.023130380882407136
170,0.0015,90,0.01,0.012853617938059681
171,0.0015,90,0.016,0.014402929342017983
172,0.0015,90,0.025600000000000005,0.015427458961054965
173,0.0015,90,0.04096000000000001,0.018650746570443206
174,0.0015,90,0.06553600000000001,0.01937212584153661
175,0.0015,90,0.10485760000000002,0.02116486486398949
176,0.0015,90,0.16777216000000006,0.022027568997077224
177,0.0015,90,0.2684354560000001,0.022463294695008476
178,0.0015,90,0.42949672960000024,0.02259739839805747
179,0.0015,90,0.6871947673600003,0.023123516226714512
180,0.0022500000000000003,10,0.01,0.015811163299488572
181,0.0022500000000000003,10,0.016,0.015586120902367358
182,0.0022500000000000003,10,0.025600000000000005,0.01663511429192885
183,0.0022500000000000003,10,0.04096000000000001,0.018313520359543135
184,0.0022500000000000003,10,0.06553600000000001,0.019310991719083966
185,0.0022500000000000003,10,0.10485760000000002,0.019929260577795642
186,0.0022500000000000003,10,0.16777216000000006,0.020313530598046643
187,0.0022500000000000003,10,0.2684354560000001,0.021141023006079333
188,0.0022500000000000003,10,0.42949672960000024,0.022407221344282042
189,0.0022500000000000003,10,0.6871947673600003,0.022681263257872383
190,0.0022500000000000003,20,0.01,0.014354694564387484
191,0.0022500000000000003,20,0.016,0.014769167270300523
192,0.0022500000000000003,20,0.025600000000000005,0.015833164161106326
193,0.0022500000000000003,20,0.04096000000000001,0.016618582437623222
194,0.0022500000000000003,20,0.06553600000000001,0.01817468427262216
195,0.0022500000000000003,20,0.10485760000000002,0.019691941873082576
196,0.0022500000000000003,20,0.16777216000000006,0.020865944196593086
197,0.0022500000000000003,20,0.2684354560000001,0.02216787158318286
198,0.0022500000000000003,20,0.42949672960000024,0.02249065435157632
199,0.0022500000000000003,20,0.6871947673600003,0.02260537417429798
200,0.0022500000000000003,30,0.01,0.013655250927187362
201,0.0022500000000000003,30,0.016,0.01451422133535709
202,0.0022500000000000003,30,0.025600000000000005,0.015317613223813614
203,0.0022500000000000003,30,0.04096000000000001,0.017045729565170576
204,0.0022500000000000003,30,0.06553600000000001,0.01946881132305793
205,0.0022500000000000003,30,0.10485760000000002,0.019627015545683087
206,0.0022500000000000003,30,0.16777216000000006,0.020585051122701394
207,0.0022500000000000003,30,0.2684354560000001,0.02185641144806484
208,0.0022500000000000003,30,0.42949672960000024,0.02247694078481422
209,0.0022500000000000003,30,0.6871947673600003,0.022879409340192686
210,0.0022500000000000003,40,0.01,0.01333485909228055
211,0.0022500000000000003,40,0.016,0.014708393024948408
212,0.0022500000000000003,40,0.025600000000000005,0.01595613304174171
213,0.0022500000000000003,40,0.04096000000000001,0.017854608454794255
214,0.0022500000000000003,40,0.06553600000000001,0.019525300781681854
215,0.0022500000000000003,40,0.10485760000000002,0.020332138493375958
216,0.0022500000000000003,40,0.16777216000000006,0.021373987197875977
217,0.0022500000000000003,40,0.2684354560000001,0.0223140131752446
218,0.0022500000000000003,40,0.42949672960000024,0.022928593293675838
219,0.0022500000000000003,40,0.6871947673600003,0.02280917707479225
220,0.0022500000000000003,50,0.01,0.01318876473408825
221,0.0022500000000000003,50,0.016,0.014810969244759038
222,0.0022500000000000003,50,0.025600000000000005,0.015531967271049068
223,0.0022500000000000003,50,0.04096000000000001,0.01742620513124286
224,0.0022500000000000003,50,0.06553600000000001,0.018749880340864073
225,0.0022500000000000003,50,0.10485760000000002,0.020093065387797805
226,0.0022500000000000003,50,0.16777216000000006,0.021270466300676454
227,0.0022500000000000003,50,0.2684354560000001,0.021991309129966878
228,0.0022500000000000003,50,0.42949672960000024,0.02288595235572671
229,0.0022500000000000003,50,0.6871947673600003,0.02274244686342635
230,0.0022500000000000003,60,0.01,0.013093955111953447
231,0.0022500000000000003,60,0.016,0.014763433978242695
232,0.0022500000000000003,60,0.025600000000000005,0.01611751880285875
233,0.0022500000000000003,60,0.04096000000000001,0.01838038889866955
234,0.0022500000000000003,60,0.06553600000000001,0.019681923794296553
235,0.0022500000000000003,60,0.10485760000000002,0.020978662202943046
236,0.0022500000000000003,60,0.16777216000000006,0.021860608514749778
237,0.0022500000000000003,60,0.2684354560000001,0.022095081941136775
238,0.0022500000000000003,60,0.42949672960000024,0.02234952854660322
239,0.0022500000000000003,60,0.6871947673600003,0.022828536213568923
240,0.0022500000000000003,70,0.01,0.013460118815584003
241,0.0022500000000000003,70,0.016,0.014486780706441627
242,0.0022500000000000003,70,0.025600000000000005,0.01631940760702457
243,0.0022500000000000003,70,0.04096000000000001,0.01782869168047635
244,0.0022500000000000003,70,0.06553600000000001,0.01951829892284465
245,0.0022500000000000003,70,0.10485760000000002,0.020916360729145555
246,0.0022500000000000003,70,0.16777216000000006,0.022385129388773215
247,0.0022500000000000003,70,0.2684354560000001,0.022319636254940392
248,0.0022500000000000003,70,0.42949672960000024,0.02285416396159046
249,0.0022500000000000003,70,0.6871947673600003,0.02300823859448703
250,0.0022500000000000003,80,0.01,0.012780935134527818
251,0.0022500000000000003,80,0.016,0.014837132309967617
252,0.0022500000000000003,80,0.025600000000000005,0.01604635535546069
253,0.0022500000000000003,80,0.04096000000000001,0.017452064550147868
254,0.0022500000000000003,80,0.06553600000000001,0.019975673477604705
255,0.0022500000000000003,80,0.10485760000000002,0.020603686008813245
256,0.0022500000000000003,80,0.16777216000000006,0.02158982573815112
257,0.0022500000000000003,80,0.2684354560000001,0.022011507232234162
258,0.0022500000000000003,80,0.42949672960000024,0.022534399662377698
259,0.0022500000000000003,80,0.6871947673600003,0.02307552661535875
260,0.0022500000000000003,90,0.01,0.01328093150876603
261,0.0022500000000000003,90,0.016,0.014314270244454438
262,0.0022500000000000003,90,0.025600000000000005,0.01594810778239988
263,0.0022500000000000003,90,0.04096000000000001,0.01829476851337361
264,0.0022500000000000003,90,0.06553600000000001,0.019567829258037062
265,0.0022500000000000003,90,0.10485760000000002,0.02217421441707971
266,0.0022500000000000003,90,0.16777216000000006,0.023093781381283165
267,0.0022500000000000003,90,0.2684354560000001,0.022472451317985104
268,0.0022500000000000003,90,0.42949672960000024,0.022691845893859863
269,0.0022500000000000003,90,0.6871947673600003,0.02312832958293411
270,0.003375,10,0.01,0.016131576502098226
271,0.003375,10,0.016,0.015592643674814477
272,0.003375,10,0.025600000000000005,0.016564261238529998
