exp #,mouse name,treatment,tumor load,%MDSC (GR1) blood,% G-MDSC blood (total),% G-MDSC blood (gated on CD11b),% M-MDSC blood (total),% M-MDSC blood (gated on CD11b),% T cell blood (total),MFI zeta blood,spleen weight,cell # spleen,%MDSC (GR1) spleen,% G-MDSC spleen (total),% G-MDSC spleen (gated on CD11b),% M-MDSC spleen (total),% M-MDSC spleen (gated on CD11b),% T cell spleen(total),MFI zeta spleen,cell # BM,%MDSC (GR1) bm,% G-MDSC BM (total),% G-MDSC BM (gated on CD11b),% M-MDSC BM (total),% M-MDSC BM (gated on CD11b),% T cell BM (total),MFI zeta BM,%MDSC (GR1) colon,% G-MDSC colon  (total),% G-MDSC colon  (gated on CD11b),% M-MDSC colon (total),% M-MDSC colon (gated on CD11b),% T cell colon  (total),MFI zeta colon,FITC DEX
exp1,1.1,WT CRC,-,,,,,,,,0.29,113.5,30.48,,,,,,125.05,34.2,85.27,,,,,,,,,,,,,,
exp1,1.2,WT CRC,+,,,,,,,,0.31,102.5,34.53,,,,,,88.35,32.55,85.27,,,,,,,,,,,,,,
exp1,1.3,WT CRC,+,,,,,,,,0.29,101.75,25.6,,,,,,136.72,33.3,85.63,,,,,,,,,,,,,,
exp1,1.4,WT CRC,+,,,,,,,,0.25,94.05,11.53,,,,,,229.04,27.6,74.19,,,,,,,,,,,,,,
exp1,1.5,WT CRC,+,,,,,,,,0.22,88.2,17.16,,,,,,183.43,45.6,72.99,,,,,,,,,,,,,,
exp1,1.6,WT CRC,+,,,,,,,,0.23,70.2,14.28,,,,,,159.86,45.2,68.04,,,,,,,,,,,,,,
exp1,2.1,WT CRC,-,,,,,,,,0.22,40.8,18.38,,,,,,190.88,44.1,84.46,,,,,,,,,,,,,,
exp1,2.2,WT CRC,-,,,,,,,,0.22,66,18.29,,,,,,183.66,36.15,79.94,,,,,,,,,,,,,,
exp1,2.3,WT CRC,+,,,,,,,,0.19,43.45,16.74,,,,,,227.23,46.35,79.5,,,,,,,,,,,,,,
exp1,2.4,WT CRC,-,,,,,,,,0.18,47.25,22.19,,,,,,178.99,37.35,79.78,,,,,,,,,,,,,,
