ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272
d14.1,0,95,0,0,0,0,59,0,353,0,0,0,0,0,0,4,18,44,343,31,9,58,0,0,0,37,1,0,4,0,0,2,76,9,0,0,33,19,42,0,3,0,175,0,0,53,9,0,0,26,0,13,0,0,0,17,16,0,9,1193,580,715,14,3,12,0,3,0,0,0,0,8,0,0,9,0,21,63,31,35,14,299,10,0,19,0,0,11,62,0,41,0,0,0,0,0,1,0,0,0,261,0,0,6,0,0,7,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,125,8,573,86,19,15,0,0,117,0,0,0,0,0,0,0,0,0,0,0,1109,187,0,0,0,50,0,0,0,3,3,0,5,19,0,0,16,28,0,40,3,677,0,237,0,0,0,23,0,38,19,55,0,59,90,0,0,0,0,0,0,0,10,0,0,7,50,0,8,2,0,0,158,0,0,0,0,0,69,0,16,0,0,0,294,14,0,0,0,0,0,3,35,23,0,3,7,0,148,76,0,0,60,0,372,39,0,0,0,15,53,56,0,0,0,0,0,74,13,0,0,91,0,0,1,0,0,0,0,0,2,0,0,3,0,309,0,0,0,48,10,0,0,0,0,65,179
d14.10,0,62,0,0,11,11,43,0,7,0,0,1,30,3,0,32,14,91,55,22,0,43,0,0,1,25,0,35,2,0,0,5,69,19,0,0,14,5,0,0,0,0,90,330,0,0,9,0,12,8,71,26,0,0,4,23,23,9,60,569,345,1265,5,39,0,0,6,2,0,137,61,36,0,0,2,0,60,3,24,0,6,15,0,0,6,0,0,2,38,0,26,0,0,0,0,196,1,0,0,517,0,0,0,0,0,31,20,11,11,0,0,0,0,0,0,0,0,0,0,0,0,14,1,6,5,0,273,0,453,73,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,210,0,0,0,3,0,13,0,0,0,4,22,38,0,0,73,17,27,10,0,776,0,180,0,0,0,51,0,0,13,167,7,70,69,0,0,0,19,0,0,0,4,0,0,0,76,0,10,0,0,0,133,6,0,11,5,0,2,0,0,0,10,0,215,32,0,14,0,0,33,12,47,0,0,44,12,0,223,15,0,11,0,0,109,0,5,0,92,23,39,65,0,0,156,0,0,50,12,0,0,70,26,0,8,556,636,0,0,0,104,0,0,0,0,199,0,5,0,41,10,9,0,0,0,0,0
d14.11,0,71,0,0,0,0,41,0,553,0,0,0,0,0,0,4,9,32,308,39,11,35,0,0,0,7,0,0,1,0,0,0,59,24,0,0,15,13,1,0,1,0,135,276,0,25,13,0,0,21,0,7,0,0,0,8,0,0,0,496,523,1018,10,3,17,0,9,5,0,780,31,19,0,23,0,0,38,118,37,41,9,579,11,0,4,0,0,10,8,0,25,0,0,0,0,0,3,0,0,0,294,25,0,4,0,0,20,0,7,0,1,0,0,0,0,51,0,0,0,0,0,0,2,0,0,0,87,0,443,27,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,134,0,0,0,27,0,14,0,2,14,0,0,0,0,0,0,18,0,87,19,615,0,285,0,9,0,0,0,42,22,67,0,47,25,0,0,0,0,0,1,0,25,0,0,7,59,0,0,2,0,0,120,0,0,0,0,0,0,0,21,0,0,0,310,8,0,0,0,0,0,9,9,20,0,8,0,0,116,31,0,0,89,0,109,50,0,0,463,13,20,58,0,0,89,0,0,17,0,0,0,92,0,0,0,0,0,0,0,0,0,0,2,2,0,155,0,0,0,0,2,0,0,0,0,120,241
d14.13,0,0,0,0,18,9,26,0,149,0,0,1,30,4,0,56,80,51,1067,50,0,19,0,10,1,11,0,3,0,0,0,86,115,23,10,0,24,16,23,11,1,0,166,0,0,0,7,0,19,13,0,6,0,0,2,9,31,0,51,3153,4,233,1,13,0,0,0,7,0,0,38,312,0,0,1,0,11,38,130,22,7,198,19,0,45,0,0,8,21,0,2,23,0,0,0,0,1,0,0,0,351,0,0,31,0,0,20,2,58,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,87,0,179,13,9,0,0,0,0,0,0,0,0,0,26,2,0,0,0,2,213,60,0,0,0,7,0,22,7,22,7,0,111,0,0,0,10,0,17,36,16,280,0,336,2,39,0,0,0,81,29,32,0,31,13,0,0,0,0,0,0,0,5,0,0,16,14,0,8,0,0,0,83,0,0,0,0,0,7,0,0,0,0,0,52,8,0,53,0,0,0,1,13,24,0,25,54,0,67,170,0,0,0,0,15,1,0,0,0,6,104,24,26,0,0,0,0,103,4,0,0,118,0,0,13,12,0,0,0,0,84,8,0,0,0,987,0,9,0,10,1,11,0,0,0,116,0
d14.15,0,4,0,0,4,9,55,0,360,0,3,0,0,11,0,83,77,112,96,36,4,34,0,0,0,17,0,0,1,0,0,19,86,25,0,0,5,0,0,0,0,0,110,0,0,0,12,0,0,9,0,11,0,0,5,35,70,0,227,920,0,1058,0,34,2,0,0,13,0,0,7,43,0,0,0,0,0,28,168,0,14,147,0,0,57,0,0,11,63,0,0,1,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,9,38,0,0,2,0,0,0,2,0,0,0,0,0,8,22,10,0,0,341,0,641,331,12,8,0,20,0,0,1,0,0,0,0,0,0,0,2,3,102,218,0,0,0,8,0,8,9,0,24,0,193,0,6,0,32,28,115,0,34,1643,0,286,0,16,0,6,0,4,62,78,0,73,83,0,0,2,0,0,0,0,8,0,0,6,194,0,16,0,0,0,108,6,0,0,0,0,0,0,0,0,0,0,252,25,0,0,0,0,0,2,33,9,0,54,43,0,190,102,0,0,0,0,26,15,0,45,0,67,84,107,19,0,0,12,0,172,9,0,0,112,0,0,16,0,5,0,0,0,171,0,5,0,0,270,0,0,0,89,11,0,0,0,0,0,39
d14.16,0,50,0,0,0,0,43,0,854,0,0,0,0,7,0,26,19,112,192,73,9,63,0,0,0,11,0,0,6,0,0,13,12,13,0,0,24,0,3,0,0,0,312,189,0,19,23,0,0,14,0,12,0,0,0,25,29,0,9,84,110,1760,0,2,11,0,3,8,0,436,0,47,0,0,0,3,28,84,39,9,0,409,0,0,22,0,0,7,15,0,7,0,0,0,0,0,2,0,0,0,85,38,0,16,0,0,0,5,13,0,5,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,332,0,1330,61,4,9,0,5,0,0,0,0,0,0,10,0,0,0,0,0,53,162,0,0,0,45,0,3,8,6,7,0,6,8,0,0,0,21,0,0,0,1172,0,111,0,9,0,19,0,56,8,169,0,20,74,0,0,0,0,0,0,0,7,0,0,0,106,1,7,0,0,0,155,3,0,0,0,0,7,0,31,0,0,0,312,5,0,0,0,0,0,3,16,4,0,0,14,0,147,49,0,0,17,0,16,33,0,39,256,45,15,32,0,0,79,26,0,141,3,0,0,35,0,0,3,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,12,0,0,0,0,28,41
d14.17,0,12,0,0,0,16,33,0,0,0,0,1,20,8,0,28,17,75,17,34,0,20,0,0,0,22,0,29,16,2,0,2,26,22,0,0,21,13,3,0,0,0,156,588,0,0,32,0,12,17,0,31,0,0,8,44,45,11,16,262,201,1530,15,36,0,0,5,2,0,0,30,20,0,0,5,0,23,12,7,0,6,55,0,0,0,0,0,0,34,0,15,0,0,0,0,44,4,0,12,76,0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,9,0,2,207,0,401,226,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,261,150,0,0,0,0,0,17,0,0,0,0,8,11,0,0,23,26,0,0,0,952,0,258,0,0,0,47,0,3,26,90,5,38,87,0,0,0,20,0,0,0,8,0,0,0,69,0,24,1,0,0,88,0,0,0,1,0,2,0,0,0,11,0,168,23,0,21,0,0,0,12,36,0,0,48,18,0,144,9,0,12,0,0,57,0,2,0,5,27,14,46,10,0,316,12,0,59,14,0,0,82,206,0,7,1087,1362,0,0,0,14,0,0,0,0,85,0,4,2,64,13,0,0,0,0,0,0
d14.18,0,48,0,0,0,6,69,0,295,0,0,0,22,2,0,5,27,95,200,51,13,43,0,0,0,15,0,0,3,0,0,4,58,26,0,0,0,14,26,2,0,0,205,105,0,9,20,0,0,16,0,25,0,0,0,11,18,0,6,908,65,1603,10,7,20,0,6,4,0,347,11,26,0,0,5,4,40,80,46,42,19,358,15,0,23,0,0,7,32,0,21,0,0,0,0,0,7,0,10,0,22,7,0,19,0,0,7,0,26,0,2,0,0,0,0,14,0,0,0,0,0,0,15,4,0,0,241,0,536,69,2,8,0,3,0,0,0,0,0,0,0,6,0,0,0,0,162,151,0,0,0,66,0,13,4,4,11,5,75,23,0,0,0,19,177,56,14,913,2,211,1,10,0,9,0,88,14,165,0,41,48,0,10,0,0,0,0,0,5,0,0,9,75,0,14,7,0,0,96,21,0,0,0,2,13,0,44,5,5,0,177,5,0,0,0,0,0,7,32,16,0,16,6,0,190,61,0,0,130,0,62,52,0,0,262,25,47,56,0,0,57,0,0,108,8,0,0,68,0,0,5,0,18,0,0,0,4,0,2,3,0,268,2,2,0,14,14,1,0,0,0,8,450
d14.19,0,0,0,0,0,19,107,0,280,0,0,0,23,2,0,3,17,26,1118,117,11,27,0,11,0,2,0,0,1,0,0,2,62,26,0,47,31,33,13,10,5,0,220,28,0,15,69,0,0,43,0,28,0,0,0,12,23,0,0,1321,78,238,15,2,36,0,2,8,0,514,11,56,0,0,0,0,20,110,42,45,4,593,0,0,13,0,0,13,16,0,29,0,0,0,0,0,3,0,1,0,67,13,0,9,0,0,21,0,4,0,0,0,0,0,0,26,0,0,0,2,0,0,20,0,0,0,110,0,262,44,3,20,0,1,0,0,0,0,4,0,17,0,0,0,0,0,46,80,0,0,0,114,0,10,4,0,11,0,114,33,0,0,1,4,0,104,14,347,0,276,0,18,0,0,0,151,19,46,5,56,21,0,2,0,0,0,0,0,15,0,0,5,26,0,0,2,0,0,74,18,0,0,0,0,44,0,66,1,18,0,91,12,0,0,0,0,0,22,5,16,0,8,14,0,67,103,0,0,216,0,296,64,0,0,317,0,43,13,10,0,9,0,0,108,11,0,0,131,13,0,9,15,0,0,0,0,0,0,0,3,0,407,0,15,0,30,20,0,0,0,0,22,841
d14.2,0,1,0,0,0,0,11,0,245,0,0,0,0,0,0,52,20,98,5,39,0,106,0,0,0,38,0,0,5,0,0,30,112,19,0,0,23,26,9,0,0,0,103,1,0,0,22,2,0,161,0,7,0,0,0,25,25,0,0,516,646,926,0,0,0,0,0,0,0,0,0,130,0,0,0,4,38,17,15,51,25,70,0,0,9,0,0,0,79,0,43,0,0,0,0,0,0,0,0,1,261,0,0,8,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,6,0,0,275,0,647,194,13,4,0,0,404,0,2,3,0,0,0,3,0,0,0,1,444,256,0,0,0,32,0,0,0,0,7,0,3,0,0,0,7,43,43,6,14,1257,0,835,0,0,0,0,0,18,16,55,0,9,104,0,0,0,0,0,0,0,13,0,0,0,87,1,0,0,0,0,335,5,1,0,0,0,0,0,0,0,0,0,239,0,0,0,0,5,0,0,78,22,0,0,40,0,225,52,0,0,6,3,22,0,0,0,8,27,74,68,33,0,0,0,107,92,1,0,0,298,0,5,0,14,0,0,0,0,3,0,6,2,0,183,0,8,0,2,6,0,0,0,0,62,25
