KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC
linear,100.0,scale,0,0.6067307692307692,0,0.4583333333333333
linear,0.1,auto,0,0.5971153846153847,0,0.45
linear,1.0,scale,0,0.6038461538461538,0,0.4416666666666667
linear,1000.0,scale,0,0.5846153846153846,0,0.4333333333333333
linear,0.01,auto,0,0.5221153846153845,0,0.425
linear,10.0,scale,0,0.5951923076923077,0,0.4083333333333333
linear,0.1,scale,0,0.5980769230769231,0,0.3916666666666667
linear,100.0,auto,0,0.6076923076923076,0,0.38333333333333336
linear,1000.0,auto,0,0.5990384615384615,0,0.3666666666666665
linear,10.0,auto,0,0.6067307692307692,0,0.3666666666666665
linear,1.0,auto,0,0.591346153846154,0,0.3666666666666665
linear,0.01,scale,0,0.5375,0,0.3416666666666667
