KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC
linear,1000.0,auto,0.7510270847166761,0.6870090634441087,0.7228746671738304,0.6626506024096386
linear,1.0,scale,0.7575801197060383,0.6906344410876134,0.7060952380952381,0.6457831325301205
linear,100.0,auto,0.7546331598315816,0.6821752265861027,0.6998734053948777,0.6361445783132529
linear,0.01,auto,0.7565407948646251,0.6797583081570997,0.6969589649147659,0.6265060240963856
linear,1.0,auto,0.7603383942162489,0.6827794561933536,0.6950904392764858,0.6409638554216868
linear,100.0,scale,0.7640755512077658,0.6870090634441086,0.6901470588235293,0.6120481927710844
linear,10.0,auto,0.7594986290638465,0.6827794561933535,0.6883817820282171,0.6433734939759035
linear,0.1,auto,0.7588919123204838,0.686404833836858,0.6827370948379352,0.6265060240963856
linear,0.01,scale,0.7608004805887212,0.6785498489425982,0.6721836228287841,0.5783132530120482
linear,0.1,scale,0.7681689071162754,0.6930513595166162,0.6647517730496454,0.6072289156626505
linear,1000.0,scale,0.7722290849198276,0.6966767371601208,0.6537285625567286,0.6
linear,10.0,scale,0.7760337217593803,0.7129909365558913,0.6417059748427674,0.5831325301204819
