Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
four,mean,log,row,1,0.772962962962963,0.5133333333333334
four,mean,log,row,0,0.8697222222222222,0.4313333333333333
four,mean,log,col,1,0.7995833333333333,0.5066666666666666
four,mean,log,col,0,0.8249074074074073,0.5
four,mean,log,both,1,0.7798148148148148,0.5406666666666667
four,mean,log,both,0,0.8697222222222222,0.4313333333333333
four,mean,log,No,1,0.832824074074074,0.40066666666666667
four,mean,log,No,0,0.8249074074074073,0.5
four,mean,relative,z_after_relative,1,0.7937037037037037,0.7020000000000001
four,mean,relative,z_after_relative,0,0.8283796296296296,0.528
four,mean,relative,No,1,0.6712962962962963,0.35066666666666674
four,mean,relative,No,0,0.8283796296296296,0.528
four,sum,log,row,1,0.7733333333333334,0.528
four,sum,log,row,0,0.8724074074074074,0.5746666666666667
four,sum,log,col,1,0.8285185185185185,0.5273333333333334
four,sum,log,col,0,0.8249074074074073,0.5
four,sum,log,both,1,0.8341203703703703,0.5693333333333334
four,sum,log,both,0,0.8724074074074074,0.5746666666666667
four,sum,log,No,1,0.7999537037037037,0.5373333333333333
four,sum,log,No,0,0.8249074074074073,0.5
four,sum,relative,z_after_relative,1,0.8125462962962963,0.4893333333333333
four,sum,relative,z_after_relative,0,0.8356018518518518,0.4953333333333334
four,sum,relative,No,1,0.6873611111111111,0.34600000000000003
four,sum,relative,No,0,0.8356018518518518,0.4953333333333334
four,pca_anna,log,row,1,0.8739814814814815,0.6653333333333333
four,pca_anna,log,row,0,0.8883796296296297,0.6313333333333333
four,pca_anna,log,col,1,0.887824074074074,0.5513333333333333
four,pca_anna,log,col,0,0.867824074074074,0.6606666666666666
four,pca_anna,log,both,1,0.8171296296296297,0.506
four,pca_anna,log,both,0,0.8789814814814815,0.6759999999999999
four,pca_anna,log,No,1,0.846574074074074,0.5940000000000001
four,pca_anna,log,No,0,0.8663888888888889,0.772
four,pca_anna,relative,z_after_relative,1,0.8724074074074075,0.524
four,pca_anna,relative,z_after_relative,0,0.8994444444444445,0.5800000000000001
four,pca_anna,relative,No,1,0.757824074074074,0.7020000000000001
four,pca_anna,relative,No,0,0.83625,0.6606666666666667
five,mean,log,row,1,0.8373611111111109,0.7320000000000001
five,mean,log,row,0,0.9138425925925926,0.3393333333333334
five,mean,log,col,1,0.877175925925926,0.4513333333333334
five,mean,log,col,0,0.8985648148148149,0.29600000000000004
five,mean,log,both,1,0.8891203703703703,0.4026666666666667
five,mean,log,both,0,0.9138425925925926,0.3393333333333334
five,mean,log,No,1,0.8049537037037038,0.672
five,mean,log,No,0,0.8985648148148149,0.29600000000000004
five,mean,relative,z_after_relative,1,0.8554166666666666,0.4906666666666667
five,mean,relative,z_after_relative,0,0.897962962962963,0.4166666666666667
five,mean,relative,No,1,0.8099074074074074,0.3666666666666667
five,mean,relative,No,0,0.897962962962963,0.4166666666666667
five,sum,log,row,1,0.8210648148148149,0.6946666666666667
five,sum,log,row,0,0.9383796296296296,0.4113333333333333
five,sum,log,col,1,0.8686111111111111,0.5146666666666667
five,sum,log,col,0,0.8985648148148149,0.29600000000000004
five,sum,log,both,1,0.8707407407407407,0.6066666666666667
five,sum,log,both,0,0.9383796296296296,0.4113333333333333
five,sum,log,No,1,0.8601851851851852,0.5613333333333334
five,sum,log,No,0,0.8985648148148149,0.29600000000000004
five,sum,relative,z_after_relative,1,0.8276851851851852,0.7959999999999999
five,sum,relative,z_after_relative,0,0.8826388888888891,0.39133333333333337
