Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,sum,log,No,ICA,0.8159621212121213,0.4765476190476191
four,sum,log,No,PCA,0.8436515151515152,0.5265476190476189
four,sum,log,No,None,0.8704242424242425,0.5648809523809524
four,sum,log,col,ICA,0.8557878787878788,0.6179761904761906
four,sum,log,col,PCA,0.8874772727272727,0.5991666666666666
four,sum,log,col,None,0.8704242424242425,0.5648809523809524
four,sum,log,row,ICA,0.8104242424242424,0.5457142857142857
four,sum,log,row,PCA,0.8263636363636364,0.4603571428571428
four,sum,log,row,None,0.8651515151515151,0.6246428571428572
four,sum,log,both,ICA,0.8387878787878787,0.4532142857142858
four,sum,log,both,PCA,0.8161969696969698,0.4941666666666666
four,sum,log,both,None,0.8651515151515151,0.6246428571428572
four,sum,relative,No,ICA,0.7068863636363637,0.455952380952381
four,sum,relative,No,PCA,0.7068863636363637,0.4532142857142858
four,sum,relative,No,None,0.8607954545454545,0.4785714285714286
four,sum,relative,z_after_relative,ICA,0.8565757575757575,0.4952380952380953
four,sum,relative,z_after_relative,PCA,0.8069393939393941,0.4272619047619047
four,sum,relative,z_after_relative,None,0.8607954545454545,0.4785714285714286
four,mean,log,No,ICA,0.8477575757575758,0.5860714285714286
four,mean,log,No,PCA,0.8674015151515152,0.523452380952381
four,mean,log,No,None,0.8704242424242425,0.5648809523809524
four,mean,log,col,ICA,0.8856818181818182,0.5660714285714286
four,mean,log,col,PCA,0.9030075757575756,0.6961904761904761
four,mean,log,col,None,0.8704242424242425,0.5648809523809524
four,mean,log,row,ICA,0.8005075757575756,0.515595238095238
four,mean,log,row,PCA,0.8354090909090908,0.5877380952380953
four,mean,log,row,None,0.8729318181818183,0.4964285714285714
four,mean,log,both,ICA,0.8548939393939394,0.5650000000000001
four,mean,log,both,PCA,0.8711212121212122,0.6476190476190475
four,mean,log,both,None,0.8729318181818183,0.4964285714285714
four,mean,relative,No,ICA,0.7048333333333334,0.4653571428571429
four,mean,relative,No,PCA,0.7106363636363637,0.4214285714285714
four,mean,relative,No,None,0.8631742424242425,0.4905952380952381
four,mean,relative,z_after_relative,ICA,0.8582121212121212,0.6484523809523809
four,mean,relative,z_after_relative,PCA,0.8295378787878788,0.6676190476190477
four,mean,relative,z_after_relative,None,0.8631742424242425,0.4905952380952381
four,sub PCA,log,No,ICA,0.8389318181818183,0.4957142857142858
four,sub PCA,log,No,PCA,0.870280303030303,0.6805952380952381
four,sub PCA,log,No,None,0.9288333333333334,0.4786904761904762
four,sub PCA,log,col,ICA,0.8566666666666667,0.5967857142857144
four,sub PCA,log,col,PCA,0.8765606060606059,0.6004761904761905
four,sub PCA,log,col,None,0.9254015151515153,0.5391666666666667
four,sub PCA,log,row,ICA,0.8798181818181817,0.6699999999999999
four,sub PCA,log,row,PCA,0.8687878787878788,0.6860714285714286
four,sub PCA,log,row,None,0.912560606060606,0.6340476190476191
four,sub PCA,log,both,ICA,0.8822348484848486,0.5642857142857143
four,sub PCA,log,both,PCA,0.8699469696969697,0.5323809523809524
four,sub PCA,log,both,None,0.9548863636363636,0.5785714285714286
four,sub PCA,relative,No,ICA,0.8372348484848484,0.5561904761904763
four,sub PCA,relative,No,PCA,0.8458712121212121,0.593452380952381
four,sub PCA,relative,No,None,0.9100454545454544,0.4777380952380952
four,sub PCA,relative,z_after_relative,ICA,0.8981439393939393,0.6944047619047621
four,sub PCA,relative,z_after_relative,PCA,0.8894924242424241,0.5047619047619047
four,sub PCA,relative,z_after_relative,None,0.9315984848484848,0.4982142857142857
five,sum,log,No,ICA,0.8665530303030303,0.5147619047619048
five,sum,log,No,PCA,0.8762424242424243,0.5108333333333334
five,sum,log,No,None,0.9019318181818182,0.5665476190476191
five,sum,log,col,ICA,0.8609166666666668,0.5595238095238096
five,sum,log,col,PCA,0.8727727272727273,0.5758333333333333
five,sum,log,col,None,0.9019318181818182,0.5665476190476191
five,sum,log,row,ICA,0.8573030303030303,0.5613095238095237
five,sum,log,row,PCA,0.8719772727272728,0.6227380952380954
five,sum,log,row,None,0.9266590909090908,0.4672619047619048
five,sum,log,both,ICA,0.8755075757575759,0.5028571428571429
five,sum,log,both,PCA,0.8641439393939394,0.5504761904761905
five,sum,log,both,None,0.9266590909090908,0.4672619047619048
five,sum,relative,No,ICA,0.7326363636363636,0.5453571428571429
five,sum,relative,No,PCA,0.7098030303030304,0.4702380952380952
five,sum,relative,No,None,0.90675,0.5544047619047621
five,sum,relative,z_after_relative,ICA,0.8735227272727273,0.5591666666666666
five,sum,relative,z_after_relative,PCA,0.887060606060606,0.5919047619047619
five,sum,relative,z_after_relative,None,0.90675,0.5544047619047621
five,mean,log,No,ICA,0.8603712121212121,0.4508333333333333
five,mean,log,No,PCA,0.8182499999999999,0.7132142857142857
five,mean,log,No,None,0.9019318181818182,0.5665476190476191
five,mean,log,col,ICA,0.8838181818181817,0.3677380952380953
five,mean,log,col,PCA,0.8742575757575758,0.5748809523809524
five,mean,log,col,None,0.9019318181818182,0.5665476190476191
five,mean,log,row,ICA,0.8615681818181818,0.5795238095238094
five,mean,log,row,PCA,0.8584166666666667,0.6413095238095238
five,mean,log,row,None,0.9244772727272726,0.5244047619047619
five,mean,log,both,ICA,0.8870151515151515,0.5853571428571429
five,mean,log,both,PCA,0.8723181818181819,0.4995238095238096
five,mean,log,both,None,0.9244772727272726,0.5244047619047619
five,mean,relative,No,ICA,0.7699545454545453,0.5102380952380952
five,mean,relative,No,PCA,0.737280303030303,0.37
five,mean,relative,No,None,0.909780303030303,0.5295238095238095
five,mean,relative,z_after_relative,ICA,0.9020075757575758,0.4592857142857143
five,mean,relative,z_after_relative,PCA,0.8744469696969698,0.6576190476190475
five,mean,relative,z_after_relative,None,0.909780303030303,0.5295238095238095
five,sub PCA,log,No,ICA,0.8828030303030303,0.6698809523809524
five,sub PCA,log,No,PCA,0.8947575757575759,0.6091666666666667
five,sub PCA,log,No,None,0.93025,0.4617857142857142
five,sub PCA,log,col,ICA,0.8895530303030303,0.5657142857142856
five,sub PCA,log,col,PCA,0.8828636363636364,0.4308333333333333
five,sub PCA,log,col,None,0.9386136363636364,0.56
five,sub PCA,log,row,ICA,0.8824469696969698,0.6935714285714285
five,sub PCA,log,row,PCA,0.9025151515151516,0.6198809523809524
five,sub PCA,log,row,None,0.9455303030303028,0.5875
five,sub PCA,log,both,ICA,0.9069469696969696,0.5183333333333333
five,sub PCA,log,both,PCA,0.8777803030303031,0.4810714285714285
five,sub PCA,log,both,None,0.9480227272727272,0.6001190476190477
five,sub PCA,relative,No,ICA,0.8328939393939394,0.5732142857142857
five,sub PCA,relative,No,PCA,0.8488560606060607,0.5908333333333333
five,sub PCA,relative,No,None,0.922371212121212,0.4586904761904762
five,sub PCA,relative,z_after_relative,ICA,0.9123030303030304,0.6275
