Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,sum,log,No,ICA,0.7811839644693782,0.7523731884057971
four,sum,log,No,PCA,0.8128810191678354,0.7903985507246377
four,sum,log,No,None,0.892945301542777,0.8209057971014493
four,sum,log,col,ICA,0.7537237026647967,0.7223731884057972
four,sum,log,col,PCA,0.8751753155680224,0.827590579710145
four,sum,log,col,None,0.9155212716222534,0.8117572463768117
four,sum,log,row,ICA,0.7862283777466106,0.7583152173913044
four,sum,log,row,PCA,0.7999181860682563,0.762518115942029
four,sum,log,row,None,0.8715696587190276,0.7867391304347826
four,sum,log,both,ICA,0.8111524076671341,0.7573731884057971
four,sum,log,both,PCA,0.8555773726040206,0.7975
four,sum,log,both,None,0.8973796166432912,0.7752173913043479
four,sum,relative,No,ICA,0.7410857877512856,0.7521376811594203
four,sum,relative,No,PCA,0.7493314633006078,0.767391304347826
four,sum,relative,No,None,0.7515182328190744,0.7669384057971014
four,sum,relative,z_after_relative,ICA,0.7555212716222534,0.7143478260869565
four,sum,relative,z_after_relative,PCA,0.838368396446938,0.7630615942028985
four,sum,relative,z_after_relative,None,0.8626238896680691,0.7181159420289854
four,mean,log,No,ICA,0.8180913978494624,0.8026449275362321
four,mean,log,No,PCA,0.8398176718092567,0.828713768115942
four,mean,log,No,None,0.8904640018700325,0.8419202898550724
four,mean,log,col,ICA,0.7878833567087424,0.7681340579710145
four,mean,log,col,PCA,0.8850853202431044,0.8401630434782609
four,mean,log,col,None,0.9147662459093032,0.8235507246376812
four,mean,log,row,ICA,0.7962529219261338,0.7551268115942028
four,mean,log,row,PCA,0.8084712482468442,0.7564130434782609
four,mean,log,row,None,0.8750677886863021,0.7844927536231885
four,mean,log,both,ICA,0.8218676951846656,0.7503079710144928
four,mean,log,both,PCA,0.8612786348761103,0.7573913043478262
four,mean,log,both,None,0.8970301542776999,0.7683152173913044
four,mean,relative,No,ICA,0.7491479663394109,0.7337137681159419
four,mean,relative,No,PCA,0.7499906498363722,0.7644384057971013
four,mean,relative,No,None,0.7581463300607763,0.7672826086956522
four,mean,relative,z_after_relative,ICA,0.7496423562412342,0.6953804347826087
four,mean,relative,z_after_relative,PCA,0.8261570827489482,0.7101992753623189
four,mean,relative,z_after_relative,None,0.8547732585320245,0.6810688405797102
four,sub PCA,log,No,ICA,0.8422066386161757,0.8302355072463767
four,sub PCA,log,No,PCA,0.8582877512856475,0.8481340579710145
four,sub PCA,log,No,None,0.9440719962599344,0.8757971014492755
four,sub PCA,log,col,ICA,0.8059104721832633,0.7736231884057971
four,sub PCA,log,col,PCA,0.9320920991117346,0.8842572463768117
four,sub PCA,log,col,None,0.9739516129032258,0.8234057971014495
four,sub PCA,log,row,ICA,0.8123527349228612,0.7720471014492755
four,sub PCA,log,row,PCA,0.8221785881252921,0.7667572463768116
four,sub PCA,log,row,None,0.9413125292192612,0.8299275362318841
four,sub PCA,log,both,ICA,0.8532223001402525,0.8206884057971016
four,sub PCA,log,both,PCA,0.9285285179990648,0.8719202898550724
four,sub PCA,log,both,None,0.9825783076203832,0.8270833333333334
four,sub PCA,relative,No,ICA,0.7121189808321645,0.735018115942029
four,sub PCA,relative,No,PCA,0.6899368863955121,0.7347463768115943
four,sub PCA,relative,No,None,0.7043805516596541,0.7396014492753622
four,sub PCA,relative,z_after_relative,ICA,0.7723340345956053,0.6864130434782608
four,sub PCA,relative,z_after_relative,PCA,0.8926811594202898,0.6908695652173913
four,sub PCA,relative,z_after_relative,None,0.9435881252921928,0.5978260869565217
five,sum,log,No,ICA,0.884617812061711,0.8477898550724637
five,sum,log,No,PCA,0.9051262272089762,0.8785144927536231
five,sum,log,No,None,0.9731778868630202,0.8594565217391305
five,sum,log,col,ICA,0.7904488078541374,0.7485326086956522
five,sum,log,col,PCA,0.934455352968677,0.8499456521739132
