Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,mean,log,row,PCA,0.7907097922848665,0.7274901960784314
four,mean,log,row,None,0.8590504451038576,0.7252745098039214
four,mean,log,col,PCA,0.8050706231454006,0.7609019607843137
four,mean,log,col,None,0.8867394658753711,0.7872549019607843
four,mean,log,both,PCA,0.8083133531157269,0.7011960784313725
four,mean,log,both,None,0.8643572700296736,0.6967450980392156
four,mean,log,No,PCA,0.8264747774480712,0.777156862745098
four,mean,log,No,None,0.8765839762611276,0.7970392156862746
four,mean,relative,z_after_relative,PCA,0.6668201780415428,0.6197058823529411
four,mean,relative,z_after_relative,None,0.8380700296735905,0.6434117647058823
four,mean,relative,No,PCA,0.7475667655786351,0.6926470588235293
four,mean,relative,No,None,0.7668985163204748,0.6990392156862745
four,sum,log,row,PCA,0.7869780415430268,0.7307254901960785
four,sum,log,row,None,0.8702267062314542,0.7646666666666666
four,sum,log,col,PCA,0.7555988130563798,0.7110588235294117
four,sum,log,col,None,0.888179228486647,0.7627450980392156
four,sum,log,both,PCA,0.8070195845697329,0.7402745098039215
four,sum,log,both,None,0.8746611275964391,0.757156862745098
four,sum,log,No,PCA,0.7878326409495551,0.7314705882352941
four,sum,log,No,None,0.8817436201780413,0.7725490196078432
four,sum,relative,z_after_relative,PCA,0.7262884272997032,0.6742156862745098
four,sum,relative,z_after_relative,None,0.8519038575667655,0.5886666666666666
four,sum,relative,No,PCA,0.7527667655786352,0.7051176470588235
four,sum,relative,No,None,0.7629139465875372,0.7395882352941177
four,pca_anna,log,row,PCA,0.7960308605341246,0.7278039215686274
four,pca_anna,log,row,None,0.9207394658753708,0.7775490196078431
four,pca_anna,log,col,PCA,0.7665376854599406,0.7208235294117646
four,pca_anna,log,col,None,0.9582160237388724,0.8186666666666668
four,pca_anna,log,both,PCA,0.7931323442136498,0.7277058823529412
four,pca_anna,log,both,None,0.9617543026706232,0.7901176470588235
four,pca_anna,log,No,PCA,0.8327370919881305,0.7643137254901959
four,pca_anna,log,No,None,0.9279038575667656,0.8366274509803922
four,pca_anna,relative,z_after_relative,PCA,0.8174397626112759,0.7092941176470587
four,pca_anna,relative,z_after_relative,None,0.9382219584569732,0.6002549019607843
four,pca_anna,relative,No,PCA,0.7368522255192878,0.6730392156862745
four,pca_anna,relative,No,None,0.7516771513353115,0.6796470588235294
five,mean,log,row,PCA,0.8384391691394657,0.7820980392156863
five,mean,log,row,None,0.9380771513353114,0.787
five,mean,log,col,PCA,0.8536652818991097,0.7909019607843136
five,mean,log,col,None,0.9509673590504448,0.8030588235294118
five,mean,log,both,PCA,0.8626718100890207,0.7915098039215687
five,mean,log,both,None,0.9488379821958456,0.774843137254902
five,mean,log,No,PCA,0.8628284866468843,0.8197254901960783
five,mean,log,No,None,0.935506231454006,0.8327843137254901
five,mean,relative,z_after_relative,PCA,0.7176035608308606,0.6058235294117648
five,mean,relative,z_after_relative,None,0.9138741839762612,0.7005490196078432
five,mean,relative,No,PCA,0.749213056379822,0.6782352941176469
five,mean,relative,No,None,0.7766421364985163,0.7170000000000001
five,sum,log,row,PCA,0.8717412462908012,0.8151960784313727
five,sum,log,row,None,0.9468795252225519,0.8049215686274509
five,sum,log,col,PCA,0.8013376854599406,0.7380588235294117
five,sum,log,col,None,0.9601293768545996,0.7902549019607843
five,sum,log,both,PCA,0.8549851632047478,0.7724509803921568
five,sum,log,both,None,0.9552712166172106,0.7788235294117647
five,sum,log,No,PCA,0.8743109792284867,0.830843137254902
five,sum,log,No,None,0.9529448071216616,0.8108235294117647
five,sum,relative,z_after_relative,PCA,0.7298112759643918,0.6393725490196077
five,sum,relative,z_after_relative,None,0.9082053412462908,0.6631176470588236
five,sum,relative,No,PCA,0.7487038575667656,0.7100784313725491
five,sum,relative,No,None,0.7589780415430266,0.7236274509803922
five,pca_anna,log,row,PCA,0.8137744807121661,0.7245686274509803
five,pca_anna,log,row,None,0.9484783382789318,0.7821960784313725
five,pca_anna,log,col,PCA,0.7565851632047478,0.695392156862745
five,pca_anna,log,col,None,0.9607418397626112,0.7691176470588235
five,pca_anna,log,both,PCA,0.7849281899109792,0.7038039215686274
five,pca_anna,log,both,None,0.9695323442136501,0.764
five,pca_anna,log,No,PCA,0.8400688427299703,0.7666274509803922
five,pca_anna,log,No,None,0.9475323442136498,0.8247647058823531
five,pca_anna,relative,z_after_relative,PCA,0.7466528189910979,0.6263725490196078
five,pca_anna,relative,z_after_relative,None,0.951994065281899,0.7308431372549019
five,pca_anna,relative,No,PCA,0.7523133531157271,0.6379215686274511
five,pca_anna,relative,No,None,0.7679454005934716,0.6796274509803922
six,mean,log,row,PCA,0.8996700296735904,0.8329803921568626
six,mean,log,row,None,0.9828106824925816,0.8136862745098039
six,mean,log,col,PCA,0.8314255192878339,0.7615294117647059
six,mean,log,col,None,0.9937531157270028,0.8001568627450981
six,mean,log,both,PCA,0.8678445103857566,0.7792352941176469
six,mean,log,both,None,0.9940356083086052,0.7955098039215687
six,mean,log,No,PCA,0.9134195845697328,0.8703921568627451
six,mean,log,No,None,0.9763999999999998,0.8483529411764705
six,mean,relative,z_after_relative,PCA,0.7544296735905044,0.6141176470588237
six,mean,relative,z_after_relative,None,0.983840949554896,0.7257647058823531
six,mean,relative,No,PCA,0.7628284866468843,0.6899607843137255
six,mean,relative,No,None,0.7871204747774481,0.7110196078431372
six,sum,log,row,PCA,0.9035691394658754,0.8368627450980392
six,sum,log,row,None,0.9821626112759644,0.805470588235294
six,sum,log,col,PCA,0.806919881305638,0.7404117647058824
six,sum,log,col,None,0.9952961424332344,0.7938039215686274
six,sum,log,both,PCA,0.8462124629080119,0.7572156862745097
six,sum,log,both,None,0.9956237388724036,0.7908823529411765
six,sum,log,No,PCA,0.9055086053412464,0.8608823529411764
six,sum,log,No,None,0.9859275964391688,0.8226274509803921
six,sum,relative,z_after_relative,PCA,0.791233234421365,0.6587450980392157
six,sum,relative,z_after_relative,None,0.9810872403560832,0.730843137254902
six,sum,relative,No,PCA,0.7501175074183977,0.6981568627450981
six,sum,relative,No,None,0.7727418397626113,0.7251960784313725
six,pca_anna,log,row,PCA,0.8608557863501484,0.7981960784313724
six,pca_anna,log,row,None,0.9731762611275964,0.7942549019607843
six,pca_anna,log,col,PCA,0.7920237388724035,0.7175294117647057
six,pca_anna,log,col,None,0.9880771513353116,0.8165490196078432
six,pca_anna,log,both,PCA,0.814193471810089,0.7176470588235294
six,pca_anna,log,both,None,0.9900059347181008,0.8201960784313725
six,pca_anna,log,No,PCA,0.8511145400593472,0.7657450980392156
six,pca_anna,log,No,None,0.9702777448071216,0.8376470588235294
six,pca_anna,relative,z_after_relative,PCA,0.8145804154302672,0.6851960784313725
six,pca_anna,relative,z_after_relative,None,0.983920474777448,0.7489607843137253
six,pca_anna,relative,No,PCA,0.7525578635014836,0.6384705882352941
six,pca_anna,relative,No,None,0.7704106824925816,0.6819607843137255
