Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
four,mean,log,row,1,0.8456272997032641,0.7234509803921568
four,mean,log,row,0,0.9431519287833828,0.751235294117647
four,mean,log,col,1,0.9312035608308604,0.7174117647058823
four,mean,log,col,0,0.9443020771513352,0.7879117647058824
four,mean,log,both,1,0.9130729970326408,0.7324803921568629
four,mean,log,both,0,0.9431519287833828,0.751235294117647
four,mean,log,No,1,0.8895050445103858,0.7058333333333334
four,mean,log,No,0,0.9443020771513352,0.7879117647058824
four,mean,relative,z_after_relative,1,0.8716818991097923,0.6850196078431372
four,mean,relative,z_after_relative,0,0.9053786350148368,0.7334215686274509
four,mean,relative,No,1,0.8143489614243322,0.7051078431372549
four,mean,relative,No,0,0.9053786350148368,0.7334215686274509
four,sum,log,row,1,0.8906255192878337,0.7112745098039215
four,sum,log,row,0,0.9345715133531158,0.7827941176470589
four,sum,log,col,1,0.921046290801187,0.7077156862745099
four,sum,log,col,0,0.9443020771513352,0.7879117647058824
four,sum,log,both,1,0.9093566765578636,0.7242058823529411
four,sum,log,both,0,0.9345715133531158,0.7827941176470589
four,sum,log,No,1,0.8835299703264095,0.6803529411764706
four,sum,log,No,0,0.9443020771513352,0.7879117647058824
four,sum,relative,z_after_relative,1,0.8955270029673592,0.6935980392156864
four,sum,relative,z_after_relative,0,0.9102314540059347,0.7433627450980391
four,sum,relative,No,1,0.872633827893175,0.7405294117647059
four,sum,relative,No,0,0.9102314540059347,0.7433627450980391
four,pca_anna,log,row,1,0.8805839762611276,0.7703725490196078
four,pca_anna,log,row,0,0.953814243323442,0.7107254901960783
four,pca_anna,log,col,1,0.9552094955489612,0.7893137254901958
four,pca_anna,log,col,0,0.9711738872403559,0.8342156862745097
four,pca_anna,log,both,1,0.9411548961424332,0.7378627450980392
four,pca_anna,log,both,0,0.9726646884272996,0.8052549019607843
four,pca_anna,log,No,1,0.9421655786350148,0.8233627450980391
four,pca_anna,log,No,0,0.9589388724035608,0.7807450980392158
four,pca_anna,relative,z_after_relative,1,0.9598320474777448,0.6936960784313725
four,pca_anna,relative,z_after_relative,0,0.952560237388724,0.7422156862745098
