ID,Unassigned;p__;c__;o__;f___0,Unassigned;p__;c__;o__;f___1,Unassigned;p__;c__;o__;f___2,Unassigned;p__;c__;o__;f___3,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae_1,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f___0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f___1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]_0,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae_1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_2,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae_1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae_1,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae_0,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae_1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae_0,k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__F16_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae_0
72d8,-0.7056251158790583,-0.6225424114720253,-0.0553767912420188,-0.17356652939514977,0.09329348241093155,-0.860154515638462,-0.16049707662650708,-0.9714247941851821,-0.16933557984123157,-0.852946380272176,-0.9067943040218255,-1.483454268495908,-0.6379846980098038,-0.7598423264665529,-1.0529462561757534,-0.06077554989202743,-0.7573681295518775,-0.315035410934852,0.2939015825808289,-0.3740699673639098,0.5990551404391389,-0.2241112483104677,1.162324212984287,-0.23730777390995492,6.56161272919208,-0.967261657756184,0.014386725492113044,-0.35415428110798514,9.551072774076847,-0.3373167086024698,5.378462586938345,-0.8435133285630546,0.46996680159151344,-0.2071933890907896,-0.1884748676438417,-0.06257750920627402,-0.5056583340037223,2.2124521234109955,2.873501339706849,0.10214525507408352,0.1118864242438183,-0.23236848895035367,0.21222994858577163,-0.7662584349863331,-0.3861078586248507,-0.19171662469513903,-0.3888772638724908,-0.11772285740321169,0.6420032258731951,-0.7118424162738014,-0.047972370155774005,0.039911370636889994,-0.5871865202228774,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.5015316186977915
72d14,-2.951410177445488,-3.9883548312376513,3.3172539077105445,6.995909465470631,-0.1907425253949852,-0.860154515638462,-0.16049707662650708,0.03424455496171638,-0.3037765510826439,-0.8225746881137932,-0.4709372121225564,0.32920121428684046,0.13948792754590097,-0.7568495118768842,0.9643866679347344,-0.323758964069164,-0.6489508805395016,-0.315035410934852,0.4397119599723727,-0.3740699673639098,-0.5793950222443555,-0.2241112483104677,0.8919334321835755,-0.23730777390995492,-0.1697792680258225,-0.8220133243389492,0.008565479123669312,1.8523537739758815,-0.2415152104647671,-0.7154033801140695,2.3479844474905436,-0.9535953464022164,0.409363910927641,-0.2071933890907896,0.060620986724844825,-0.7051683616110185,-0.16854038651851297,-0.6837251466523844,1.6216645264268121,-0.34346897705851986,1.3092905063932694,-0.23236848895035367,-0.0006870902813944155,-0.8133470635331167,1.426985619311665,-0.19171662469513903,0.13598104348032433,-0.11772285740321169,-0.31214687379153505,-0.5923243772067023,-0.047972370155774005,0.039911370636889994,0.5916311414531424,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.47175808125270124
949.di,-0.6070973361428139,-0.6688595716713293,-0.03669639423700836,-0.1990916496274592,-0.1907425253949852,4.189060988362881,-0.14705501016006467,0.9231751491998429,-0.4778771873857726,-1.2497004176751023,-0.026324676084209016,-1.2970192698199559,-0.6884671696395627,-0.7530248957098598,0.12721274731705148,-0.20989354020631873,-0.6105059085469131,-0.258042108465844,-0.11528586409906198,-0.3740699673639098,-0.5173055444854706,-0.2241112483104677,-0.27801362353992315,0.7630694457979729,-0.587531476599737,1.105132275658293,-0.07820176645712064,-0.3917306957656749,0.4807490823830827,-0.7154033801140695,-0.7367718737005197,-0.1816235374284481,-0.6279222309198919,-0.2071933890907896,-0.9597670782596024,-0.10281720933280346,-0.27261525099807543,-0.5788789740586938,-0.3418681234720408,-1.0225539523118086,0.0464398296792563,-0.23236848895035367,-0.269893464149745,0.3130034062438877,0.06750309944864047,-0.19171662469513903,-0.702810514411061,-0.11772285740321169,1.8848347361894684,4.695495104616514,-0.047972370155774005,0.039911370636889994,-0.590068175895032,-0.15691203556686995,0.12959525463293928,4.3630367070034906,-0.4984013670104887
632.d0,-0.48467941515679136,-0.615586475630915,-0.020835893295895316,-0.26157605311308396,-0.1907425253949852,0.9027276379744114,-0.11182184885304387,2.266254750552291,-0.044131604412519704,-0.30247943060491445,0.498009105508826,-0.8405559080185043,-0.598357050382123,0.26804420231331166,2.4182706482166703,-0.5063650419382861,0.7350179931949113,-0.2180043782077713,-0.2958408088072534,-0.3740699673639098,-0.5383418618722019,-0.2241112483104677,-0.27801362353992315,-0.23730777390995492,-0.6040175717615837,1.3585660946160243,-0.01979090081035141,-0.39194189016275277,0.49364893987100367,0.9996729502862574,-0.6986496662118816,0.8824239781585593,-0.7891574512809247,-0.2071933890907896,-1.1960496260366866,-0.09946680262035923,-0.21206857340825644,-0.6837251466523844,-0.4396938751343373,-1.1138322680253783,0.14393691818894008,-0.15123180248842574,-0.9219524603444534,1.3546102731121716,-0.06838517025575518,-0.19171662469513903,-0.17246969642061946,-0.11772285740321169,-0.5268296734253982,-0.04399758148548501,-0.14764791987203643,-0.03625472691546185,-0.5903619513180262,-0.15691203556686995,-0.045721968505672894,1.1382247678632182,-0.5004657687092605
614.d0,-0.4831463028046117,4.31373442088203,0.14246305010908564,-0.3107979366727503,-0.1907425253949852,-0.5555186415194648,-0.157558670662621,-0.26945985704801995,-0.19206771641267623,1.8869610451726162,-0.729037795003487,-1.2082833678423213,-0.5617839290646782,0.536378463861868,0.3867177584120089,-0.24804799063181046,-0.0440491645278185,-0.2984610361925649,-0.30169514222739413,-0.3740699673639098,1.9269073802114802,-0.2241112483104677,-0.27801362353992315,-0.23730777390995492,-0.5848401100310207,0.20927600705989427,0.029548836394675145,-0.39335408030773017,-0.3807736719125314,-0.7154033801140695,-0.7707262957834312,-0.14477175045076768,0.29739169496224765,-0.2071933890907896,0.3480817945613121,-0.12992573584346306,-0.08272341745596828,-0.19587561217565003,-0.4396938751343373,1.3540585432641326,0.19583450054812518,-0.23236848895035367,-0.03266712106984039,-0.7222693338786038,-0.4421539725995903,-0.19171662469513903,-0.24459184684168597,-0.11772285740321169,0.4588735425219316,-0.26677389784769945,-0.047972370155774005,0.039911370636889994,-0.5896784823853841,-0.15691203556686995,0.21931506206428575,-0.23412007962111073,-0.49789035123263664
98di,-0.5428960229170289,1.4948592272627343,-0.25558950380015216,0.23936269236410254,0.027726897735496685,2.9792376461720496,-0.08065978448446369,0.8818324116151275,0.023365827240604955,-0.8946072588183532,-0.18661339224232926,-0.6886833054284984,-0.4221508835810166,-0.03670767079635428,0.3074138364163,-0.23920346518822655,-0.06561074767005057,-0.315035410934852,0.21336701995087018,0.8058374695071319,-0.5291554473440261,-0.2241112483104677,1.6452291024116386,0.4557780922236461,0.33271403872048844,3.288069886456882,-0.09922918275826084,-0.3917306957656749,-0.48551617626094473,-0.4245938533342661,-0.893398945238409,0.11233819946667548,-0.7409797651076017,-0.2071933890907896,-1.2478641769264212,-0.12354861389640727,-0.3731697581143144,0.19782020006333317,-0.4396938751343373,-0.8907901643777579,-0.07229850228450264,-0.23236848895035367,-0.7973283333252991,1.388026485283306,-0.3976747528784443,-0.19171662469513903,-0.40098026753342586,-0.11772285740321169,-0.5316626281663012,-0.05030923675807483,-0.047972370155774005,0.039911370636889994,-0.5903619513180262,-0.15691203556686995,-0.41998773432467185,-0.05959827470129784,-0.5015316186977915
71di,0.627438124135685,-0.5743649357558148,-1.4129827220545685,0.07397207715080582,-0.1907425253949852,-0.8579743472675817,-0.16037638589182962,-0.7405062463241295,-0.20694530170890443,-0.6094551889895561,-1.1081389695733779,-1.4179171083487305,-0.6952995048299206,-0.7528678014759431,1.47515926174186,-0.4033539419937141,-0.5927652827406887,-0.315035410934852,-0.5101308896203887,0.8704175732800778,5.529468047345629,-0.2241112483104677,-0.27801362353992315,-0.23730777390995492,-0.5317347802730273,-0.863020437876834,0.011975009430583232,-0.3917306957656749,-0.4682089096508169,-0.10195045750554074,-0.8995004018421378,-0.35349487219416675,0.42402614071899525,-0.2071933890907896,2.2176048915760247,-1.0089664915321859,-1.0152416645011937,0.7464367956238865,-0.3825053305643121,1.0113816861225904,0.0920595729872162,-0.23236848895035367,1.7069516128472175,-0.6162341667833544,-0.466090991834426,-0.19171662469513903,-0.6786104641968425,-0.11772285740321169,2.7336047653031486,-1.1759361418718302,-0.047972370155774005,0.039911370636889994,-0.58978948484623,-0.15691203556686995,-0.01838270286745447,-0.23412007962111073,-0.5015316186977915
615.d0,8.490611156188313,-0.4640432633902833,8.35719318322451,-1.6614795295044047,-0.1907425253949852,0.7596109162167296,-0.11683388860425759,-0.627842600951132,-0.11023416462426354,4.572775746709296,1.7203309691995279,-1.059276984434872,-0.5405826639267837,0.8174676619237474,0.8079617411340919,-0.31024260732738795,-0.2627916370780715,0.13668791839387587,-0.09671433781524252,-0.3740699673639098,-0.4128631145925625,-0.2241112483104677,-0.27801362353992315,-0.23730777390995492,-0.5802599036863368,-0.8839804738565203,-0.2392661443015903,-0.3928479746391341,0.43280326479699055,-0.11052036653686768,-0.8694169628113183,-0.181471686236031,-0.028078134763516185,-0.2071933890907896,-0.5376199073253569,-0.09757172246009017,0.016645567447137587,-0.18008848739754538,-0.4396938751343373,0.44780018839560287,0.2762415016097168,0.7977986772322379,0.30933228181962114,-0.4669748892598046,-0.4107156095861625,-0.19171662469513903,-0.5310288174867845,1.082883618880238,0.4779027984632402,1.5953828417848883,-0.5752845879006003,-0.3630291090657933,-0.59007971674723,-0.15691203556686995,-0.023993106631571618,-0.23412007962111073,-0.5015316186977915
85d8,-1.6094599219772772,-1.8683260114993343,1.229627937017734,2.582053124809799,-0.1907425253949852,-0.846747041546289,-0.15975485968584946,-1.1950314270625237,-0.1278927070476779,-1.423563994465448,-0.12144879090206338,-1.2203291052994636,-0.6403007673797817,-0.7569701256116314,-1.42780405568954,-0.010956070534543325,-0.756401826205674,-0.315035410934852,-0.45501263726883173,-0.3740699673639098,0.6761595708380095,-0.2241112483104677,-0.12830737064732528,-0.23730777390995492,11.915500559365292,-0.4224205897745619,1.2587265436544322,1.8288110016400325,-0.2104681360036059,-0.3617242384378085,4.313670775416833,-0.8624577479826727,-0.632459219073257,-0.2071933890907896,-1.2526095695102186,-0.10549103365759606,-0.2911417507183346,-0.6837251466523844,2.967349724387871,-1.0533502156272725,0.179763643299642,-0.23236848895035367,-0.3156868436108966,-0.8067942674743078,-0.04701637707125777,-0.19171662469513903,-0.7103172726895173,-0.11772285740321169,-0.5340220663583636,-0.3551946542447493,-0.047972370155774005,0.039911370636889994,4.670277872959543,4.154130801290038,-0.41998773432467185,-0.23412007962111073,-0.4879041946876311
631.di,-0.15720653080921457,-0.4399526507054436,0.01939474689608963,-0.4379220615467709,-0.1907425253949852,-0.860154515638462,-0.16049707662650708,0.46291869525345136,-0.39304787281386244,-0.9538990059420556,0.44865779748317725,-1.3391884740669728,-0.515219309659966,0.5770173668688354,-0.34064150878608973,-0.15512909550939483,3.3947004924880453,-0.315035410934852,-0.5093039934739179,-0.3740699673639098,-0.5908418496373583,-0.2241112483104677,-0.27801362353992315,-0.23730777390995492,-0.21275219051217314,3.918314809392416,-0.2748536783896044,-0.3917306957656749,-0.2988174902954546,-0.7154033801140695,1.8031425374222685,0.183216680815301,-0.5647665913411418,-0.2071933890907896,-1.2103571746659243,0.04851392843965419,-0.351935731084959,-0.6837251466523844,-0.4396938751343373,-0.9281760070182794,0.04119637288070576,-0.23236848895035367,-0.38831966202396045,0.6415412590206041,-0.541968991328933,-0.19171662469513903,0.14415365768278954,-0.11772285740321169,-0.6438239372536941,-0.24067857472387708,-0.047972370155774005,0.039911370636889994,-0.586875857377918,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.4690295550090129
