Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
four,mean,log,row,1,0.6468840579710144,0.6361111111111111
four,mean,log,row,0,0.7232194616977226,0.6563492063492063
four,mean,log,col,1,0.6283850931677019,0.5484920634920636
four,mean,log,col,0,0.7445496894409938,0.6377777777777779
four,mean,log,both,1,0.626583850931677,0.5283333333333333
four,mean,log,both,0,0.7439233954451345,0.6361111111111111
four,mean,log,No,1,0.6511024844720497,0.6307936507936507
four,mean,log,No,0,0.7293581780538302,0.6592857142857143
four,mean,relative,z_after_relative,1,0.6662008281573499,0.5567460317460317
four,mean,relative,z_after_relative,0,0.7307194616977225,0.6407936507936508
four,mean,relative,No,1,0.558379917184265,0.4661904761904762
four,mean,relative,No,0,0.6307453416149067,0.5474603174603174
four,sum,log,row,1,0.6746118012422362,0.6476190476190476
four,sum,log,row,0,0.7213043478260869,0.6473809523809524
four,sum,log,col,1,0.6375621118012422,0.5475396825396825
four,sum,log,col,0,0.7448084886128363,0.6373809523809524
four,sum,log,both,1,0.6448291925465838,0.5687301587301586
four,sum,log,both,0,0.7472308488612835,0.6319841269841271
four,sum,log,No,1,0.6739026915113872,0.6419841269841269
four,sum,log,No,0,0.7344565217391305,0.6458730158730159
four,sum,relative,z_after_relative,1,0.6656832298136646,0.5977777777777779
four,sum,relative,z_after_relative,0,0.712815734989648,0.6119047619047617
four,sum,relative,No,1,0.5901552795031055,0.5314285714285714
four,sum,relative,No,0,0.5928674948240166,0.5356349206349207
four,pca_anna,log,row,1,0.6782556935817806,0.6014285714285714
four,pca_anna,log,row,0,0.7889803312629399,0.6911111111111109
four,pca_anna,log,col,1,0.6828778467908903,0.5819047619047618
four,pca_anna,log,col,0,0.7942132505175984,0.6297619047619046
four,pca_anna,log,both,1,0.6840734989648033,0.6065079365079366
four,pca_anna,log,both,0,0.8008178053830228,0.6672222222222223
four,pca_anna,log,No,1,0.6774896480331263,0.585079365079365
four,pca_anna,log,No,0,0.785175983436853,0.6840476190476191
four,pca_anna,relative,z_after_relative,1,0.6785973084886129,0.4897619047619048
four,pca_anna,relative,z_after_relative,0,0.7750207039337476,0.5328571428571429
four,pca_anna,relative,No,1,0.6103830227743271,0.476984126984127
four,pca_anna,relative,No,0,0.6152950310559007,0.477936507936508
five,mean,log,row,1,0.6763664596273291,0.6387301587301587
five,mean,log,row,0,0.7770600414078676,0.6443650793650794
five,mean,log,col,1,0.6687939958592133,0.5362698412698412
five,mean,log,col,0,0.8211076604554866,0.6089682539682539
five,mean,log,both,1,0.677251552795031,0.5649206349206349
five,mean,log,both,0,0.8167287784679089,0.6006349206349205
five,mean,log,No,1,0.6896118012422361,0.6181746031746032
five,mean,log,No,0,0.7929347826086957,0.6271428571428572
five,mean,relative,z_after_relative,1,0.6913509316770186,0.4634126984126984
five,mean,relative,z_after_relative,0,0.8015269151138715,0.535
five,mean,relative,No,1,0.610527950310559,0.4634920634920634
five,mean,relative,No,0,0.6177018633540372,0.4642063492063492
five,sum,log,row,1,0.7023343685300207,0.6534126984126984
five,sum,log,row,0,0.7639958592132505,0.6468253968253969
five,sum,log,col,1,0.7025879917184265,0.5692857142857143
five,sum,log,col,0,0.8215527950310558,0.5823809523809524
five,sum,log,both,1,0.6900983436853002,0.5753968253968254
five,sum,log,both,0,0.8153674948240166,0.5865873015873017
five,sum,log,No,1,0.6959679089026914,0.6365079365079366
five,sum,log,No,0,0.7964440993788819,0.5999206349206349
five,sum,relative,z_after_relative,1,0.7483022774327122,0.5945238095238096
five,sum,relative,z_after_relative,0,0.8138198757763975,0.584047619047619
five,sum,relative,No,1,0.5822567287784679,0.5209523809523811
five,sum,relative,No,0,0.5968840579710145,0.528968253968254
five,pca_anna,log,row,1,0.6999534161490683,0.6528571428571428
five,pca_anna,log,row,0,0.7998809523809524,0.660079365079365
five,pca_anna,log,col,1,0.6811438923395444,0.5514285714285714
five,pca_anna,log,col,0,0.8299327122153208,0.6361111111111111
five,pca_anna,log,both,1,0.6787163561076605,0.5773809523809524
five,pca_anna,log,both,0,0.8452536231884058,0.614761904761905
five,pca_anna,log,No,1,0.7042650103519669,0.6052380952380952
five,pca_anna,log,No,0,0.8070496894409938,0.6403174603174604
five,pca_anna,relative,z_after_relative,1,0.6814440993788821,0.4361904761904761
five,pca_anna,relative,z_after_relative,0,0.8391149068322982,0.5103174603174604
five,pca_anna,relative,No,1,0.6117236024844721,0.4653174603174602
five,pca_anna,relative,No,0,0.6230693581780539,0.4686507936507937
six,mean,log,row,1,0.7048084886128365,0.654920634920635
six,mean,log,row,0,0.8415838509316771,0.6266666666666667
six,mean,log,col,1,0.7246946169772257,0.5611904761904761
six,mean,log,col,0,0.8889855072463767,0.5785714285714286
six,mean,log,both,1,0.7219668737060041,0.5630158730158729
six,mean,log,both,0,0.8826138716356108,0.5755555555555555
six,mean,log,No,1,0.7078105590062113,0.6379365079365079
six,mean,log,No,0,0.8524068322981366,0.6165079365079364
six,mean,relative,z_after_relative,1,0.7010248447204969,0.450952380952381
six,mean,relative,z_after_relative,0,0.8850310559006211,0.4957142857142857
six,mean,relative,No,1,0.6154606625258798,0.468015873015873
six,mean,relative,No,0,0.622851966873706,0.4704761904761905
six,sum,log,row,1,0.7159006211180123,0.6364285714285715
six,sum,log,row,0,0.8336801242236025,0.6327777777777778
six,sum,log,col,1,0.7149327122153208,0.5609523809523809
six,sum,log,col,0,0.8807712215320909,0.5655555555555556
six,sum,log,both,1,0.7180124223602485,0.566984126984127
six,sum,log,both,0,0.8819565217391305,0.5675396825396826
six,sum,log,No,1,0.7195289855072464,0.6192857142857142
six,sum,log,No,0,0.8582815734989648,0.5835714285714286
six,sum,relative,z_after_relative,1,0.7257039337474119,0.5591269841269842
six,sum,relative,z_after_relative,0,0.8847826086956522,0.5273809523809523
six,sum,relative,No,1,0.5837111801242236,0.5219047619047619
six,sum,relative,No,0,0.5958540372670809,0.5301587301587302
six,pca_anna,log,row,1,0.6963095238095238,0.645
six,pca_anna,log,row,0,0.8057763975155279,0.6293650793650793
six,pca_anna,log,col,1,0.6764492753623187,0.5526984126984127
six,pca_anna,log,col,0,0.8462111801242237,0.5817460317460318
six,pca_anna,log,both,1,0.6933385093167701,0.5783333333333334
six,pca_anna,log,both,0,0.8460403726708073,0.5988888888888889
six,pca_anna,log,No,1,0.6866459627329191,0.6077777777777778
six,pca_anna,log,No,0,0.817675983436853,0.6317460317460317
six,pca_anna,relative,z_after_relative,1,0.6966252587991718,0.4544444444444444
six,pca_anna,relative,z_after_relative,0,0.8592857142857144,0.4853968253968254
six,pca_anna,relative,No,1,0.6084627329192547,0.4742063492063493
six,pca_anna,relative,No,0,0.620703933747412,0.46492063492063496
