Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,sum,log,No,ICA,0.7474409681227863,0.6795299145299145
four,sum,log,No,PCA,0.7489610389610389,0.6799145299145299
four,sum,log,No,None,0.8312278630460448,0.6873504273504274
four,sum,log,col,ICA,0.7370543093270366,0.6361111111111111
four,sum,log,col,PCA,0.7727154663518301,0.6564102564102564
four,sum,log,col,None,0.8436806375442739,0.6626495726495726
four,sum,log,row,ICA,0.7462957497048406,0.6817948717948717
four,sum,log,row,PCA,0.7481847697756788,0.7034615384615385
four,sum,log,row,None,0.8161038961038961,0.7100854700854702
four,sum,log,both,ICA,0.7504574970484061,0.6588888888888889
four,sum,log,both,PCA,0.7575855962219599,0.6673076923076923
four,sum,log,both,None,0.8502420306965762,0.6815811965811966
four,sum,relative,No,ICA,0.6111009445100354,0.6114529914529915
four,sum,relative,No,PCA,0.6091646989374262,0.6210683760683761
four,sum,relative,No,None,0.6162691853600945,0.6135897435897436
four,sum,relative,z_after_relative,ICA,0.6939433293978748,0.6327350427350427
four,sum,relative,z_after_relative,PCA,0.7939492325855961,0.7202564102564103
four,sum,relative,z_after_relative,None,0.8454043683589139,0.6770940170940172
four,mean,log,No,ICA,0.7332408500590317,0.6655128205128206
four,mean,log,No,PCA,0.7421103896103896,0.6464957264957265
four,mean,log,No,None,0.8276180637544273,0.6979059829059828
four,mean,log,col,ICA,0.748034238488784,0.6473931623931624
four,mean,log,col,PCA,0.7808618654073199,0.6656410256410257
four,mean,log,col,None,0.8513282172373081,0.6481196581196581
four,mean,log,row,ICA,0.7529604486422672,0.7071367521367521
four,mean,log,row,PCA,0.7548907910271547,0.7035470085470086
four,mean,log,row,None,0.83280106257379,0.7026068376068375
four,mean,log,both,ICA,0.7456463990554901,0.6520085470085469
four,mean,log,both,PCA,0.7467384887839432,0.6475213675213676
four,mean,log,both,None,0.8499173553719008,0.6582051282051282
four,mean,relative,No,ICA,0.6324114521841795,0.5892307692307692
four,mean,relative,No,PCA,0.6233205430932705,0.5826068376068376
four,mean,relative,No,None,0.6731788665879576,0.6161538461538462
four,mean,relative,z_after_relative,ICA,0.6985832349468712,0.6296153846153847
four,mean,relative,z_after_relative,PCA,0.7957556080283353,0.7132051282051282
four,mean,relative,z_after_relative,None,0.8531198347107438,0.6752991452991454
four,sub PCA,log,No,ICA,0.7808648170011807,0.7593162393162393
four,sub PCA,log,No,PCA,0.7921605667060212,0.7359829059829059
four,sub PCA,log,No,None,0.8728246753246752,0.7736324786324786
four,sub PCA,log,col,ICA,0.7751889020070838,0.729017094017094
four,sub PCA,log,col,PCA,0.7895425029515939,0.7178205128205128
four,sub PCA,log,col,None,0.9184533648170012,0.7034615384615385
four,sub PCA,log,row,ICA,0.7981139315230225,0.7965811965811965
four,sub PCA,log,row,PCA,0.8114285714285715,0.7997863247863248
four,sub PCA,log,row,None,0.903659976387249,0.7890170940170941
four,sub PCA,log,both,ICA,0.7745336481700117,0.7361965811965812
four,sub PCA,log,both,PCA,0.7899025974025973,0.7175213675213675
four,sub PCA,log,both,None,0.9247432113341204,0.6994017094017094
four,sub PCA,relative,No,ICA,0.6652036599763872,0.6619230769230771
four,sub PCA,relative,No,PCA,0.6582438016528925,0.6521794871794871
four,sub PCA,relative,No,None,0.6825088547815821,0.6656410256410257
four,sub PCA,relative,z_after_relative,ICA,0.7752095631641086,0.7141025641025641
four,sub PCA,relative,z_after_relative,PCA,0.8177213695395514,0.7152136752136752
four,sub PCA,relative,z_after_relative,None,0.9324262101534828,0.6973504273504274
five,sum,log,No,ICA,0.8115672963400236,0.7368376068376069
five,sum,log,No,PCA,0.8189521841794569,0.7715811965811965
five,sum,log,No,None,0.8955165289256198,0.6737606837606838
five,sum,log,col,ICA,0.7938990554899645,0.659102564102564
five,sum,log,col,PCA,0.8230135773317592,0.7212820512820511
five,sum,log,col,None,0.9183028335301062,0.6528205128205128
five,sum,log,row,ICA,0.8113459268004722,0.7489743589743589
five,sum,log,row,PCA,0.8216853600944508,0.7739743589743591
five,sum,log,row,None,0.8727715466351831,0.7183760683760684
five,sum,log,both,ICA,0.792322904368359,0.6851709401709402
five,sum,log,both,PCA,0.8144096812278631,0.6996153846153845
five,sum,log,both,None,0.9205578512396696,0.6616239316239316
five,sum,relative,No,ICA,0.6229752066115702,0.6226068376068375
five,sum,relative,No,PCA,0.6231641086186541,0.6303418803418803
five,sum,relative,No,None,0.6269628099173553,0.6282478632478632
five,sum,relative,z_after_relative,ICA,0.7458559622195986,0.6748290598290598
five,sum,relative,z_after_relative,PCA,0.8275059031877213,0.7273931623931624
five,sum,relative,z_after_relative,None,0.9008412042502952,0.648931623931624
five,mean,log,No,ICA,0.7875796930342387,0.7483760683760683
five,mean,log,No,PCA,0.8083618654073199,0.7638888888888888
five,mean,log,No,None,0.8871930342384888,0.7076495726495726
five,mean,log,col,ICA,0.7794805194805194,0.6508547008547009
five,mean,log,col,PCA,0.810693624557261,0.7361111111111109
five,mean,log,col,None,0.9157880755608028,0.6731196581196581
five,mean,log,row,ICA,0.7953541912632822,0.7605982905982906
five,mean,log,row,PCA,0.8169539551357734,0.7889743589743591
five,mean,log,row,None,0.9064433293978748,0.715
five,mean,log,both,ICA,0.7927863046044865,0.6701282051282053
five,mean,log,both,PCA,0.8147461629279811,0.6881196581196579
five,mean,log,both,None,0.9218506493506492,0.6722649572649573
five,mean,relative,No,ICA,0.6900206611570249,0.6830769230769231
five,mean,relative,No,PCA,0.6796782762691853,0.675042735042735
five,mean,relative,No,None,0.700056080283353,0.6751282051282051
five,mean,relative,z_after_relative,ICA,0.755280401416765,0.6591880341880342
five,mean,relative,z_after_relative,PCA,0.8190053128689493,0.7126068376068376
five,mean,relative,z_after_relative,None,0.8937012987012987,0.6683333333333333
five,sub PCA,log,No,ICA,0.7771487603305784,0.7512393162393163
five,sub PCA,log,No,PCA,0.7926180637544273,0.7488888888888889
five,sub PCA,log,No,None,0.9061275088547815,0.7552564102564102
five,sub PCA,log,col,ICA,0.7879604486422669,0.6798717948717949
five,sub PCA,log,col,PCA,0.8089256198347108,0.6558547008547008
five,sub PCA,log,col,None,0.9401564344746164,0.7185042735042735
five,sub PCA,log,row,ICA,0.7916824085005904,0.7758974358974359
five,sub PCA,log,row,PCA,0.8088606847697757,0.7808547008547009
five,sub PCA,log,row,None,0.9186245572609208,0.77
five,sub PCA,log,both,ICA,0.8168240850059032,0.7109829059829059
five,sub PCA,log,both,PCA,0.8373229043683589,0.6997435897435897
five,sub PCA,log,both,None,0.9555312868949232,0.7376923076923076
five,sub PCA,relative,No,ICA,0.671310507674144,0.6555128205128204
five,sub PCA,relative,No,PCA,0.6632939787485242,0.6489316239316241
five,sub PCA,relative,No,None,0.6912632821723731,0.6642735042735044
five,sub PCA,relative,z_after_relative,ICA,0.8011511216056671,0.7296581196581196
five,sub PCA,relative,z_after_relative,PCA,0.8459120425029517,0.7344871794871796
five,sub PCA,relative,z_after_relative,None,0.9547432113341204,0.7116666666666667
six,sum,log,No,ICA,0.8190968122786304,0.7424786324786324
six,sum,log,No,PCA,0.8393181818181819,0.7657692307692308
six,sum,log,No,None,0.9503069657615112,0.6191452991452993
six,sum,log,col,ICA,0.8130696576151122,0.6603846153846155
six,sum,log,col,PCA,0.8521576151121607,0.681025641025641
six,sum,log,col,None,0.9740377804014168,0.5867521367521367
six,sum,log,row,ICA,0.8215053128689492,0.7435897435897436
six,sum,log,row,PCA,0.8399380165289256,0.756025641025641
six,sum,log,row,None,0.9382467532467532,0.6492735042735043
six,sum,log,both,ICA,0.8203423848878394,0.6516239316239315
six,sum,log,both,PCA,0.8462278630460448,0.6447008547008548
six,sum,log,both,None,0.9778866587957498,0.6003418803418803
six,sum,relative,No,ICA,0.6222874852420308,0.6212820512820513
six,sum,relative,No,PCA,0.62228453364817,0.630982905982906
six,sum,relative,No,None,0.6259445100354192,0.6270085470085469
six,sum,relative,z_after_relative,ICA,0.8030135773317592,0.7026068376068376
six,sum,relative,z_after_relative,PCA,0.8678689492325856,0.7180769230769231
six,sum,relative,z_after_relative,None,0.963034238488784,0.6115811965811966
six,mean,log,No,ICA,0.8100383707201888,0.7690598290598292
six,mean,log,No,PCA,0.8300177095631641,0.7641452991452992
six,mean,log,No,None,0.9449085005903188,0.6957264957264957
six,mean,log,col,ICA,0.7962868949232584,0.6724358974358975
six,mean,log,col,PCA,0.8447727272727275,0.6723504273504273
six,mean,log,col,None,0.976714876033058,0.6048290598290598
six,mean,log,row,ICA,0.8158057851239671,0.7771367521367522
six,mean,log,row,PCA,0.8441440377804014,0.7862820512820513
six,mean,log,row,None,0.9615879574970484,0.6652991452991454
six,mean,log,both,ICA,0.8235743801652893,0.6638461538461539
six,mean,log,both,PCA,0.8525265643447463,0.6745299145299146
six,mean,log,both,None,0.9804958677685952,0.6034188034188035
six,mean,relative,No,ICA,0.6950029515938607,0.6878632478632478
six,mean,relative,No,PCA,0.6840761511216058,0.6820085470085471
six,mean,relative,No,None,0.7085153482880756,0.6880341880341881
six,mean,relative,z_after_relative,ICA,0.7394037780401417,0.6419230769230768
six,mean,relative,z_after_relative,PCA,0.8525324675324676,0.7024358974358974
six,mean,relative,z_after_relative,None,0.9744982290436836,0.6514529914529915
six,sub PCA,log,No,ICA,0.769176505312869,0.7463247863247863
six,sub PCA,log,No,PCA,0.7883707201889019,0.740042735042735
six,sub PCA,log,No,None,0.9255873671782764,0.7087606837606837
six,sub PCA,log,col,ICA,0.7665968122786304,0.6950854700854702
six,sub PCA,log,col,PCA,0.8268978748524204,0.7225213675213675
six,sub PCA,log,col,None,0.9524557260920896,0.6461538461538462
six,sub PCA,log,row,ICA,0.7946782762691853,0.7821794871794872
six,sub PCA,log,row,PCA,0.815177095631641,0.7811111111111111
six,sub PCA,log,row,None,0.9415672963400236,0.7091025641025641
six,sub PCA,log,both,ICA,0.8014876033057851,0.7094017094017093
six,sub PCA,log,both,PCA,0.8348996458087367,0.6978632478632478
six,sub PCA,log,both,None,0.961310507674144,0.6641880341880342
six,sub PCA,relative,No,ICA,0.6676180637544273,0.6511538461538462
six,sub PCA,relative,No,PCA,0.6608648170011807,0.6454700854700854
six,sub PCA,relative,No,None,0.6829073199527744,0.6644444444444445
six,sub PCA,relative,z_after_relative,ICA,0.8208412042502953,0.7170940170940171
