Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
four,mean,log,row,1,0.7725437851393439,0.7039354838709677
four,mean,log,row,0,0.8034421388990011,0.7196774193548388
four,mean,log,col,1,0.8182785260688427,0.6407096774193548
four,mean,log,col,0,0.9202281276544108,0.7016774193548387
four,mean,log,both,1,0.8458237268939854,0.6936774193548387
four,mean,log,both,0,0.9353881001496582,0.7199354838709677
four,mean,log,No,1,0.7244873195000607,0.6373548387096774
four,mean,log,No,0,0.7086397281883267,0.7079354838709678
four,mean,relative,z_after_relative,1,0.8016866885086762,0.6503870967741936
four,mean,relative,z_after_relative,0,0.8713384298022084,0.6827741935483871
four,mean,relative,No,1,0.6075799862476237,0.5525161290322581
four,mean,relative,No,0,0.6903369332200786,0.6418064516129032
four,sum,log,row,1,0.7799457994579945,0.6835483870967742
four,sum,log,row,0,0.7725437851393442,0.7223225806451612
four,sum,log,col,1,0.8287748250616834,0.6662258064516129
four,sum,log,col,0,0.9248796667071147,0.6760645161290323
four,sum,log,both,1,0.8396149334627676,0.7137741935483872
four,sum,log,both,0,0.9326699834162522,0.6885806451612904
four,sum,log,No,1,0.7647575132467742,0.6633548387096774
four,sum,log,No,0,0.7739594709379929,0.7152903225806452
four,sum,relative,z_after_relative,1,0.7672086720867209,0.5987741935483871
four,sum,relative,z_after_relative,0,0.8422885572139304,0.6545161290322581
four,sum,relative,No,1,0.5677264086073694,0.5119999999999999
four,sum,relative,No,0,0.6188367107551673,0.5473548387096774
four,pca_anna,log,row,1,0.7841847672208064,0.644774193548387
four,pca_anna,log,row,0,0.9720381830683978,0.7505806451612903
four,pca_anna,log,col,1,0.8345892488775635,0.669741935483871
four,pca_anna,log,col,0,0.9757048092868988,0.7282580645161291
four,pca_anna,log,both,1,0.8762104113578448,0.7447096774193548
four,pca_anna,log,both,0,0.9951179064029446,0.824741935483871
four,pca_anna,log,No,1,0.7607248311289083,0.6606451612903227
four,pca_anna,log,No,0,0.953638312502528,0.7433548387096774
four,pca_anna,relative,z_after_relative,1,0.8355600048537799,0.6509677419354839
four,pca_anna,relative,z_after_relative,0,0.95787728026534,0.7020000000000001
four,pca_anna,relative,No,1,0.5842130809367795,0.5705806451612904
four,pca_anna,relative,No,0,0.6668082352465315,0.6012258064516129
five,mean,log,row,1,0.8562431743720422,0.7019354838709677
five,mean,log,row,0,0.8764793916595881,0.7631612903225806
five,mean,log,col,1,0.8802046677183191,0.6456774193548387
five,mean,log,col,0,0.9769101646240343,0.7247419354838709
five,mean,log,both,1,0.9163653278323828,0.7005806451612904
five,mean,log,both,0,0.9873195000606724,0.7474838709677419
five,mean,log,No,1,0.7961533794442422,0.6437419354838709
five,mean,log,No,0,0.7742587873639929,0.7211612903225806
five,mean,relative,z_after_relative,1,0.8782793350321564,0.6692258064516128
five,mean,relative,z_after_relative,0,0.9536059539699874,0.6776774193548386
five,mean,relative,No,1,0.6333333333333333,0.6253548387096773
five,mean,relative,No,0,0.7286696598309266,0.6544516129032257
five,sum,log,row,1,0.8746430449379121,0.7298064516129033
five,sum,log,row,0,0.8698620717550458,0.7489677419354838
five,sum,log,col,1,0.9196416292521132,0.6903225806451613
five,sum,log,col,0,0.9908061319419164,0.7283225806451612
five,sum,log,both,1,0.9334304089309552,0.6965161290322579
five,sum,log,both,0,0.9916312745217004,0.7438064516129032
five,sum,log,No,1,0.8693564696840997,0.7268387096774195
