Taxonomy level,taxonomy group,normalization 1,normalization 2,Dimension reduction,TRAIN-AUC,TEST-AUC
four,mean,robust,z_after_robust,PCA,0.7747886583343446,0.6418709677419354
four,mean,robust,z_after_robust,PCA,0.7575051571411237,0.6445161290322581
four,mean,robust,z_after_robust,ICA,0.6844193665817254,0.6048387096774194
four,mean,robust,z_after_robust,ICA,0.6697043239089108,0.6375483870967742
four,mean,robust,z_after_robust,None,0.8728188326659387,0.6369677419354838
four,mean,robust,z_after_robust,None,0.8646078550337742,0.6665806451612902
four,sum,log,No,PCA,0.8067427092181368,0.6583225806451614
four,sum,log,No,PCA,0.7991829470533511,0.6629677419354839
four,sum,log,No,ICA,0.7035392144966226,0.6709032258064516
four,sum,log,No,ICA,0.6963596650891881,0.6894193548387096
four,sum,log,No,None,0.8198681389798972,0.6688387096774193
four,sum,log,No,None,0.7978966953848643,0.6695483870967742
four,sum,log,row,PCA,0.8252113416656556,0.6843870967741934
four,sum,log,row,PCA,0.8219107713465194,0.6774193548387096
four,sum,log,row,ICA,0.7066375439873802,0.6681290322580644
four,sum,log,row,ICA,0.698171742911459,0.6865806451612904
four,sum,log,row,None,0.8099340694899487,0.6805806451612904
four,sum,log,row,None,0.7996076527929459,0.6863870967741935
four,sum,log,col,PCA,0.8786797718723456,0.6415483870967742
four,sum,log,col,PCA,0.8719006593051006,0.6875483870967741
four,sum,log,col,ICA,0.7322533673097925,0.6465806451612904
four,sum,log,col,ICA,0.7243133923876552,0.6746451612903226
four,sum,log,col,None,0.9774865509849128,0.6441290322580645
four,sum,log,col,None,0.9810014965821301,0.6643870967741934
four,sum,log,both,PCA,0.8970391942725398,0.6412258064516129
four,sum,log,both,PCA,0.8891720260486187,0.6958064516129032
four,sum,log,both,ICA,0.7509222181774056,0.6640645161290323
four,sum,log,both,ICA,0.7376896007766047,0.6907096774193549
four,sum,log,both,None,0.974287101079966,0.6655483870967742
four,sum,log,both,None,0.9719087489382356,0.690258064516129
four,sum,relative,No,PCA,0.5647008858148282,0.5032903225806452
four,sum,relative,No,PCA,0.5622699510577196,0.5210322580645161
four,sum,relative,No,ICA,0.4894794321077539,0.4503225806451613
four,sum,relative,No,ICA,0.493182461675363,0.4890967741935484
four,sum,relative,No,None,0.6156534401164908,0.5753548387096774
four,sum,relative,No,None,0.6302026453100351,0.5435483870967742
four,sum,relative,z_after_relative,PCA,0.7930267362375116,0.5753225806451613
four,sum,relative,z_after_relative,PCA,0.8010152489584599,0.6123870967741935
four,sum,relative,z_after_relative,ICA,0.6753023500384258,0.5598709677419355
four,sum,relative,z_after_relative,ICA,0.6656190591756663,0.5764516129032258
four,sum,relative,z_after_relative,None,0.9144763984953282,0.6363870967741936
four,sum,relative,z_after_relative,None,0.9232536504469522,0.6501290322580645
four,sum,robust,No,PCA,0.5,0.5
four,sum,robust,No,PCA,0.4990717145977429,0.516258064516129
four,sum,robust,No,ICA,0.5003579662662299,0.5228709677419354
four,sum,robust,No,ICA,0.4838692715285362,0.5045806451612903
four,sum,robust,No,None,0.5096630667799216,0.5081935483870967
four,sum,robust,No,None,0.5019172430530275,0.5012903225806451
four,sum,robust,z_after_robust,PCA,0.8295716539254944,0.672516129032258
four,sum,robust,z_after_robust,PCA,0.8146058326254906,0.7278064516129031
four,sum,robust,z_after_robust,ICA,0.7246248432633581,0.6814838709677421
four,sum,robust,z_after_robust,ICA,0.7249282045059257,0.6954193548387096
four,sum,robust,z_after_robust,None,0.9058204910407311,0.6734838709677421
four,sum,robust,z_after_robust,None,0.903223718804352,0.6876129032258064
five,pca_anna,log,No,PCA,0.8442300691663632,0.6620645161290323
five,pca_anna,log,No,PCA,0.8395138130485782,0.7120645161290323
five,pca_anna,log,No,ICA,0.6976984993730534,0.6590967741935485
five,pca_anna,log,No,ICA,0.6911378069004571,0.6649032258064516
five,pca_anna,log,No,None,0.9969947012902964,0.7825161290322581
five,pca_anna,log,No,None,0.9964486510536747,0.8016774193548386
five,pca_anna,log,row,PCA,0.9103911337620838,0.7132258064516128
five,pca_anna,log,row,PCA,0.9030497916919467,0.7497419354838709
