Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,sum,log,No,ICA,0.6656357103372029,0.6475714285714285
four,sum,log,No,PCA,0.8217772249861802,0.6507362637362638
four,sum,log,No,None,0.7686574074074073,0.6572197802197802
four,sum,log,col,ICA,0.6832186290768381,0.6217582417582418
four,sum,log,col,PCA,0.8632158651188503,0.6084285714285714
four,sum,log,col,None,0.9640851299060254,0.6136043956043956
four,sum,log,row,ICA,0.6955382808181316,0.6645934065934067
four,sum,log,row,PCA,0.8325670259812049,0.6514285714285715
four,sum,log,row,None,0.7679567440574903,0.6746703296703297
four,sum,log,both,ICA,0.7346448313985626,0.6516593406593406
four,sum,log,both,PCA,0.8841162244333886,0.6567252747252748
four,sum,log,both,None,0.9593615257048091,0.6269120879120881
four,sum,relative,No,ICA,0.4743532338308457,0.4548351648351648
four,sum,relative,No,PCA,0.5115181039248203,0.4715164835164836
four,sum,relative,No,None,0.582600884466556,0.5492747252747253
four,sum,relative,z_after_relative,ICA,0.6505362078496406,0.5858791208791209
four,sum,relative,z_after_relative,PCA,0.7878800442233279,0.5954615384615384
four,sum,relative,z_after_relative,None,0.8949599226091763,0.6296483516483515
four,mean,log,No,ICA,0.6779906025428414,0.6456263736263737
four,mean,log,No,PCA,0.7890118850193476,0.6547252747252748
four,mean,log,No,None,0.7056225815367606,0.6357362637362638
four,mean,log,col,ICA,0.705443615257048,0.6194505494505494
four,mean,log,col,PCA,0.8471441404090656,0.603956043956044
four,mean,log,col,None,0.9574461028192373,0.637846153846154
four,mean,log,row,ICA,0.6885903814262024,0.661989010989011
four,mean,log,row,PCA,0.8084134881149806,0.6837912087912088
four,mean,log,row,None,0.7995577667219459,0.6724285714285715
four,mean,log,both,ICA,0.7193131564400221,0.6348461538461538
four,mean,log,both,PCA,0.8795494748479824,0.6486263736263737
four,mean,log,both,None,0.956334991708126,0.6473736263736264
four,mean,relative,No,ICA,0.5230866500829187,0.557978021978022
four,mean,relative,No,PCA,0.5888577943615256,0.5820000000000001
four,mean,relative,No,None,0.6949944720840244,0.6582857142857143
four,mean,relative,z_after_relative,ICA,0.6963412106135987,0.6426593406593406
four,mean,relative,z_after_relative,PCA,0.8162769485903814,0.6381098901098902
four,mean,relative,z_after_relative,None,0.9083257324488668,0.6424395604395604
four,sub PCA,log,No,ICA,0.6741970702045329,0.6636373626373626
four,sub PCA,log,No,PCA,0.8108706467661693,0.6885164835164834
four,sub PCA,log,No,None,0.9796247927031508,0.7490549450549449
four,sub PCA,log,col,ICA,0.6824378109452737,0.6268571428571429
four,sub PCA,log,col,PCA,0.8753289110005527,0.6808351648351648
four,sub PCA,log,col,None,0.9865367606412384,0.7394615384615385
four,sub PCA,log,row,ICA,0.6384314538419016,0.6085274725274725
four,sub PCA,log,row,PCA,0.8514621337755666,0.6572417582417581
four,sub PCA,log,row,None,0.9839310392482034,0.7406703296703296
four,sub PCA,log,both,ICA,0.7313481205085683,0.6858901098901098
four,sub PCA,log,both,PCA,0.9109632393587616,0.7213186813186814
four,sub PCA,log,both,None,0.9921724709784412,0.775
four,sub PCA,relative,No,ICA,0.5518269762299612,0.5579780219780219
four,sub PCA,relative,No,PCA,0.586987285793256,0.5726813186813187
four,sub PCA,relative,No,None,0.688953841901603,0.6354505494505494
four,sub PCA,relative,z_after_relative,ICA,0.7030286069651741,0.6231428571428573
four,sub PCA,relative,z_after_relative,PCA,0.8825621890547264,0.6572857142857143
four,sub PCA,relative,z_after_relative,None,0.9850262576008844,0.6817912087912087
five,sum,log,No,ICA,0.7269299336650084,0.6930109890109891
five,sum,log,No,PCA,0.9206467661691542,0.7202417582417583
five,sum,log,No,None,0.8346945826423438,0.7115384615384615
five,sum,log,col,ICA,0.7432393587617468,0.6391758241758242
five,sum,log,col,PCA,0.9498922056384742,0.6909450549450551
five,sum,log,col,None,0.9962486180210062,0.7186593406593407
five,sum,log,row,ICA,0.7153337479270315,0.6847692307692308
five,sum,log,row,PCA,0.928269071310116,0.7421318681318683
five,sum,log,row,None,0.8588363736871198,0.7132967032967034
five,sum,log,both,ICA,0.7625760088446655,0.6738351648351648
five,sum,log,both,PCA,0.9630590105030404,0.7000000000000001
