Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,sum,log,No,ICA,0.6950656440022112,0.661523076923077
four,sum,log,No,PCA,0.6975029021558872,0.6547846153846154
four,sum,log,No,None,0.7614112769485903,0.642843956043956
four,sum,log,col,ICA,0.6811659756771697,0.6120637362637362
four,sum,log,col,PCA,0.7148521282476507,0.6274725274725275
four,sum,log,col,None,0.7692965726920951,0.6283076923076922
four,sum,log,row,ICA,0.6979537037037037,0.6621054945054945
four,sum,log,row,PCA,0.6998442509673852,0.6596593406593407
four,sum,log,row,None,0.7557115809839691,0.6618945054945056
four,sum,log,both,ICA,0.7089422332780542,0.6390263736263737
four,sum,log,both,PCA,0.7295309563294637,0.6460747252747253
four,sum,log,both,None,0.7703327805417357,0.6403736263736264
four,sum,relative,No,ICA,0.5139241293532338,0.4531714285714286
four,sum,relative,No,PCA,0.5124928137092316,0.4650879120879121
four,sum,relative,No,None,0.5218372028745163,0.4701296703296703
four,sum,relative,z_after_relative,ICA,0.6212816473189609,0.5531472527472527
four,sum,relative,z_after_relative,PCA,0.6697740464344941,0.5669296703296703
four,sum,relative,z_after_relative,None,0.71196365395246,0.5874021978021978
four,mean,log,No,ICA,0.6677075732448867,0.6408461538461538
four,mean,log,No,PCA,0.6796753731343284,0.6394747252747253
four,mean,log,No,None,0.7539315920398011,0.6496087912087912
four,mean,log,col,ICA,0.6665548645660586,0.5992153846153847
four,mean,log,col,PCA,0.703628385848535,0.6148131868131868
four,mean,log,col,None,0.7725892758430072,0.6282615384615384
four,mean,log,row,ICA,0.6868794914317302,0.66250989010989
four,mean,log,row,PCA,0.6971126312880045,0.6622329670329671
four,mean,log,row,None,0.7596283858485351,0.6520021978021978
four,mean,log,both,ICA,0.6814354615809839,0.6193120879120879
four,mean,log,both,PCA,0.7182339690436705,0.6324021978021979
four,mean,log,both,None,0.7732244333886125,0.6345384615384615
four,mean,relative,No,ICA,0.5497737700386954,0.5316
four,mean,relative,No,PCA,0.5521529850746268,0.5257428571428571
four,mean,relative,No,None,0.5936974847982311,0.5601824175824176
four,mean,relative,z_after_relative,ICA,0.6626347429519069,0.6150879120879119
four,mean,relative,z_after_relative,PCA,0.700955914870094,0.6189714285714286
four,mean,relative,z_after_relative,None,0.7414496959646213,0.6209296703296703
four,sub PCA,log,No,ICA,0.6608682974018795,0.6374725274725275
four,sub PCA,log,No,PCA,0.6898430071862908,0.6638461538461539
four,sub PCA,log,No,None,0.8083454947484798,0.7232505494505495
four,sub PCA,log,col,ICA,0.6607605030403538,0.610367032967033
four,sub PCA,log,col,PCA,0.6715152017689331,0.6207252747252747
four,sub PCA,log,col,None,0.8340679933665007,0.6654593406593406
four,sub PCA,log,row,ICA,0.6549860420121614,0.6227758241758242
four,sub PCA,log,row,PCA,0.6589151464897733,0.627578021978022
four,sub PCA,log,row,None,0.8130308181315643,0.7150571428571428
four,sub PCA,log,both,ICA,0.6886701216141514,0.639156043956044
four,sub PCA,log,both,PCA,0.7246232725262576,0.6784659340659339
four,sub PCA,log,both,None,0.8745706191265893,0.7217604395604396
four,sub PCA,relative,No,ICA,0.5435642620232173,0.5234703296703297
four,sub PCA,relative,No,PCA,0.544308872305141,0.5182571428571429
four,sub PCA,relative,No,None,0.5660023493642896,0.5296043956043957
four,sub PCA,relative,z_after_relative,ICA,0.65283637368712,0.5952307692307692
four,sub PCA,relative,z_after_relative,PCA,0.7090034549474848,0.6295560439560439
four,sub PCA,relative,z_after_relative,None,0.8246723327805416,0.6594175824175824
five,sum,log,No,ICA,0.717063432835821,0.6802527472527472
five,sum,log,No,PCA,0.7308544776119403,0.6948593406593406
five,sum,log,No,None,0.8252260917634052,0.682821978021978
five,sum,log,col,ICA,0.6786134604754007,0.5951934065934067
five,sum,log,col,PCA,0.7222871752349365,0.6202791208791208
five,sum,log,col,None,0.8388058319513543,0.6540835164835166
five,sum,log,row,ICA,0.7381485627418463,0.6977450549450551
five,sum,log,row,PCA,0.7459611663902709,0.7095450549450548
five,sum,log,row,None,0.8177798507462687,0.686043956043956
five,sum,log,both,ICA,0.7221227197346601,0.6508373626373626
five,sum,log,both,PCA,0.7398265616362629,0.648410989010989
five,sum,log,both,None,0.8391100055279159,0.6629362637362637
five,sum,relative,No,ICA,0.525010226644555,0.4981208791208792
five,sum,relative,No,PCA,0.5174098949695964,0.4861736263736264
five,sum,relative,No,None,0.525496130458817,0.48844395604395596
five,sum,relative,z_after_relative,ICA,0.6654563294637922,0.5769120879120879
five,sum,relative,z_after_relative,PCA,0.7059383637368711,0.6064681318681321
five,sum,relative,z_after_relative,None,0.7937891100055279,0.627534065934066
five,mean,log,No,ICA,0.6929387783305694,0.6541054945054945
five,mean,log,No,PCA,0.7155373134328358,0.6744351648351649
five,mean,log,No,None,0.8242209784411278,0.6878571428571427
five,mean,log,col,ICA,0.6368786622443339,0.5763560439560439
five,mean,log,col,PCA,0.7054173576561636,0.6234615384615385
five,mean,log,col,None,0.8524122443338861,0.6545054945054946
five,mean,log,row,ICA,0.6881567164179105,0.6625626373626374
five,mean,log,row,PCA,0.7303021006080708,0.6905604395604396
five,mean,log,row,None,0.8337205638474294,0.6916373626373626
five,mean,log,both,ICA,0.6822515201768934,0.6057736263736264
five,mean,log,both,PCA,0.710084300718629,0.6119142857142857
five,mean,log,both,None,0.8553902708678829,0.6612373626373627
five,mean,relative,No,ICA,0.581978855721393,0.5557274725274726
five,mean,relative,No,PCA,0.5698801824212272,0.5610021978021977
five,mean,relative,No,None,0.6032267827529022,0.5824021978021978
five,mean,relative,z_after_relative,ICA,0.6479827252625759,0.5916021978021978
five,mean,relative,z_after_relative,PCA,0.7151832504145936,0.6137142857142857
five,mean,relative,z_after_relative,None,0.8092636815920398,0.6360197802197802
five,sub PCA,log,No,ICA,0.6621080707573245,0.6338153846153846
five,sub PCA,log,No,PCA,0.6886923714759536,0.6532769230769231
five,sub PCA,log,No,None,0.8368518518518517,0.7202527472527471
five,sub PCA,log,col,ICA,0.7156916804864566,0.6599626373626374
five,sub PCA,log,col,PCA,0.7730060807075734,0.7021164835164835
five,sub PCA,log,col,None,0.8917777777777778,0.7089076923076922
five,sub PCA,log,row,ICA,0.7017038419016032,0.6732417582417582
five,sub PCA,log,row,PCA,0.7194129353233831,0.6840923076923077
five,sub PCA,log,row,None,0.8507042564953015,0.7159032967032968
five,sub PCA,log,both,ICA,0.7126310116086236,0.6555648351648351
five,sub PCA,log,both,PCA,0.7808471531232725,0.7159758241758242
five,sub PCA,log,both,None,0.907051133222775,0.7234879120879121
five,sub PCA,relative,No,ICA,0.5731880873410724,0.5474615384615384
five,sub PCA,relative,No,PCA,0.5576543670536209,0.5279824175824176
five,sub PCA,relative,No,None,0.5771380597014926,0.5339494505494505
five,sub PCA,relative,z_after_relative,ICA,0.6426815920398009,0.5805890109890111
five,sub PCA,relative,z_after_relative,PCA,0.7258200663349916,0.635378021978022
five,sub PCA,relative,z_after_relative,None,0.8708016860143728,0.6778615384615385
six,sum,log,No,ICA,0.7509487285793256,0.6849076923076922
six,sum,log,No,PCA,0.7566708126036485,0.6857714285714286
six,sum,log,No,None,0.8933320895522388,0.7013494505494506
six,sum,log,col,ICA,0.7520946655610835,0.6495164835164835
six,sum,log,col,PCA,0.7829639303482587,0.6627208791208792
six,sum,log,col,None,0.9151767551133222,0.6858065934065933
six,sum,log,row,ICA,0.7661118021006079,0.6936043956043956
six,sum,log,row,PCA,0.7731347429519072,0.6980483516483518
six,sum,log,row,None,0.8906282476506356,0.7123098901098901
six,sum,log,both,ICA,0.7729230237700387,0.6719054945054945
six,sum,log,both,PCA,0.8042703150912106,0.6978307692307693
six,sum,log,both,None,0.9179380873410724,0.6860879120879121
six,sum,relative,No,ICA,0.5257848258706468,0.4956791208791209
six,sum,relative,No,PCA,0.5188367882808181,0.4861054945054945
six,sum,relative,No,None,0.5273911000552791,0.4888395604395604
six,sum,relative,z_after_relative,ICA,0.6650583195135434,0.5929274725274725
six,sum,relative,z_after_relative,PCA,0.7427656163626313,0.6316505494505494
six,sum,relative,z_after_relative,None,0.8859086511885019,0.6962659340659341
six,mean,log,No,ICA,0.7377066058595909,0.6738417582417582
six,mean,log,No,PCA,0.7479252349364289,0.6893670329670329
six,mean,log,No,None,0.8833318131564399,0.7125230769230768
six,mean,log,col,ICA,0.7242389441680486,0.6292989010989011
six,mean,log,col,PCA,0.7743417634051963,0.6528043956043956
six,mean,log,col,None,0.9218179933665008,0.6922505494505494
six,mean,log,row,ICA,0.7448204809286898,0.6711538461538461
six,mean,log,row,PCA,0.7544881149806522,0.6875538461538462
six,mean,log,row,None,0.8971753731343283,0.7122571428571429
six,mean,log,both,ICA,0.7636254836926479,0.6653846153846154
six,mean,log,both,PCA,0.8075656440022112,0.7043846153846154
six,mean,log,both,None,0.923494748479823,0.6909494505494506
six,mean,relative,No,ICA,0.578103648424544,0.5490241758241758
six,mean,relative,No,PCA,0.5692828911000554,0.540545054945055
six,mean,relative,No,None,0.6069498341625208,0.5627054945054945
six,mean,relative,z_after_relative,ICA,0.7153920674405749,0.6164461538461539
six,mean,relative,z_after_relative,PCA,0.7816520176893311,0.6704681318681318
six,mean,relative,z_after_relative,None,0.8959846600331675,0.6883648351648352
six,sub PCA,log,No,ICA,0.7189577114427861,0.6650527472527472
six,sub PCA,log,No,PCA,0.7345287451630734,0.6816527472527473
six,sub PCA,log,No,None,0.8750667495854063,0.7327340659340659
six,sub PCA,log,col,ICA,0.6980809839690437,0.6375494505494506
six,sub PCA,log,col,PCA,0.7544074074074074,0.6916571428571429
six,sub PCA,log,col,None,0.9160981205085684,0.7198263736263736
six,sub PCA,log,row,ICA,0.7358261470425649,0.6834483516483517
six,sub PCA,log,row,PCA,0.7530880320619127,0.6913186813186813
six,sub PCA,log,row,None,0.8886112493090106,0.7353978021978023
six,sub PCA,log,both,ICA,0.7664022940851298,0.6994021978021977
six,sub PCA,log,both,PCA,0.8032772249861803,0.7326197802197802
six,sub PCA,log,both,None,0.9328177169707019,0.7564483516483517
six,sub PCA,relative,No,ICA,0.5537759812050856,0.5178725274725274
six,sub PCA,relative,No,PCA,0.5552092316196794,0.5278043956043956
six,sub PCA,relative,No,None,0.5836648700939746,0.5343076923076924
