Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
four,mean,log,row,1,0.9100760425514705,0.6180645161290323
four,mean,log,row,0,0.9505197589289326,0.6962774193548387
four,mean,log,col,1,0.950230959026008,0.6422129032258064
four,mean,log,col,0,0.9354439186182906,0.7035870967741936
four,mean,log,both,1,0.9566140840512884,0.6323612903225806
four,mean,log,both,0,0.9505197589289326,0.6962774193548387
four,mean,log,No,1,0.8788569348380051,0.5965225806451613
four,mean,log,No,0,0.9354439186182906,0.7035870967741936
four,mean,relative,z_after_relative,1,0.95532176515795,0.6448967741935485
four,mean,relative,z_after_relative,0,0.9275864579541321,0.7213741935483872
four,mean,relative,No,1,0.8604772883549731,0.5534709677419354
four,mean,relative,No,0,0.9275864579541321,0.7213741935483872
four,sum,log,row,1,0.9194337256805404,0.6432774193548386
four,sum,log,row,0,0.9547643894349392,0.716658064516129
four,sum,log,col,1,0.9312648141406784,0.6528838709677419
four,sum,log,col,0,0.9354439186182906,0.7035870967741936
four,sum,log,both,1,0.94263155765886,0.6643225806451614
four,sum,log,both,0,0.9547643894349392,0.716658064516129
four,sum,log,No,1,0.8845176556243175,0.6328064516129033
four,sum,log,No,0,0.9354439186182906,0.7035870967741936
four,sum,relative,z_after_relative,1,0.9430797233345468,0.6070129032258064
four,sum,relative,z_after_relative,0,0.9374060591352182,0.6796387096774194
four,sum,relative,No,1,0.7912243659750029,0.5559935483870968
four,sum,relative,No,0,0.9374060591352182,0.6796387096774194
four,pca_anna,log,row,1,0.9233058285806738,0.628341935483871
four,pca_anna,log,row,0,0.9626129515026494,0.721458064516129
four,pca_anna,log,col,1,0.9545079480645552,0.6822193548387098
four,pca_anna,log,col,0,0.9652283298952392,0.7423354838709677
four,pca_anna,log,both,1,0.9543708287829148,0.7409935483870967
four,pca_anna,log,both,0,0.9767641467459448,0.7483741935483872
four,pca_anna,log,No,1,0.9105513084981596,0.6334387096774193
four,pca_anna,log,No,0,0.9594964203373376,0.7406193548387099
four,pca_anna,relative,z_after_relative,1,0.960793593010557,0.6098
four,pca_anna,relative,z_after_relative,0,0.9671916838571372,0.6685806451612903
four,pca_anna,relative,No,1,0.8689099219350402,0.5488709677419356
four,pca_anna,relative,No,0,0.9287914088096104,0.6757225806451612
five,mean,log,row,1,0.9101929377502732,0.6609419354838709
five,mean,log,row,0,0.9684969461634916,0.7113677419354839
five,mean,log,col,1,0.9718246167536302,0.6270709677419355
five,mean,log,col,0,0.9531310925049548,0.6953419354838709
five,mean,log,both,1,0.9741321846054282,0.7112903225806451
five,mean,log,both,0,0.9684969461634916,0.7113677419354839
five,mean,log,No,1,0.9458682198762286,0.6299225806451613
five,mean,log,No,0,0.9531310925049548,0.6953419354838709
five,mean,relative,z_after_relative,1,0.9745698337580392,0.6231354838709677
five,mean,relative,z_after_relative,0,0.9590931521255508,0.7113290322580644
five,mean,relative,No,1,0.8869951057719532,0.5728387096774193
five,mean,relative,No,0,0.9590931521255508,0.7113290322580644
five,sum,log,row,1,0.9644444444444444,0.6521161290322579
five,sum,log,row,0,0.9724200137523764,0.688258064516129
five,sum,log,col,1,0.9725680540387492,0.6627483870967742
five,sum,log,col,0,0.9531310925049548,0.6953548387096774
five,sum,log,both,1,0.962365813210371,0.6660774193548387
five,sum,log,both,0,0.9724200137523764,0.688258064516129
five,sum,log,No,1,0.9586089875824132,0.6595612903225806
five,sum,log,No,0,0.9531310925049548,0.6953548387096774
five,sum,relative,z_after_relative,1,0.9731496986611656,0.5910580645161291
five,sum,relative,z_after_relative,0,0.9518545483962302,0.6981870967741935
five,sum,relative,No,1,0.8082065283339399,0.5534903225806451
five,sum,relative,No,0,0.9518545483962302,0.6981870967741935
five,pca_anna,log,row,1,0.9248392185414392,0.6807354838709676
five,pca_anna,log,row,0,0.9774161711766371,0.7569032258064516
five,pca_anna,log,col,1,0.9640666585770336,0.6812322580645161
five,pca_anna,log,col,0,0.9631549569227036,0.7652258064516129
five,pca_anna,log,both,1,0.9732071350564252,0.7411354838709678
five,pca_anna,log,both,0,0.9827553290458276,0.7414967741935483
five,pca_anna,log,No,1,0.925192331027788,0.6673096774193549
five,pca_anna,log,No,0,0.9685090806131942,0.7373548387096776
five,pca_anna,relative,z_after_relative,1,0.9621886502447116,0.6517032258064517
five,pca_anna,relative,z_after_relative,0,0.9769736682441452,0.7069548387096776
five,pca_anna,relative,No,1,0.9095069368604134,0.6079935483870967
five,pca_anna,relative,No,0,0.9578950774582372,0.7111354838709678
six,mean,log,row,1,0.974190834445658,0.6574
six,mean,log,row,0,0.9717081260364842,0.7112258064516128
six,mean,log,col,1,0.9821583141204546,0.6828129032258065
six,mean,log,col,0,0.9574440804109534,0.6948645161290323
six,mean,log,both,1,0.9892909436557052,0.7613290322580646
six,mean,log,both,0,0.9717081260364842,0.7112258064516128
six,mean,log,No,1,0.9764818185495288,0.7041419354838709
six,mean,log,No,0,0.9574440804109534,0.6948645161290323
six,mean,relative,z_after_relative,1,0.9871641791044776,0.6671225806451613
six,mean,relative,z_after_relative,0,0.9550467176313552,0.7246
six,mean,relative,No,1,0.8934842049913037,0.5483032258064516
six,mean,relative,No,0,0.9550467176313552,0.7246
six,sum,log,row,1,0.9824333616470492,0.7035225806451613
six,sum,log,row,0,0.9740104356267444,0.7343870967741937
six,sum,log,col,1,0.9873478137766452,0.6950967741935484
six,sum,log,col,0,0.9574440804109534,0.6948645161290323
six,sum,log,both,1,0.9885458884439592,0.758
six,sum,log,both,0,0.9740104356267444,0.7343870967741937
six,sum,log,No,1,0.9767212716903289,0.7257677419354839
six,sum,log,No,0,0.9574440804109534,0.6948645161290323
six,sum,relative,z_after_relative,1,0.9824022165594788,0.5899354838709676
six,sum,relative,z_after_relative,0,0.9552679690976014,0.7078838709677421
six,sum,relative,No,1,0.8322084698458926,0.5709677419354838
six,sum,relative,No,0,0.9552679690976014,0.7078838709677421
