Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,sum,log,No,ICA,0.8224676724137929,0.8317460317460318
four,sum,log,No,PCA,0.8682112068965517,0.8349206349206351
four,sum,log,No,None,0.9053879310344828,0.8428571428571429
four,sum,log,col,ICA,0.8012931034482758,0.7738095238095241
four,sum,log,col,PCA,0.8772629310344827,0.7920634920634921
four,sum,log,col,None,0.9794181034482758,0.8603174603174603
four,sum,log,row,ICA,0.8245150862068964,0.8253968253968255
four,sum,log,row,PCA,0.8617456896551726,0.8349206349206351
four,sum,log,row,None,0.9167025862068968,0.8888888888888891
four,sum,log,both,ICA,0.8540948275862069,0.8476190476190476
four,sum,log,both,PCA,0.9269396551724138,0.8412698412698412
four,sum,log,both,None,0.9827586206896552,0.8650793650793649
four,sum,relative,No,ICA,0.6270474137931034,0.6928571428571428
four,sum,relative,No,PCA,0.637823275862069,0.7222222222222222
four,sum,relative,No,None,0.6480603448275861,0.7333333333333333
four,sum,relative,z_after_relative,ICA,0.8265625,0.8095238095238095
four,sum,relative,z_after_relative,PCA,0.9046336206896552,0.8349206349206351
four,sum,relative,z_after_relative,None,0.9691810344827584,0.8523809523809524
four,mean,log,No,ICA,0.8351831896551725,0.8619047619047621
four,mean,log,No,PCA,0.8752155172413794,0.8428571428571429
four,mean,log,No,None,0.9196120689655172,0.8746031746031747
four,mean,log,col,ICA,0.7962284482758619,0.7809523809523811
four,mean,log,col,PCA,0.8780172413793104,0.7873015873015873
four,mean,log,col,None,0.9789870689655172,0.8523809523809524
four,mean,log,row,ICA,0.8420258620689655,0.8555555555555557
four,mean,log,row,PCA,0.8807112068965518,0.8380952380952381
four,mean,log,row,None,0.9369612068965518,0.8952380952380953
four,mean,log,both,ICA,0.8154094827586207,0.7571428571428571
four,mean,log,both,PCA,0.9107758620689654,0.7714285714285715
four,mean,log,both,None,0.9817887931034482,0.8730158730158731
four,mean,relative,No,ICA,0.6890086206896551,0.7095238095238094
four,mean,relative,No,PCA,0.7027478448275861,0.7365079365079363
four,mean,relative,No,None,0.7880926724137931,0.7873015873015874
four,mean,relative,z_after_relative,ICA,0.8317887931034484,0.7706349206349207
four,mean,relative,z_after_relative,PCA,0.9087284482758621,0.8365079365079365
four,mean,relative,z_after_relative,None,0.9742456896551724,0.8666666666666666
four,sub PCA,log,No,ICA,0.8340517241379309,0.7841269841269841
four,sub PCA,log,No,PCA,0.9026939655172416,0.8095238095238096
four,sub PCA,log,No,None,0.9891163793103448,0.8587301587301587
four,sub PCA,log,col,ICA,0.8692887931034482,0.8349206349206351
four,sub PCA,log,col,PCA,0.9467672413793105,0.8539682539682539
four,sub PCA,log,col,None,0.9940732758620688,0.8523809523809526
four,sub PCA,log,row,ICA,0.8538793103448276,0.8047619047619049
four,sub PCA,log,row,PCA,0.9173491379310345,0.8380952380952381
four,sub PCA,log,row,None,0.9884698275862068,0.846031746031746
four,sub PCA,log,both,ICA,0.8182112068965516,0.8
four,sub PCA,log,both,PCA,0.9183189655172416,0.8063492063492065
four,sub PCA,log,both,None,0.9948275862068966,0.8349206349206351
four,sub PCA,relative,No,ICA,0.6313577586206897,0.6214285714285713
four,sub PCA,relative,No,PCA,0.6399245689655173,0.6047619047619048
four,sub PCA,relative,No,None,0.7061422413793104,0.6777777777777778
