Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
four,mean,log,row,1,0.7693181818181818,0.6833333333333333
four,mean,log,row,0,0.7549242424242425,0.6833333333333333
four,mean,log,col,1,0.6988636363636364,0.6027777777777777
four,mean,log,col,0,0.8662878787878787,0.6333333333333333
four,mean,log,both,1,0.7481060606060606,0.5722222222222222
four,mean,log,both,0,0.8520833333333334,0.6111111111111112
four,mean,log,No,1,0.7488636363636363,0.6944444444444445
four,mean,log,No,0,0.7662878787878789,0.75
four,mean,relative,z_after_relative,1,0.7604166666666666,0.5361111111111111
four,mean,relative,z_after_relative,0,0.803030303030303,0.5277777777777778
four,mean,relative,No,1,0.5420454545454546,0.4166666666666667
four,mean,relative,No,0,0.7121212121212122,0.6305555555555555
four,sum,log,row,1,0.7342803030303029,0.6694444444444445
four,sum,log,row,0,0.7285984848484849,0.7
four,sum,log,col,1,0.7047348484848485,0.5833333333333334
four,sum,log,col,0,0.8511363636363637,0.6055555555555556
four,sum,log,both,1,0.7549242424242424,0.6138888888888888
four,sum,log,both,0,0.8399621212121213,0.5638888888888889
four,sum,log,No,1,0.7075757575757575,0.6194444444444445
four,sum,log,No,0,0.7740530303030303,0.7305555555555555
four,sum,relative,z_after_relative,1,0.7518939393939393,0.5833333333333334
four,sum,relative,z_after_relative,0,0.8024621212121211,0.513888888888889
four,sum,relative,No,1,0.5575757575757576,0.4861111111111111
four,sum,relative,No,0,0.5604166666666667,0.5472222222222223
four,pca_anna,log,row,1,0.7990530303030303,0.7944444444444445
four,pca_anna,log,row,0,0.9481060606060604,0.7833333333333333
four,pca_anna,log,col,1,0.8780303030303032,0.7638888888888887
four,pca_anna,log,col,0,0.9602272727272728,0.7833333333333334
four,pca_anna,log,both,1,0.8753787878787879,0.7666666666666666
four,pca_anna,log,both,0,0.9721590909090908,0.8055555555555557
four,pca_anna,log,No,1,0.8386363636363635,0.8166666666666668
four,pca_anna,log,No,0,0.9482954545454544,0.8111111111111111
four,pca_anna,relative,z_after_relative,1,0.7725378787878787,0.6444444444444445
four,pca_anna,relative,z_after_relative,0,0.878219696969697,0.6916666666666668
four,pca_anna,relative,No,1,0.5679924242424244,0.7222222222222221
four,pca_anna,relative,No,0,0.7259469696969697,0.7888888888888891
five,mean,log,row,1,0.7833333333333332,0.7277777777777776
five,mean,log,row,0,0.8009469696969698,0.7083333333333334
five,mean,log,col,1,0.8265151515151515,0.7361111111111109
five,mean,log,col,0,0.950189393939394,0.7388888888888889
five,mean,log,both,1,0.8573863636363637,0.7166666666666667
five,mean,log,both,0,0.9570075757575758,0.6916666666666668
five,mean,log,No,1,0.7778409090909092,0.7138888888888889
five,mean,log,No,0,0.79375,0.7777777777777778
five,mean,relative,z_after_relative,1,0.7973484848484848,0.6833333333333333
five,mean,relative,z_after_relative,0,0.9037878787878788,0.7222222222222223
five,mean,relative,No,1,0.6806818181818182,0.7416666666666666
five,mean,relative,No,0,0.6267045454545455,0.5611111111111111
five,sum,log,row,1,0.7736742424242424,0.6972222222222223
five,sum,log,row,0,0.7575757575757576,0.6833333333333333
five,sum,log,col,1,0.8422348484848484,0.6722222222222223
five,sum,log,col,0,0.943939393939394,0.725
five,sum,log,both,1,0.8575757575757577,0.6722222222222222
five,sum,log,both,0,0.9590909090909092,0.7
five,sum,log,No,1,0.7789772727272727,0.7555555555555556
five,sum,log,No,0,0.7672348484848486,0.7555555555555555
five,sum,relative,z_after_relative,1,0.8202651515151516,0.675
five,sum,relative,z_after_relative,0,0.922159090909091,0.6888888888888889
five,sum,relative,No,1,0.5060606060606061,0.4666666666666667
five,sum,relative,No,0,0.6875,0.7138888888888889
five,pca_anna,log,row,1,0.8267045454545455,0.8083333333333333
five,pca_anna,log,row,0,0.9469696969696968,0.8222222222222223
five,pca_anna,log,col,1,0.8573863636363637,0.8083333333333333
five,pca_anna,log,col,0,0.9640151515151516,0.8027777777777777
five,pca_anna,log,both,1,0.8721590909090909,0.7888888888888889
five,pca_anna,log,both,0,0.9611742424242424,0.7805555555555556
five,pca_anna,log,No,1,0.8299242424242423,0.7888888888888889
five,pca_anna,log,No,0,0.9454545454545452,0.7638888888888888
five,pca_anna,relative,z_after_relative,1,0.7856060606060606,0.6277777777777778
five,pca_anna,relative,z_after_relative,0,0.9054924242424244,0.7472222222222223
five,pca_anna,relative,No,1,0.6452651515151515,0.6916666666666667
five,pca_anna,relative,No,0,0.759090909090909,0.7250000000000001
six,mean,log,row,1,0.8532196969696969,0.7444444444444445
six,mean,log,row,0,0.8643939393939395,0.7972222222222223
six,mean,log,col,1,0.9257575757575758,0.7972222222222223
six,mean,log,col,0,0.9835227272727274,0.7972222222222223
six,mean,log,both,1,0.9227272727272726,0.8027777777777778
six,mean,log,both,0,0.981060606060606,0.8194444444444444
six,mean,log,No,1,0.8392045454545455,0.7305555555555555
six,mean,log,No,0,0.8320075757575758,0.7833333333333334
six,mean,relative,z_after_relative,1,0.8501893939393941,0.7
six,mean,relative,z_after_relative,0,0.9643939393939396,0.7694444444444445
six,mean,relative,No,1,0.6569128787878787,0.6222222222222222
six,mean,relative,No,0,0.7229166666666667,0.6583333333333334
six,sum,log,row,1,0.8217803030303031,0.7555555555555555
six,sum,log,row,0,0.8420454545454547,0.7833333333333333
six,sum,log,col,1,0.9189393939393941,0.8111111111111111
six,sum,log,col,0,0.9793560606060604,0.7888888888888891
six,sum,log,both,1,0.9231060606060606,0.8305555555555557
six,sum,log,both,0,0.9789772727272728,0.8111111111111111
six,sum,log,No,1,0.827651515151515,0.6944444444444444
six,sum,log,No,0,0.8153409090909092,0.7250000000000001
six,sum,relative,z_after_relative,1,0.8751893939393941,0.7805555555555556
six,sum,relative,z_after_relative,0,0.9679924242424244,0.8222222222222222
six,sum,relative,No,1,0.5397727272727273,0.5027777777777778
six,sum,relative,No,0,0.6339015151515152,0.5444444444444445
six,pca_anna,log,row,1,0.8367424242424242,0.7722222222222224
six,pca_anna,log,row,0,0.9397727272727272,0.8444444444444444
six,pca_anna,log,col,1,0.8763257575757576,0.7388888888888889
six,pca_anna,log,col,0,0.9708333333333334,0.8416666666666666
six,pca_anna,log,both,1,0.8666666666666666,0.8527777777777779
six,pca_anna,log,both,0,0.9676136363636364,0.8083333333333332
six,pca_anna,log,No,1,0.83125,0.7694444444444446
six,pca_anna,log,No,0,0.9528409090909092,0.8305555555555555
six,pca_anna,relative,z_after_relative,1,0.8272727272727274,0.6861111111111111
six,pca_anna,relative,z_after_relative,0,0.9479166666666669,0.8027777777777778
six,pca_anna,relative,No,1,0.6456439393939395,0.6055555555555554
six,pca_anna,relative,No,0,0.7409090909090909,0.6861111111111111
