Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,mean,log,row,PCA,0.6785984848484848,0.6055555555555555
four,mean,log,row,ICA,0.7068181818181818,0.6333333333333334
four,mean,log,row,None,0.8153409090909092,0.6444444444444445
four,mean,log,col,PCA,0.7109848484848483,0.5638888888888889
four,mean,log,col,ICA,0.7272727272727273,0.5624999999999999
four,mean,log,col,None,0.9240530303030304,0.5972222222222222
four,mean,log,both,PCA,0.7416666666666666,0.5972222222222222
four,mean,log,both,ICA,0.7482007575757577,0.575
four,mean,log,both,None,0.9276515151515152,0.625
four,mean,log,No,PCA,0.7348484848484848,0.6694444444444445
four,mean,log,No,ICA,0.7551136363636364,0.6666666666666667
four,mean,log,No,None,0.8267992424242425,0.6319444444444444
four,mean,relative,z_after_relative,PCA,0.7513257575757575,0.6333333333333334
four,mean,relative,z_after_relative,ICA,0.7570075757575758,0.6333333333333333
four,mean,relative,z_after_relative,None,0.8708333333333333,0.6194444444444446
four,mean,relative,No,PCA,0.4884469696969697,0.4416666666666667
four,mean,relative,No,ICA,0.5742424242424242,0.5055555555555555
four,mean,relative,No,None,0.7604166666666666,0.7138888888888888
four,sum,log,row,PCA,0.6482007575757576,0.6194444444444445
four,sum,log,row,ICA,0.6280303030303029,0.6722222222222222
four,sum,log,row,None,0.759090909090909,0.6111111111111109
four,sum,log,col,PCA,0.7465909090909091,0.5361111111111111
four,sum,log,col,ICA,0.7269886363636363,0.5569444444444445
four,sum,log,col,None,0.9268939393939392,0.6
four,sum,log,both,PCA,0.5778409090909089,0.5611111111111111
four,sum,log,both,ICA,0.6659090909090911,0.538888888888889
four,sum,log,both,None,0.9023674242424242,0.5861111111111112
four,sum,log,No,PCA,0.7344696969696971,0.6333333333333334
four,sum,log,No,ICA,0.7359848484848485,0.6055555555555555
four,sum,log,No,None,0.7767992424242425,0.6833333333333333
four,sum,relative,z_after_relative,PCA,0.7238636363636364,0.6083333333333334
four,sum,relative,z_after_relative,ICA,0.7242424242424242,0.6416666666666666
four,sum,relative,z_after_relative,None,0.865530303030303,0.65
four,sum,relative,No,PCA,0.5431818181818182,0.5166666666666666
four,sum,relative,No,ICA,0.5239583333333333,0.513888888888889
four,sum,relative,No,None,0.5242424242424242,0.5305555555555556
four,pca_anna,log,row,PCA,0.7785984848484848,0.7638888888888888
four,pca_anna,log,row,ICA,0.7566287878787878,0.75
four,pca_anna,log,row,None,0.9806818181818182,0.8305555555555555
