Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
four,mean,log,row,1,0.8485835479472807,0.7167405764966741
four,mean,log,row,0,0.9612558703226785,0.6754434589800444
four,mean,log,col,1,0.8560066656567187,0.6793237250554323
four,mean,log,col,0,0.920125738524466,0.6870842572062084
four,mean,log,both,1,0.8849227389789426,0.6480044345898005
four,mean,log,both,0,0.9612558703226785,0.6754434589800444
four,mean,log,No,1,0.8564800787759429,0.6369179600886918
four,mean,log,No,0,0.920125738524466,0.6870842572062084
four,mean,relative,z_after_relative,1,0.8891077109528861,0.5288248337028825
four,mean,relative,z_after_relative,0,0.9240455991516436,0.710920177383592
four,mean,relative,No,1,0.7493372216330859,0.5310421286031042
four,mean,relative,No,0,0.9240455991516436,0.710920177383592
four,sum,log,row,1,0.8664596273291926,0.6485587583148558
four,sum,log,row,0,0.948227541281624,0.7314301552106429
four,sum,log,col,1,0.878673685805181,0.6693458980044347
four,sum,log,col,0,0.920125738524466,0.6870842572062084
four,sum,log,both,1,0.8880472655658235,0.43098669623059865
four,sum,log,both,0,0.948227541281624,0.7314301552106429
four,sum,log,No,1,0.8777647326162703,0.6183481152993348
four,sum,log,No,0,0.920125738524466,0.6870842572062084
four,sum,relative,z_after_relative,1,0.9072678382063324,0.6707317073170732
four,sum,relative,z_after_relative,0,0.9299159218300256,0.6671286031042131
four,sum,relative,No,1,0.6741781548250265,0.4894678492239468
four,sum,relative,No,0,0.9299159218300256,0.6671286031042131
four,pca_anna,log,row,1,0.9268671413422208,0.6765521064301552
four,pca_anna,log,row,0,0.9635471898197244,0.6718403547671841
four,pca_anna,log,col,1,0.9195576427813968,0.7181263858093125
four,pca_anna,log,col,0,0.9512195121951218,0.8043237250554325
four,pca_anna,log,both,1,0.9280412058778972,0.7851995565410199
four,pca_anna,log,both,0,0.9570519618239659,0.8417405764966741
four,pca_anna,log,No,1,0.8923269201636116,0.6690687361419069
four,pca_anna,log,No,0,0.9662361763369186,0.6887472283813747
four,pca_anna,relative,z_after_relative,1,0.9121534615967276,0.6995565410199556
four,pca_anna,relative,z_after_relative,0,0.957108771398273,0.6956762749445676
four,pca_anna,relative,No,1,0.7076200575670353,0.5471175166297119
four,pca_anna,relative,No,0,0.9596841387668535,0.7796563192904656
five,mean,log,row,1,0.8781623996364187,0.5000000000000001
five,mean,log,row,0,0.9737539766702016,0.6310975609756098
five,mean,log,col,1,0.9331540675655204,0.6832039911308205
five,mean,log,col,0,0.9640774125132556,0.6205654101995565
five,mean,log,both,1,0.8907173155582487,0.5584811529933481
five,mean,log,both,0,0.9737539766702016,0.6310975609756098
five,mean,log,No,1,0.8898462354188759,0.6003325942350334
five,mean,log,No,0,0.9640774125132556,0.6205654101995565
five,mean,relative,z_after_relative,1,0.9011892137554915,0.5762195121951219
five,mean,relative,z_after_relative,0,0.9638691107407968,0.7267184035476718
five,mean,relative,No,1,0.7853355552189063,0.5920177383592018
five,mean,relative,No,0,0.9638691107407968,0.7267184035476718
five,sum,log,row,1,0.8872898045750643,0.5487804878048781
five,sum,log,row,0,0.9674102408725952,0.6477272727272727
five,sum,log,col,1,0.9301999697015604,0.6635254988913526
five,sum,log,col,0,0.9640774125132556,0.6205654101995565
five,sum,log,both,1,0.9215459778821392,0.5133037694013303
five,sum,log,both,0,0.9674102408725952,0.6477272727272727
five,sum,log,No,1,0.9093129828813816,0.6194567627494456
five,sum,log,No,0,0.9640774125132556,0.6205654101995565
five,sum,relative,z_after_relative,1,0.8904143311619452,0.6008869179600886
five,sum,relative,z_after_relative,0,0.9714626571731556,0.6457871396895787
five,sum,relative,No,1,0.6691978488107861,0.3813747228381375
five,sum,relative,No,0,0.9714626571731556,0.6457871396895787
five,pca_anna,log,row,1,0.9409937888198758,0.733370288248337
five,pca_anna,log,row,0,0.9759884865929404,0.6901330376940134
five,pca_anna,log,col,1,0.9135737009544008,0.7170177383592018
five,pca_anna,log,col,0,0.9581124072110286,0.7031596452328159
five,pca_anna,log,both,1,0.9454059990910468,0.7159090909090908
five,pca_anna,log,both,0,0.9470156036964096,0.8009977827050998
five,pca_anna,log,No,1,0.9286282381457356,0.6516075388026608
five,pca_anna,log,No,0,0.9694932585971824,0.6718403547671841
five,pca_anna,relative,z_after_relative,1,0.8972882896530828,0.5961751662971174
five,pca_anna,relative,z_after_relative,0,0.9729586426299046,0.690410199556541
five,pca_anna,relative,No,1,0.8010339342523859,0.6604767184035476
five,pca_anna,relative,No,0,0.98670655961218,0.7070399113082041
six,mean,log,row,1,0.928325253749432,0.6302660753880266
six,mean,log,row,0,0.9738297227692774,0.8009977827050997
six,mean,log,col,1,0.9192167853355552,0.7483370288248337
six,mean,log,col,0,0.9828245720345402,0.7336474501108647
six,mean,log,both,1,0.9452166338433572,0.7039911308203992
six,mean,log,both,0,0.9738297227692774,0.8009977827050997
six,mean,log,No,1,0.9234775034085744,0.6033813747228381
six,mean,log,No,0,0.9828245720345402,0.7336474501108647
six,mean,relative,z_after_relative,1,0.9280601424026662,0.7322616407982261
six,mean,relative,z_after_relative,0,0.9927662475382518,0.7610864745011087
six,mean,relative,No,1,0.7850136342978337,0.6208425720620843
six,mean,relative,No,0,0.9927662475382518,0.7610864745011087
six,sum,log,row,1,0.9179859112255718,0.5853658536585367
six,sum,log,row,0,0.9818588092713226,0.8151330376940134
six,sum,log,col,1,0.9219057718527496,0.7397450110864745
six,sum,log,col,0,0.9828245720345402,0.7336474501108647
six,sum,log,both,1,0.9386645962732918,0.5886917960088691
six,sum,log,both,0,0.9818588092713226,0.8151330376940134
six,sum,log,No,1,0.9143122254203908,0.6585365853658536
six,sum,log,No,0,0.9828245720345402,0.7336474501108647
six,sum,relative,z_after_relative,1,0.9432282987426148,0.6111419068736142
six,sum,relative,z_after_relative,0,0.979283441902742,0.7195121951219512
six,sum,relative,No,1,0.664861384638691,0.3578159645232816
six,sum,relative,No,0,0.979283441902742,0.7195121951219512
six,pca_anna,log,row,1,0.9310710498409333,0.6299889135254989
six,pca_anna,log,row,0,0.9744546280866536,0.8300997782705101
six,pca_anna,log,col,1,0.9333244962884412,0.710920177383592
six,pca_anna,log,col,0,0.9739433419178912,0.7491685144124168
six,pca_anna,log,both,1,0.9335896076352068,0.7062084257206208
