Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,mean,log,row,PCA,0.8655885471898198,0.6067073170731707
four,mean,log,row,ICA,0.8618391152855629,0.6080931263858093
four,mean,log,row,None,0.942982123920618,0.7308758314855877
four,mean,log,col,PCA,0.8488486592940463,0.5357538802660755
four,mean,log,col,ICA,0.8301961823966066,0.53519955654102
four,mean,log,col,None,0.9154673534312984,0.6460643015521065
four,mean,log,both,PCA,0.8975155279503106,0.6261086474501109
four,mean,log,both,ICA,0.880207544311468,0.5521064301552107
four,mean,log,both,None,0.942982123920618,0.7308758314855877
four,mean,log,No,PCA,0.8514997727617029,0.5296563192904656
four,mean,log,No,ICA,0.8507233752461747,0.5307649667405766
four,mean,log,No,None,0.9154673534312984,0.6460643015521065
four,mean,relative,z_after_relative,PCA,0.8855476442963187,0.5773281596452328
four,mean,relative,z_after_relative,ICA,0.8779162248144221,0.5412971175166297
four,mean,relative,z_after_relative,None,0.92521966368732,0.6818181818181818
four,mean,relative,No,PCA,0.7571201333131343,0.5983924611973392
four,mean,relative,No,ICA,0.7585782457203454,0.5892461197339246
four,mean,relative,No,None,0.9252196636873199,0.6818181818181818
four,sum,log,row,PCA,0.8532229965156795,0.5950665188470066
four,sum,log,row,ICA,0.8506476291470991,0.6019955654101995
four,sum,log,row,None,0.9575443114679596,0.7192350332594235
four,sum,log,col,PCA,0.8570292379942434,0.5083148558758315
four,sum,log,col,ICA,0.8699250113619148,0.5421286031042128
four,sum,log,col,None,0.9154673534312984,0.6460643015521065
four,sum,log,both,PCA,0.8323928192698076,0.5972838137472285
four,sum,log,both,ICA,0.8415770337827602,0.5776053215077606
four,sum,log,both,None,0.9575443114679596,0.7192350332594235
four,sum,log,No,PCA,0.8652855627935163,0.5066518847006651
four,sum,log,No,ICA,0.8607597333737314,0.5493348115299334
four,sum,log,No,None,0.9154673534312984,0.6460643015521065
four,sum,relative,z_after_relative,PCA,0.8501552795031057,0.5551552106430155
four,sum,relative,z_after_relative,ICA,0.855021966368732,0.5299334811529934
four,sum,relative,z_after_relative,None,0.9293288895621876,0.5936807095343679
four,sum,relative,No,PCA,0.6715838509316769,0.5196784922394678
four,sum,relative,No,ICA,0.6715838509316769,0.5196784922394678
four,sum,relative,No,None,0.9293288895621876,0.5936807095343679
four,pca_anna,log,row,PCA,0.9008294197848812,0.7172949002217295
four,pca_anna,log,row,ICA,0.8955650658991062,0.7073170731707318
four,pca_anna,log,row,None,0.9587373125284048,0.7247782705099778
four,pca_anna,log,col,PCA,0.9271133161642175,0.6660199556541022
four,pca_anna,log,col,ICA,0.917209513710044,0.6169623059866962
four,pca_anna,log,col,None,0.9428306317224664,0.7067627494456763
four,pca_anna,log,both,PCA,0.9218868353279804,0.6225055432372505
four,pca_anna,log,both,ICA,0.9269618239660656,0.5875831485587584
four,pca_anna,log,both,None,0.9697015603696412,0.835920177383592
four,pca_anna,log,No,PCA,0.9150128768368428,0.6726718403547673
four,pca_anna,log,No,ICA,0.9171148310861992,0.6759977827050999
four,pca_anna,log,No,None,0.9681487653385852,0.7876940133037694
four,pca_anna,relative,z_after_relative,PCA,0.8764202393576731,0.5720620842572061
four,pca_anna,relative,z_after_relative,ICA,0.8765338585062871,0.5393569844789357
four,pca_anna,relative,z_after_relative,None,0.9493447962429934,0.6976164079822617
four,pca_anna,relative,No,PCA,0.7202885926374791,0.5792682926829269
four,pca_anna,relative,No,ICA,0.7202885926374791,0.5792682926829269
four,pca_anna,relative,No,None,0.9588130586274808,0.8192904656319291
five,mean,log,row,PCA,0.8960574155430995,0.6541019955654102
five,mean,log,row,ICA,0.8967580669595516,0.5468403547671841
five,mean,log,row,None,0.9750416603544916,0.6100332594235034
five,mean,log,col,PCA,0.939289501590668,0.6072616407982261
five,mean,log,col,ICA,0.9361081654294804,0.667960088691796
five,mean,log,col,None,0.9534729586426299,0.6230598669623061
