ID,Unassigned;p__;c__;o___0,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales_1,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_2,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_3,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_2,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_2,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_3,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_4,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_5,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales_1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales_0
d35.9,-0.3388972842017011,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,0.8354787735963528,0.019229880129395523,-0.49764334599782883,0.15761439170645922,-1.2419123463472335,0.849760429467236,0.029418146608920576,0.0922788123264524,-5.085400271631173,3.0009930847077713,-0.5346623908760958,-0.4299882780885969,0.5556649303563247,-0.5473480851012145,-0.3391971532578086,-0.1721183721102407,-0.5804230001708579,-0.756261643931063,-0.24192306708978978,-0.5226931070097109,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.18289809946017746,-0.23238984157466702
d0.24,1.4872730106330276,-0.17962528347100146,-0.16869609465508556,-0.4309997551749541,-0.848311804539734,-0.24744694833436048,-0.5213566188514823,-0.5659473485161569,0.8224638865269494,-0.5168375685731171,-0.5251219601702526,0.0922788123264524,1.0640269319533604,-0.4935688108198667,0.9780992659091425,1.1179260243861406,2.1767135613873165,-0.445579070635476,3.3474451876798907,1.7578935738220227,-0.13718619661620168,0.03663126365832959,0.244105164549724,-0.6247422305804126,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,-0.45167682796130054,-0.18289809946017746,-0.23238984157466702
d32.30,-0.3388972842017011,-0.17962528347100146,-0.24441973530927913,-0.4647021744991974,1.4243332837852314,-0.2829711811127364,-0.4320809995869768,-0.3143664780445208,0.22328783519479173,0.6433857619373002,-0.48823042526026195,0.0922788123264524,-0.3706745734435295,-0.008397801226232777,-0.1353730243237046,-0.4299882780885969,-0.6875279832443879,-0.8572794322569097,-0.828617211563477,1.4488429818303339,-0.9634889901354171,0.7193626554103102,0.20373251773186066,-0.6422267662292737,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,0.638720195432064,-0.18289809946017746,-0.23238984157466702
d35.12,-0.3388972842017011,-0.17962528347100146,-0.02467516029391276,-0.39411283561701016,-0.19468227584041667,-0.15326747179679148,1.3500379573682975,0.14753551111954724,-1.3954422551336896,-1.4906922659665844,4.286945403332683,0.0922788123264524,0.5605026156655663,-0.07730184297744129,0.8376684221108293,-0.4299882780885969,-0.8204369224495693,-0.708746581614442,-0.617735389739809,-0.09472407752155712,-0.2228851759923719,-0.05248714142942386,-0.44360861932904777,-0.4685970451808777,-0.13083645494613536,2.665659813460161,-0.15979550437376958,-0.2932702976818528,-0.4336273455907847,-0.18289809946017746,-0.23238984157466702
d0.15,-0.3388972842017011,-0.17962528347100146,0.2237069283475883,-0.15246793095380234,-0.6765122954196996,-0.25828772406890693,-0.5649072895214655,-0.4580014543817771,0.4668343682551715,-0.5383496626481994,-0.8132677271259654,0.0922788123264524,0.8882467987755636,-0.635506336445169,0.6720058535524994,-0.4299882780885969,2.295622355367578,-0.16221020722892068,-2.6927091990330725,-1.0953895138909049,-0.2595566157010034,-0.9956935514281771,0.3008795771673396,1.488012901306054,-0.13083645494613536,-0.06819361902485768,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.18289809946017746,-0.23238984157466702
d32.6,-0.3388972842017011,-0.17962528347100146,-0.44905604517532277,0.4961417185605005,-0.02479103716650599,-0.2994121954853122,-0.6608277982484331,0.2078974353823732,-1.5710310788691448,0.044610969702985497,-0.3215506977406306,-1.0729848324493065,-0.45369739403821724,0.014590935458434415,-0.1469490613556576,-0.4299882780885969,-1.0241473932068486,-0.7584898097817673,-0.6746120904457891,0.014179207395984387,-0.33963023871520776,-0.09115177668535669,0.046513891220983705,1.6823031247425344,-0.13083645494613536,-0.04504534254246798,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.18289809946017746,-0.23238984157466702
d0.7,1.622600757998355,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,-0.8043786612761267,-0.25021918764909395,-0.6150822456375254,1.508362427879507,-0.5560135483163694,-0.7227160122868557,-0.19427029917468508,0.0922788123264524,0.7447396938372588,-0.6077609539749426,0.5585251136006524,-0.4299882780885969,0.5096919407088695,-0.6079014715910597,-2.2615930745764605,-1.1921529981799992,-1.0279549408472985,-2.130228315028196,-0.6622745933352766,0.01581346370287528,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.18289809946017746,-0.23238984157466702
d21.8,-0.3388972842017011,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,-0.7399697871908015,-0.254283472598743,-0.5304988925516481,-0.49283671426160386,0.6427326549786394,-0.17043445718875022,1.3167543792927634,0.0922788123264524,1.0678211333897383,0.6547747713122319,-0.032262857466541894,-0.4299882780885969,0.051208963620511236,-0.6050847651413915,0.1790150777343656,1.7093863766105057,-0.4333907605301706,0.6237390581648355,0.20373251773186066,-0.6422267662292737,-0.13083645494613536,5.829354339640447,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.18289809946017746,-0.23238984157466702
d18.15,-0.3388972842017011,-0.17962528347100146,-0.2543876678913845,-0.4178990086572396,0.3867037021342429,-0.3253780565494919,1.8862255327160975,0.15598422685810528,-0.8769383957626907,-0.537312808205869,-0.8132677271259654,0.0922788123264524,0.3920364892580364,-0.5438588726529956,0.2181747144058552,-0.4299882780885969,-0.8512466710256866,6.8697870441148225,-2.418197534348043,-2.332609184312269,0.8312742757939835,1.9888305114530476,-0.17609954783415044,-0.39485696263341924,-0.13083645494613536,0.1668545085844417,-0.15979550437376958,-0.2932702976818528,-0.4362155880858507,-0.18289809946017746,-0.23238984157466702
d18.27,-0.3388972842017011,-0.17962528347100146,-0.2461767892873238,-0.4564521499278708,-0.867602925298387,-0.24622965315765255,-0.5619578246298113,-0.39447915942483186,0.3550802606728462,0.06581408524893526,-0.21590419092601681,0.0922788123264524,-2.1365331684059887,1.6125695511318845,1.0055521528407285,3.0707685073524016,2.3387225168661074,-0.09527992972666564,4.352309072510581,-1.9011578370426998,0.7914624904024582,0.8380522194197476,0.20373251773186066,-0.6422267662292737,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,-0.44791242109378554,-0.18289809946017746,-0.23238984157466702
