ID,Unassigned;p__;c__;o__;f__;g___0,Unassigned;p__;c__;o__;f__;g___1,Unassigned;p__;c__;o__;f__;g___2,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium_1,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g___0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g___1,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g___2,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g___3,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g___4,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g___5,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus_1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Candidatus Arthromitus_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Butyrivibrio_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Acidaminococcus_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acetobacter_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Citrobacter_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Anaeroplasma_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia_0
d35.9,0.4782761581302261,-0.568377232197882,-0.22224242008045939,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,0.5128109564298421,2.0755321491644434,0.2956313533461009,0.15470990037037535,-0.8345742255196177,-0.2481928055692117,0.6056664692692051,-0.1500786359747812,-0.18290899794722817,-0.012907083492099618,-0.21817285576747986,-0.33318627284968594,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,0.44056456610805406,5.925872419341051,2.3384390770976236,-0.21776732422798545,-0.4299882780885969,-0.22996467494043252,-0.14459868771991294,-0.4659392281949037,-0.13409080815467594,-0.37362412745875534,-0.37411288378000845,1.5107892110740622,-0.40340126798725534,-0.15875326569298212,0.04266424582987752,-0.42930322494820106,-0.21987805137866606,0.15449489277164413,0.22782458079058124,-0.18378466948852204,-0.1788861936321255,-0.1976737472172556,-0.16882121043089568,-0.27648114362003134,-0.4235662066964311,-0.41747858078570427,-0.13083645494613536,-0.15979550437376958,-0.10493519116736758,-0.461529066790312,-0.23238984157466702
d0.24,0.9175505932145256,-1.8431207711420052,1.5752140008149473,-0.17962528347100146,-0.16869609465508556,-0.4309997551749541,0.49228025308160156,-1.5832490183607413,-0.6870084933346126,0.08922186589014675,-0.03441095895997168,0.3138593006900936,-0.8326588831313745,-0.1500786359747812,-0.46088738488000724,0.005805207810134225,-0.21817285576747986,-0.33318627284968594,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,0.0006535030794626553,-1.356328104110268,0.4311513112143023,-0.21776732422798545,1.1179260243861406,-0.22996467494043252,-0.14459868771991294,2.525120928214999,-0.13409080815467594,-0.37362412745875534,0.772808662942739,2.5317550531241815,-0.40340126798725534,-0.15875326569298212,0.04266424582987752,0.5753788186802896,-0.21987805137866606,0.41795071878567086,0.3385556149050035,-0.18378466948852204,-0.1788861936321255,-0.1976737472172556,-0.16882121043089568,-0.27648114362003134,-0.36535192352235146,-0.41747858078570427,-0.13083645494613536,-0.15979550437376958,-0.10493519116736758,-0.45167682796130054,-0.23238984157466702
d32.30,-0.02273976820857083,-0.6709785960744666,-0.11677983400122081,-0.17962528347100146,-0.24441973530927913,-0.4647021744991974,-0.08794094300552908,-0.1751853302577053,0.5691124746563024,0.4475020158393982,-0.7094188736526615,0.22338988151668385,2.08809547656619,-0.1500786359747812,-0.30005637830607346,-0.005021233333905864,-0.21817285576747986,-0.33318627284968594,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,0.5824898481820501,0.25873390069265745,-0.4069017051074738,-0.21776732422798545,-0.4299882780885969,4.580209624125911,-0.14459868771991294,-0.4659392281949037,-0.13409080815467594,-0.37362412745875534,0.2727685348453404,-0.5400350797078525,-0.40340126798725534,-0.15875326569298212,0.04266424582987752,-0.5189002417071055,-0.21987805137866606,-0.1491931054174943,-0.2176977800405072,-0.18378466948852204,-0.1788861936321255,-0.1976737472172556,-0.16882121043089568,-0.27648114362003134,-0.4235662066964311,-0.41747858078570427,-0.13083645494613536,-0.15979550437376958,-0.10493519116736758,0.638720195432064,-0.23238984157466702
d35.12,-0.5120388439090534,1.648722658625542,-0.6042861849995701,-0.17962528347100146,-0.02467516029391276,-0.39411283561701016,-0.2757945191736222,1.9851696792251874,-0.6084173728834,-1.5479085026971835,1.9984173066637065,0.34424524052968525,-0.25118053428947157,-0.1500786359747812,-0.46088738488000724,0.005805207810134225,-0.21817285576747986,-0.33318627284968594,5.792018913511593,-0.13186314490987652,-0.1090635343655897,0.8492861281148231,-0.8787219676748124,0.18540051480534733,-0.21776732422798545,-0.4299882780885969,-0.22996467494043252,-0.14459868771991294,-0.4659392281949037,-0.13409080815467594,-0.37362412745875534,-0.37411288378000845,-0.6298093043638076,-0.40340126798725534,-0.15875326569298212,0.04266424582987752,-0.439979808232642,-0.21987805137866606,-0.2839182009375883,-0.429783557318933,-0.18378466948852204,-0.1788861936321255,-0.1976737472172556,-0.16882121043089568,-0.27648114362003134,-0.4235662066964311,-0.41747858078570427,-0.13083645494613536,-0.15979550437376958,-0.10493519116736758,-0.4336273455907847,-0.23238984157466702
d0.15,2.1758034175542096,0.3408160422485203,-0.6667756064153187,-0.17962528347100146,0.2237069283475883,-0.15246793095380234,1.8846863755932015,0.22307405295455596,-0.6891747921471454,2.361774908066106,-0.6531581324308801,0.7419588467171737,-0.5916680577575497,-0.1500786359747812,-0.46088738488000724,0.005805207810134225,-0.21817285576747986,-0.33318627284968594,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,-0.46256927130863434,-1.088290436763579,0.32183422699811076,-0.21776732422798545,-0.4299882780885969,-0.22996467494043252,-0.14459868771991294,-0.4659392281949037,-0.13409080815467594,-0.37362412745875534,-0.37411288378000845,-0.43654471035489056,-0.40340126798725534,-0.15875326569298212,0.04266424582987752,0.20459344836249177,-0.21987805137866606,-0.22401659479588237,0.2797373661272565,-0.18378466948852204,-0.1788861936321255,-0.1976737472172556,-0.16882121043089568,-0.27648114362003134,-0.048146792837143924,1.741941619384875,-0.13083645494613536,-0.15979550437376958,-0.10493519116736758,-0.461529066790312,-0.23238984157466702
d32.6,-0.3476716662873653,1.0016416886082455,-0.17911070406142124,-0.17962528347100146,-0.44905604517532277,0.4961417185605005,-0.4445023930766049,1.0684262573110135,-0.5587171652668321,0.3068446736150981,-0.9442997390395172,0.36996090693031236,0.32253038637403214,-0.1500786359747812,-0.29868375608283604,-0.005113632268846618,-0.21817285576747986,-0.33318627284968594,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,0.5914089702006666,0.3493039895527577,-0.4021799838182567,-0.21776732422798545,-0.4299882780885969,-0.22996467494043252,-0.14459868771991294,-0.4659392281949037,-0.13409080815467594,-0.37362412745875534,-0.37411288378000845,-0.6595559667142485,-0.40340126798725534,-0.15875326569298212,0.04266424582987752,-0.3331254018652518,-0.21987805137866606,-0.3351623831215347,-0.15703493104758232,-0.18378466948852204,-0.1788861936321255,-0.1976737472172556,-0.16882121043089568,-0.27648114362003134,-0.026198517521879322,1.8681885510165257,-0.13083645494613536,-0.15979550437376958,-0.10493519116736758,-0.461529066790312,-0.23238984157466702
d0.7,0.6615532265025227,-0.041603246724051426,1.4033975300374941,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,0.7439205077901124,3.4650083486929706,-2.165502353349702,1.7245702794974522,-0.023768405330257834,0.34507836177513096,-0.7710319057867194,-0.1500786359747812,-0.15460260207925214,-0.014812546470867069,-0.21817285576747986,-0.33318627284968594,-0.16337072968236346,2.481543793477906,-0.1090635343655897,-0.46256927130863434,-0.9207584921702823,0.2517154867236429,-0.21776732422798545,-0.4299882780885969,-0.22996467494043252,-0.14459868771991294,-0.4659392281949037,-0.13409080815467594,-0.37362412745875534,-0.37411288378000845,-0.5515609722990281,-0.40340126798725534,-0.15875326569298212,0.04266424582987752,0.040882927647381856,-0.21987805137866606,-0.29898307604549057,0.14012376358557757,-0.18378466948852204,-0.1788861936321255,-0.1976737472172556,-0.16882121043089568,-0.27648114362003134,0.451829061290443,-0.41747858078570427,-0.13083645494613536,-0.15979550437376958,-0.10493519116736758,-0.461529066790312,-0.23238984157466702
d21.8,0.26616441893982434,2.6454335966324307,-1.055946690339596,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,-0.22481316851806232,-0.5601786639539126,-0.07010626047521705,-0.4416378109320699,0.651705641091363,0.2333515057830162,-0.680682708593285,-0.1500786359747812,-0.46088738488000724,0.005805207810134225,-0.21817285576747986,-0.33318627284968594,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,0.4505562947940818,-0.6437660427875761,0.09339246216819704,1.5511199107373694,-0.4299882780885969,-0.22996467494043252,-0.14459868771991294,-0.4659392281949037,-0.13409080815467594,-0.37362412745875534,1.3215346175923723,-0.14914902109635234,-0.40340126798725534,-0.15875326569298212,0.04266424582987752,-0.572417710996505,-0.21987805137866606,-0.010532140573139805,-0.2958679698571917,-0.18378466948852204,-0.1788861936321255,-0.1976737472172556,-0.16882121043089568,-0.27648114362003134,-0.4235662066964311,-0.41747858078570427,-0.13083645494613536,-0.15979550437376958,-0.10493519116736758,-0.461529066790312,-0.23238984157466702
d18.15,-0.17833399930620358,0.22375430907549146,-0.285554389302986,-0.17962528347100146,-0.2543876678913845,-0.4178990086572396,0.8080970100050837,0.5244505270039203,-0.10767305731876008,0.4959608095548466,-0.22494017250028164,0.4412767971910581,0.8997523899118186,-0.1500786359747812,2.802702058701625,-0.867805563662609,-0.21817285576747986,1.0067981064187193,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,-0.46256927130863434,-0.5027961928574753,0.025213299210487865,-0.21776732422798545,-0.4299882780885969,-0.22996467494043252,-0.14459868771991294,-0.4659392281949037,6.482484706808956,-0.37362412745875534,-0.37411288378000845,-0.23198304424490487,-0.40340126798725534,4.5534134322383215,0.04266424582987752,-0.451386876333015,-0.21987805137866606,-0.2965006451893199,0.2944220980868363,6.331000161089967,5.416053209512291,1.466327087639933,-0.16882121043089568,0.3396111180352929,-0.12442485557869805,-0.41747858078570427,-0.13083645494613536,-0.15979550437376958,-0.10493519116736758,-0.4362155880858507,-0.23238984157466702
d18.27,-0.6046055518247029,-0.2557040613957659,-0.10916699108162572,-0.17962528347100146,-0.2461767892873238,-0.4564521499278708,1.3687164654155477,-2.8039669960130076,-2.78746724802166,-1.6571230118616669,-0.9794693112936059,-2.347771237548975,-0.8597193976685011,-0.1500786359747812,-0.46088738488000724,0.005805207810134225,-0.21817285576747986,-0.33318627284968594,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,-0.46256927130863434,2.1457723254331307,2.5660283368976646,-0.21776732422798545,3.0707685073524016,-0.22996467494043252,-0.14459868771991294,2.540536179526642,-0.13409080815467594,-0.37362412745875534,-0.37411288378000845,1.7297653447676216,1.4519638596958722,-0.15875326569298212,0.04266424582987752,2.062565521289423,-0.21987805137866606,0.6486687382113511,-0.34765245364790753,-0.18378466948852204,-0.1788861936321255,-0.1976737472172556,-0.16882121043089568,-0.27648114362003134,-0.4235662066964311,-0.41747858078570427,-0.13083645494613536,-0.15979550437376958,-0.10493519116736758,-0.44791242109378554,-0.23238984157466702
