Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,sum,log,No,ICA,0.6291871493122796,0.6248410174880763
four,sum,log,No,PCA,0.7647102636675107,0.6338235294117648
four,sum,log,No,None,0.7662272208153335,0.6568362480127184
four,sum,log,col,ICA,0.6854660112220071,0.6545310015898251
four,sum,log,col,PCA,0.8415239088336065,0.6631955484896661
four,sum,log,col,None,0.9283877054471424,0.6892289348171701
four,sum,log,row,ICA,0.6332960921594916,0.619475357710652
four,sum,log,row,PCA,0.7387258553056258,0.629133545310016
four,sum,log,row,None,0.744624857242167,0.6594594594594596
four,sum,log,both,ICA,0.6493718655345351,0.6196343402225756
four,sum,log,both,PCA,0.8726550474204281,0.6866454689984103
four,sum,log,both,None,0.9390684741049704,0.6809220985691573
four,sum,relative,No,ICA,0.4477928397636427,0.4932829888712241
four,sum,relative,No,PCA,0.4789239783504644,0.5165341812400637
four,sum,relative,No,None,0.4909479120115199,0.4865659777424484
four,sum,relative,z_after_relative,ICA,0.5908634986841452,0.5611287758346581
four,sum,relative,z_after_relative,PCA,0.7321292020457818,0.6161764705882353
four,sum,relative,z_after_relative,None,0.8565569293410796,0.6864864864864865
four,mean,log,No,ICA,0.6257584785739113,0.6151430842607314
four,mean,log,No,PCA,0.7070261681314862,0.642368839427663
four,mean,log,No,None,0.7621977258056508,0.6964228934817169
four,mean,log,col,ICA,0.6843661552212126,0.6489666136724961
four,mean,log,col,PCA,0.8323377526192959,0.6694753577106518
four,mean,log,col,None,0.9282660509459258,0.7352941176470589
four,mean,log,row,ICA,0.6345324991310393,0.6212639109697934
four,mean,log,row,PCA,0.7258975122895873,0.63879173290938
four,mean,log,row,None,0.8125974477382195,0.6848569157392688
four,mean,log,both,ICA,0.6653210189185164,0.6265898251192369
four,mean,log,both,PCA,0.8560603803565222,0.6768680445151034
four,mean,log,both,None,0.9343214658126022,0.6858505564387918
four,mean,relative,No,ICA,0.550315308605194,0.5719395866454688
four,mean,relative,No,PCA,0.6151844679477632,0.6150238473767885
four,mean,relative,No,None,0.6663439098267043,0.635731319554849
four,mean,relative,z_after_relative,ICA,0.6594195342370525,0.6067170111287759
four,mean,relative,z_after_relative,PCA,0.7863250409652913,0.6534976152623212
four,mean,relative,z_after_relative,None,0.8646705397487461,0.6671701112877584
four,sub PCA,log,No,ICA,0.7377749640001986,0.7083068362480127
four,sub PCA,log,No,PCA,0.8916803217637421,0.8103338632750396
four,sub PCA,log,No,None,0.9753165499776554,0.820985691573927
four,sub PCA,log,col,ICA,0.7308456229207011,0.683227344992051
four,sub PCA,log,col,PCA,0.8814861711107801,0.7345786963434022
four,sub PCA,log,col,None,0.9848304285217736,0.7535771065182829
four,sub PCA,log,row,ICA,0.7159168776999851,0.7010333863275041
four,sub PCA,log,row,PCA,0.9004692387904066,0.8088235294117647
four,sub PCA,log,row,None,0.9896072297532152,0.8308426073131955
four,sub PCA,log,both,ICA,0.7350265653706738,0.6791732909379968
four,sub PCA,log,both,PCA,0.9188167237697998,0.7327503974562799
four,sub PCA,log,both,None,0.9941953423705248,0.7735294117647059
four,sub PCA,relative,No,ICA,0.6022990217985005,0.6261526232114468
four,sub PCA,relative,No,PCA,0.6601147028154327,0.6746820349761528
four,sub PCA,relative,No,None,0.7996424847311188,0.7546899841017487
four,sub PCA,relative,z_after_relative,ICA,0.6909677739709023,0.6726152623211447
four,sub PCA,relative,z_after_relative,PCA,0.8542852177367296,0.7453497615262321
four,sub PCA,relative,z_after_relative,None,0.9770246784845324,0.7686009538950717
five,sum,log,No,ICA,0.7402924673519042,0.7337042925278219
five,sum,log,No,PCA,0.9502507572372014,0.8269475357710652
five,sum,log,No,None,0.8370549679725905,0.7829093799682034
five,sum,log,col,ICA,0.7435324494761408,0.6907790143084261
five,sum,log,col,PCA,0.9719946372709668,0.8053259141494437
five,sum,log,col,None,0.9995580714037441,0.8210651828298887
five,sum,log,row,ICA,0.7367967625006207,0.730564387917329
five,sum,log,row,PCA,0.9456725755995828,0.8335453100158983
five,sum,log,row,None,0.8521699190625155,0.7889109697933228
five,sum,log,both,ICA,0.7884006157207407,0.7349364069952304
five,sum,log,both,PCA,0.985153185361736,0.8066772655007949
five,sum,log,both,None,0.9995828988529718,0.8112877583465818
five,sum,relative,No,ICA,0.4880604796663191,0.5395071542130365
five,sum,relative,No,PCA,0.5238740751775163,0.5295310015898252
five,sum,relative,No,None,0.6695615472466357,0.6605723370429252
five,sum,relative,z_after_relative,ICA,0.7256318585828492,0.6823131955484898
five,sum,relative,z_after_relative,PCA,0.9117806246586226,0.7874403815580286
