Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,sum,log,No,ICA,0.8869280997070361,0.6212440381558029
four,sum,log,No,PCA,0.8671872982769752,0.6179888712241653
four,sum,log,No,None,0.8911584487809723,0.6740580286168522
four,sum,log,col,ICA,0.9035927801777646,0.6455405405405406
four,sum,log,col,PCA,0.9282653061224492,0.6228855325914149
four,sum,log,col,None,0.8911584487809723,0.6740580286168522
four,sum,log,row,ICA,0.8730917622523462,0.6152027027027027
four,sum,log,row,PCA,0.8745049406623963,0.5934220985691574
four,sum,log,row,None,0.9442847211877452,0.6718044515103339
four,sum,log,both,ICA,0.9160660906698446,0.6532511923688396
four,sum,log,both,PCA,0.9304950593376036,0.6675596184419713
four,sum,log,both,None,0.9442847211877452,0.6718044515103339
four,sum,relative,No,ICA,0.7058185610010427,0.4997337042925278
four,sum,relative,No,PCA,0.7058185610010427,0.4997337042925278
four,sum,relative,No,None,0.893930930036248,0.6739546899841017
four,sum,relative,z_after_relative,ICA,0.9130547693529968,0.6353696343402226
four,sum,relative,z_after_relative,PCA,0.8885237598689112,0.5846343402225755
four,sum,relative,z_after_relative,None,0.893930930036248,0.6740421303656599
four,mean,log,No,ICA,0.8534254431699688,0.5961883942766295
four,mean,log,No,PCA,0.8527677640399225,0.6075476947535771
four,mean,log,No,None,0.8911584487809723,0.6740580286168522
four,mean,log,col,ICA,0.9425413377029644,0.6334856915739269
four,mean,log,col,PCA,0.9224276279855008,0.6842766295707472
four,mean,log,col,None,0.8911584487809723,0.6740580286168522
four,mean,log,row,ICA,0.8833656090173295,0.6537996820349761
four,mean,log,row,PCA,0.8731823824420278,0.616720985691574
four,mean,log,row,None,0.94445305129351,0.6690699523052464
four,mean,log,both,ICA,0.9112858135955112,0.654435612082671
four,mean,log,both,PCA,0.9104324941655494,0.6388275039745628
four,mean,log,both,None,0.9444530512935101,0.6690699523052464
four,mean,relative,No,ICA,0.8452415710809871,0.6031279809220986
four,mean,relative,No,PCA,0.8428382739957296,0.6183426073131956
four,mean,relative,No,None,0.9249513381995133,0.6229610492845786
four,mean,relative,z_after_relative,ICA,0.9369611202145092,0.6553934817170112
four,mean,relative,z_after_relative,PCA,0.9166140324743036,0.6192647058823529
four,mean,relative,z_after_relative,None,0.9249513381995133,0.6229610492845786
four,sub PCA,log,No,ICA,0.944549133522022,0.8089864864864864
four,sub PCA,log,No,PCA,0.9462090967773972,0.7908068362480127
four,sub PCA,log,No,None,0.9632412234966979,0.8130643879173292
four,sub PCA,log,col,ICA,0.9262115795223199,0.680643879173291
four,sub PCA,log,col,PCA,0.9338192065147228,0.6554491255961844
four,sub PCA,log,col,None,0.9658617607626993,0.7319157392686805
four,sub PCA,log,row,ICA,0.946258006852376,0.8016772655007951
four,sub PCA,log,row,PCA,0.9295200854064254,0.7387440381558028
four,sub PCA,log,row,None,0.9759459258155816,0.8094753577106519
four,sub PCA,log,both,ICA,0.9437787377724812,0.7221860095389507
four,sub PCA,log,both,PCA,0.9413009583395402,0.6997655007949125
four,sub PCA,log,both,None,0.9845424301107304,0.7471422893481716
four,sub PCA,relative,No,ICA,0.8448870351060133,0.674705882352941
four,sub PCA,relative,No,PCA,0.8430977208401609,0.6406518282988871
four,sub PCA,relative,No,None,0.9537340483638712,0.7850079491255961
four,sub PCA,relative,z_after_relative,ICA,0.9503016535081186,0.7164785373608903
four,sub PCA,relative,z_after_relative,PCA,0.9390113709717464,0.6895826709062004
four,sub PCA,relative,z_after_relative,None,0.9722905804657628,0.7246979332273449
five,sum,log,No,ICA,0.9480964794676996,0.7479213036565977
five,sum,log,No,PCA,0.9485200357515268,0.7512321144674087
five,sum,log,No,None,0.973658324643726,0.7433744038155803
five,sum,log,col,ICA,0.967760067530662,0.7447535771065182
five,sum,log,col,PCA,0.9650764685436218,0.7153259141494437
five,sum,log,col,None,0.9736583246437259,0.7433744038155803
five,sum,log,row,ICA,0.9483559263121306,0.7651351351351352
five,sum,log,row,PCA,0.9349784001191718,0.7503100158982512
five,sum,log,row,None,0.9811033318436864,0.7378855325914149
five,sum,log,both,ICA,0.97560578976116,0.7211685214626391
five,sum,log,both,PCA,0.96275659168777,0.7234658187599364
five,sum,log,both,None,0.9811033318436864,0.7378855325914149
five,sum,relative,No,ICA,0.7362863101444959,0.5162837837837838
five,sum,relative,No,PCA,0.7362863101444959,0.5162837837837838
five,sum,relative,No,None,0.9749955310591388,0.7488275039745629
five,sum,relative,z_after_relative,ICA,0.9464906400516412,0.6948171701112877
five,sum,relative,z_after_relative,PCA,0.9487742688316202,0.7123489666136724
five,sum,relative,z_after_relative,None,0.9749955310591388,0.7486685214626391
five,mean,log,No,ICA,0.9375378618600724,0.7774721780604134
five,mean,log,No,PCA,0.924712249863449,0.7506637519872814
five,mean,log,No,None,0.973658324643726,0.7426033386327504
five,mean,log,col,ICA,0.9705903967426386,0.7189030206677266
five,mean,log,col,PCA,0.9644900441928596,0.7174324324324326
five,mean,log,col,None,0.9736583246437259,0.7426033386327504
five,mean,log,row,ICA,0.9402721088435372,0.7434419713831479
five,mean,log,row,PCA,0.9393291623218628,0.7978895071542131
five,mean,log,row,None,0.9797589254679976,0.7448648648648649
five,mean,log,both,ICA,0.9698686627935846,0.7686009538950715
five,mean,log,both,PCA,0.9747234222156016,0.7577305246422894
five,mean,log,both,None,0.9797589254679976,0.7448648648648649
five,mean,relative,No,ICA,0.8523720144992303,0.6518044515103338
five,mean,relative,No,PCA,0.8466706390585431,0.6542527821939587
five,mean,relative,No,None,0.972945280301902,0.7546939586645469
five,mean,relative,z_after_relative,ICA,0.953195044441134,0.7462877583465819
five,mean,relative,z_after_relative,PCA,0.95773697800288,0.7111089030206678
five,mean,relative,z_after_relative,None,0.972945280301902,0.7546939586645469
five,sub PCA,log,No,ICA,0.953490739361438,0.7934340222575517
