Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
six,pca_anna,log,row,1,0.990317812269032,0.7699047619047619
six,pca_anna,log,row,1,0.9896772604089676,0.8053333333333332
six,pca_anna,log,row,0,1.0,0.8480000000000001
six,pca_anna,log,row,0,1.0,0.8575238095238096
six,pca_anna,log,row,0,1.0,0.8674285714285714
six,pca_anna,log,row,0,1.0,0.8335238095238096
four,pca_anna,robust,No,(),0.5033136240453313,0.4868571428571428
four,pca_anna,robust,No,(),0.4564917467356492,0.5203809523809524
four,pca_anna,robust,z_after_robust,(),0.8440009854644002,0.6468571428571428
four,pca_anna,robust,z_after_robust,(),0.6988667159398866,0.5828571428571429
four,pca_anna,robust,z_after_robust,(),0.8462921901946293,0.7013333333333334
four,pca_anna,robust,z_after_robust,(),0.7051490514905149,0.5965714285714286
four,pca_anna,log,No,(),0.8325942350332595,0.7230476190476189
four,pca_anna,log,No,(),0.7034737620103474,0.6685714285714286
four,pca_anna,log,No,(),0.8365360926336536,0.6979047619047619
four,pca_anna,log,No,(),0.7015274698201528,0.6274285714285714
four,pca_anna,log,No,(),0.9950973146095096,0.7569523809523809
four,pca_anna,log,row,(),0.9348115299334812,0.7508571428571429
four,pca_anna,log,row,(),0.7914757329391475,0.7215238095238096
four,pca_anna,robust,No,PCA,0.5038433111603844,0.4860952380952381
six,mean,robust,No,ICA,0.5738359201773836,0.6518095238095238
six,mean,robust,No,None,0.9494333579699432,0.7238095238095238
