Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
six,pca_anna,log,row,1,0.9772850455777284,0.6386666666666666
six,pca_anna,log,row,1,0.9670312884947032,0.6588571428571429
six,pca_anna,log,row,0,0.9843508253264353,0.7359238095238096
six,pca_anna,log,row,0,0.981860064055186,0.7276571428571429
six,pca_anna,log,row,0,0.9879329884207934,0.7650285714285715
six,pca_anna,log,row,0,0.982480906627248,0.6537904761904763
four,pca_anna,robust,No,(),0.7274106922887411,0.4565714285714285
four,pca_anna,robust,No,(),0.7274106922887411,0.4565714285714285
four,pca_anna,robust,z_after_robust,(),0.9409583641290958,0.5766476190476191
four,pca_anna,robust,z_after_robust,(),0.9562675535846268,0.6415238095238095
four,pca_anna,robust,z_after_robust,(),0.9428578467602856,0.6550095238095237
four,pca_anna,robust,z_after_robust,(),0.9558117762995813,0.6741714285714285
four,pca_anna,log,No,(),0.911180093619118,0.6917333333333334
four,pca_anna,log,No,(),0.9149889135254988,0.7066285714285715
four,pca_anna,log,No,(),0.9266173934466616,0.7100571428571428
four,pca_anna,log,No,(),0.9314461690071448,0.6614095238095239
four,pca_anna,log,No,(),0.9648164572554816,0.7262095238095239
four,pca_anna,log,row,(),0.9498447893569844,0.7074285714285714
four,pca_anna,log,row,(),0.9591549642769154,0.6704761904761904
four,pca_anna,robust,No,PCA,0.7278763242177876,0.5093714285714286
six,mean,robust,No,ICA,0.8229933481152993,0.6342095238095239
six,mean,robust,No,None,0.9601626016260163,0.733942857142857
