Taxonomy level,taxonomy group,normalization 1,normalization 2,TRAIN-AUC,TEST-AUC
4,mean,log,row,0.9731929046563192,0.6284952380952381
4,mean,log,col,0.9426952451342694,0.6960000000000001
4,mean,log,both,0.9731929046563192,0.6284952380952381
4,mean,log,No,0.9426952451342694,0.6960000000000001
4,mean,relative,z_after_relative,0.9434565163833456,0.6636952380952381
4,mean,relative,No,0.9434565163833456,0.6636952380952381
4,sum,log,row,0.9732742054693274,0.6723809523809524
4,sum,log,col,0.9426952451342694,0.6960000000000001
4,sum,log,both,0.9732742054693274,0.6723809523809524
4,sum,log,No,0.9426952451342694,0.6960000000000001
4,sum,relative,z_after_relative,0.9521113574772112,0.6316571428571429
4,sum,relative,No,0.9521113574772112,0.6316571428571429
4,pca_anna,log,row,0.9805050505050504,0.7584000000000001
4,pca_anna,log,col,0.98129834934713,0.7322666666666666
4,pca_anna,log,both,0.992150776053215,0.7276190476190476
4,pca_anna,log,No,0.961118502094112,0.7251047619047619
4,pca_anna,relative,z_after_relative,0.986021187484602,0.6832761904761905
4,pca_anna,relative,No,0.9591278640059128,0.6882666666666666
5,mean,log,row,0.9679921162847992,0.7370285714285715
5,mean,log,col,0.9537053461443704,0.7444190476190476
5,mean,log,both,0.9679921162847992,0.7370285714285715
5,mean,log,No,0.9537053461443704,0.7444190476190476
5,mean,relative,z_after_relative,0.9726533628972652,0.7824380952380953
5,mean,relative,No,0.9726533628972652,0.7824380952380953
5,sum,log,row,0.9766050751416604,0.7228190476190476
5,sum,log,col,0.9537053461443704,0.7444190476190476
5,sum,log,both,0.9766050751416604,0.7228190476190476
5,sum,log,No,0.9537053461443704,0.7444190476190476
5,sum,relative,z_after_relative,0.9652870165065288,0.7543619047619048
5,sum,relative,No,0.9652870165065288,0.7543619047619048
5,pca_anna,log,row,0.9818871643261888,0.7481904761904762
5,pca_anna,log,col,0.982360187238236,0.7589333333333332
5,pca_anna,log,both,0.9901527469820152,0.7490285714285715
5,pca_anna,log,No,0.9737472283813748,0.7269333333333333
5,pca_anna,relative,z_after_relative,0.9835649174673564,0.7324571428571428
5,pca_anna,relative,No,0.9732889874353288,0.7985523809523809
6,mean,log,row,0.9768736141906874,0.6966095238095239
6,mean,log,col,0.9586622320768662,0.7401904761904763
6,mean,log,both,0.9768736141906874,0.6966095238095239
6,mean,log,No,0.9586622320768662,0.7401904761904763
6,mean,relative,z_after_relative,0.9707908351810792,0.7579809523809524
6,mean,relative,No,0.9707908351810792,0.7579809523809524
6,sum,log,row,0.97960088691796,0.716647619047619
6,sum,log,col,0.9586622320768662,0.7401904761904763
6,sum,log,both,0.97960088691796,0.716647619047619
6,sum,log,No,0.9586622320768662,0.7401904761904763
6,sum,relative,z_after_relative,0.9669746242916976,0.7393523809523809
6,sum,relative,No,0.9669746242916976,0.7393523809523809
6,pca_anna,log,row,0.9818723823601871,0.7487238095238095
6,pca_anna,log,col,0.9767726040896774,0.7634285714285715
6,pca_anna,log,both,0.9922148312392216,0.7604571428571429
6,pca_anna,log,No,0.9755678738605568,0.7755047619047619
6,pca_anna,relative,z_after_relative,0.982059620596206,0.7361904761904762
6,pca_anna,relative,No,0.9753658536585367,0.7988190476190477
