Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,mean,log,No,ICA,0.7809895833333333,0.6797916666666666
four,mean,log,No,PCA,0.7752192982456141,0.6725
four,mean,log,No,None,0.9111019736842104,0.6824999999999999
four,mean,log,col,ICA,0.8142543859649122,0.6766666666666666
four,mean,log,col,PCA,0.81015625,0.65875
four,mean,log,col,None,0.999890350877193,0.6391666666666665
four,mean,log,row,ICA,0.7754523026315789,0.6620833333333334
four,mean,log,row,PCA,0.7721628289473684,0.66875
four,mean,log,row,None,0.984594298245614,0.6699999999999999
four,mean,log,both,ICA,0.8149671052631579,0.6722916666666667
four,mean,log,both,PCA,0.8153097587719298,0.6733333333333335
four,mean,log,both,None,1.0,0.6483333333333333
four,mean,relative,No,ICA,0.6253837719298244,0.5591666666666666
four,mean,relative,No,PCA,0.6516447368421052,0.6058333333333333
four,mean,relative,No,None,0.8254660087719298,0.6545833333333334
four,mean,relative,z_after_relative,ICA,0.7974095394736842,0.6041666666666666
four,mean,relative,z_after_relative,PCA,0.7813322368421052,0.5704166666666668
four,mean,relative,z_after_relative,None,0.9969024122807018,0.6045833333333334
four,sum,log,No,ICA,0.7832510964912281,0.6970833333333335
four,sum,log,No,PCA,0.7894736842105262,0.699375
four,sum,log,No,None,0.9378152412280704,0.6927083333333333
four,sum,log,col,ICA,0.8055921052631578,0.6545833333333333
four,sum,log,col,PCA,0.8121025219298247,0.6591666666666667
four,sum,log,col,None,0.9999451754385966,0.639375
four,sum,log,row,ICA,0.7813870614035088,0.6918749999999999
four,sum,log,row,PCA,0.7948601973684211,0.6966666666666667
four,sum,log,row,None,0.9123492324561404,0.7116666666666667
four,sum,log,both,ICA,0.7955043859649122,0.7
four,sum,log,both,PCA,0.7943667763157894,0.6716666666666666
four,sum,log,both,None,0.9999177631578948,0.654375
four,sum,relative,No,ICA,0.5934210526315791,0.6041666666666667
four,sum,relative,No,PCA,0.6027138157894737,0.6075
four,sum,relative,No,None,0.636842105263158,0.6456250000000001
four,sum,relative,z_after_relative,ICA,0.7908168859649123,0.6643749999999999
four,sum,relative,z_after_relative,PCA,0.7874451754385965,0.67125
four,sum,relative,z_after_relative,None,0.9937225877192984,0.6316666666666667
four,sub PCA,log,No,ICA,0.8128974780701753,0.68125
four,sub PCA,log,No,PCA,0.8199287280701755,0.6758333333333335
four,sub PCA,log,No,None,1.0,0.6910416666666667
four,sub PCA,log,col,ICA,0.8552357456140349,0.6491666666666667
four,sub PCA,log,col,PCA,0.8586622807017544,0.65625
four,sub PCA,log,col,None,1.0,0.665625
four,sub PCA,log,row,ICA,0.8349095394736841,0.7391666666666665
four,sub PCA,log,row,PCA,0.8348958333333334,0.73125
four,sub PCA,log,row,None,1.0,0.7
four,sub PCA,log,both,ICA,0.8386650219298246,0.665
four,sub PCA,log,both,PCA,0.8465871710526315,0.6614583333333333
four,sub PCA,log,both,None,1.0,0.6820833333333334
four,sub PCA,relative,No,ICA,0.6647066885964912,0.558125
four,sub PCA,relative,No,PCA,0.6824835526315789,0.5570833333333333
four,sub PCA,relative,No,None,0.8017543859649123,0.6402083333333334
four,sub PCA,relative,z_after_relative,ICA,0.8754111842105263,0.6758333333333334
four,sub PCA,relative,z_after_relative,PCA,0.8723547149122807,0.6708333333333333
four,sub PCA,relative,z_after_relative,None,1.0,0.6820833333333333
five,mean,log,No,ICA,0.845668859649123,0.64625
five,mean,log,No,PCA,0.8403371710526317,0.6472916666666667
five,mean,log,No,None,0.9309347587719298,0.681875
