Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,mean,log,No,ICA,0.7618092105263158,0.66625
four,mean,log,No,PCA,0.7618092105263158,0.66625
four,mean,log,No,None,0.8514912280701754,0.6619999999999999
four,mean,log,col,ICA,0.7874671052631579,0.6436666666666666
four,mean,log,col,PCA,0.7874671052631579,0.6436666666666666
four,mean,log,col,None,0.8665679824561404,0.6345000000000001
four,mean,log,row,ICA,0.7400109649122807,0.64425
four,mean,log,row,PCA,0.7400109649122807,0.64425
four,mean,log,row,None,0.8517434210526317,0.6460833333333333
four,mean,log,both,ICA,0.771080043859649,0.6708333333333334
four,mean,log,both,PCA,0.771080043859649,0.6708333333333334
four,mean,log,both,None,0.8607346491228071,0.6316666666666667
four,mean,relative,No,ICA,0.6413212719298246,0.5971666666666667
four,mean,relative,No,PCA,0.6413212719298246,0.5971666666666667
four,mean,relative,No,None,0.6650164473684209,0.5961666666666666
four,mean,relative,z_after_relative,ICA,0.7693804824561403,0.61675
four,mean,relative,z_after_relative,PCA,0.7693804824561403,0.61675
four,mean,relative,z_after_relative,None,0.8373848684210524,0.6538333333333334
four,sum,log,No,ICA,0.7717214912280702,0.6884166666666667
four,sum,log,No,PCA,0.7717214912280702,0.6884166666666667
four,sum,log,No,None,0.8672532894736844,0.6822500000000001
four,sum,log,col,ICA,0.7724561403508772,0.6253333333333334
four,sum,log,col,PCA,0.7724561403508772,0.6253333333333334
four,sum,log,col,None,0.8670723684210526,0.6514166666666666
four,sum,log,row,ICA,0.748218201754386,0.6733333333333333
four,sum,log,row,PCA,0.748218201754386,0.6733333333333333
four,sum,log,row,None,0.8532675438596491,0.70825
four,sum,log,both,ICA,0.7707456140350877,0.6878333333333333
four,sum,log,both,PCA,0.7707456140350877,0.6878333333333333
four,sum,log,both,None,0.8676754385964912,0.6789999999999999
four,sum,relative,No,ICA,0.5942489035087719,0.5617500000000001
four,sum,relative,No,PCA,0.5942489035087719,0.5617500000000001
four,sum,relative,No,None,0.6086896929824561,0.5840000000000001
four,sum,relative,z_after_relative,ICA,0.7461293859649123,0.6575833333333333
four,sum,relative,z_after_relative,PCA,0.7461293859649123,0.6575833333333333
four,sum,relative,z_after_relative,None,0.8359703947368422,0.6034999999999999
four,sub PCA,log,No,ICA,0.749906798245614,0.62125
four,sub PCA,log,No,PCA,0.749906798245614,0.62125
four,sub PCA,log,No,None,0.9232510964912282,0.6559999999999999
four,sub PCA,log,col,ICA,0.720405701754386,0.5763333333333334
four,sub PCA,log,col,PCA,0.720405701754386,0.5763333333333334
four,sub PCA,log,col,None,0.9500986842105263,0.6144166666666667
four,sub PCA,log,row,ICA,0.8089199561403508,0.7065833333333335
four,sub PCA,log,row,PCA,0.8089199561403508,0.7065833333333335
four,sub PCA,log,row,None,0.93109100877193,0.6620833333333334
four,sub PCA,log,both,ICA,0.7866447368421052,0.6263333333333334
