Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,mean,log,No,ICA,0.9639254385964912,0.6735416666666667
four,mean,log,No,PCA,0.9608086622807018,0.6385416666666667
four,mean,log,No,None,0.950814144736842,0.6841666666666666
four,mean,log,col,ICA,0.9849342105263156,0.5565833333333334
four,mean,log,col,PCA,0.9769627192982456,0.5994999999999999
four,mean,log,col,None,0.9508141447368421,0.6841666666666666
four,mean,log,row,ICA,0.9524342105263156,0.6786249999999999
four,mean,log,row,PCA,0.9565816885964912,0.6575416666666667
four,mean,log,row,None,0.9603947368421052,0.6660833333333334
four,mean,log,both,ICA,0.9771217105263156,0.6038333333333333
four,mean,log,both,PCA,0.9797587719298244,0.6776666666666666
four,mean,log,both,None,0.9603947368421052,0.6660833333333334
four,mean,relative,No,ICA,0.9018941885964912,0.5957083333333333
four,mean,relative,No,PCA,0.9023081140350876,0.5914583333333333
four,mean,relative,No,None,0.9600054824561404,0.6667500000000001
four,mean,relative,z_after_relative,ICA,0.9698629385964912,0.6427916666666667
four,mean,relative,z_after_relative,PCA,0.961452850877193,0.6193333333333333
four,mean,relative,z_after_relative,None,0.9600054824561404,0.6667500000000001
four,sum,log,No,ICA,0.9521463815789472,0.6629999999999999
four,sum,log,No,PCA,0.9592379385964912,0.6104166666666667
four,sum,log,No,None,0.950814144736842,0.6836666666666666
four,sum,log,col,ICA,0.9788048245614036,0.5774583333333333
four,sum,log,col,PCA,0.9819298245614037,0.5743333333333334
four,sum,log,col,None,0.9508141447368421,0.6836666666666666
four,sum,log,row,ICA,0.9409786184210528,0.6058333333333333
four,sum,log,row,PCA,0.9612911184210526,0.611125
four,sum,log,row,None,0.9595449561403508,0.6956666666666668
four,sum,log,both,ICA,0.9632702850877192,0.6810000000000002
four,sum,log,both,PCA,0.966033442982456,0.6095416666666668
four,sum,log,both,None,0.9595449561403508,0.6956666666666668
four,sum,relative,No,ICA,0.8116748903508773,0.5745000000000001
four,sum,relative,No,PCA,0.8028426535087719,0.5604166666666667
four,sum,relative,No,None,0.9491639254385964,0.6921666666666666
four,sum,relative,z_after_relative,ICA,0.9655071271929824,0.5765833333333334
four,sum,relative,z_after_relative,PCA,0.9774506578947368,0.5556666666666668
four,sum,relative,z_after_relative,None,0.9491639254385964,0.6921666666666666
