Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,mean,log,No,ICA,0.9658523592085236,0.5874853801169589
four,mean,log,No,PCA,0.9755707762557078,0.6084795321637427
four,mean,log,No,None,0.9658333333333334,0.6832748538011695
four,mean,log,col,ICA,0.9647260273972604,0.5628070175438596
four,mean,log,col,PCA,0.9759132420091324,0.6092397660818714
four,mean,log,col,None,0.9658333333333334,0.6832748538011695
four,mean,log,row,ICA,0.9763089802130898,0.5935672514619883
four,mean,log,row,PCA,0.9685654490106546,0.5584795321637427
four,mean,log,row,None,0.9636111111111112,0.5954385964912281
four,mean,log,both,ICA,0.975220700152207,0.5114619883040936
four,mean,log,both,PCA,0.9672831050228312,0.6282456140350877
four,mean,log,both,None,0.9636111111111112,0.5954385964912281
four,mean,relative,No,ICA,0.8858333333333334,0.6355555555555555
four,mean,relative,No,PCA,0.8850951293759511,0.6369005847953216
four,mean,relative,No,None,0.9575076103500759,0.6064327485380118
four,mean,relative,z_after_relative,ICA,0.9717199391171992,0.5847953216374269
four,mean,relative,z_after_relative,PCA,0.9683980213089802,0.6216374269005849
four,mean,relative,z_after_relative,None,0.957507610350076,0.6064327485380118
four,sum,log,No,ICA,0.9666324200913242,0.5459649122807018
four,sum,log,No,PCA,0.9638432267884324,0.6273684210526316
four,sum,log,No,None,0.9658333333333334,0.6832748538011695
four,sum,log,col,ICA,0.9729984779299848,0.5821052631578948
four,sum,log,col,PCA,0.9770700152207,0.5685380116959065
four,sum,log,col,None,0.9658333333333334,0.6832748538011695
four,sum,log,row,ICA,0.9617465753424655,0.5346198830409357
four,sum,log,row,PCA,0.96425799086758,0.6383625730994151
four,sum,log,row,None,0.95398401826484,0.6613450292397661
four,sum,log,both,ICA,0.9809360730593608,0.6507017543859649
four,sum,log,both,PCA,0.974406392694064,0.5999415204678362
four,sum,log,both,None,0.9539840182648399,0.6613450292397661
four,sum,relative,No,ICA,0.7838926940639269,0.6295321637426899
four,sum,relative,No,PCA,0.7838926940639269,0.6295321637426899
four,sum,relative,No,None,0.9619596651445969,0.6776023391812865
four,sum,relative,z_after_relative,ICA,0.9617275494672756,0.6409356725146199
four,sum,relative,z_after_relative,PCA,0.9676940639269408,0.6480701754385966
four,sum,relative,z_after_relative,None,0.9619596651445969,0.6776023391812865
four,sub PCA,log,No,ICA,0.9777245053272452,0.6166081871345029
four,sub PCA,log,No,PCA,0.9714003044140028,0.6237426900584796
four,sub PCA,log,No,None,0.9904414003044141,0.5865497076023392
four,sub PCA,log,col,ICA,0.9819254185692542,0.5577192982456141
four,sub PCA,log,col,PCA,0.9805365296803652,0.7039181286549707
four,sub PCA,log,col,None,0.9881735159817352,0.5541520467836258
four,sub PCA,log,row,ICA,0.9782838660578388,0.6451461988304095
four,sub PCA,log,row,PCA,0.9843455098934548,0.6025730994152046
four,sub PCA,log,row,None,0.9932952815829528,0.6307602339181286
four,sub PCA,log,both,ICA,0.9851826484018266,0.6221637426900585
four,sub PCA,log,both,PCA,0.9843531202435312,0.6847953216374268
four,sub PCA,log,both,None,0.9844748858447492,0.6642690058479532
four,sub PCA,relative,No,ICA,0.9232952815829528,0.7044444444444443
four,sub PCA,relative,No,PCA,0.9279185692541856,0.6621637426900585
four,sub PCA,relative,No,None,0.976248097412481,0.6967836257309942
four,sub PCA,relative,z_after_relative,ICA,0.9889269406392694,0.6526315789473685
four,sub PCA,relative,z_after_relative,PCA,0.9852168949771688,0.5599415204678363
four,sub PCA,relative,z_after_relative,None,0.9904642313546425,0.6290058479532165
five,mean,log,No,ICA,0.9848097412480974,0.5425730994152046
five,mean,log,No,PCA,0.9785083713850836,0.6181286549707603
five,mean,log,No,None,0.9830669710806696,0.6857309941520466
five,mean,log,col,ICA,0.9852359208523592,0.4947368421052632
five,mean,log,col,PCA,0.9863242009132421,0.5306432748538013
five,mean,log,col,None,0.9830669710806696,0.6857309941520466
five,mean,log,row,ICA,0.987579908675799,0.6163157894736843
five,mean,log,row,PCA,0.9849695585996956,0.5597076023391814
five,mean,log,row,None,0.9929984779299847,0.6576608187134503
five,mean,log,both,ICA,0.9942998477929984,0.6107602339181286
five,mean,log,both,PCA,0.9866742770167428,0.5883040935672516
five,mean,log,both,None,0.9929984779299847,0.6576608187134503
five,mean,relative,No,ICA,0.9095357686453576,0.7048538011695906
five,mean,relative,No,PCA,0.91675799086758,0.6977192982456141
five,mean,relative,No,None,0.9833485540334856,0.6076023391812866
five,mean,relative,z_after_relative,ICA,0.9907077625570776,0.5142105263157896
five,mean,relative,z_after_relative,PCA,0.9929756468797564,0.5892397660818713
five,mean,relative,z_after_relative,None,0.9833485540334856,0.6076023391812866
five,sum,log,No,ICA,0.9902739726027396,0.6430409356725146
five,sum,log,No,PCA,0.9869786910197867,0.6222222222222221
five,sum,log,No,None,0.9830669710806696,0.6847953216374268
five,sum,log,col,ICA,0.9830289193302892,0.5516959064327486
five,sum,log,col,PCA,0.9905479452054794,0.5233918128654972
five,sum,log,col,None,0.9830669710806696,0.6847953216374268
five,sum,log,row,ICA,0.984558599695586,0.6819883040935673
five,sum,log,row,PCA,0.9787062404870625,0.6045614035087719
five,sum,log,row,None,0.9864916286149163,0.6036257309941521
five,sum,log,both,ICA,0.9911111111111108,0.4789473684210526
five,sum,log,both,PCA,0.9902625570776256,0.5585964912280702
five,sum,log,both,None,0.9864916286149163,0.6036257309941521
five,sum,relative,No,ICA,0.8392960426179603,0.5753801169590642
five,sum,relative,No,PCA,0.8249657534246577,0.6149707602339183
five,sum,relative,No,None,0.9839878234398782,0.6943859649122808
five,sum,relative,z_after_relative,ICA,0.988523592085236,0.5753216374269006
