Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,mean,log,No,ICA,0.6232638888888891,0.4611111111111111
four,mean,log,No,PCA,0.6215277777777778,0.4944444444444445
four,mean,log,No,None,0.4560763888888889,0.4694444444444445
four,mean,log,col,ICA,0.8315972222222221,0.43888888888888894
four,mean,log,col,PCA,0.8246527777777779,0.4444444444444445
four,mean,log,col,None,0.9920138888888892,0.5833333333333334
four,mean,log,row,ICA,0.6333333333333333,0.4722222222222222
four,mean,log,row,PCA,0.6395833333333333,0.4555555555555556
four,mean,log,row,None,0.8930555555555555,0.4555555555555556
four,mean,log,both,ICA,0.7440972222222222,0.4833333333333333
four,mean,log,both,PCA,0.7388888888888888,0.5
four,mean,log,both,None,0.9611111111111108,0.5277777777777778
four,mean,relative,No,ICA,0.6329861111111109,0.5055555555555556
four,mean,relative,No,PCA,0.6248263888888891,0.4611111111111112
four,mean,relative,No,None,0.7631944444444445,0.4722222222222222
four,mean,relative,z_after_relative,ICA,0.7961805555555556,0.6166666666666666
four,mean,relative,z_after_relative,PCA,0.7927083333333333,0.6444444444444445
four,mean,relative,z_after_relative,None,0.9847222222222222,0.5944444444444444
four,sum,log,No,ICA,0.6593749999999999,0.3888888888888888
four,sum,log,No,PCA,0.6423611111111109,0.45
four,sum,log,No,None,0.4468749999999999,0.4555555555555556
four,sum,log,col,ICA,0.8277777777777778,0.4222222222222222
four,sum,log,col,PCA,0.83125,0.4611111111111112
four,sum,log,col,None,0.9902777777777778,0.6055555555555555
four,sum,log,row,ICA,0.6520833333333333,0.4444444444444445
four,sum,log,row,PCA,0.634375,0.4944444444444445
four,sum,log,row,None,0.8097222222222223,0.5277777777777779
four,sum,log,both,ICA,0.6142361111111112,0.4611111111111111
four,sum,log,both,PCA,0.6381944444444445,0.4111111111111111
four,sum,log,both,None,0.9729166666666668,0.5111111111111111
four,sum,relative,No,ICA,0.5649305555555555,0.4166666666666667
four,sum,relative,No,PCA,0.5902777777777779,0.45
four,sum,relative,No,None,0.6798611111111109,0.4
four,sum,relative,z_after_relative,ICA,0.8336805555555555,0.4444444444444445
four,sum,relative,z_after_relative,PCA,0.8194444444444443,0.4777777777777778
four,sum,relative,z_after_relative,None,0.9947916666666666,0.6166666666666667
four,sub PCA,log,No,ICA,0.63125,0.5166666666666667
four,sub PCA,log,No,PCA,0.6458333333333334,0.5388888888888889
four,sub PCA,log,No,None,0.7399305555555555,0.43888888888888894
four,sub PCA,log,col,ICA,0.7611111111111111,0.5222222222222223
four,sub PCA,log,col,PCA,0.7743055555555556,0.4833333333333334
four,sub PCA,log,col,None,1.0,0.6055555555555555
four,sub PCA,log,row,ICA,0.6881944444444446,0.3888888888888889
four,sub PCA,log,row,PCA,0.6913194444444444,0.4333333333333333
four,sub PCA,log,row,None,0.9881944444444444,0.4777777777777778
four,sub PCA,log,both,ICA,0.7003472222222222,0.45
four,sub PCA,log,both,PCA,0.7267361111111109,0.4777777777777778
four,sub PCA,log,both,None,0.9899305555555556,0.6277777777777779
four,sub PCA,relative,No,ICA,0.7756944444444445,0.55
four,sub PCA,relative,No,PCA,0.7756944444444444,0.5277777777777778
four,sub PCA,relative,No,None,0.8414930555555555,0.45
four,sub PCA,relative,z_after_relative,ICA,0.8079861111111111,0.5055555555555556
four,sub PCA,relative,z_after_relative,PCA,0.8020833333333334,0.4777777777777778
four,sub PCA,relative,z_after_relative,None,0.9989583333333332,0.5777777777777778
five,mean,log,No,ICA,0.6315972222222224,0.4666666666666667
five,mean,log,No,PCA,0.6361111111111112,0.4722222222222222
five,mean,log,No,None,0.4432291666666666,0.4666666666666667
five,mean,log,col,ICA,0.8284722222222222,0.5611111111111111
five,mean,log,col,PCA,0.8211805555555556,0.5166666666666666
five,mean,log,col,None,1.0,0.6777777777777778
five,mean,log,row,ICA,0.6840277777777777,0.5666666666666667
five,mean,log,row,PCA,0.6185763888888889,0.5666666666666667
five,mean,log,row,None,0.9461805555555556,0.5
five,mean,log,both,ICA,0.7631944444444445,0.5333333333333334
five,mean,log,both,PCA,0.7635416666666667,0.4499999999999999
five,mean,log,both,None,0.9895833333333334,0.5333333333333333
five,mean,relative,No,ICA,0.6489583333333332,0.6
five,mean,relative,No,PCA,0.6614583333333333,0.5111111111111111
five,mean,relative,No,None,0.7704861111111112,0.4611111111111111
five,mean,relative,z_after_relative,ICA,0.8604166666666666,0.7111111111111109
five,mean,relative,z_after_relative,PCA,0.8704861111111111,0.7388888888888889
five,mean,relative,z_after_relative,None,0.9996527777777778,0.5722222222222222
five,sum,log,No,ICA,0.7114583333333333,0.4555555555555556
five,sum,log,No,PCA,0.6986111111111112,0.43888888888888894
five,sum,log,No,None,0.5434027777777778,0.5611111111111111
five,sum,log,col,ICA,0.828125,0.5611111111111111
five,sum,log,col,PCA,0.8236111111111111,0.5833333333333334
five,sum,log,col,None,1.0,0.7055555555555555
five,sum,log,row,ICA,0.7024305555555556,0.4
five,sum,log,row,PCA,0.6878472222222223,0.4611111111111111
five,sum,log,row,None,0.8711805555555555,0.6
five,sum,log,both,ICA,0.7263888888888889,0.4888888888888888
five,sum,log,both,PCA,0.7249999999999999,0.5
five,sum,log,both,None,0.9909722222222224,0.6277777777777778
five,sum,relative,No,ICA,0.6479166666666667,0.45
five,sum,relative,No,PCA,0.6503472222222222,0.4888888888888889
five,sum,relative,No,None,0.7881944444444444,0.6
five,sum,relative,z_after_relative,ICA,0.8246527777777779,0.7055555555555555
five,sum,relative,z_after_relative,PCA,0.8173611111111111,0.6944444444444444
five,sum,relative,z_after_relative,None,1.0,0.6833333333333333
five,sub PCA,log,No,ICA,0.6975694444444445,0.4444444444444445
five,sub PCA,log,No,PCA,0.7013888888888891,0.4444444444444444
five,sub PCA,log,No,None,0.7276041666666668,0.4694444444444445
five,sub PCA,log,col,ICA,0.84375,0.6
five,sub PCA,log,col,PCA,0.8527777777777776,0.5388888888888889
five,sub PCA,log,col,None,1.0,0.6777777777777778
five,sub PCA,log,row,ICA,0.7465277777777779,0.4777777777777778
five,sub PCA,log,row,PCA,0.7288194444444445,0.4888888888888888
five,sub PCA,log,row,None,0.9944444444444444,0.4444444444444445
five,sub PCA,log,both,ICA,0.7041666666666666,0.35
five,sub PCA,log,both,PCA,0.7059027777777778,0.38888888888888895
five,sub PCA,log,both,None,0.996875,0.6166666666666667
five,sub PCA,relative,No,ICA,0.7833333333333334,0.5333333333333334
five,sub PCA,relative,No,PCA,0.7944444444444445,0.4944444444444445
five,sub PCA,relative,No,None,0.8364583333333334,0.4
five,sub PCA,relative,z_after_relative,ICA,0.8371527777777779,0.5444444444444445
five,sub PCA,relative,z_after_relative,PCA,0.8434027777777778,0.5333333333333333
five,sub PCA,relative,z_after_relative,None,1.0,0.6000000000000001
six,mean,log,No,ICA,0.6755208333333333,0.4055555555555556
six,mean,log,No,PCA,0.7045138888888889,0.4611111111111111
six,mean,log,No,None,0.4581597222222222,0.4888888888888889
six,mean,log,col,ICA,0.8763888888888889,0.5277777777777778
six,mean,log,col,PCA,0.8715277777777779,0.5833333333333334
six,mean,log,col,None,1.0,0.6388888888888891
six,mean,log,row,ICA,0.7947916666666667,0.4388888888888888
six,mean,log,row,PCA,0.7951388888888891,0.4777777777777778
six,mean,log,row,None,0.9947916666666669,0.4833333333333334
six,mean,log,both,ICA,0.7993055555555555,0.3944444444444444
six,mean,log,both,PCA,0.7958333333333334,0.4111111111111111
six,mean,log,both,None,0.9975694444444444,0.5888888888888889
six,mean,relative,No,ICA,0.75625,0.5277777777777778
six,mean,relative,No,PCA,0.7496527777777777,0.5055555555555555
six,mean,relative,No,None,0.8885416666666666,0.4777777777777778
six,mean,relative,z_after_relative,ICA,0.8600694444444444,0.5277777777777777
six,mean,relative,z_after_relative,PCA,0.8635416666666667,0.5555555555555556
six,mean,relative,z_after_relative,None,1.0,0.6166666666666666
six,sum,log,No,ICA,0.66875,0.4166666666666666
six,sum,log,No,PCA,0.6652777777777777,0.4444444444444445
six,sum,log,No,None,0.4861111111111111,0.4666666666666667
six,sum,log,col,ICA,0.8767361111111109,0.5333333333333334
six,sum,log,col,PCA,0.8753472222222223,0.6
