Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,mean,log,No,ICA,0.5559468438538205,0.5036363636363637
four,mean,log,No,PCA,0.5559468438538205,0.5036363636363637
four,mean,log,No,None,0.5773421926910299,0.5045454545454545
four,mean,log,col,ICA,0.6803322259136213,0.5281818181818182
four,mean,log,col,PCA,0.6803322259136213,0.5281818181818182
four,mean,log,col,None,0.7986710963455149,0.4754545454545454
four,mean,log,row,ICA,0.6685714285714286,0.3518181818181818
four,mean,log,row,PCA,0.6685714285714286,0.3518181818181818
four,mean,log,row,None,0.7500332225913622,0.3827272727272728
four,mean,log,both,ICA,0.7085714285714286,0.4490909090909091
four,mean,log,both,PCA,0.7085714285714286,0.4490909090909091
four,mean,log,both,None,0.813421926910299,0.4245454545454545
four,mean,relative,No,ICA,0.6233222591362126,0.3772727272727273
four,mean,relative,No,PCA,0.6233222591362126,0.3772727272727273
four,mean,relative,No,None,0.6673089700996678,0.3490909090909091
four,mean,relative,z_after_relative,ICA,0.7138205980066445,0.4172727272727273
four,mean,relative,z_after_relative,PCA,0.7138205980066445,0.4172727272727273
four,mean,relative,z_after_relative,None,0.8090365448504983,0.35818181818181816
four,sum,log,No,ICA,0.6105647840531562,0.4827272727272727
four,sum,log,No,PCA,0.6105647840531562,0.4827272727272727
four,sum,log,No,None,0.6510963455149502,0.4309090909090909
four,sum,log,col,ICA,0.6756810631229235,0.4972727272727272
four,sum,log,col,PCA,0.6756810631229235,0.4972727272727272
four,sum,log,col,None,0.8126910299003322,0.4945454545454545
four,sum,log,row,ICA,0.6078405315614618,0.4754545454545454
four,sum,log,row,PCA,0.6078405315614618,0.4754545454545454
four,sum,log,row,None,0.6926910299003322,0.39909090909090905
four,sum,log,both,ICA,0.6404651162790698,0.3936363636363636
four,sum,log,both,PCA,0.6404651162790698,0.3936363636363636
four,sum,log,both,None,0.7700996677740864,0.4272727272727273
four,sum,relative,No,ICA,0.612890365448505,0.5145454545454545
four,sum,relative,No,PCA,0.612890365448505,0.5145454545454545
four,sum,relative,No,None,0.6198671096345515,0.53
four,sum,relative,z_after_relative,ICA,0.7097674418604651,0.5018181818181818
four,sum,relative,z_after_relative,PCA,0.7097674418604651,0.5018181818181818
four,sum,relative,z_after_relative,None,0.7919601328903655,0.480909090909091
four,sub PCA,log,No,ICA,0.5838538205980067,0.5063636363636363
four,sub PCA,log,No,PCA,0.5838538205980067,0.5063636363636363
four,sub PCA,log,No,None,0.6541528239202659,0.4663636363636364
four,sub PCA,log,col,ICA,0.7623255813953489,0.4590909090909092
four,sub PCA,log,col,PCA,0.7623255813953489,0.4590909090909092
four,sub PCA,log,col,None,0.9296345514950164,0.41818181818181815
four,sub PCA,log,row,ICA,0.6611295681063123,0.3663636363636363
four,sub PCA,log,row,PCA,0.6611295681063123,0.3663636363636363
four,sub PCA,log,row,None,0.8845847176079733,0.5209090909090909
four,sub PCA,log,both,ICA,0.7491029900332226,0.4809090909090909
four,sub PCA,log,both,PCA,0.7491029900332226,0.4809090909090909
four,sub PCA,log,both,None,0.9364119601328904,0.40909090909090906
four,sub PCA,relative,No,ICA,0.6922259136212625,0.40454545454545454
four,sub PCA,relative,No,PCA,0.6922259136212625,0.40454545454545454
four,sub PCA,relative,No,None,0.7524916943521596,0.3827272727272727
four,sub PCA,relative,z_after_relative,ICA,0.7574750830564785,0.4881818181818182
four,sub PCA,relative,z_after_relative,PCA,0.7574750830564785,0.4881818181818182
four,sub PCA,relative,z_after_relative,None,0.947109634551495,0.4218181818181818
five,mean,log,No,ICA,0.6242524916943522,0.4600000000000001
five,mean,log,No,PCA,0.6242524916943522,0.4600000000000001
five,mean,log,No,None,0.6603986710963454,0.4418181818181818
five,mean,log,col,ICA,0.7451162790697675,0.3672727272727272
five,mean,log,col,PCA,0.7451162790697675,0.3672727272727272
five,mean,log,col,None,0.8956146179401994,0.3745454545454545
five,mean,log,row,ICA,0.6516279069767442,0.2954545454545455
five,mean,log,row,PCA,0.6516279069767442,0.2954545454545455
five,mean,log,row,None,0.8474418604651162,0.23545454545454544
five,mean,log,both,ICA,0.7130232558139535,0.36818181818181817
five,mean,log,both,PCA,0.7130232558139535,0.36818181818181817
five,mean,log,both,None,0.9126910299003322,0.2409090909090909
five,mean,relative,No,ICA,0.6415946843853821,0.3181818181818182
five,mean,relative,No,PCA,0.6415946843853821,0.3181818181818182
five,mean,relative,No,None,0.7297009966777409,0.33545454545454545
five,mean,relative,z_after_relative,ICA,0.7128903654485049,0.2890909090909091
