KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC,PRECISION,RECALL
linear,10.0,auto,0.9334750503468338,0.8794408852649971,0.4488151658767773,0.7171945701357466,0.7171945701357466,0.7171945701357466
linear,10.0,scale,0.9334750503468338,0.8794408852649971,0.4488151658767773,0.7171945701357466,0.7171945701357466,0.7171945701357466
linear,1.0,auto,0.916744983963601,0.7536400698893418,0.43507109004739336,0.6515837104072398,0.6515837104072398,0.6515837104072398
linear,1.0,scale,0.916744983963601,0.7536400698893418,0.43507109004739336,0.6515837104072398,0.6515837104072398,0.6515837104072398
linear,100.0,auto,0.951734168717834,0.9242865463016888,0.4242890995260664,0.7647058823529411,0.7647058823529411,0.7647058823529411
linear,100.0,scale,0.951734168717834,0.9242865463016888,0.4242890995260664,0.7647058823529411,0.7647058823529411,0.7647058823529411
linear,1000.0,auto,0.9588647721339598,0.9440885264997088,0.3851895734597156,0.7692307692307692,0.7692307692307693,0.7692307692307693
linear,1000.0,scale,0.9588647721339598,0.9440885264997088,0.3851895734597156,0.7692307692307692,0.7692307692307693,0.7692307692307693
linear,0.1,auto,0.8562616543596628,0.7117064647641234,0.3791469194312797,0.6402714932126697,0.6402714932126696,0.6402714932126696
linear,0.1,scale,0.8562616543596628,0.7117064647641234,0.3791469194312797,0.6402714932126697,0.6402714932126696,0.6402714932126696
linear,0.01,auto,0.7005071977325279,0.6820034944670939,0.2964454976303318,0.6470588235294118,0.6470588235294118,0.6470588235294118
linear,0.01,scale,0.7005071977325279,0.6820034944670939,0.2964454976303318,0.6470588235294118,0.6470588235294118,0.6470588235294118
