,train accuracy,test accuracy,y score,class report,y test,y pred
0,0.3511111111111111,0.15976331360946747,"[[-1.15190023 -0.42335524 -0.79721854 ... -0.59021939 -0.86819569
  -0.80407158]
 [-0.9471156  -0.64300064 -0.79638788 ... -0.7284666  -0.78767398
  -0.82355577]
 [-0.76031706 -0.79225792 -1.14860464 ... -0.75587355 -0.55086594
  -0.62943555]
 ...
 [-0.69076857 -0.92200864 -1.2031526  ... -0.59793869 -0.70028838
  -0.81224172]
 [-0.83099202 -0.46274636 -1.08982422 ... -0.61487874 -0.61224245
  -0.82344659]
 [-0.68633534 -0.52319841 -0.97327688 ... -0.3125329  -0.74685122
  -0.68136383]]","              precision    recall  f1-score   support

           0       0.05      0.25      0.09         4
           1       0.00      0.00      0.00         9
           2       0.25      0.20      0.22         5
           3       0.32      0.30      0.31        50
           4       0.00      0.00      0.00         3
           5       0.03      0.12      0.05         8
           6       0.27      0.20      0.23        44
           7       0.00      0.00      0.00        23
           8       0.00      0.00      0.00        23

   micro avg       0.16      0.16      0.16       169
   macro avg       0.10      0.12      0.10       169
weighted avg       0.18      0.16      0.16       169
","[7, 6, 3, 3, 6, 3, 8, 6, 3, 8, 6, 6, 3, 3, 3, 2, 5, 7, 5, 3, 0, 8, 2, 3, 6, 6, 6, 6, 1, 4, 1, 6, 3, 3, 7, 3, 3, 6, 7, 3, 8, 6, 3, 7, 6, 5, 8, 8, 6, 6, 3, 7, 3, 8, 4, 4, 3, 6, 6, 5, 3, 6, 8, 3, 7, 6, 7, 3, 6, 6, 6, 6, 3, 1, 3, 6, 3, 2, 3, 3, 7, 6, 8, 3, 6, 7, 8, 3, 5, 7, 7, 6, 3, 8, 3, 1, 5, 3, 6, 7, 6, 3, 6, 7, 7, 5, 7, 6, 3, 3, 8, 7, 8, 0, 6, 3, 6, 3, 8, 3, 6, 6, 2, 6, 3, 7, 0, 3, 3, 1, 3, 1, 8, 6, 3, 3, 8, 1, 6, 8, 3, 6, 3, 1, 6, 3, 3, 8, 8, 8, 2, 6, 3, 3, 8, 1, 7, 7, 6, 0, 8, 8, 7, 3, 6, 7, 5, 7, 6]","[1 3 7 3 3 6 5 5 5 6 3 3 8 0 6 3 6 6 6 5 5 3 2 5 0 3 7 5 0 0 3 6 1 1 3 5 7
 6 5 7 0 3 6 3 3 6 1 3 3 1 3 4 8 6 3 5 3 5 1 5 5 5 2 7 0 6 5 3 5 3 6 7 5 0
 3 7 3 8 6 4 6 5 7 3 8 6 0 3 0 5 3 6 6 6 0 3 3 3 6 5 5 3 3 6 0 0 1 6 7 7 5
 6 7 0 0 6 1 5 0 0 1 2 3 7 6 1 3 6 6 3 1 5 3 5 0 6 3 5 6 3 3 3 3 7 5 1 1 5
 3 3 3 3 3 3 1 4 0 6 2 7 6 5 0 3 3 4 6 1 6]"
1,0.3111111111111111,0.10650887573964497,"[[-0.77844627 -1.00606819 -1.36882169 ... -0.53470182 -1.18636441
  -0.4244258 ]
 [-1.08716121 -0.86623493 -0.59668223 ... -0.65582647 -0.64156354
  -0.84150707]
 [-4.52543882 -1.53312054 -2.46469334 ... -1.27652433  0.02611829
  -2.03075314]
 ...
 [-0.39407102 -0.71996356 -0.99898479 ... -0.57146408 -0.64474916
  -0.80951246]
 [-0.70942567 -0.90077372 -0.83229405 ... -0.75786396 -0.67619568
  -0.89504808]
 [-1.1002921  -0.4676384  -0.94099078 ... -0.77299314 -0.68218199
  -0.84630273]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00         4
           1       0.03      0.11      0.05         9
           2       0.00      0.00      0.00         5
           3       0.27      0.22      0.24        50
           4       0.00      0.00      0.00         3
           5       0.11      0.25      0.15         8
           6       0.07      0.02      0.03        44
           7       0.19      0.13      0.15        23
           8       0.00      0.00      0.00        23

   micro avg       0.11      0.11      0.11       169
   macro avg       0.07      0.08      0.07       169
weighted avg       0.13      0.11      0.11       169
","[7, 6, 3, 3, 6, 3, 8, 6, 3, 8, 6, 6, 3, 3, 3, 2, 5, 7, 5, 3, 0, 8, 2, 3, 6, 6, 6, 6, 1, 4, 1, 6, 3, 3, 7, 3, 3, 6, 7, 3, 8, 6, 3, 7, 6, 5, 8, 8, 6, 6, 3, 7, 3, 8, 4, 4, 3, 6, 6, 5, 3, 6, 8, 3, 7, 6, 7, 3, 6, 6, 6, 6, 3, 1, 3, 6, 3, 2, 3, 3, 7, 6, 8, 3, 6, 7, 8, 3, 5, 7, 7, 6, 3, 8, 3, 1, 5, 3, 6, 7, 6, 3, 6, 7, 7, 5, 7, 6, 3, 3, 8, 7, 8, 0, 6, 3, 6, 3, 8, 3, 6, 6, 2, 6, 3, 7, 0, 3, 3, 1, 3, 1, 8, 6, 3, 3, 8, 1, 6, 8, 3, 6, 3, 1, 6, 3, 3, 8, 8, 8, 2, 6, 3, 3, 8, 1, 7, 7, 6, 0, 8, 8, 7, 3, 6, 7, 5, 7, 6]","[8 2 7 7 4 2 3 1 3 3 6 0 6 6 0 3 4 5 4 4 2 7 0 6 3 1 5 3 1 7 0 2 8 1 3 1 8
 1 1 3 3 7 6 4 1 4 1 3 7 7 6 0 3 0 3 0 1 3 1 5 6 5 3 4 6 5 7 3 1 1 1 3 3 3
 5 3 2 6 7 4 1 4 3 4 0 4 5 5 3 5 5 1 5 2 7 4 1 0 3 2 0 5 3 3 8 5 0 3 3 7 3
 3 2 6 7 3 1 1 4 0 5 0 1 2 3 3 4 3 7 6 4 3 1 1 3 2 1 3 7 2 6 5 1 6 3 6 3 2
 3 1 3 8 1 5 4 0 1 7 0 3 5 6 7 5 5 1 0 3 1]"
2,0.30814814814814817,0.16568047337278108,"[[-1.70790962 -1.37229194 -1.52452724 ... -1.09627093 -0.81495923
  -0.533206  ]
 [-1.28821862 -0.94197874 -0.69874453 ... -0.69330956 -0.91057174
  -0.63573255]
 [-0.62983476 -0.80844884 -0.83597606 ... -0.62257745 -0.78921323
  -0.74874408]
 ...
 [-1.23508618 -1.04454494 -0.85094029 ... -0.82801036 -0.82182832
  -0.66681433]
 [-1.01141517 -1.05163102 -0.91342293 ... -0.77783434 -0.94616932
  -0.7702953 ]
 [-1.16071618 -0.84235433 -1.0906444  ... -0.7299736  -0.96547185
  -0.95431895]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00         4
           1       0.00      0.00      0.00         9
           2       0.06      0.20      0.10         5
           3       0.38      0.30      0.34        50
           4       0.00      0.00      0.00         3
           5       0.04      0.12      0.06         8
           6       0.25      0.11      0.16        44
           7       0.31      0.22      0.26        23
           8       0.20      0.04      0.07        23

   micro avg       0.17      0.17      0.17       169
   macro avg       0.14      0.11      0.11       169
weighted avg       0.25      0.17      0.19       169
","[7, 6, 3, 3, 6, 3, 8, 6, 3, 8, 6, 6, 3, 3, 3, 2, 5, 7, 5, 3, 0, 8, 2, 3, 6, 6, 6, 6, 1, 4, 1, 6, 3, 3, 7, 3, 3, 6, 7, 3, 8, 6, 3, 7, 6, 5, 8, 8, 6, 6, 3, 7, 3, 8, 4, 4, 3, 6, 6, 5, 3, 6, 8, 3, 7, 6, 7, 3, 6, 6, 6, 6, 3, 1, 3, 6, 3, 2, 3, 3, 7, 6, 8, 3, 6, 7, 8, 3, 5, 7, 7, 6, 3, 8, 3, 1, 5, 3, 6, 7, 6, 3, 6, 7, 7, 5, 7, 6, 3, 3, 8, 7, 8, 0, 6, 3, 6, 3, 8, 3, 6, 6, 2, 6, 3, 7, 0, 3, 3, 1, 3, 1, 8, 6, 3, 3, 8, 1, 6, 8, 3, 6, 3, 1, 6, 3, 3, 8, 8, 8, 2, 6, 3, 3, 8, 1, 7, 7, 6, 0, 8, 8, 7, 3, 6, 7, 5, 7, 6]","[3 5 6 3 0 3 6 5 3 6 5 6 3 6 3 2 5 2 1 1 6 3 5 3 0 0 5 6 3 3 2 3 3 1 6 6 4
 7 4 1 1 3 3 5 1 3 3 5 3 1 0 7 4 8 2 3 0 3 5 6 3 4 5 3 4 3 0 2 0 0 2 5 3 6
 6 5 3 4 0 0 3 5 4 7 3 7 0 6 6 0 4 1 7 0 1 6 8 4 0 3 6 0 2 7 3 4 2 5 7 5 5
 1 2 7 5 5 3 3 7 2 5 3 0 5 7 7 7 5 3 2 2 0 0 0 0 3 2 7 2 7 6 6 5 5 4 2 5 4
 4 1 8 6 2 1 6 3 0 7 7 3 3 3 3 4 1 8 8 4 3]"
3,0.31407407407407406,0.11834319526627218,"[[-0.80784803 -0.7988799  -0.70921848 ... -0.68127891 -0.81001863
  -0.69204629]
 [-1.33971169 -1.06854714 -0.57454055 ... -0.75083064 -1.04376846
  -0.81562425]
 [-1.67111846 -1.13744191 -1.12995227 ... -0.77126001 -1.02852629
  -0.45223105]
 ...
 [-0.7139701  -0.56373709 -0.82842976 ... -0.74365472 -0.64674721
  -0.82677168]
 [-3.26035858 -1.42478146 -1.21504515 ... -0.57259652 -0.8865362
  -1.17988407]
 [-0.2725855  -0.46519317 -1.05304068 ... -0.53161322 -0.41194498
  -0.80116202]]","              precision    recall  f1-score   support

           0       0.08      0.25      0.12         4
           1       0.00      0.00      0.00         9
           2       0.09      0.20      0.13         5
           3       0.26      0.18      0.21        50
           4       0.07      0.33      0.11         3
           5       0.05      0.12      0.07         8
           6       0.12      0.07      0.09        44
           7       0.10      0.09      0.09        23
           8       0.33      0.09      0.14        23

   micro avg       0.12      0.12      0.12       169
   macro avg       0.12      0.15      0.11       169
weighted avg       0.17      0.12      0.13       169
","[7, 6, 3, 3, 6, 3, 8, 6, 3, 8, 6, 6, 3, 3, 3, 2, 5, 7, 5, 3, 0, 8, 2, 3, 6, 6, 6, 6, 1, 4, 1, 6, 3, 3, 7, 3, 3, 6, 7, 3, 8, 6, 3, 7, 6, 5, 8, 8, 6, 6, 3, 7, 3, 8, 4, 4, 3, 6, 6, 5, 3, 6, 8, 3, 7, 6, 7, 3, 6, 6, 6, 6, 3, 1, 3, 6, 3, 2, 3, 3, 7, 6, 8, 3, 6, 7, 8, 3, 5, 7, 7, 6, 3, 8, 3, 1, 5, 3, 6, 7, 6, 3, 6, 7, 7, 5, 7, 6, 3, 3, 8, 7, 8, 0, 6, 3, 6, 3, 8, 3, 6, 6, 2, 6, 3, 7, 0, 3, 3, 1, 3, 1, 8, 6, 3, 3, 8, 1, 6, 8, 3, 6, 3, 1, 6, 3, 3, 8, 8, 8, 2, 6, 3, 3, 8, 1, 7, 7, 6, 0, 8, 8, 7, 3, 6, 7, 5, 7, 6]","[5 5 8 3 1 5 1 6 6 3 7 5 1 1 5 2 4 6 0 0 5 7 6 1 3 7 1 3 5 6 6 5 3 0 3 3 2
 7 7 0 0 3 6 3 1 8 1 2 6 4 6 0 1 7 3 4 4 0 6 3 7 4 5 0 5 2 1 6 3 4 2 3 5 3
 4 1 4 1 4 7 6 3 0 3 3 6 1 6 5 7 6 5 7 3 3 6 3 1 4 8 2 2 1 5 1 4 2 5 8 3 3
 6 1 1 7 7 5 7 3 3 0 3 7 2 3 3 5 6 3 5 5 6 8 7 2 1 2 4 5 7 6 7 6 7 3 6 1 0
 3 7 3 3 4 7 6 6 3 3 1 0 3 8 4 1 4 6 1 6 0]"
4,0.3111111111111111,0.11242603550295859,"[[-0.46950617 -1.03804765 -0.90751371 ... -0.96264656 -0.77655298
  -0.90199035]
 [-1.1819933  -0.60512719 -0.75456443 ... -0.63108568 -0.94208266
  -0.86515224]
 [-0.68612133 -0.52089449 -0.70069239 ... -0.61773295 -0.75749808
  -0.73666135]
 ...
 [-0.88649445 -1.09430859 -1.02999771 ... -0.77240186 -0.74130695
  -0.85870818]
 [-0.33205663 -0.93630066 -1.0506536  ... -0.64875728 -0.58000136
  -0.8827227 ]
 [-0.60487933 -1.54430134 -0.77573465 ... -0.9592878  -0.8530062
  -1.12625282]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00         4
           1       0.00      0.00      0.00         9
           2       0.17      0.20      0.18         5
           3       0.15      0.10      0.12        50
           4       0.04      0.33      0.08         3
           5       0.06      0.12      0.08         8
           6       0.17      0.09      0.12        44
           7       0.23      0.22      0.22        23
           8       0.18      0.09      0.12        23

   micro avg       0.11      0.11      0.11       169
   macro avg       0.11      0.13      0.10       169
weighted avg       0.15      0.11      0.12       169
","[7, 6, 3, 3, 6, 3, 8, 6, 3, 8, 6, 6, 3, 3, 3, 2, 5, 7, 5, 3, 0, 8, 2, 3, 6, 6, 6, 6, 1, 4, 1, 6, 3, 3, 7, 3, 3, 6, 7, 3, 8, 6, 3, 7, 6, 5, 8, 8, 6, 6, 3, 7, 3, 8, 4, 4, 3, 6, 6, 5, 3, 6, 8, 3, 7, 6, 7, 3, 6, 6, 6, 6, 3, 1, 3, 6, 3, 2, 3, 3, 7, 6, 8, 3, 6, 7, 8, 3, 5, 7, 7, 6, 3, 8, 3, 1, 5, 3, 6, 7, 6, 3, 6, 7, 7, 5, 7, 6, 3, 3, 8, 7, 8, 0, 6, 3, 6, 3, 8, 3, 6, 6, 2, 6, 3, 7, 0, 3, 3, 1, 3, 1, 8, 6, 3, 3, 8, 1, 6, 8, 3, 6, 3, 1, 6, 3, 3, 8, 8, 8, 2, 6, 3, 3, 8, 1, 7, 7, 6, 0, 8, 8, 7, 3, 6, 7, 5, 7, 6]","[3 1 1 2 5 3 0 7 7 3 3 1 6 6 4 5 0 1 7 6 7 7 4 7 4 1 3 4 6 3 5 3 0 0 2 0 6
 4 3 8 0 4 3 6 0 3 8 3 4 3 2 7 1 7 4 5 4 3 3 8 0 7 6 1 0 5 0 6 7 5 4 1 4 7
 8 2 1 2 4 4 8 7 8 0 5 1 4 6 5 6 7 6 4 7 3 7 3 3 5 6 5 6 7 7 5 2 5 0 7 4 3
 0 3 6 8 8 4 7 0 6 3 4 3 5 5 3 7 0 3 0 5 0 3 3 8 1 6 0 6 6 8 3 4 4 6 4 8 6
 6 3 6 6 4 4 3 3 7 7 0 5 0 3 0 0 3 0 3 0 3]"
5,0.31851851851851853,0.14792899408284024,"[[-1.6148972  -1.14508786 -0.68106942 ... -0.84475907 -1.04939467
  -0.74620879]
 [-1.26258475 -1.12375411 -0.17189148 ... -0.86176033 -1.04882218
  -0.72425417]
 [-1.39978678 -1.38836599 -0.19309571 ... -0.94803611 -1.18935194
  -0.77774546]
 ...
 [-0.47906114 -0.74954616 -1.47657688 ... -0.85246534 -0.56543163
  -0.79523077]
 [-0.84818692 -0.73982758 -1.08262412 ... -0.87270052 -0.83868426
  -0.67636529]
 [-0.94114583 -1.28254773 -0.69092345 ... -0.90887561 -0.67658119
  -0.89231282]]","              precision    recall  f1-score   support

           0       0.04      0.25      0.07         4
           1       0.25      0.11      0.15         9
           2       0.00      0.00      0.00         5
           3       0.35      0.28      0.31        50
           4       0.00      0.00      0.00         3
           5       0.06      0.12      0.08         8
           6       0.21      0.14      0.16        44
           7       0.05      0.04      0.05        23
           8       0.20      0.04      0.07        23

   micro avg       0.15      0.15      0.15       169
   macro avg       0.13      0.11      0.10       169
weighted avg       0.21      0.15      0.16       169
","[7, 6, 3, 3, 6, 3, 8, 6, 3, 8, 6, 6, 3, 3, 3, 2, 5, 7, 5, 3, 0, 8, 2, 3, 6, 6, 6, 6, 1, 4, 1, 6, 3, 3, 7, 3, 3, 6, 7, 3, 8, 6, 3, 7, 6, 5, 8, 8, 6, 6, 3, 7, 3, 8, 4, 4, 3, 6, 6, 5, 3, 6, 8, 3, 7, 6, 7, 3, 6, 6, 6, 6, 3, 1, 3, 6, 3, 2, 3, 3, 7, 6, 8, 3, 6, 7, 8, 3, 5, 7, 7, 6, 3, 8, 3, 1, 5, 3, 6, 7, 6, 3, 6, 7, 7, 5, 7, 6, 3, 3, 8, 7, 8, 0, 6, 3, 6, 3, 8, 3, 6, 6, 2, 6, 3, 7, 0, 3, 3, 1, 3, 1, 8, 6, 3, 3, 8, 1, 6, 8, 3, 6, 3, 1, 6, 3, 3, 8, 8, 8, 2, 6, 3, 3, 8, 1, 7, 7, 6, 0, 8, 8, 7, 3, 6, 7, 5, 7, 6]","[5 5 5 6 7 2 4 6 6 3 2 3 5 5 7 7 3 0 6 6 6 7 0 5 0 6 7 6 1 3 4 4 4 0 6 1 3
 7 3 6 2 0 3 5 2 3 6 0 7 4 1 2 6 7 6 6 5 0 5 7 7 5 5 4 5 8 4 3 8 3 3 5 2 3
 4 2 6 6 6 8 6 6 4 3 4 4 4 6 5 0 5 3 3 6 6 7 3 0 0 0 0 7 0 4 3 4 6 5 4 0 3
 4 3 0 3 6 0 3 3 3 2 5 8 2 3 4 3 7 3 3 3 7 3 6 3 3 3 3 0 3 2 7 6 3 6 3 2 6
 7 8 0 0 6 0 2 0 5 0 1 7 7 3 2 3 2 7 0 3 3]"
6,0.34074074074074073,0.15976331360946747,"[[-0.7514376  -1.16750877 -1.06251691 ... -0.84974645 -0.85876215
  -0.74904711]
 [-0.61672372 -0.56731553 -1.14138538 ... -0.75006468 -0.31594691
  -0.9025417 ]
 [-0.41846742 -0.51057959 -1.38965171 ... -0.58078807 -0.39968735
  -0.86537341]
 ...
 [-1.37431332 -1.38969535 -0.90785161 ... -0.87397572 -1.63473206
  -0.52306155]
 [-0.64117083 -1.04260641 -1.02772678 ... -0.10015241 -1.39298241
  -0.65331736]
 [-0.8462872  -0.87145107 -0.80313882 ... -0.78149205 -0.75364526
  -0.76059056]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00         4
           1       0.06      0.11      0.08         9
           2       0.00      0.00      0.00         5
           3       0.33      0.30      0.31        50
           4       0.00      0.00      0.00         3
           5       0.05      0.12      0.07         8
           6       0.17      0.09      0.12        44
           7       0.21      0.26      0.24        23
           8       0.00      0.00      0.00        23

   micro avg       0.16      0.16      0.16       169
   macro avg       0.09      0.10      0.09       169
weighted avg       0.17      0.16      0.16       169
","[7, 6, 3, 3, 6, 3, 8, 6, 3, 8, 6, 6, 3, 3, 3, 2, 5, 7, 5, 3, 0, 8, 2, 3, 6, 6, 6, 6, 1, 4, 1, 6, 3, 3, 7, 3, 3, 6, 7, 3, 8, 6, 3, 7, 6, 5, 8, 8, 6, 6, 3, 7, 3, 8, 4, 4, 3, 6, 6, 5, 3, 6, 8, 3, 7, 6, 7, 3, 6, 6, 6, 6, 3, 1, 3, 6, 3, 2, 3, 3, 7, 6, 8, 3, 6, 7, 8, 3, 5, 7, 7, 6, 3, 8, 3, 1, 5, 3, 6, 7, 6, 3, 6, 7, 7, 5, 7, 6, 3, 3, 8, 7, 8, 0, 6, 3, 6, 3, 8, 3, 6, 6, 2, 6, 3, 7, 0, 3, 3, 1, 3, 1, 8, 6, 3, 3, 8, 1, 6, 8, 3, 6, 3, 1, 6, 3, 3, 8, 8, 8, 2, 6, 3, 3, 8, 1, 7, 7, 6, 0, 8, 8, 7, 3, 6, 7, 5, 7, 6]","[5 7 7 3 3 5 5 3 5 2 1 3 0 3 3 1 4 6 6 6 6 6 7 0 3 7 6 3 7 2 8 3 3 5 4 3 3
 1 6 1 1 0 3 3 2 1 6 3 5 7 8 7 8 2 3 7 3 1 4 3 7 5 7 5 3 2 7 1 3 5 7 7 0 5
 6 2 6 6 6 6 7 0 5 3 7 3 2 6 3 3 1 3 7 3 3 1 6 7 7 0 8 5 6 7 8 3 1 4 3 3 7
 1 3 3 3 3 3 5 7 6 4 5 7 6 2 2 3 3 0 5 6 5 2 7 3 8 5 3 2 3 7 6 6 4 0 0 1 5
 7 3 6 1 2 6 3 0 7 7 3 3 3 1 1 5 8 3 5 6 7]"
7,0.3244444444444444,0.21301775147928995,"[[-0.56290342 -0.71362714 -1.25705553 ... -0.75793755 -0.46879806
  -0.95647704]
 [-1.12139176 -1.05726635 -1.37608142 ... -0.31507291 -1.31082096
  -0.61592776]
 [-0.70689582 -0.83718234 -0.78549913 ... -0.74103838 -0.72025612
  -0.80163261]
 ...
 [-0.68399488 -0.67498796 -1.02163375 ... -0.56714945 -0.69498017
  -0.76015159]
 [-0.84513267 -0.83249085 -0.747256   ... -0.73994903 -0.93994351
  -0.72453123]
 [-0.44399546 -1.18990956 -1.10938484 ... -0.61173995 -0.57709572
  -0.9666022 ]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00         4
           1       0.07      0.22      0.11         9
           2       0.20      0.20      0.20         5
           3       0.29      0.28      0.29        50
           4       0.00      0.00      0.00         3
           5       0.24      0.62      0.34         8
           6       0.38      0.23      0.29        44
           7       0.17      0.13      0.15        23
           8       0.25      0.04      0.07        23

   micro avg       0.21      0.21      0.21       169
   macro avg       0.18      0.19      0.16       169
weighted avg       0.26      0.21      0.22       169
","[7, 6, 3, 3, 6, 3, 8, 6, 3, 8, 6, 6, 3, 3, 3, 2, 5, 7, 5, 3, 0, 8, 2, 3, 6, 6, 6, 6, 1, 4, 1, 6, 3, 3, 7, 3, 3, 6, 7, 3, 8, 6, 3, 7, 6, 5, 8, 8, 6, 6, 3, 7, 3, 8, 4, 4, 3, 6, 6, 5, 3, 6, 8, 3, 7, 6, 7, 3, 6, 6, 6, 6, 3, 1, 3, 6, 3, 2, 3, 3, 7, 6, 8, 3, 6, 7, 8, 3, 5, 7, 7, 6, 3, 8, 3, 1, 5, 3, 6, 7, 6, 3, 6, 7, 7, 5, 7, 6, 3, 3, 8, 7, 8, 0, 6, 3, 6, 3, 8, 3, 6, 6, 2, 6, 3, 7, 0, 3, 3, 1, 3, 1, 8, 6, 3, 3, 8, 1, 6, 8, 3, 6, 3, 1, 6, 3, 3, 8, 8, 8, 2, 6, 3, 3, 8, 1, 7, 7, 6, 0, 8, 8, 7, 3, 6, 7, 5, 7, 6]","[7 6 3 3 5 7 8 2 6 6 1 6 3 6 3 3 3 1 5 3 3 0 0 1 1 1 5 3 0 1 1 3 6 6 6 5 4
 3 3 6 5 3 4 0 3 5 1 7 3 6 0 2 1 1 1 3 3 3 4 6 3 3 6 7 5 6 1 1 3 3 3 3 5 7
 3 0 1 3 7 1 6 1 3 4 6 4 3 6 5 7 3 1 7 5 4 6 5 5 6 3 5 3 6 5 1 5 3 0 2 1 3
 3 7 7 6 2 3 4 3 7 0 1 6 3 3 7 8 3 8 3 7 3 7 1 1 8 5 1 6 5 5 0 3 5 6 3 7 3
 4 7 2 5 1 3 7 0 4 4 5 7 1 1 1 6 3 6 6 3 3]"
8,0.3348148148148148,0.16568047337278108,"[[-0.93451323 -0.94458367 -0.88335706 ... -0.37424088 -1.12899944
  -0.62794494]
 [-0.73374806 -0.77467606 -0.87596799 ... -0.70027145 -0.62068693
  -0.87170797]
 [-0.47269275 -0.73394194 -1.08270012 ... -0.62069929 -0.68435296
  -0.77859438]
 ...
 [-0.56366683 -0.97296942 -0.44285221 ... -1.03045565 -1.07031097
  -0.37140196]
 [-0.71652671 -0.76747557 -0.71231795 ... -0.65768227 -0.87999296
  -0.74311805]
 [-0.08184283 -0.66662539 -1.12164313 ... -0.48291559 -0.67780453
  -0.65407758]]","              precision    recall  f1-score   support

           0       0.05      0.25      0.08         4
           1       0.08      0.11      0.10         9
           2       0.00      0.00      0.00         5
           3       0.41      0.26      0.32        50
           4       0.00      0.00      0.00         3
           5       0.03      0.12      0.05         8
           6       0.32      0.23      0.27        44
           7       0.13      0.09      0.11        23
           8       0.00      0.00      0.00        23

   micro avg       0.17      0.17      0.17       169
   macro avg       0.11      0.12      0.10       169
weighted avg       0.23      0.17      0.19       169
","[7, 6, 3, 3, 6, 3, 8, 6, 3, 8, 6, 6, 3, 3, 3, 2, 5, 7, 5, 3, 0, 8, 2, 3, 6, 6, 6, 6, 1, 4, 1, 6, 3, 3, 7, 3, 3, 6, 7, 3, 8, 6, 3, 7, 6, 5, 8, 8, 6, 6, 3, 7, 3, 8, 4, 4, 3, 6, 6, 5, 3, 6, 8, 3, 7, 6, 7, 3, 6, 6, 6, 6, 3, 1, 3, 6, 3, 2, 3, 3, 7, 6, 8, 3, 6, 7, 8, 3, 5, 7, 7, 6, 3, 8, 3, 1, 5, 3, 6, 7, 6, 3, 6, 7, 7, 5, 7, 6, 3, 3, 8, 7, 8, 0, 6, 3, 6, 3, 8, 3, 6, 6, 2, 6, 3, 7, 0, 3, 3, 1, 3, 1, 8, 6, 3, 3, 8, 1, 6, 8, 3, 6, 3, 1, 6, 3, 3, 8, 8, 8, 2, 6, 3, 3, 8, 1, 7, 7, 6, 0, 8, 8, 7, 3, 6, 7, 5, 7, 6]","[6 7 0 4 8 3 7 2 7 3 5 6 0 5 7 5 0 3 6 5 6 4 4 6 1 5 6 6 4 3 2 3 6 0 3 7 3
 6 5 1 3 0 3 3 7 5 5 3 4 7 0 3 5 3 5 7 7 1 1 2 3 3 6 1 7 0 5 6 3 6 5 3 3 5
 8 1 5 3 0 8 7 5 0 6 0 1 1 8 6 5 5 0 5 0 0 2 4 5 2 6 3 0 5 6 1 4 3 6 6 3 6
 2 5 2 6 2 5 1 0 3 3 7 7 6 3 0 5 3 2 6 3 3 5 4 3 6 6 1 6 1 7 5 5 6 0 7 3 5
 4 5 5 0 3 0 0 6 3 6 5 0 5 5 5 8 6 6 8 6 0]"
9,0.3333333333333333,0.21301775147928995,"[[-0.97925422 -0.67662339 -0.74175748 ... -0.72141159 -0.73352754
  -0.80057788]
 [-0.75320295 -0.5728243  -0.8787652  ... -0.69447915 -0.68264515
  -0.75508167]
 [-0.7307167  -0.91881325 -0.55785153 ... -0.76537174 -0.76618212
  -0.82091703]
 ...
 [-0.87702423 -0.59362037 -0.8281482  ... -0.71239691 -0.58992771
  -0.7918985 ]
 [ 0.02747793 -0.57012514 -1.17770286 ... -0.5449119  -0.4261284
  -0.77814038]
 [-0.02088337 -1.06583574 -1.21549534 ... -0.6614323  -0.60329662
  -0.78725486]]","              precision    recall  f1-score   support

           0       0.03      0.25      0.06         4
           1       0.00      0.00      0.00         9
           2       0.00      0.00      0.00         5
           3       0.58      0.36      0.44        50
           4       0.00      0.00      0.00         3
           5       0.19      0.62      0.29         8
           6       0.38      0.18      0.25        44
           7       0.22      0.09      0.12        23
           8       0.33      0.09      0.14        23

   micro avg       0.21      0.21      0.21       169
   macro avg       0.19      0.18      0.14       169
weighted avg       0.36      0.21      0.25       169
","[7, 6, 3, 3, 6, 3, 8, 6, 3, 8, 6, 6, 3, 3, 3, 2, 5, 7, 5, 3, 0, 8, 2, 3, 6, 6, 6, 6, 1, 4, 1, 6, 3, 3, 7, 3, 3, 6, 7, 3, 8, 6, 3, 7, 6, 5, 8, 8, 6, 6, 3, 7, 3, 8, 4, 4, 3, 6, 6, 5, 3, 6, 8, 3, 7, 6, 7, 3, 6, 6, 6, 6, 3, 1, 3, 6, 3, 2, 3, 3, 7, 6, 8, 3, 6, 7, 8, 3, 5, 7, 7, 6, 3, 8, 3, 1, 5, 3, 6, 7, 6, 3, 6, 7, 7, 5, 7, 6, 3, 3, 8, 7, 8, 0, 6, 3, 6, 3, 8, 3, 6, 6, 2, 6, 3, 7, 0, 3, 3, 1, 3, 1, 8, 6, 3, 3, 8, 1, 6, 8, 3, 6, 3, 1, 6, 3, 3, 8, 8, 8, 2, 6, 3, 3, 8, 1, 7, 7, 6, 0, 8, 8, 7, 3, 6, 7, 5, 7, 6]","[3 1 2 3 2 6 1 3 4 4 6 6 3 5 3 3 5 1 5 8 0 6 5 3 4 0 7 0 0 2 0 7 3 3 6 6 7
 2 6 6 6 3 3 0 3 5 5 5 8 1 5 1 5 8 1 0 4 5 6 5 4 7 0 5 1 1 1 3 1 5 6 1 6 0
 8 4 0 5 1 3 0 3 4 3 2 0 3 4 2 2 2 6 3 6 5 3 8 3 5 7 6 5 4 1 7 5 6 0 6 3 3
 4 0 3 2 1 0 3 5 0 3 1 5 5 5 0 7 7 3 7 5 4 5 6 4 4 5 0 0 0 6 2 0 6 6 2 3 3
 4 4 5 4 3 0 5 0 0 4 4 3 1 8 0 3 0 0 4 0 0]"
