,train accuracy,test accuracy,y score,class report,y test,y pred
0,0.594594595,0.446428571,"[ 0.04991377  0.46631598  0.17578387  0.14286076  0.21621094  0.01188686
  0.11529877  0.15911214  0.19873027  0.28754298  0.83176397  0.2000962
  0.72283932  0.23719528 -0.44700067  0.13478973  0.18403926  0.57852899
  0.10716831  0.50636838 -0.45408867  0.17765347  0.21264623  0.25898859
 -5.23503884  0.17430245  0.12520018  0.23057736  0.20657185 -0.09463203
 -0.01982826  0.36834608  0.15757579 -1.0200409   1.00710209  0.20265218
  0.20941225  1.10286641  0.27467379 -0.23782347  0.07329547  0.10704244
 -0.02151266  0.30822646 -0.02988826  0.27991736 -0.27430042  0.25583165
  0.16111478  0.30266139  0.12479171  0.00920222  0.10903742 -0.27619937
  0.22002035  0.03085045]","              precision    recall  f1-score   support

           0       0.64      0.21      0.31        34
           1       0.40      0.82      0.54        22

   micro avg       0.45      0.45      0.45        56
   macro avg       0.52      0.51      0.42        56
weighted avg       0.54      0.45      0.40        56
","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 0 1 1 0 1 1 1
 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 1 0 1 1]"
1,0.522522523,0.428571429,"[ 0.16663937  0.78152138 -0.05947055  0.1454053   0.25932496  0.2807279
  0.32625251 -0.45617355  0.14384298  0.34878043  0.32729634  0.57108103
  0.29133583  0.32297425  0.392625    0.77627872  0.24238488  0.31000256
  0.35414727  0.00872583  0.38381271  0.84907457 -1.95683827  0.3159106
  0.72586146  0.55317605  0.284662    1.50920827  0.10087337  0.32137234
 -0.33330724  0.20600462  0.53562439  0.20939824  0.19664801 -0.21192656
  0.23072965  0.3453189   0.27643207  0.27024491  0.26466492  0.35969256
  0.01991158  0.02055022  0.21819247 -4.65803041  0.28806221  0.22077671
  0.17489545  0.21593046  0.64860475  0.29909573  0.22040356  0.54331754
  0.51927548  0.34564374]","              precision    recall  f1-score   support

           0       0.67      0.12      0.20        34
           1       0.40      0.91      0.56        22

   micro avg       0.43      0.43      0.43        56
   macro avg       0.53      0.51      0.38        56
weighted avg       0.56      0.43      0.34        56
","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1
 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1]"
2,0.522522523,0.357142857,"[ 0.26648234 -0.37757443  0.32429634  0.62832126 -0.80361683  0.4077542
  0.51702854  0.40896378  0.43045673  0.08474668  0.69537207  0.41193092
  0.31947547  0.5525755   0.50823646  0.43446057  0.74602228  0.38478636
  0.36289182  0.71857326  0.36331976  0.45818919  1.13026446 -0.58662842
  0.42671177  0.17228042  0.36508869 -0.06417828  0.58038057  0.42696692
  0.38093055  0.1459454   0.39706335  0.29978339 -0.22215674  0.34731156
  0.38402134  0.46665103  0.45047008  0.381748   -0.15034335  0.18482158
  0.36870267  0.29325562  0.5003858   0.50083399  0.42409117  0.23062861
  0.33762058  0.37537242  0.37577597  0.16476602  0.37899529  0.31851619
  0.36876867  0.261797  ]","              precision    recall  f1-score   support

           0       0.33      0.06      0.10        34
           1       0.36      0.82      0.50        22

   micro avg       0.36      0.36      0.36        56
   macro avg       0.35      0.44      0.30        56
weighted avg       0.34      0.36      0.26        56
","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1
 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]"
3,0.63963964,0.607142857,"[-0.3696975  -0.4769043  -0.33983519 -0.28244809 -0.43635075 -0.34946197
 -1.72593842 -0.97138348 -0.42257303  0.00470293 -0.33821176 -0.41448237
 -0.43298369 -0.50432914 -0.57616645 -0.49266148 -0.39657362 -0.29532618
 -0.38237581 -0.4378691  -0.39834806 -0.36020939 -0.19016093 -0.38625917
 -0.68786254 -0.29773063 -1.32805155 -0.37143383 -0.34302436 -0.39000702
 -0.74113857 -0.37128084 -0.36821441 -0.16458827 -1.03587897 -0.45732026
 -0.63797684 -0.9833281  -0.35897844 -0.36149434 -0.86985664 -0.43224235
 -0.59562776 -0.40072137 -0.30290399  0.13258901 -0.40425924 -0.3938201
 -0.17307273 -0.40162299 -4.33724759 -0.30840565 -0.19677029 -0.21880291
 -0.33014736 -0.23815446]","              precision    recall  f1-score   support

           0       0.61      0.97      0.75        34
           1       0.50      0.05      0.08        22

   micro avg       0.61      0.61      0.61        56
   macro avg       0.56      0.51      0.42        56
weighted avg       0.57      0.61      0.49        56
","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]"
4,0.527027027,0.5,"[-6.48296844  0.33388541  0.28023337  0.59714804  0.27597469  0.24629472
  0.23366977  0.21900713  0.29986385  0.12867588  0.0828533   0.53011751
  0.3742966   0.36825363  0.32245211  0.18894803  0.11009375  0.26953373
 -0.04273974  0.22865969  0.32496644  0.48745867  0.26208877  0.21200162
  0.3268314   0.2729243   0.26206621  0.30163978 -0.57438883  0.2323028
  0.38389356  0.34215539  0.29403466 -0.05119201  0.45998265  0.24504987
  0.24973838  0.05956663  0.34792136  0.25406082  0.27710979  0.31717539
  0.89892535  0.30049379 -0.08335062  0.25806025  0.09092971 -0.06907253
  0.17511663  0.24477325  0.31092966 -0.26799551  0.32151708 -0.30834305
  0.43020852  0.19291271]","              precision    recall  f1-score   support

           0       0.88      0.21      0.33        34
           1       0.44      0.95      0.60        22

   micro avg       0.50      0.50      0.50        56
   macro avg       0.66      0.58      0.47        56
weighted avg       0.70      0.50      0.44        56
","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1
 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1]"
5,0.54954955,0.482142857,"[ 0.1111839   0.18635634  0.21328344  0.10819355  0.11274411 -0.36457738
 -1.48778755  0.12330725  0.20143446  0.14662309  0.03907214  0.15626377
 -0.00708761  0.30813621  0.07914435  0.16408822  0.12827314  0.13105971
  0.00347538  0.0069309   0.17134134  0.29525229  0.21395412  0.07867976
  0.15852998 -1.44434167 -0.09310281  0.5021295   0.35217747  0.1835499
  0.38192033  0.08762042  0.14172275  0.11566953 -0.36334025  0.24451515
  0.31844029  0.1432828   0.16043989  0.20141591  0.27293483  0.16191101
  0.12949293  0.18359778  0.01407829  0.1989063   0.1352114  -0.0775889
 -0.90943317  0.1027507   0.1421588   0.24677429  0.11971698  0.19313747
  0.22783497 -0.38142045]","              precision    recall  f1-score   support

           0       0.78      0.21      0.33        34
           1       0.43      0.91      0.58        22

   micro avg       0.48      0.48      0.48        56
   macro avg       0.60      0.56      0.45        56
weighted avg       0.64      0.48      0.43        56
","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1
 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0]"
6,0.671171171,0.625,"[-0.1452435  -0.26007576 -0.19175468 -0.1861991  -0.17070804 -0.1051166
 -0.33007774 -0.15574079  0.27040118 -0.11631667 -0.13716361  0.01411803
 -0.02589687 -0.08822627  0.08081995 -0.92476064  0.03871238 -0.07211357
 -0.05439593 -0.24765761 -0.1579695  -0.1242438  -0.20492771 -0.35370297
 -0.40012132 -0.32298835 -0.14807071  0.01782197 -0.15473603 -0.08151834
 -0.4075398  -0.15023593 -0.10644859 -0.16344892 -0.17327615  0.14833585
 -0.16867855 -0.02537123  0.28549132  0.08381697 -0.14103882 -0.17316203
 -0.1143715   0.2334123  -0.50452224 -0.4163738  -0.19618055 -0.14376905
 -0.76202147 -0.02483632 -0.17609136 -0.03380344 -0.26097047 -0.08186515
 -0.13765795 -0.15418618]","              precision    recall  f1-score   support

           0       0.64      0.88      0.74        34
           1       0.56      0.23      0.32        22

   micro avg       0.62      0.62      0.62        56
   macro avg       0.60      0.55      0.53        56
weighted avg       0.61      0.62      0.58        56
","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]"
7,0.513513514,0.446428571,"[  0.41482127   0.44572074   0.14468376   0.31522205   0.29606352
   0.37881262   0.50226959   0.36656783   0.26561428   0.39400715
   0.38208104   0.09807793   0.36350624   0.37939325   0.30481979
   0.52430504   0.24851397   0.47905835   0.34765911   0.24138857
  -1.13744088   0.65274748   0.37504358   0.41997842   0.50302082
   0.59323672   0.48827372   0.16401192   0.39235815   0.24877165
   0.34955913   0.17976075   0.68633245   0.22333182   0.37275365
   0.24528192   0.69556519   0.06678352   0.20258281  -0.31042753
   0.7257897    0.4528115    0.39697358   0.38505401  -9.04986571
   0.32045368   0.3177248   -0.50654851   0.40672459   0.36102681
   0.29590183   0.39123233   0.55138233   0.46141047   0.41410621
 -17.49265449]","              precision    recall  f1-score   support

           0       0.80      0.12      0.21        34
           1       0.41      0.95      0.58        22

   micro avg       0.45      0.45      0.45        56
   macro avg       0.61      0.54      0.39        56
weighted avg       0.65      0.45      0.35        56
","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0]"
8,0.621621622,0.589285714,"[ 9.50518386e-02 -1.42313110e-01 -1.71891585e+00  4.72982712e-02
 -9.01772716e-03  1.33262986e-01  2.09802132e-02  1.40402941e-01
  3.42132208e-02  5.96495951e-02  1.76930922e-01  1.01092633e-01
  6.32501063e-02  3.45597919e-01 -1.48097214e-01  1.71055921e-01
  3.08938381e-01  6.83682221e-02 -1.26612489e+00 -2.36247048e-01
  1.03376790e-01  5.20774695e-02  5.72561247e-02  8.49600634e-02
  1.09251834e+00  3.43782790e-01 -9.76067009e-01  2.12084542e-01
  2.40960664e-01  4.44008117e-02  7.85084832e-02  8.32251801e-02
  2.65882982e-01 -1.83191087e+00  2.36382379e-01  2.60072145e-01
 -9.38564156e-02 -6.39378499e-02 -1.62989790e-01 -2.30814153e+01
  2.01616123e-02 -2.35398062e-01  1.43622384e-02  4.44489403e-01
  1.44152561e-01  8.49249337e-02  4.07993096e-01 -5.85112736e-01
  2.97801976e-01 -1.13699810e-01 -2.64162426e-01 -1.05775784e-02
 -5.32351530e+00 -1.51939080e+00  3.39900750e-02  3.62960058e-01]","              precision    recall  f1-score   support

           0       0.79      0.44      0.57        34
           1       0.49      0.82      0.61        22

   micro avg       0.59      0.59      0.59        56
   macro avg       0.64      0.63      0.59        56
weighted avg       0.67      0.59      0.58        56
","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0
 0 0 0 1 0 1 1 1 1 1 0 1 0 0 0 0 0 1 1]"
9,0.594594595,0.446428571,"[-1.18964294  0.18431503  0.20621196  0.13048293  0.20179144  0.16182304
  0.17782368  0.1044342   0.12217029 -0.08907738  0.21349563 -0.41844735
  0.52663307  0.06985515 -2.88256354  0.06825626  0.22891523  0.46593146
  0.19482732  0.15468838  0.34402076  0.35016663 -0.02610922  0.23426027
  0.16445885  0.18265958  0.18743096 -1.10456975  0.31977658 -0.05326834
  0.16773985  0.11140667  0.14598627  0.13481979  0.01328381  0.18294377
  0.19393939  0.14896335 -0.06716583  0.21680948  0.11167531  0.27773755
  0.09366771  0.19874789  0.16763701  0.14041234  0.15556059  0.11428761
 -0.17029497  0.12058596  0.22677728  0.1872226   0.46268514  0.18887986
  0.62813281  0.14571048]","              precision    recall  f1-score   support

           0       0.67      0.18      0.28        34
           1       0.40      0.86      0.55        22

   micro avg       0.45      0.45      0.45        56
   macro avg       0.54      0.52      0.41        56
weighted avg       0.56      0.45      0.39        56
","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[0 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1]"
