,Milk,Tree_nut,Peanut,Sesame
g__Eggerthella,0,-0.2738694155199472,-0.2738694155199472,-0.5531296567659992
g__Veillonella,0,0,-0.12394462744103148,-0.41806828168384275
g__Paraprevotella,0,0,0,-0.3693717788391265
g__Akkermansia,0,0,0,-0.3050666853826335
g__Streptococcus,0,-0.3024158112228904,-0.3024158112228904,-0.3024158112228904
f__Erysipelotrichaceae,0,-0.24414155271772936,-0.24414155271772936,-0.24414155271772936
g__SMB53,0,0,-0.2336035561183935,-0.2336035561183935
g__Phascolarctobacterium,0,0,-0.20920187346022345,-0.20920187346022345
g__Odoribacter,0,-0.17180846886461784,-0.17180846886461784,-0.17180846886461784
o__RF39,0,0,-0.09668919736259864,-0.09668919736259864
g__Bifidobacterium,0,0.16304311693440274,0.16304311693440274,0.16304311693440274
g__Haemophilus,0,0,0.2219009370138761,0.2219009370138761
g__Megamonas,0,0,0.2408613190337195,0.2408613190337195
g__Faecalibacterium,0,0.2509377058463042,0.2509377058463042,0.2509377058463042
g__Sarcina,0,0,0.2806735620298278,0.2806735620298278
f__Coriobacteriaceae,0,0,0,0.378315490736424
g__Slackia,0,0,0,0.4258991141790284
g__Lachnobacterium,0,0,0,0.4539636466065765
g__Dialister,0,0.315962687276992,0.5919579217052718,0.5919579217052718
g__Megasphaera,0,0.2960497345447895,0.2960497345447895,1.4152706040489829
