,Milk,Peanut,Sesame,Tree nut
 f__Enterobacteriaceae,0.09137404589717624,0,0,0.12165752598393348
 g__Akkermansia,0.16659623804517842,0,0,0.0963127013434399
 g__Bacteroides,0.09684256404604406,0.136140666894148,0,0.09281266963432937
 g__Catenibacterium,0,0.08836767478697574,0,0
 g__Dialister,-0.2324400053932779,0,0,0
 g__Eggerthella,0,0.08178146456327312,0,0
 g__Lachnobacterium,-0.22700462472407815,-0.2385896143330813,0,0
 g__Megasphaera,-0.3518029276874287,-0.18601929961586605,0,-0.20329174584007806
 g__Methanobrevibacter,0,0.14165779483601276,0,0
 g__Phascolarctobacterium,0,-0.2638807932551627,0,-0.242610784939034
 g__SMB53,0.12940371384662847,-0.15287300759525935,0,0.08021747196548054
 g__Sarcina,0,0,0,-0.21968017173782944
 g__Slackia,-0.20484652189232885,0,0,-0.19537189811927586
