,Milk,Peanut,Sesame,Tree nut
 f__Enterobacteriaceae,0,0,-0.12165752598393348,0
 f__Erysipelotrichaceae,0.2172244890133222,0,0,0
 g__Adlercreutzia,0.13441374953790694,0,0,0
 g__Akkermansia,0,0,-0.0963127013434399,0
 g__Bacteroides,0,0,-0.09281266963432937,0
 g__Bifidobacterium,0,-0.10259800972221886,0,0
 g__Dialister,-0.2464250787132041,0,0,0
 g__Eggerthella,0.2172576999012453,0,0,0
 g__Escherichia,0,-0.11420188990311896,0,0
 g__Faecalibacterium,-0.1916805164066789,-0.09608121445465173,0,0
 g__Haemophilus,0,0.12719202467275692,0,0
 g__Lachnobacterium,-0.13269662099274107,0,0,0
 g__Megamonas,0,0.11870440021432485,0,0
 g__Megasphaera,-0.2178732657505093,0,0.20329174584007806,0
 g__Methanobrevibacter,0,0.139861901032099,0,0
 g__Odoribacter,0,0.1361082978147236,0,0
 g__Phascolarctobacterium,0,0,0.242610784939034,0
 g__SMB53,0,-0.14457340466844154,-0.08021747196548054,0
 g__Sarcina,0,0,0.21968017173782944,0
 g__Slackia,0,0,0.19537189811927586,0
 g__Streptococcus,0.2347262963012796,0,0,0
