,KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC
3,linear,10.0,auto,0.7278981856031036,0.6646408839779006,0.7292245821289431,0.6615384615384615
6,linear,0.01,scale,0.7298226172167265,0.6679558011049724,0.7255444022293511,0.6648351648351649
11,linear,1000.0,scale,0.7297610679547489,0.6712707182320441,0.7253273348893456,0.6593406593406593
9,linear,10.0,scale,0.7310053169512449,0.6707182320441989,0.7190459611784712,0.6406593406593407
4,linear,100.0,auto,0.7329869580116511,0.668232044198895,0.7179479394381021,0.6538461538461539
2,linear,1.0,auto,0.7335922453519783,0.6770718232044199,0.7027990196078431,0.6406593406593406
7,linear,0.1,scale,0.7355105426988892,0.6687845303867404,0.7024668850450343,0.6351648351648351
1,linear,0.1,auto,0.7357826274343261,0.6740331491712708,0.6994978872991171,0.6351648351648351
5,linear,1000.0,auto,0.7372281794991339,0.6712707182320441,0.6976156213774634,0.6417582417582417
0,linear,0.01,auto,0.7361668618733014,0.6685082872928176,0.694442778910341,0.6208791208791209
8,linear,1.0,scale,0.7389519072919855,0.6657458563535912,0.683105520488019,0.6186813186813187
10,linear,100.0,scale,0.7417458980916782,0.667403314917127,0.680456794822992,0.6318681318681318
