,y score 0,y score 1,y pred,y test
0,0.4418288,0.5581712,1,1
1,0.4506635,0.5493365,1,0
2,0.43517292,0.5648271,1,1
3,0.71996266,0.28003734,0,0
4,0.37708038,0.6229196,1,1
5,0.41376156,0.58623844,1,0
6,0.5367589,0.4632411,0,0
7,0.4695202,0.5304798,1,0
8,0.48947835,0.51052165,1,0
9,0.32773077,0.6722692,1,1
10,0.4941007,0.5058993,1,0
11,0.61511016,0.38488984,0,1
12,0.33773464,0.66226536,1,1
13,0.49446636,0.50553364,1,1
14,0.6377484,0.36225158,0,0
15,0.43450266,0.56549734,1,1
16,0.428791,0.571209,1,1
17,0.6351404,0.3648596,0,0
18,0.47010475,0.52989525,1,0
19,0.7416158,0.25838423,0,0
20,0.6708778,0.32912216,0,0
21,0.54967767,0.45032233,0,0
22,0.40128672,0.5987133,1,1
23,0.4263153,0.5736847,1,1
24,0.37370956,0.62629044,1,0
25,0.55719936,0.4428006,0,0
26,0.5856283,0.41437176,0,0
27,0.52309704,0.47690293,0,1
28,0.5576455,0.4423545,0,0
29,0.3650595,0.6349405,1,0
30,0.44159675,0.55840325,1,0
31,0.74300766,0.2569923,0,0
32,0.5148244,0.48517558,0,1
33,0.3899886,0.6100114,1,0
34,0.41466558,0.5853344,1,1
35,0.571053,0.42894694,0,0
36,0.68486464,0.31513533,0,0
37,0.48521262,0.5147874,1,0
38,0.29243726,0.70756274,1,1
39,0.46195066,0.53804934,1,1
40,0.37794048,0.6220595,1,0
41,0.4634691,0.5365309,1,0
42,0.33474213,0.6652579,1,1
43,0.60340434,0.39659566,0,0
44,0.35568565,0.64431435,1,1
45,0.57827693,0.42172307,0,0
46,0.6650156,0.33498445,0,0
47,0.34994614,0.65005386,1,0
48,0.6082961,0.3917039,0,0
49,0.35122555,0.64877445,1,1
50,0.49592882,0.5040712,1,1
51,0.4015032,0.5984968,1,1
52,0.60945624,0.39054376,0,1
53,0.4737255,0.5262745,1,1
54,0.49070436,0.50929564,1,0
55,0.4265859,0.5734141,1,0
56,0.5466523,0.4533477,0,0
57,0.48525077,0.5147492,1,0
58,0.56065303,0.43934697,0,0
59,0.57542235,0.42457765,0,1
60,0.4923584,0.5076416,1,0
61,0.4981256,0.5018744,1,1
62,0.5971182,0.4028818,0,1
63,0.52546954,0.47453046,0,1
64,0.663506,0.33649403,0,0
65,0.46070558,0.5392944,1,1
66,0.32524043,0.67475957,1,1
67,0.42126572,0.5787343,1,1
68,0.4952532,0.5047468,1,1
69,0.46942204,0.53057796,1,1
70,0.6855687,0.3144313,0,0
71,0.5477735,0.4522265,0,0
72,0.59846777,0.40153223,0,0
73,0.5473678,0.45263216,0,0
74,0.57409644,0.4259036,0,1
75,0.5978365,0.4021635,0,0
76,0.50817156,0.49182844,0,1
77,0.5435392,0.45646077,0,0
78,0.4801805,0.5198195,1,0
79,0.5550652,0.4449348,0,0
80,0.527809,0.47219095,0,1
81,0.54939175,0.45060825,0,0
82,0.41694278,0.5830572,1,1
83,0.34352708,0.6564729,1,1
84,0.52892476,0.47107524,0,0
85,0.68869424,0.3113058,0,0
86,0.37786317,0.62213683,1,1
87,0.45873648,0.5412635,1,0
88,0.6381992,0.36180076,0,0
89,0.530643,0.46935704,0,0
90,0.49844444,0.50155556,1,0
91,0.43753427,0.5624657,1,1
92,0.57431495,0.42568508,0,0
93,0.5036356,0.4963644,0,0
94,0.68784106,0.31215894,0,0
95,0.65145886,0.3485411,0,0
96,0.6237192,0.3762808,0,0
97,0.4157747,0.5842253,1,1
98,0.5215701,0.47842994,0,1
99,0.6779574,0.32204255,0,0
100,0.43668854,0.56331146,1,1
101,0.55691016,0.4430898,0,1
102,0.4118362,0.5881638,1,1
103,0.4650162,0.5349838,1,0
104,0.49704945,0.50295055,1,1
105,0.5326587,0.4673413,0,0
106,0.4238978,0.5761022,1,0
107,0.59147036,0.4085296,0,0
108,0.30793953,0.6920605,1,1
109,0.45609397,0.54390603,1,0
110,0.58206207,0.41793793,0,0
111,0.49944586,0.50055414,1,0
112,0.56616396,0.43383604,0,1
113,0.40194088,0.5980591,1,0
114,0.5827004,0.41729966,0,0
115,0.5456471,0.45435292,0,0
116,0.5967973,0.4032027,0,0
117,0.37021518,0.6297848,1,1
